 t	 x	 y	 z	 w
0.0000 0.0000 -0.0000 -0.0000 0.0000
0.0100 0.0106 0.0011 0.0005 0.0003
0.0200 0.0344 0.0037 0.0017 0.0010
0.0300 0.0669 0.0075 0.0036 0.0020
0.0400 0.1054 0.0123 0.0059 0.0033
0.0500 0.1478 0.0181 0.0087 0.0049
0.0600 0.1926 0.0246 0.0120 0.0067
0.0700 0.2385 0.0318 0.0155 0.0087
0.0800 0.2843 0.0397 0.0194 0.0110
0.0900 0.3292 0.0482 0.0237 0.0133
0.1000 0.3723 0.0571 0.0281 0.0158
0.1100 0.4132 0.0665 0.0328 0.0185
0.1200 0.4512 0.0762 0.0377 0.0212
0.1300 0.4863 0.0863 0.0428 0.0240
0.1400 0.5181 0.0967 0.0481 0.0268
0.1500 0.5465 0.1074 0.0535 0.0298
0.1600 0.5717 0.1182 0.0589 0.0327
0.1700 0.5936 0.1293 0.0645 0.0356
0.1800 0.6125 0.1405 0.0701 0.0386
0.1900 0.6286 0.1517 0.0758 0.0415
0.2000 0.6421 0.1631 0.0815 0.0444
0.2100 0.6533 0.1745 0.0872 0.0472
0.2200 0.6624 0.1859 0.0929 0.0500
0.2300 0.6697 0.1973 0.0986 0.0527
0.2400 0.6756 0.2087 0.1043 0.0553
0.2500 0.6801 0.2200 0.1098 0.0579
0.2600 0.6836 0.2313 0.1154 0.0603
0.2700 0.6863 0.2425 0.1208 0.0626
0.2800 0.6883 0.2535 0.1261 0.0648
0.2900 0.6898 0.2644 0.1314 0.0668
0.3000 0.6908 0.2752 0.1365 0.0688
0.3100 0.6916 0.2858 0.1415 0.0706
0.3200 0.6921 0.2962 0.1464 0.0722
0.3300 0.6925 0.3065 0.1511 0.0737
0.3400 0.6927 0.3166 0.1557 0.0751
0.3500 0.6929 0.3264 0.1601 0.0763
0.3600 0.6930 0.3361 0.1644 0.0773
0.3700 0.6930 0.3455 0.1685 0.0783
0.3800 0.6931 0.3548 0.1724 0.0790
0.3900 0.6931 0.3638 0.1762 0.0796
0.4000 0.6931 0.3725 0.1798 0.0801
0.4100 0.6931 0.3810 0.1832 0.0804
0.4200 0.6931 0.3893 0.1865 0.0806
0.4300 0.6931 0.3974 0.1896 0.0807
0.4400 0.6931 0.4052 0.1925 0.0806
0.4500 0.6931 0.4127 0.1953 0.0804
0.4600 0.6931 0.4201 0.1979 0.0801
0.4700 0.6931 0.4272 0.2003 0.0797
0.4800 0.6931 0.4340 0.2026 0.0791
0.4900 0.6931 0.4406 0.2047 0.0785
0.5000 0.6931 0.4470 0.2067 0.0778
0.5100 0.6931 0.4532 0.2085 0.0770
0.5200 0.6930 0.4591 0.2102 0.0761
0.5300 0.6930 0.4648 0.2118 0.0752
0.5400 0.6930 0.4704 0.2133 0.0742
0.5500 0.6930 0.4757 0.2146 0.0731
0.5600 0.6930 0.4808 0.2158 0.0720
0.5700 0.6930 0.4857 0.2169 0.0709
0.5800 0.6930 0.4904 0.2179 0.0697
0.5900 0.6930 0.4950 0.2188 0.0685
0.6000 0.6930 0.4994 0.2197 0.0673
0.6100 0.6930 0.5036 0.2204 0.0661
0.6200 0.6930 0.5077 0.2211 0.0649
0.6300 0.6929 0.5116 0.2217 0.0637
0.6400 0.6929 0.5154 0.2223 0.0625
0.6500 0.6929 0.5191 0.2229 0.0613
0.6600 0.6929 0.5227 0.2234 0.0601
0.6700 0.6929 0.5261 0.2238 0.0589
0.6800 0.6929 0.5295 0.2243 0.0578
0.6900 0.6929 0.5328 0.2247 0.0566
0.7000 0.6928 0.5360 0.2251 0.0555
0.7100 0.6928 0.5391 0.2256 0.0544
0.7200 0.6928 0.5421 0.2260 0.0534
0.7300 0.6928 0.5452 0.2265 0.0523
0.7400 0.6928 0.5481 0.2269 0.0513
0.7500 0.6928 0.5510 0.2274 0.0502
0.7600 0.6927 0.5539 0.2279 0.0492
0.7700 0.6927 0.5568 0.2284 0.0482
0.7800 0.6927 0.5597 0.2290 0.0472
0.7900 0.6927 0.5625 0.2296 0.0462
0.8000 0.6926 0.5654 0.2302 0.0452
0.8100 0.6926 0.5682 0.2309 0.0442
0.8200 0.6926 0.5710 0.2316 0.0432
0.8300 0.6926 0.5739 0.2324 0.0421
0.8400 0.6926 0.5768 0.2331 0.0411
0.8500 0.6925 0.5796 0.2339 0.0400
0.8600 0.6925 0.5825 0.2347 0.0389
0.8700 0.6925 0.5854 0.2356 0.0377
0.8800 0.6925 0.5884 0.2364 0.0366
0.8900 0.6924 0.5913 0.2373 0.0354
0.9000 0.6924 0.5943 0.2381 0.0341
0.9100 0.6924 0.5973 0.2390 0.0328
0.9200 0.6924 0.6003 0.2399 0.0315
0.9300 0.6923 0.6033 0.2407 0.0301
0.9400 0.6923 0.6063 0.2416 0.0287
0.9500 0.6923 0.6094 0.2424 0.0273
0.9600 0.6923 0.6124 0.2431 0.0258
0.9700 0.6922 0.6155 0.2438 0.0243
0.9800 0.6922 0.6185 0.2445 0.0227
0.9900 0.6922 0.6215 0.2451 0.0212
1.0000 0.6921 0.6246 0.2457 0.0196
1.0100 0.6921 0.6276 0.2462 0.0180
1.0200 0.6921 0.6306 0.2466 0.0164
1.0300 0.6921 0.6336 0.2469 0.0148
1.0400 0.6920 0.6365 0.2471 0.0133
1.0500 0.6920 0.6395 0.2472 0.0117
1.0600 0.6920 0.6423 0.2471 0.0103
1.0700 0.6920 0.6452 0.2470 0.0088
1.0800 0.6919 0.6480 0.2467 0.0075
1.0900 0.6919 0.6507 0.2463 0.0063
1.1000 0.6919 0.6534 0.2457 0.0051
1.1100 0.6919 0.6560 0.2450 0.0041
1.1200 0.6918 0.6585 0.2441 0.0033
1.1300 0.6918 0.6610 0.2431 0.0026
1.1400 0.6918 0.6634 0.2419 0.0022
1.1500 0.6918 0.6657 0.2405 0.0021
1.1600 0.6918 0.6679 0.2389 0.0022
1.1700 0.6918 0.6700 0.2371 0.0025
1.1800 0.6918 0.6720 0.2352 0.0032
1.1900 0.6918 0.6740 0.2330 0.0041
1.2000 0.6919 0.6758 0.2307 0.0053
1.2100 0.6919 0.6775 0.2281 0.0067
1.2200 0.6920 0.6792 0.2254 0.0083
1.2300 0.6921 0.6807 0.2224 0.0102
1.2400 0.6922 0.6821 0.2193 0.0122
1.2500 0.6923 0.6834 0.2159 0.0144
1.2600 0.6924 0.6846 0.2124 0.0168
1.2700 0.6926 0.6858 0.2086 0.0193
1.2800 0.6927 0.6868 0.2047 0.0220
1.2900 0.6928 0.6877 0.2005 0.0248
1.3000 0.6928 0.6885 0.1962 0.0277
1.3100 0.6928 0.6893 0.1916 0.0307
1.3200 0.6927 0.6899 0.1869 0.0338
1.3300 0.6925 0.6905 0.1820 0.0370
1.3400 0.6921 0.6910 0.1770 0.0402
1.3500 0.6915 0.6914 0.1718 0.0435
1.3600 0.6906 0.6917 0.1664 0.0468
1.3700 0.6895 0.6921 0.1609 0.0501
1.3800 0.6881 0.6923 0.1552 0.0534
1.3900 0.6864 0.6925 0.1495 0.0567
1.4000 0.6844 0.6927 0.1436 0.0599
1.4100 0.6820 0.6928 0.1376 0.0631
1.4200 0.6793 0.6929 0.1315 0.0663
1.4300 0.6763 0.6930 0.1253 0.0694
1.4400 0.6730 0.6930 0.1191 0.0724
1.4500 0.6696 0.6930 0.1128 0.0753
1.4600 0.6661 0.6931 0.1065 0.0781
1.4700 0.6626 0.6931 0.1002 0.0807
1.4800 0.6592 0.6931 0.0939 0.0833
1.4900 0.6560 0.6931 0.0876 0.0857
1.5000 0.6532 0.6931 0.0813 0.0879
1.5100 0.6507 0.6931 0.0751 0.0900
1.5200 0.6488 0.6931 0.0690 0.0919
1.5300 0.6475 0.6931 0.0629 0.0937
1.5400 0.6468 0.6930 0.0570 0.0953
1.5500 0.6468 0.6930 0.0513 0.0966
1.5600 0.6474 0.6929 0.0457 0.0978
1.5700 0.6487 0.6928 0.0403 0.0988
1.5800 0.6506 0.6927 0.0351 0.0996
1.5900 0.6530 0.6925 0.0301 0.1002
1.6000 0.6559 0.6923 0.0255 0.1006
1.6100 0.6591 0.6920 0.0211 0.1008
1.6200 0.6626 0.6917 0.0170 0.1008
1.6300 0.6661 0.6912 0.0133 0.1006
1.6400 0.6697 0.6907 0.0099 0.1002
1.6500 0.6732 0.6901 0.0070 0.0996
1.6600 0.6765 0.6894 0.0045 0.0987
1.6700 0.6796 0.6886 0.0025 0.0978
1.6800 0.6825 0.6876 0.0012 0.0966
1.6900 0.6850 0.6865 0.0004 0.0952
1.7000 0.6871 0.6852 0.0006 0.0937
1.7100 0.6889 0.6838 0.0015 0.0920
1.7200 0.6904 0.6822 0.0030 0.0901
1.7300 0.6915 0.6804 0.0050 0.0881
1.7400 0.6923 0.6784 0.0075 0.0860
1.7500 0.6928 0.6761 0.0103 0.0837
1.7600 0.6931 0.6737 0.0135 0.0813
1.7700 0.6931 0.6710 0.0170 0.0788
1.7800 0.6930 0.6681 0.0208 0.0762
1.7900 0.6927 0.6649 0.0248 0.0735
1.8000 0.6923 0.6615 0.0289 0.0707
1.8100 0.6918 0.6578 0.0333 0.0679
1.8200 0.6912 0.6538 0.0378 0.0650
1.8300 0.6905 0.6495 0.0424 0.0621
1.8400 0.6898 0.6450 0.0472 0.0591
1.8500 0.6891 0.6402 0.0520 0.0561
1.8600 0.6883 0.6351 0.0568 0.0531
1.8700 0.6875 0.6296 0.0617 0.0502
1.8800 0.6867 0.6240 0.0666 0.0472
1.8900 0.6859 0.6180 0.0715 0.0443
1.9000 0.6851 0.6117 0.0764 0.0414
1.9100 0.6842 0.6051 0.0813 0.0386
1.9200 0.6834 0.5983 0.0861 0.0359
1.9300 0.6826 0.5912 0.0909 0.0332
1.9400 0.6817 0.5838 0.0956 0.0307
1.9500 0.6809 0.5762 0.1002 0.0282
1.9600 0.6800 0.5683 0.1047 0.0258
1.9700 0.6792 0.5602 0.1092 0.0236
1.9800 0.6783 0.5519 0.1135 0.0214
1.9900 0.6775 0.5433 0.1178 0.0194
2.0000 0.6767 0.5346 0.1219 0.0176
2.0100 0.6758 0.5256 0.1259 0.0159
2.0200 0.6751 0.5166 0.1298 0.0143
2.0300 0.6743 0.5073 0.1336 0.0129
2.0400 0.6735 0.4979 0.1372 0.0116
2.0500 0.6728 0.4884 0.1407 0.0105
2.0600 0.6721 0.4789 0.1441 0.0095
2.0700 0.6714 0.4692 0.1473 0.0087
2.0800 0.6708 0.4594 0.1505 0.0080
2.0900 0.6702 0.4497 0.1535 0.0075
2.1000 0.6696 0.4399 0.1564 0.0071
2.1100 0.6690 0.4300 0.1591 0.0069
2.1200 0.6685 0.4202 0.1618 0.0068
2.1300 0.6680 0.4104 0.1643 0.0068
2.1400 0.6675 0.4007 0.1667 0.0069
2.1500 0.6671 0.3910 0.1690 0.0071
2.1600 0.6666 0.3814 0.1712 0.0074
2.1700 0.6662 0.3718 0.1733 0.0078
2.1800 0.6658 0.3624 0.1754 0.0082
