 t	 x	 y	 z
0.0000 1.0000 1.0000 1.0000
0.0100 0.9990 0.9998 0.9998
0.0200 0.9960 0.9991 0.9992
0.0300 0.9910 0.9981 0.9982
0.0400 0.9841 0.9966 0.9967
0.0500 0.9752 0.9947 0.9949
0.0600 0.9645 0.9923 0.9927
0.0700 0.9519 0.9895 0.9900
0.0800 0.9376 0.9863 0.9870
0.0900 0.9216 0.9827 0.9835
0.1000 0.9040 0.9787 0.9797
0.1100 0.8849 0.9743 0.9755
0.1200 0.8644 0.9694 0.9708
0.1300 0.8425 0.9641 0.9658
0.1400 0.8195 0.9585 0.9604
0.1500 0.7953 0.9524 0.9546
0.1600 0.7702 0.9460 0.9484
0.1700 0.7442 0.9391 0.9418
0.1800 0.7175 0.9319 0.9349
0.1900 0.6902 0.9242 0.9275
0.2000 0.6623 0.9162 0.9198
0.2100 0.6341 0.9078 0.9118
0.2200 0.6056 0.8991 0.9033
0.2300 0.5770 0.8900 0.8945
0.2400 0.5484 0.8805 0.8854
0.2500 0.5199 0.8706 0.8759
0.2600 0.4916 0.8605 0.8660
0.2700 0.4635 0.8499 0.8558
0.2800 0.4359 0.8390 0.8453
0.2900 0.4088 0.8278 0.8344
0.3000 0.3823 0.8163 0.8232
0.3100 0.3565 0.8044 0.8116
0.3200 0.3314 0.7922 0.7997
0.3300 0.3071 0.7797 0.7875
0.3400 0.2836 0.7669 0.7750
0.3500 0.2611 0.7538 0.7622
0.3600 0.2396 0.7404 0.7491
0.3700 0.2190 0.7267 0.7356
0.3800 0.1994 0.7127 0.7219
0.3900 0.1809 0.6984 0.7079
0.4000 0.1635 0.6838 0.6936
0.4100 0.1471 0.6690 0.6790
0.4200 0.1317 0.6539 0.6641
0.4300 0.1174 0.6385 0.6490
0.4400 0.1041 0.6229 0.6336
0.4500 0.0918 0.6070 0.6179
0.4600 0.0805 0.5909 0.6020
0.4700 0.0702 0.5745 0.5859
0.4800 0.0607 0.5579 0.5695
0.4900 0.0521 0.5411 0.5529
0.5000 0.0444 0.5240 0.5361
0.5100 0.0374 0.5067 0.5190
0.5200 0.0312 0.4892 0.5018
0.5300 0.0256 0.4715 0.4843
0.5400 0.0207 0.4536 0.4667
0.5500 0.0164 0.4355 0.4489
0.5600 0.0126 0.4173 0.4309
0.5700 0.0093 0.3988 0.4127
0.5800 0.0065 0.3802 0.3944
0.5900 0.0040 0.3613 0.3759
0.6000 0.0019 0.3424 0.3572
0.6100 0.0001 0.3232 0.3385
0.6200 -0.0015 0.3040 0.3196
0.6300 -0.0028 0.2846 0.3006
0.6400 -0.0040 0.2650 0.2815
0.6500 -0.0050 0.2453 0.2622
0.6600 -0.0058 0.2256 0.2429
0.6700 -0.0066 0.2057 0.2235
0.6800 -0.0073 0.1857 0.2040
0.6900 -0.0079 0.1656 0.1844
0.7000 -0.0085 0.1454 0.1648
0.7100 -0.0091 0.1252 0.1451
0.7200 -0.0097 0.1049 0.1254
0.7300 -0.0102 0.0846 0.1056
0.7400 -0.0107 0.0642 0.0858
0.7500 -0.0113 0.0438 0.0660
0.7600 -0.0118 0.0233 0.0461
0.7700 -0.0124 0.0029 0.0262
0.7800 -0.0129 -0.0176 0.0064
0.7900 -0.0135 -0.0380 -0.0135
0.8000 -0.0141 -0.0584 -0.0333
0.8100 -0.0147 -0.0788 -0.0531
0.8200 -0.0152 -0.0992 -0.0729
0.8300 -0.0158 -0.1195 -0.0927
0.8400 -0.0164 -0.1398 -0.1124
0.8500 -0.0170 -0.1599 -0.1321
0.8600 -0.0176 -0.1800 -0.1517
0.8700 -0.0182 -0.2000 -0.1712
0.8800 -0.0189 -0.2199 -0.1907
0.8900 -0.0195 -0.2397 -0.2101
0.9000 -0.0203 -0.2594 -0.2293
0.9100 -0.0211 -0.2789 -0.2485
0.9200 -0.0219 -0.2983 -0.2676
0.9300 -0.0229 -0.3175 -0.2866
0.9400 -0.0240 -0.3366 -0.3054
0.9500 -0.0253 -0.3555 -0.3241
0.9600 -0.0267 -0.3742 -0.3427
0.9700 -0.0284 -0.3927 -0.3611
0.9800 -0.0303 -0.4110 -0.3794
0.9900 -0.0325 -0.4292 -0.3975
1.0000 -0.0350 -0.4471 -0.4154
1.0100 -0.0378 -0.4647 -0.4331
1.0200 -0.0410 -0.4822 -0.4507
1.0300 -0.0447 -0.4994 -0.4681
1.0400 -0.0489 -0.5163 -0.4852
1.0500 -0.0535 -0.5331 -0.5022
1.0600 -0.0587 -0.5495 -0.5189
1.0700 -0.0645 -0.5657 -0.5354
1.0800 -0.0710 -0.5816 -0.5517
1.0900 -0.0780 -0.5972 -0.5677
1.1000 -0.0858 -0.6126 -0.5835
1.1100 -0.0943 -0.6276 -0.5990
1.1200 -0.1035 -0.6424 -0.6143
1.1300 -0.1135 -0.6569 -0.6293
1.1400 -0.1242 -0.6711 -0.6440
1.1500 -0.1357 -0.6849 -0.6585
1.1600 -0.1481 -0.6985 -0.6727
1.1700 -0.1612 -0.7117 -0.6866
1.1800 -0.1751 -0.7246 -0.7001
1.1900 -0.1897 -0.7373 -0.7134
1.2000 -0.2052 -0.7495 -0.7264
1.2100 -0.2214 -0.7615 -0.7391
1.2200 -0.2382 -0.7731 -0.7515
1.2300 -0.2558 -0.7844 -0.7635
1.2400 -0.2740 -0.7953 -0.7752
1.2500 -0.2928 -0.8060 -0.7866
1.2600 -0.3121 -0.8162 -0.7977
1.2700 -0.3319 -0.8261 -0.8084
1.2800 -0.3520 -0.8357 -0.8188
1.2900 -0.3726 -0.8450 -0.8288
1.3000 -0.3934 -0.8538 -0.8385
1.3100 -0.4144 -0.8624 -0.8479
1.3200 -0.4355 -0.8705 -0.8569
1.3300 -0.4566 -0.8783 -0.8655
1.3400 -0.4777 -0.8858 -0.8738
1.3500 -0.4987 -0.8929 -0.8817
1.3600 -0.5194 -0.8996 -0.8892
1.3700 -0.5397 -0.9059 -0.8963
1.3800 -0.5597 -0.9119 -0.9031
1.3900 -0.5792 -0.9175 -0.9095
1.4000 -0.5980 -0.9227 -0.9155
1.4100 -0.6162 -0.9276 -0.9212
1.4200 -0.6336 -0.9320 -0.9264
1.4300 -0.6502 -0.9361 -0.9313
1.4400 -0.6659 -0.9398 -0.9357
1.4500 -0.6805 -0.9431 -0.9398
1.4600 -0.6941 -0.9460 -0.9435
1.4700 -0.7066 -0.9485 -0.9468
1.4800 -0.7180 -0.9506 -0.9496
1.4900 -0.7281 -0.9523 -0.9521
1.5000 -0.7369 -0.9537 -0.9542
1.5100 -0.7444 -0.9546 -0.9558
1.5200 -0.7506 -0.9551 -0.9571
1.5300 -0.7555 -0.9551 -0.9579
1.5400 -0.7590 -0.9548 -0.9584
1.5500 -0.7611 -0.9541 -0.9584
1.5600 -0.7619 -0.9529 -0.9580
1.5700 -0.7614 -0.9513 -0.9572
1.5800 -0.7595 -0.9493 -0.9560
1.5900 -0.7564 -0.9469 -0.9544
1.6000 -0.7519 -0.9441 -0.9524
1.6100 -0.7463 -0.9408 -0.9500
1.6200 -0.7395 -0.9372 -0.9471
1.6300 -0.7316 -0.9331 -0.9439
1.6400 -0.7226 -0.9285 -0.9403
1.6500 -0.7126 -0.9236 -0.9363
1.6600 -0.7018 -0.9182 -0.9318
1.6700 -0.6901 -0.9124 -0.9270
1.6800 -0.6777 -0.9062 -0.9218
1.6900 -0.6645 -0.8996 -0.9162
1.7000 -0.6509 -0.8926 -0.9102
1.7100 -0.6367 -0.8851 -0.9038
1.7200 -0.6221 -0.8773 -0.8971
1.7300 -0.6072 -0.8690 -0.8900
1.7400 -0.5920 -0.8604 -0.8825
1.7500 -0.5768 -0.8513 -0.8746
1.7600 -0.5615 -0.8418 -0.8664
1.7700 -0.5462 -0.8320 -0.8577
1.7800 -0.5310 -0.8217 -0.8488
1.7900 -0.5160 -0.8111 -0.8395
1.8000 -0.5013 -0.8001 -0.8298
1.8100 -0.4870 -0.7888 -0.8198
1.8200 -0.4730 -0.7770 -0.8094
1.8300 -0.4596 -0.7650 -0.7987
1.8400 -0.4466 -0.7525 -0.7877
1.8500 -0.4342 -0.7398 -0.7763
1.8600 -0.4225 -0.7266 -0.7646
1.8700 -0.4114 -0.7132 -0.7526
1.8800 -0.4010 -0.6994 -0.7403
1.8900 -0.3914 -0.6854 -0.7276
1.9000 -0.3824 -0.6710 -0.7146
1.9100 -0.3743 -0.6563 -0.7014
1.9200 -0.3669 -0.6413 -0.6878
1.9300 -0.3602 -0.6261 -0.6740
1.9400 -0.3544 -0.6105 -0.6598
1.9500 -0.3493 -0.5947 -0.6454
1.9600 -0.3449 -0.5787 -0.6307
1.9700 -0.3413 -0.5624 -0.6157
1.9800 -0.3383 -0.5459 -0.6005
1.9900 -0.3361 -0.5291 -0.5850
2.0000 -0.3344 -0.5121 -0.5692
2.0100 -0.3334 -0.4949 -0.5532
2.0200 -0.3330 -0.4775 -0.5370
2.0300 -0.3331 -0.4599 -0.5205
2.0400 -0.3338 -0.4421 -0.5038
2.0500 -0.3349 -0.4241 -0.4869
2.0600 -0.3364 -0.4060 -0.4698
2.0700 -0.3383 -0.3877 -0.4524
2.0800 -0.3405 -0.3692 -0.4349
2.0900 -0.3430 -0.3506 -0.4172
2.1000 -0.3458 -0.3318 -0.3993
2.1100 -0.3489 -0.3129 -0.3812
2.1200 -0.3521 -0.2939 -0.3629
2.1300 -0.3554 -0.2748 -0.3445
2.1400 -0.3589 -0.2556 -0.3260
2.1500 -0.3624 -0.2362 -0.3073
2.1600 -0.3661 -0.2168 -0.2884
2.1700 -0.3697 -0.1973 -0.2695
2.1800 -0.3734 -0.1777 -0.2504
2.1900 -0.3770 -0.1580 -0.2312
2.2000 -0.3807 -0.1383 -0.2119
2.2100 -0.3843 -0.1185 -0.1926
2.2200 -0.3878 -0.0986 -0.1731
2.2300 -0.3913 -0.0787 -0.1535
2.2400 -0.3947 -0.0588 -0.1339
2.2500 -0.3980 -0.0388 -0.1143
2.2600 -0.4012 -0.0188 -0.0945
2.2700 -0.4044 0.0012 -0.0748
2.2800 -0.4074 0.0212 -0.0550
2.2900 -0.4104 0.0412 -0.0352
2.3000 -0.4132 0.0612 -0.0153
2.3100 -0.4160 0.0812 0.0046
2.3200 -0.4186 0.1012 0.0244
2.3300 -0.4212 0.1212 0.0443
2.3400 -0.4237 0.1411 0.0641
2.3500 -0.4260 0.1610 0.0840
2.3600 -0.4282 0.1809 0.1038
2.3700 -0.4303 0.2007 0.1236
2.3800 -0.4322 0.2204 0.1433
2.3900 -0.4340 0.2400 0.1630
2.4000 -0.4356 0.2596 0.1826
2.4100 -0.4370 0.2791 0.2022
2.4200 -0.4382 0.2985 0.2216
2.4300 -0.4391 0.3178 0.2410
2.4400 -0.4397 0.3370 0.2604
2.4500 -0.4401 0.3561 0.2796
2.4600 -0.4401 0.3750 0.2987
2.4700 -0.4397 0.3938 0.3177
2.4800 -0.4389 0.4124 0.3366
2.4900 -0.4377 0.4309 0.3554
2.5000 -0.4359 0.4493 0.3740
2.5100 -0.4335 0.4675 0.3925
2.5200 -0.4306 0.4854 0.4108
2.5300 -0.4270 0.5032 0.4290
2.5400 -0.4226 0.5208 0.4470
2.5500 -0.4175 0.5382 0.4648
2.5600 -0.4116 0.5554 0.4825
2.5700 -0.4048 0.5723 0.5000
2.5800 -0.3971 0.5891 0.5172
2.5900 -0.3885 0.6055 0.5343
2.6000 -0.3788 0.6218 0.5511
2.6100 -0.3681 0.6377 0.5678
2.6200 -0.3562 0.6534 0.5842
2.6300 -0.3433 0.6688 0.6003
2.6400 -0.3291 0.6840 0.6163
2.6500 -0.3138 0.6988 0.6319
2.6600 -0.2973 0.7133 0.6474
2.6700 -0.2795 0.7276 0.6625
2.6800 -0.2606 0.7415 0.6774
2.6900 -0.2404 0.7551 0.6920
2.7000 -0.2189 0.7684 0.7064
2.7100 -0.1963 0.7813 0.7204
2.7200 -0.1724 0.7939 0.7342
2.7300 -0.1475 0.8062 0.7477
2.7400 -0.1213 0.8180 0.7608
2.7500 -0.0941 0.8296 0.7737
2.7600 -0.0659 0.8408 0.7863
2.7700 -0.0367 0.8516 0.7985
2.7800 -0.0066 0.8620 0.8104
2.7900 0.0243 0.8721 0.8220
2.8000 0.0559 0.8818 0.8332
2.8100 0.0882 0.8911 0.8441
2.8200 0.1211 0.9000 0.8547
2.8300 0.1544 0.9085 0.8649
2.8400 0.1880 0.9166 0.8748
2.8500 0.2219 0.9244 0.8844
2.8600 0.2559 0.9317 0.8935
2.8700 0.2898 0.9386 0.9024
2.8800 0.3237 0.9452 0.9108
2.8900 0.3573 0.9513 0.9189
2.9000 0.3905 0.9570 0.9266
2.9100 0.4233 0.9623 0.9340
2.9200 0.4554 0.9673 0.9410
2.9300 0.4867 0.9718 0.9476
2.9400 0.5172 0.9759 0.9538
2.9500 0.5467 0.9796 0.9596
2.9600 0.5752 0.9829 0.9651
2.9700 0.6024 0.9857 0.9702
2.9800 0.6282 0.9882 0.9748
2.9900 0.6527 0.9903 0.9791
3.0000 0.6757 0.9919 0.9830
3.0100 0.6971 0.9932 0.9865
3.0200 0.7169 0.9940 0.9896
3.0300 0.7349 0.9945 0.9923
3.0400 0.7511 0.9945 0.9946
3.0500 0.7655 0.9942 0.9964
3.0600 0.7781 0.9934 0.9979
3.0700 0.7888 0.9922 0.9990
3.0800 0.7975 0.9906 0.9997
3.0900 0.8043 0.9887 0.9999
3.1000 0.8093 0.9863 0.9998
3.1100 0.8123 0.9835 0.9992
3.1200 0.8134 0.9803 0.9983
3.1300 0.8128 0.9768 0.9969
3.1400 0.8103 0.9728 0.9951
3.1500 0.8060 0.9684 0.9929
3.1600 0.8001 0.9637 0.9903
3.1700 0.7926 0.9585 0.9873
3.1800 0.7835 0.9530 0.9839
3.1900 0.7730 0.9471 0.9802
3.2000 0.7611 0.9408 0.9760
3.2100 0.7480 0.9340 0.9714
3.2200 0.7337 0.9270 0.9664
3.2300 0.7184 0.9195 0.9610
3.2400 0.7021 0.9116 0.9553
3.2500 0.6850 0.9034 0.9491
3.2600 0.6672 0.8948 0.9426
3.2700 0.6488 0.8858 0.9357
3.2800 0.6299 0.8764 0.9284
3.2900 0.6107 0.8667 0.9207
3.3000 0.5912 0.8566 0.9127
3.3100 0.5716 0.8461 0.9043
3.3200 0.5520 0.8353 0.8955
3.3300 0.5324 0.8241 0.8864
3.3400 0.5131 0.8126 0.8769
3.3500 0.4940 0.8007 0.8671
3.3600 0.4753 0.7884 0.8569
3.3700 0.4571 0.7759 0.8464
3.3800 0.4395 0.7629 0.8356
3.3900 0.4224 0.7497 0.8244
3.4000 0.4061 0.7361 0.8129
3.4100 0.3904 0.7222 0.8010
3.4200 0.3756 0.7080 0.7889
3.4300 0.3617 0.6935 0.7764
3.4400 0.3486 0.6786 0.7636
3.4500 0.3364 0.6635 0.7505
3.4600 0.3251 0.6481 0.7371
3.4700 0.3148 0.6324 0.7234
3.4800 0.3054 0.6164 0.7094
3.4900 0.2970 0.6002 0.6951
3.5000 0.2895 0.5837 0.6806
3.5100 0.2829 0.5669 0.6658
3.5200 0.2772 0.5499 0.6507
3.5300 0.2724 0.5327 0.6353
3.5400 0.2684 0.5152 0.6197
3.5500 0.2653 0.4976 0.6039
3.5600 0.2629 0.4797 0.5878
3.5700 0.2613 0.4616 0.5714
3.5800 0.2603 0.4433 0.5548
3.5900 0.2600 0.4248 0.5381
3.6000 0.2602 0.4062 0.5210
3.6100 0.2610 0.3874 0.5038
3.6200 0.2623 0.3685 0.4864
3.6300 0.2640 0.3494 0.4688
3.6400 0.2661 0.3302 0.4510
3.6500 0.2685 0.3108 0.4330
3.6600 0.2712 0.2913 0.4149
3.6700 0.2742 0.2718 0.3966
3.6800 0.2773 0.2521 0.3781
3.6900 0.2806 0.2324 0.3595
3.7000 0.2840 0.2125 0.3407
3.7100 0.2875 0.1926 0.3219
3.7200 0.2910 0.1727 0.3029
3.7300 0.2945 0.1527 0.2837
3.7400 0.2980 0.1326 0.2645
3.7500 0.3014 0.1126 0.2452
3.7600 0.3048 0.0925 0.2258
3.7700 0.3082 0.0724 0.2063
3.7800 0.3114 0.0522 0.1868
3.7900 0.3145 0.0321 0.1671
3.8000 0.3175 0.0120 0.1474
3.8100 0.3204 -0.0081 0.1277
3.8200 0.3232 -0.0281 0.1079
3.8300 0.3258 -0.0481 0.0881
3.8400 0.3284 -0.0681 0.0683
3.8500 0.3308 -0.0880 0.0485
3.8600 0.3331 -0.1079 0.0286
3.8700 0.3352 -0.1277 0.0088
3.8800 0.3373 -0.1475 -0.0111
3.8900 0.3393 -0.1671 -0.0309
3.9000 0.3411 -0.1867 -0.0508
3.9100 0.3429 -0.2062 -0.0705
3.9200 0.3446 -0.2255 -0.0903
3.9300 0.3461 -0.2448 -0.1100
3.9400 0.3476 -0.2640 -0.1296
3.9500 0.3490 -0.2830 -0.1492
3.9600 0.3502 -0.3019 -0.1688
3.9700 0.3513 -0.3207 -0.1882
3.9800 0.3523 -0.3394 -0.2076
3.9900 0.3532 -0.3579 -0.2268
4.0000 0.3539 -0.3762 -0.2460
4.0100 0.3544 -0.3944 -0.2651
4.0200 0.3547 -0.4125 -0.2840
