 t	 x	 y	 z	 w
0.0000 -0.0000 -0.0000 -0.0000 -0.0000
0.0100 0.0053 0.0006 0.0003 0.0001
0.0200 0.0176 0.0021 0.0009 0.0005
0.0300 0.0348 0.0043 0.0018 0.0010
0.0400 0.0560 0.0072 0.0030 0.0017
0.0500 0.0801 0.0106 0.0045 0.0025
0.0600 0.1067 0.0145 0.0062 0.0034
0.0700 0.1350 0.0188 0.0081 0.0044
0.0800 0.1647 0.0236 0.0102 0.0055
0.0900 0.1952 0.0287 0.0124 0.0067
0.1000 0.2263 0.0342 0.0148 0.0080
0.1100 0.2575 0.0400 0.0173 0.0094
0.1200 0.2886 0.0460 0.0200 0.0108
0.1300 0.3193 0.0523 0.0227 0.0122
0.1400 0.3494 0.0589 0.0256 0.0137
0.1500 0.3786 0.0656 0.0285 0.0152
0.1600 0.4068 0.0725 0.0315 0.0167
0.1700 0.4338 0.0796 0.0346 0.0182
0.1800 0.4596 0.0868 0.0377 0.0197
0.1900 0.4839 0.0941 0.0408 0.0212
0.2000 0.5068 0.1015 0.0440 0.0227
0.2100 0.5282 0.1090 0.0471 0.0241
0.2200 0.5480 0.1165 0.0503 0.0255
0.2300 0.5663 0.1241 0.0535 0.0269
0.2400 0.5830 0.1317 0.0566 0.0282
0.2500 0.5982 0.1394 0.0597 0.0295
0.2600 0.6120 0.1470 0.0628 0.0306
0.2700 0.6243 0.1546 0.0658 0.0318
0.2800 0.6353 0.1622 0.0688 0.0328
0.2900 0.6450 0.1697 0.0717 0.0338
0.3000 0.6535 0.1772 0.0745 0.0347
0.3100 0.6608 0.1846 0.0773 0.0355
0.3200 0.6671 0.1919 0.0800 0.0362
0.3300 0.6725 0.1991 0.0826 0.0368
0.3400 0.6770 0.2063 0.0851 0.0373
0.3500 0.6808 0.2133 0.0875 0.0378
0.3600 0.6839 0.2202 0.0899 0.0381
0.3700 0.6864 0.2270 0.0921 0.0384
0.3800 0.6883 0.2337 0.0942 0.0385
0.3900 0.6898 0.2402 0.0962 0.0386
0.4000 0.6910 0.2466 0.0980 0.0386
0.4100 0.6918 0.2528 0.0998 0.0385
0.4200 0.6924 0.2589 0.1014 0.0383
0.4300 0.6928 0.2649 0.1029 0.0380
0.4400 0.6930 0.2706 0.1044 0.0377
0.4500 0.6930 0.2762 0.1056 0.0372
0.4600 0.6930 0.2816 0.1068 0.0368
0.4700 0.6929 0.2869 0.1078 0.0362
0.4800 0.6928 0.2920 0.1088 0.0356
0.4900 0.6926 0.2969 0.1096 0.0349
0.5000 0.6924 0.3016 0.1103 0.0342
0.5100 0.6922 0.3062 0.1109 0.0335
0.5200 0.6920 0.3105 0.1114 0.0327
0.5300 0.6919 0.3147 0.1117 0.0319
0.5400 0.6917 0.3187 0.1120 0.0311
0.5500 0.6916 0.3226 0.1122 0.0303
0.5600 0.6914 0.3262 0.1123 0.0294
0.5700 0.6913 0.3297 0.1123 0.0286
0.5800 0.6912 0.3330 0.1122 0.0277
0.5900 0.6911 0.3361 0.1121 0.0269
0.6000 0.6910 0.3391 0.1119 0.0261
0.6100 0.6910 0.3418 0.1116 0.0254
0.6200 0.6909 0.3445 0.1113 0.0246
0.6300 0.6909 0.3469 0.1109 0.0239
0.6400 0.6908 0.3492 0.1105 0.0233
0.6500 0.6908 0.3514 0.1100 0.0227
0.6600 0.6908 0.3534 0.1096 0.0221
0.6700 0.6908 0.3552 0.1091 0.0216
0.6800 0.6907 0.3570 0.1086 0.0212
0.6900 0.6907 0.3586 0.1081 0.0208
0.7000 0.6907 0.3600 0.1076 0.0205
0.7100 0.6907 0.3614 0.1071 0.0203
0.7200 0.6907 0.3626 0.1067 0.0201
0.7300 0.6907 0.3637 0.1063 0.0199
0.7400 0.6907 0.3647 0.1059 0.0199
0.7500 0.6907 0.3657 0.1056 0.0199
0.7600 0.6907 0.3665 0.1054 0.0199
0.7700 0.6907 0.3673 0.1052 0.0200
0.7800 0.6908 0.3680 0.1051 0.0202
0.7900 0.6908 0.3686 0.1050 0.0204
0.8000 0.6908 0.3692 0.1051 0.0206
0.8100 0.6908 0.3698 0.1053 0.0208
0.8200 0.6908 0.3703 0.1055 0.0211
0.8300 0.6909 0.3708 0.1059 0.0214
0.8400 0.6909 0.3713 0.1063 0.0217
0.8500 0.6909 0.3717 0.1069 0.0220
0.8600 0.6909 0.3722 0.1076 0.0223
0.8700 0.6910 0.3727 0.1084 0.0226
0.8800 0.6910 0.3733 0.1093 0.0228
0.8900 0.6911 0.3738 0.1103 0.0231
0.9000 0.6911 0.3745 0.1115 0.0233
0.9100 0.6911 0.3751 0.1128 0.0235
0.9200 0.6912 0.3759 0.1141 0.0236
0.9300 0.6912 0.3767 0.1156 0.0237
0.9400 0.6913 0.3776 0.1172 0.0238
0.9500 0.6914 0.3786 0.1189 0.0238
0.9600 0.6914 0.3797 0.1207 0.0237
0.9700 0.6915 0.3810 0.1226 0.0236
0.9800 0.6916 0.3823 0.1246 0.0235
0.9900 0.6917 0.3838 0.1267 0.0232
1.0000 0.6917 0.3854 0.1288 0.0229
1.0100 0.6919 0.3872 0.1310 0.0226
1.0200 0.6920 0.3892 0.1333 0.0221
1.0300 0.6921 0.3913 0.1356 0.0216
1.0400 0.6922 0.3936 0.1380 0.0211
1.0500 0.6923 0.3960 0.1404 0.0204
1.0600 0.6925 0.3987 0.1428 0.0198
1.0700 0.6926 0.4015 0.1452 0.0190
1.0800 0.6927 0.4045 0.1477 0.0182
1.0900 0.6928 0.4077 0.1502 0.0174
1.1000 0.6929 0.4111 0.1526 0.0165
1.1100 0.6929 0.4147 0.1551 0.0156
1.1200 0.6929 0.4185 0.1575 0.0146
1.1300 0.6929 0.4225 0.1599 0.0136
1.1400 0.6927 0.4267 0.1622 0.0126
1.1500 0.6925 0.4311 0.1645 0.0115
1.1600 0.6921 0.4357 0.1668 0.0105
1.1700 0.6915 0.4404 0.1690 0.0094
1.1800 0.6908 0.4454 0.1711 0.0084
1.1900 0.6898 0.4505 0.1731 0.0073
1.2000 0.6885 0.4557 0.1750 0.0063
1.2100 0.6870 0.4612 0.1769 0.0054
1.2200 0.6851 0.4667 0.1786 0.0045
1.2300 0.6828 0.4725 0.1803 0.0036
1.2400 0.6801 0.4783 0.1818 0.0028
1.2500 0.6769 0.4843 0.1832 0.0021
1.2600 0.6732 0.4904 0.1845 0.0015
1.2700 0.6690 0.4965 0.1856 0.0010
1.2800 0.6642 0.5028 0.1866 0.0007
1.2900 0.6587 0.5091 0.1875 0.0005
1.3000 0.6526 0.5155 0.1883 0.0005
1.3100 0.6459 0.5220 0.1888 0.0006
1.3200 0.6385 0.5284 0.1893 0.0010
1.3300 0.6304 0.5349 0.1896 0.0015
1.3400 0.6216 0.5414 0.1897 0.0022
1.3500 0.6122 0.5479 0.1897 0.0030
1.3600 0.6022 0.5543 0.1895 0.0040
1.3700 0.5917 0.5608 0.1891 0.0050
1.3800 0.5806 0.5671 0.1886 0.0062
1.3900 0.5690 0.5734 0.1879 0.0074
1.4000 0.5571 0.5797 0.1871 0.0088
1.4100 0.5449 0.5858 0.1861 0.0102
1.4200 0.5325 0.5918 0.1849 0.0117
1.4300 0.5201 0.5978 0.1836 0.0133
1.4400 0.5077 0.6036 0.1821 0.0149
1.4500 0.4956 0.6092 0.1804 0.0166
1.4600 0.4837 0.6147 0.1786 0.0183
1.4700 0.4723 0.6201 0.1766 0.0200
1.4800 0.4615 0.6253 0.1745 0.0218
1.4900 0.4515 0.6303 0.1722 0.0236
1.5000 0.4424 0.6352 0.1697 0.0253
1.5100 0.4342 0.6399 0.1672 0.0271
1.5200 0.4271 0.6443 0.1644 0.0288
1.5300 0.4213 0.6486 0.1616 0.0305
1.5400 0.4167 0.6527 0.1586 0.0322
1.5500 0.4135 0.6566 0.1555 0.0339
1.5600 0.4116 0.6603 0.1522 0.0355
1.5700 0.4110 0.6637 0.1489 0.0370
1.5800 0.4118 0.6670 0.1454 0.0385
1.5900 0.4140 0.6700 0.1418 0.0399
1.6000 0.4173 0.6729 0.1382 0.0412
1.6100 0.4218 0.6755 0.1344 0.0424
1.6200 0.4274 0.6779 0.1306 0.0436
1.6300 0.4339 0.6802 0.1267 0.0446
1.6400 0.4412 0.6822 0.1227 0.0456
1.6500 0.4493 0.6840 0.1187 0.0465
1.6600 0.4579 0.6857 0.1146 0.0472
1.6700 0.4669 0.6871 0.1105 0.0479
1.6800 0.4763 0.6884 0.1063 0.0484
1.6900 0.4859 0.6895 0.1021 0.0489
1.7000 0.4956 0.6905 0.0979 0.0492
1.7100 0.5053 0.6912 0.0937 0.0494
1.7200 0.5148 0.6919 0.0895 0.0495
