 t	 x	 y	 z	 w	 q
0.0000 0.1657 0.3768 0.3153 0.1232 0.0190
0.0500 0.1654 0.3730 0.3080 0.1180 0.0177
0.1000 0.1643 0.3618 0.2866 0.1036 0.0144
0.1500 0.1627 0.3437 0.2537 0.0827 0.0100
0.2000 0.1604 0.3197 0.2128 0.0592 0.0057
0.2500 0.1575 0.2910 0.1683 0.0373 0.0027
0.3000 0.1541 0.2592 0.1248 0.0207 0.0016
0.3500 0.1503 0.2256 0.0863 0.0116 0.0025
0.4000 0.1460 0.1920 0.0564 0.0110 0.0048
0.4500 0.1413 0.1598 0.0370 0.0178 0.0078
0.5000 0.1365 0.1303 0.0291 0.0300 0.0107
0.5500 0.1314 0.1046 0.0321 0.0448 0.0126
0.6000 0.1263 0.0835 0.0446 0.0595 0.0134
0.6500 0.1211 0.0676 0.0642 0.0718 0.0131
0.7000 0.1161 0.0569 0.0880 0.0802 0.0120
0.7500 0.1112 0.0514 0.1136 0.0842 0.0105
0.8000 0.1066 0.0506 0.1383 0.0840 0.0091
0.8500 0.1023 0.0539 0.1603 0.0804 0.0081
0.9000 0.0984 0.0608 0.1784 0.0746 0.0075
0.9500 0.0950 0.0702 0.1919 0.0678 0.0074
1.0000 0.0921 0.0815 0.2006 0.0608 0.0076
1.0500 0.0899 0.0938 0.2047 0.0546 0.0079
1.1000 0.0882 0.1066 0.2048 0.0497 0.0081
1.1500 0.0872 0.1194 0.2012 0.0463 0.0080
1.2000 0.0868 0.1317 0.1946 0.0443 0.0077
1.2500 0.0871 0.1435 0.1855 0.0437 0.0072
1.3000 0.0881 0.1545 0.1744 0.0439 0.0066
1.3500 0.0897 0.1649 0.1617 0.0445 0.0062
1.4000 0.0919 0.1748 0.1482 0.0447 0.0061
1.4500 0.0946 0.1841 0.1343 0.0442 0.0066
1.5000 0.0979 0.1930 0.1209 0.0429 0.0074
1.5500 0.1017 0.2015 0.1085 0.0408 0.0085
1.6000 0.1059 0.2094 0.0979 0.0386 0.0094
1.6500 0.1103 0.2167 0.0894 0.0369 0.0100
1.7000 0.1151 0.2229 0.0832 0.0365 0.0101
1.7500 0.1200 0.2278 0.0792 0.0379 0.0095
1.8000 0.1249 0.2310 0.0771 0.0414 0.0085
1.8500 0.1299 0.2320 0.0763 0.0465 0.0072
1.9000 0.1347 0.2304 0.0764 0.0525 0.0058
1.9500 0.1394 0.2261 0.0768 0.0583 0.0046
2.0000 0.1438 0.2187 0.0773 0.0627 0.0036
2.0500 0.1479 0.2084 0.0780 0.0648 0.0031
2.1000 0.1516 0.1954 0.0791 0.0641 0.0032
2.1500 0.1548 0.1800 0.0812 0.0605 0.0038
2.2000 0.1575 0.1627 0.0850 0.0544 0.0050
2.2500 0.1597 0.1444 0.0911 0.0466 0.0064
2.3000 0.1612 0.1256 0.0998 0.0378 0.0079
2.3500 0.1621 0.1074 0.1110 0.0291 0.0091
2.4000 0.1624 0.0905 0.1241 0.0212 0.0099
2.4500 0.1620 0.0757 0.1380 0.0151 0.0101
2.5000 0.1610 0.0635 0.1511 0.0113 0.0096
2.5500 0.1594 0.0545 0.1617 0.0105 0.0086
2.6000 0.1572 0.0488 0.1682 0.0130 0.0073
2.6500 0.1545 0.0464 0.1694 0.0191 0.0058
2.7000 0.1513 0.0471 0.1646 0.0283 0.0043
2.7500 0.1476 0.0505 0.1538 0.0398 0.0030
2.8000 0.1436 0.0559 0.1377 0.0524 0.0021
2.8500 0.1393 0.0626 0.1181 0.0642 0.0017
2.9000 0.1348 0.0698 0.0967 0.0733 0.0020
2.9500 0.1302 0.0769 0.0759 0.0779 0.0031
3.0000 0.1255 0.0832 0.0577 0.0771 0.0050
3.0500 0.1208 0.0881 0.0438 0.0706 0.0074
3.1000 0.1163 0.0913 0.0351 0.0594 0.0097
3.1500 0.1119 0.0927 0.0321 0.0455 0.0114
3.2000 0.1079 0.0924 0.0342 0.0313 0.0119
3.2500 0.1041 0.0908 0.0405 0.0191 0.0112
3.3000 0.1008 0.0884 0.0496 0.0110 0.0093
3.3500 0.0980 0.0857 0.0603 0.0079 0.0067
3.4000 0.0956 0.0834 0.0714 0.0098 0.0043
3.4500 0.0938 0.0823 0.0821 0.0156 0.0026
3.5000 0.0926 0.0829 0.0921 0.0238 0.0019
