 t	 x	 y	 z	 w	 q
0.0000 0.1630 0.3580 0.3079 0.1420 0.0291
0.0037 0.1630 0.3579 0.3079 0.1420 0.0291
0.0075 0.1630 0.3579 0.3077 0.1418 0.0291
0.0113 0.1630 0.3578 0.3075 0.1416 0.0290
0.0150 0.1630 0.3577 0.3072 0.1414 0.0289
0.0187 0.1630 0.3575 0.3069 0.1411 0.0288
0.0225 0.1630 0.3574 0.3065 0.1407 0.0287
0.0263 0.1630 0.3572 0.3060 0.1403 0.0286
0.0300 0.1630 0.3570 0.3056 0.1399 0.0284
0.0338 0.1630 0.3569 0.3051 0.1395 0.0283
0.0375 0.1630 0.3567 0.3047 0.1391 0.0282
0.0413 0.1630 0.3565 0.3043 0.1387 0.0281
0.0450 0.1630 0.3564 0.3039 0.1384 0.0280
0.0488 0.1630 0.3563 0.3037 0.1382 0.0279
0.0525 0.1630 0.3562 0.3034 0.1380 0.0278
0.0562 0.1630 0.3561 0.3033 0.1378 0.0278
0.0600 0.1630 0.3561 0.3032 0.1378 0.0277
0.0638 0.1630 0.3561 0.3033 0.1378 0.0277
0.0675 0.1630 0.3562 0.3034 0.1379 0.0278
0.0713 0.1630 0.3562 0.3035 0.1380 0.0278
0.0750 0.1630 0.3563 0.3037 0.1382 0.0279
0.0788 0.1630 0.3564 0.3040 0.1385 0.0280
0.0825 0.1630 0.3565 0.3043 0.1387 0.0281
0.0863 0.1630 0.3566 0.3046 0.1390 0.0281
0.0900 0.1630 0.3568 0.3049 0.1393 0.0282
0.0938 0.1630 0.3569 0.3052 0.1395 0.0283
0.0975 0.1630 0.3570 0.3054 0.1397 0.0284
0.1013 0.1630 0.3570 0.3056 0.1399 0.0284
0.1050 0.1630 0.3571 0.3057 0.1400 0.0285
0.1088 0.1630 0.3571 0.3057 0.1400 0.0285
0.1125 0.1630 0.3571 0.3056 0.1399 0.0285
0.1162 0.1630 0.3570 0.3055 0.1398 0.0284
0.1200 0.1630 0.3569 0.3053 0.1396 0.0283
0.1237 0.1630 0.3568 0.3049 0.1393 0.0282
0.1275 0.1630 0.3566 0.3046 0.1389 0.0281
0.1313 0.1630 0.3564 0.3041 0.1385 0.0280
0.1350 0.1630 0.3562 0.3036 0.1381 0.0278
0.1388 0.1630 0.3560 0.3031 0.1376 0.0277
0.1425 0.1630 0.3558 0.3025 0.1371 0.0275
0.1463 0.1630 0.3556 0.3020 0.1366 0.0274
0.1500 0.1630 0.3554 0.3015 0.1362 0.0272
0.1538 0.1630 0.3552 0.3010 0.1358 0.0271
0.1575 0.1630 0.3551 0.3006 0.1354 0.0269
0.1612 0.1630 0.3549 0.3003 0.1351 0.0269
0.1650 0.1630 0.3548 0.3000 0.1349 0.0268
0.1687 0.1630 0.3548 0.2999 0.1348 0.0267
0.1725 0.1630 0.3548 0.2999 0.1348 0.0267
0.1762 0.1630 0.3548 0.3000 0.1349 0.0268
0.1800 0.1630 0.3549 0.3002 0.1350 0.0268
0.1837 0.1630 0.3550 0.3005 0.1353 0.0269
0.1875 0.1630 0.3552 0.3009 0.1357 0.0271
0.1913 0.1630 0.3553 0.3014 0.1361 0.0272
0.1950 0.1630 0.3556 0.3019 0.1366 0.0274
0.1988 0.1630 0.3558 0.3025 0.1372 0.0276
0.2025 0.1630 0.3560 0.3032 0.1378 0.0277
0.2062 0.1630 0.3563 0.3038 0.1384 0.0279
0.2100 0.1630 0.3566 0.3045 0.1389 0.0281
0.2137 0.1630 0.3568 0.3051 0.1395 0.0283
0.2175 0.1630 0.3570 0.3057 0.1400 0.0285
0.2213 0.1630 0.3572 0.3062 0.1405 0.0286
0.2250 0.1630 0.3574 0.3067 0.1409 0.0288
0.2288 0.1630 0.3576 0.3070 0.1412 0.0289
0.2325 0.1630 0.3577 0.3073 0.1415 0.0290
0.2363 0.1630 0.3578 0.3075 0.1417 0.0290
0.2400 0.1630 0.3578 0.3076 0.1417 0.0291
0.2437 0.1630 0.3578 0.3076 0.1418 0.0291
0.2475 0.1630 0.3578 0.3076 0.1417 0.0290
