 i	 j	 H	 Lc	 L0	 L1	 L2	 L3	
0.0000 0.0000 0.4000 0.0000 -0.0000 0.0000 -0.0000 0.0000
1.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000
2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000
5.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000
6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 -0.0000 0.0000
8.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000
9.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000
10.0000 0.0000 -0.0000 0.0000 0.5622 -0.5909 0.0800 -0.0514
11.0000 0.0000 0.0000 -0.0000 0.0234 -0.0255 -0.7025 0.7046
12.0000 0.0000 -0.0000 -0.0000 -0.4282 0.3876 0.0102 0.0305
13.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
25.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000
26.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000
