 x	 y	 z
0.0000 0.0000 1.0000
0.0463 -0.0265 0.9984
0.0925 -0.0526 0.9936
0.1387 -0.0782 0.9856
0.1846 -0.1033 0.9745
0.2300 -0.1278 0.9603
0.2749 -0.1516 0.9430
0.3191 -0.1747 0.9226
0.3623 -0.1969 0.8993
0.4046 -0.2183 0.8732
0.4456 -0.2388 0.8442
0.4853 -0.2584 0.8126
0.5236 -0.2770 0.7783
0.5603 -0.2946 0.7416
0.5952 -0.3111 0.7025
0.6283 -0.3266 0.6611
0.6593 -0.3410 0.6176
0.6883 -0.3543 0.5722
0.7151 -0.3664 0.5249
0.7396 -0.3774 0.4759
0.7617 -0.3872 0.4254
0.7813 -0.3959 0.3736
0.7983 -0.4034 0.3205
0.8128 -0.4097 0.2665
0.8246 -0.4148 0.2115
0.8336 -0.4187 0.1559
0.8399 -0.4214 0.0998
0.8435 -0.4229 0.0434
0.8442 -0.4233 -0.0131
0.8422 -0.4224 -0.0696
0.8373 -0.4203 -0.1259
0.8297 -0.4170 -0.1818
0.8194 -0.4126 -0.2371
0.8064 -0.4069 -0.2917
0.7907 -0.4000 -0.3453
0.7725 -0.3920 -0.3978
0.7517 -0.3828 -0.4490
0.7285 -0.3724 -0.4988
0.7030 -0.3609 -0.5470
0.6751 -0.3482 -0.5935
0.6452 -0.3345 -0.6380
0.6132 -0.3196 -0.6806
0.5792 -0.3036 -0.7209
0.5435 -0.2866 -0.7589
0.5060 -0.2685 -0.7945
0.4671 -0.2495 -0.8276
0.4267 -0.2294 -0.8580
0.3851 -0.2085 -0.8857
0.3424 -0.1867 -0.9105
0.2987 -0.1641 -0.9324
0.2542 -0.1407 -0.9514
0.2090 -0.1165 -0.9673
0.1633 -0.0918 -0.9801
0.1173 -0.0664 -0.9897
0.0711 -0.0405 -0.9962
0.0248 -0.0142 -0.9995
-0.0214 0.0124 -0.9997
-0.0674 0.0393 -0.9966
-0.1129 0.0664 -0.9903
-0.1579 0.0936 -0.9809
-0.2023 0.1208 -0.9683
-0.2458 0.1478 -0.9526
-0.2884 0.1747 -0.9339
-0.3299 0.2013 -0.9122
-0.3703 0.2274 -0.8876
-0.4093 0.2530 -0.8601
-0.4469 0.2780 -0.8299
-0.4830 0.3023 -0.7970
-0.5175 0.3257 -0.7616
-0.5502 0.3482 -0.7237
-0.5812 0.3697 -0.6835
-0.6102 0.3901 -0.6412
-0.6373 0.4092 -0.5968
-0.6623 0.4271 -0.5504
-0.6852 0.4436 -0.5024
-0.7060 0.4586 -0.4527
-0.7245 0.4721 -0.4015
-0.7407 0.4840 -0.3491
-0.7547 0.4943 -0.2956
-0.7663 0.5028 -0.2411
-0.7755 0.5096 -0.1858
-0.7823 0.5147 -0.1300
-0.7866 0.5180 -0.0737
-0.7886 0.5194 -0.0172
-0.7881 0.5191 0.0394
-0.7852 0.5169 0.0958
-0.7799 0.5129 0.1519
-0.7721 0.5072 0.2076
-0.7620 0.4997 0.2625
-0.7495 0.4904 0.3167
-0.7346 0.4795 0.3698
-0.7175 0.4670 0.4217
-0.6981 0.4529 0.4723
-0.6765 0.4373 0.5214
-0.6528 0.4203 0.5688
-0.6269 0.4019 0.6144
-0.5991 0.3822 0.6580
-0.5693 0.3614 0.6995
-0.5376 0.3395 0.7388
-0.5042 0.3166 0.7757
-0.4691 0.2929 0.8102
-0.4324 0.2683 0.8420
-0.3942 0.2430 0.8712
-0.3546 0.2172 0.8975
-0.3138 0.1909 0.9210
-0.2718 0.1642 0.9416
-0.2288 0.1373 0.9591
-0.1850 0.1101 0.9736
-0.1403 0.0829 0.9849
