 t	 x	 y	 z
0.0000 0.0000 0.0000 1.0000
0.0100 0.0479 -0.0303 0.9852
0.0200 0.0945 -0.0601 0.9675
0.0300 0.1398 -0.0893 0.9471
0.0400 0.1837 -0.1179 0.9240
0.0500 0.2261 -0.1457 0.8984
0.0600 0.2669 -0.1728 0.8705
0.0700 0.3059 -0.1990 0.8402
0.0800 0.3431 -0.2243 0.8079
0.0900 0.3785 -0.2486 0.7735
0.1000 0.4119 -0.2719 0.7373
0.1100 0.4433 -0.2941 0.6994
0.1200 0.4726 -0.3152 0.6600
0.1300 0.4998 -0.3351 0.6191
0.1400 0.5248 -0.3539 0.5770
0.1500 0.5477 -0.3714 0.5338
0.1600 0.5683 -0.3876 0.4896
0.1700 0.5867 -0.4025 0.4446
0.1800 0.6028 -0.4162 0.3989
0.1900 0.6166 -0.4285 0.3527
0.2000 0.6282 -0.4394 0.3062
0.2100 0.6375 -0.4490 0.2594
0.2200 0.6446 -0.4573 0.2125
0.2300 0.6494 -0.4642 0.1657
0.2400 0.6521 -0.4698 0.1191
0.2500 0.6525 -0.4740 0.0729
0.2600 0.6508 -0.4768 0.0271
0.2700 0.6470 -0.4784 -0.0181
0.2800 0.6411 -0.4787 -0.0626
0.2900 0.6333 -0.4777 -0.1062
0.3000 0.6234 -0.4754 -0.1489
0.3100 0.6117 -0.4720 -0.1905
0.3200 0.5981 -0.4673 -0.2309
0.3300 0.5828 -0.4615 -0.2700
0.3400 0.5658 -0.4546 -0.3078
0.3500 0.5472 -0.4467 -0.3441
0.3600 0.5271 -0.4377 -0.3788
0.3700 0.5054 -0.4278 -0.4120
0.3800 0.4825 -0.4169 -0.4434
0.3900 0.4582 -0.4052 -0.4730
0.4000 0.4328 -0.3926 -0.5009
0.4100 0.4063 -0.3793 -0.5268
0.4200 0.3787 -0.3653 -0.5508
0.4300 0.3503 -0.3507 -0.5728
0.4400 0.3210 -0.3354 -0.5928
0.4500 0.2910 -0.3197 -0.6108
0.4600 0.2605 -0.3034 -0.6267
0.4700 0.2293 -0.2868 -0.6405
0.4800 0.1978 -0.2699 -0.6522
0.4900 0.1660 -0.2527 -0.6619
0.5000 0.1339 -0.2352 -0.6694
0.5100 0.1017 -0.2176 -0.6749
0.5200 0.0694 -0.2000 -0.6782
0.5300 0.0373 -0.1823 -0.6796
0.5400 0.0052 -0.1646 -0.6789
0.5500 -0.0266 -0.1470 -0.6762
0.5600 -0.0580 -0.1296 -0.6715
0.5700 -0.0890 -0.1124 -0.6649
0.5800 -0.1196 -0.0955 -0.6565
0.5900 -0.1495 -0.0789 -0.6462
0.6000 -0.1788 -0.0626 -0.6342
0.6100 -0.2073 -0.0468 -0.6205
0.6200 -0.2350 -0.0314 -0.6051
0.6300 -0.2618 -0.0166 -0.5882
0.6400 -0.2876 -0.0023 -0.5698
0.6500 -0.3125 0.0114 -0.5500
0.6600 -0.3362 0.0244 -0.5288
