T,M,a,b,c,d,e,f,g,h,i,j
0.0,0.09619922359863475,0.08691205151482284,0.08417779870837189,0.06807788389794073,0.09453436009491317,0.09390687486463467,0.08893608034711664,0.10186469141738269,0.12791515271154336,0.08758110521818069,0.1280862372114408
0.001,0.09445607627886063,0.08422604451216392,0.08050317424067005,0.06778844711341098,0.09281392397835642,0.09275695398739775,0.08626621345606245,0.10078726202763139,0.1256988590927426,0.08575959104671155,0.12796029333345943
0.002,0.0973684143373544,0.08583439246626645,0.08148563307781032,0.07097590736296017,0.09571166253977131,0.09677517429966392,0.08779577761430157,0.10548047843735886,0.12856781847076643,0.08770078806797715,0.13335651103666762
0.003,0.09638553173496725,0.08463603235504608,0.08000791733863155,0.07062036999906546,0.09475393668078175,0.09598996260778442,0.08656384366408465,0.10472057307798005,0.12721651755923852,0.0867407079296233,0.13260545613743674
0.004,0.09916694350576478,0.08626453250635502,0.08102186620686086,0.07371423634653085,0.09748466975145648,0.10010694687222027,0.08791097097328787,0.10965041903024875,0.12957749808500552,0.08841274132093196,0.13752555396475025
0.005,0.09941391277614525,0.08605238854664488,0.08043013475038202,0.07448609530031675,0.09771668825266361,0.10101449195231121,0.08750931137616175,0.1108970903232448,0.12929201853920352,0.08825248634497573,0.13848842237554826
0.006,0.1009032034241665,0.08670496521821064,0.08044623506546317,0.07658202207200165,0.09911494187183678,0.10392390992814216,0.08770896223220515,0.11459488365900417,0.12983908999991373,0.08872503124638836,0.14139199294849913
0.007,0.09175037824271615,0.0799402402397909,0.07489931051512094,0.06801573476165101,0.09038293097432037,0.09082907686298103,0.08220026559014093,0.0988134456596868,0.12200920908345131,0.0831231343835866,0.12729043435643156
0.008,0.09555256714289788,0.08250832811434516,0.07668559620204224,0.07189853521969769,0.0940225783910516,0.09647609751452157,0.08412721404573248,0.1055627719954681,0.12525948512745277,0.08540713066612027,0.13357793415254698
0.009000000000000001,0.09753976624201185,0.08364141054121427,0.07707201675893405,0.07435717593619928,0.09583943493318464,0.10018464225948431,0.08459314416039398,0.11021848835047438,0.12619910461182593,0.08614570556774126,0.1371465393006665
0.01,0.09415374523597105,0.08103559558258261,0.07494285110178978,0.07129296781102235,0.0926883820289805,0.09524797414025471,0.08256632605000142,0.10428487383432195,0.12333373480349963,0.08410470257295694,0.13204004443430067
0.011,0.09650937131814322,0.08243041867987616,0.07535328516884754,0.0742148417684933,0.0947516139179681,0.09992486291032976,0.08296944602850731,0.11019340007129591,0.12420775655221211,0.08482809842121103,0.13621998966269083
0.012,0.09658856767245146,0.08211903306651513,0.07437472514477539,0.07507746446303742,0.09462140952406017,0.10152755775214323,0.08195225155126284,0.11253209481236459,0.12283167316760446,0.08399855478130014,0.13685091246145115
0.013000000000000001,0.09505557796507827,0.0808818345136858,0.07333987126346664,0.07373676936513746,0.0932332478246134,0.0992413564212935,0.0810135311109702,0.10976933506257208,0.12158622286348092,0.08312526040491619,0.13462835082064623
0.014,0.09464717351529883,0.0797937501177548,0.07052168437521966,0.07540762292224845,0.0920616745966969,0.10313217173493633,0.07781693302630799,0.11565866361492688,0.11691811925671924,0.08019047169541438,0.1349706438127637
0.015,0.09210338743604186,0.07740908751176134,0.06766530757402389,0.07414830230702496,0.08926256042804626,0.1018158913501297,0.0747520497712797,0.11480517413407565,0.11237834544216407,0.07720092227696362,0.13159623356494943
0.016,0.08898896163093782,0.0745902259007406,0.06449489041430956,0.07235513327028464,0.08590684076851463,0.09971921571672204,0.07132863220387675,0.11303293936905945,0.10730583211979239,0.07383148802059991,0.12732441852547827
0.017,0.08687309988762695,0.07273871079159344,0.06257797142714305,0.07091242757869898,0.08373037827004548,0.09775880139006476,0.06931522055087913,0.11100637496015409,0.10440624616286653,0.07190226843230818,0.12438259931251594
0.018000000000000002,0.08648937403199505,0.0724609582265715,0.0624625516299433,0.07039692590695679,0.08349259200250425,0.09667918015647425,0.06934051892601656,0.10951693564237597,0.10462373442037154,0.07206328849077936,0.12385705491795695
0.019,0.09042891028969716,0.07627811455284639,0.06761138123595767,0.07172645506026865,0.08852287532868874,0.0960105721909118,0.07554018883155933,0.10672751357043497,0.11435780536826368,0.07848636203984327,0.129027834718197
0.02,0.08955378889584227,0.07556189952260528,0.06706815735563976,0.07095873044763634,0.08779995335518498,0.09453757342376734,0.07510204593754877,0.10492272312434103,0.11377271120179966,0.07807740613693714,0.12773668845296238
0.021,0.08827568023044055,0.07440812167792799,0.0656336991531622,0.0702547796219194,0.08635972749902987,0.09391768402142331,0.07353333731899059,0.10451247707365163,0.11150034209826498,0.07658525245185976,0.12605138138817573
0.022,0.08804027257426474,0.07448589802779498,0.06713015710060555,0.069123369390715,0.08719911525421431,0.08963726769334279,0.07582081310611954,0.09841745644906835,0.11488131236228794,0.0786464154554799,0.125060920903019
0.023,0.08364826587737242,0.07099176816160097,0.06571616768873756,0.06520109528260415,0.08442125805877287,0.07991242740162435,0.07550978014852361,0.08628006227377977,0.11356583041194168,0.0772828147726724,0.11760145457346688
0.024,0.07334086516933659,0.062118014734249105,0.05883730628963291,0.058280148343299476,0.07620831151958979,0.06477677885155447,0.07032570097890317,0.06882912626554566,0.10316304867359283,0.06940781643456229,0.10146239960243619
0.025,0.08126511414867822,0.06908039706851515,0.06426439913318927,0.06351818326359521,0.0827660893470466,0.07579616690249324,0.07443914839781662,0.08121158329656758,0.11209925551998479,0.0758385829485333,0.11363733560904044
0.026000000000000002,0.07755750541837708,0.06583203086420619,0.061761226542972836,0.06112751598722144,0.07987204662910707,0.07041546583961428,0.07248453757256618,0.075119418076313,0.10820564528261517,0.07290523990481218,0.10785192748434247
0.027,0.07822444606020586,0.06644999245287009,0.06207453055422757,0.061607518066373934,0.08033709834523795,0.07165133239851035,0.07261285523824235,0.07657611041024115,0.10870026116027393,0.07334038261583425,0.10889437936024693
0.028,0.08147858346943485,0.06937087829566962,0.06380606523142562,0.06381575259838895,0.0826065128567886,0.07725924020331548,0.0736866170061532,0.08306848474120115,0.11151346851324279,0.07557139357142345,0.11408742167673946
0.029,0.07863725340339048,0.06685775943697514,0.06205986376869921,0.06196759669323715,0.08056774220496526,0.07271318729730192,0.07241712846945875,0.07787100626701865,0.10884786312664352,0.07349831191747347,0.10957207485213172
0.03,0.07920859611806425,0.06740262428521615,0.06221143186778799,0.06237029458689164,0.08084933655414844,0.07402844646033097,0.07237168993071541,0.07944591978269233,0.1090941745729257,0.07378432455165168,0.11052771858828214
0.031,0.0791609854523557,0.06738944611426767,0.061988051120618115,0.06237428914011278,0.0806847197650194,0.07435378862306019,0.07206601656305867,0.0798921624559264,0.10874452142559865,0.07360694688184327,0.11050991243405178
0.032,0.07397900696765103,0.06266552410533965,0.05872347183581461,0.05934043805006067,0.07720843954053014,0.06604883398585837,0.0698764572292166,0.07049162410420651,0.10367367404122729,0.06954313880015589,0.1022184679841005
0.033,0.07207588652544747,0.060917628751359254,0.05730801426930876,0.05838524209073681,0.07586141540542146,0.06346280971254437,0.06883127795800342,0.06767184417788746,0.1013389448128994,0.06778853498506232,0.09919315309125148
0.034,0.07087677969509745,0.059818649690247805,0.05637305360240463,0.0578301702139104,0.07501714116620833,0.06193448753433978,0.06812101479890253,0.06602847658462369,0.09975321028119366,0.06663001031430305,0.09726158276484059
0.035,0.0685302190933171,0.05759491434632019,0.05453845427443044,0.05683833973429697,0.07345464283980013,0.05884081880321146,0.06686936687942063,0.06268698364460068,0.09668756746810686,0.06431146180524727,0.09347964113773621
0.036000000000000004,0.06534170768704031,0.0544633107016686,0.05188016359845338,0.05576563955154529,0.07146849224415486,0.05479689184666375,0.0652161012978495,0.05835891908646529,0.0922652177708474,0.060957120910271445,0.08824521986248346
0.037,0.06638981012910414,0.05556204420805427,0.052785556299828174,0.056082003545917025,0.07212172196124705,0.0562236822463828,0.06562386037511647,0.05989973511672586,0.09364397225219029,0.06206707434941794,0.0898884509361616
0.038,0.06601466079419024,0.055225380792191636,0.05247059642232166,0.05596671633610445,0.07189165012045523,0.05585485211777208,0.06535213382927535,0.059512791670533916,0.0930009061781199,0.061664335618803745,0.08920724485632464
0.039,0.06336018464671811,0.05246438229917749,0.05015319749074343,0.05543329230293409,0.07051473223565818,0.05254658514653837,0.06411417106554573,0.05597126126913177,0.08903983796150217,0.05873277520277953,0.08463161149317033
0.04,0.06090935318392736,0.0496173028846541,0.04781230867511521,0.05561829553102188,0.06968454901008242,0.04973176269672519,0.06322262918305599,0.052819161141312854,0.08472942397936872,0.05601455251944565,0.0798435462184916
0.041,0.06064286673448247,0.04933470618413577,0.04759844382863915,0.05570192978181421,0.06963374005600304,0.0495428490825322,0.06312191725736288,0.05251340769839058,0.08403451412673263,0.055804393678690944,0.0791427656505233
0.042,0.0604921656077206,0.04919891174771801,0.04750426760794674,0.05575388582681157,0.0696167534869101,0.049471654208682714,0.06305180417484318,0.05235221054920802,0.08357311028905912,0.05570974607368345,0.07868931211234309
0.043000000000000003,0.06005696983398388,0.0486704338291063,0.047089681698124164,0.056063571980645044,0.06959243009138594,0.04913822707771093,0.06303415614906932,0.051752598941404826,0.08232520068728771,0.0554678451360181,0.07743555274908648
0.044,0.05976972840234709,0.048344780258387565,0.046815405574874736,0.056414467648489786,0.069615883241398,0.048991007752568316,0.06311667272424809,0.05130256215376594,0.08123523362037627,0.05547673045395507,0.07638454059540706
0.045,0.05954635669371332,0.04813811369594029,0.04655494475769645,0.05706198790656042,0.06971417559894705,0.048994117626587064,0.06344220811888351,0.050792542617853265,0.0798119180695464,0.05587507318977075,0.075078485355348
0.046,0.05973964574618033,0.04835058493527311,0.046939784043078636,0.056551149450909,0.06980386575309255,0.04908725483170712,0.06308789556828565,0.051271205179552526,0.08082614963271728,0.0554885757222679,0.07598999234491954
0.047,0.05962496742180625,0.04827947250455933,0.04683424958328253,0.05685074628633263,0.0698515588639792,0.049112588391866,0.06322510862697062,0.051026313500604936,0.08007408454644954,0.05568307159445318,0.07531248031956467
0.048,0.05963169687912362,0.048357830953206116,0.04695173208639225,0.05661018774633808,0.06981134169319736,0.04914299749571388,0.0630247708664885,0.05115482440821295,0.0802477206407492,0.05553646052620531,0.07547910237473249
0.049,0.05957101167509393,0.04836562903002739,0.046942301495750294,0.05663799612994552,0.06979587975359369,0.049166240571453856,0.06299625230523276,0.05108477844722703,0.07993785182266544,0.05557211722729677,0.07521106996774668
