t,a,b,c,d
0.0,-0.10727115273783874,-0.0509331201681555,0.09707459695273257,-0.028103703707469507
0.001,-0.12329394875848651,-0.027574065853848,0.003750419926977222,-0.04433415343284061
0.002,-0.11554567129444282,-0.09436370856120094,-0.020893349942727624,-0.06122949498894745
0.003,-0.21010604661942442,-0.07224606193093594,-0.026732523378980078,-0.06600230355560682
0.004,-0.10517345548386665,-0.13229313466884546,-0.029993358626390132,0.0013511036826063805
0.005,0.004716062612769231,-0.13476789584862392,0.001517419301049816,-0.024851616322268483
0.006,0.0036332880755239674,-0.08051847959623828,-0.06794103445652339,-0.02861816439630338
0.007,0.0351221792957476,-0.0192340025988394,0.00730729163228272,0.021268074417758576
0.008,0.11282363259169656,0.0646043917761158,0.10273901859825274,0.07526375796136062
0.009000000000000001,0.08689807379737088,-0.08748327601117462,0.1797709726323914,0.11277008072765474
0.01,0.07418661366322161,-0.16860505637734033,0.15023431914880175,0.15263952180543788
0.011,0.09553127271120612,-0.26794197265734804,0.16071519600423123,0.04495730766707251
0.012,0.17702482767147604,-0.23100556139758044,0.25099039972114223,0.07192720402284561
0.013000000000000001,0.08846190409210894,-0.25161792476547606,0.33841558233663827,0.14916658663020388
0.014,0.018951016073572316,-0.19531228461098252,0.42291563865675885,0.2299331125056482
0.015,0.03348701257269035,-0.26259037685821185,0.3868055707292054,0.26286655853594915
0.016,0.06924701853453974,-0.23824101481386772,0.34001017747377943,0.32109922743915625
0.017,-0.006304980952112384,-0.26684436830754277,0.2692328416552244,0.43599636015095555
0.018000000000000002,-0.09376139852105489,-0.14025010977197416,0.17026261022933442,0.2960558741705954
0.019,-0.13273124322013052,-0.027366033770836844,0.23389172740593195,0.24643452936188456
0.02,-0.17526586515592613,0.07628592330292987,0.27470927441496157,0.21568588942607292
0.021,-0.23199027970156336,0.04704533571360577,0.17787929526979962,0.1741022159396937
0.022,-0.20756731666437125,0.074616993822533,0.261829438014167,0.2995785569197413
0.023,-0.3638263124791121,0.1378139072824706,0.32307777059556086,0.281983900030066
0.024,-0.45585602770800976,0.1314803358911388,0.4263823828354865,0.31231034313389544
0.025,-0.43077888975097645,0.1642422225996406,0.4028634690661526,0.3146702100157244
0.026000000000000002,-0.35669576820429755,0.33587705833393966,0.4381069284144473,0.31892463969744056
0.027,-0.40323280852845744,0.3608429028305637,0.4665319772553347,0.35681424543034845
0.028,-0.393950419827521,0.36535302364735167,0.41636609553250076,0.3304102079994703
0.029,-0.3454253902980516,0.36324630041828976,0.48969300652293535,0.32475054012953947
0.03,-0.25632842069532485,0.4052218475816717,0.5400808501166465,0.3436172484646397
0.031,-0.28957979522535576,0.4056788501280837,0.509467191972951,0.24618946529358623
0.032,-0.3400658777214155,0.41851562878548404,0.4846324367509488,0.1039345323880462
0.033,-0.3262784309844303,0.39520931118661984,0.4582283964483381,0.0823456810659936
0.034,-0.24203319268571874,0.4197461889894932,0.539187540164288,0.019677929428873503
0.035,-0.23393156259728304,0.48355123273729866,0.5360395077199362,0.02179074792593469
0.036000000000000004,-0.09848090148622131,0.5150160407804586,0.4984684984947716,-0.04352153508834397
0.037,-0.2384466641103102,0.4688502076853406,0.5263800866459687,-0.05577096219845207
0.038,-0.20430641870408428,0.4540902010178935,0.5575623349518821,-0.11032873107741145
0.039,-0.16967065031903894,0.5156954450575221,0.5627025997994216,-0.11544310753159778
0.04,-0.2908386197601855,0.5014332970223747,0.5414402832107349,-0.06395686898662395
0.041,-0.25845126591267115,0.5205399338737645,0.5086829157640372,-0.04043508432776409
0.042,-0.21734446762743204,0.46738159588068057,0.5036699145597323,-0.06168198308867445
0.043000000000000003,-0.21787075345841606,0.48824289752497163,0.5120741087492573,-0.09811221660018243
0.044,-0.17756740022497997,0.48472399626823964,0.4487350244598045,-0.13633607130722086
0.045,-0.17019234250538326,0.44879269965452706,0.44340831106765355,-0.2103991152712873
0.046,-0.25552506827012844,0.4477601277138221,0.3891276787711879,-0.15940837018717793
0.047,-0.2974528859772936,0.44621956886698727,0.3918045795771202,-0.09870738021753792
