t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.0,0.06034111274730726,0.06714653971822092,0.030095879584169483,0.07205870893755188,0.050616673652202814,0.04659344273596076,0.06749001705730814,0.052022049198359406,0.07514782747667198,0.07787934816383393,0.04822600838313023,0.0436380149050366,0.08850948906411955,0.08230286491804911,0.06552114018135581,0.07241088327672218
0.001,0.05453289563713991,0.06223520469199844,0.03299367485807178,0.08101007894684596,0.042650641316262373,0.04027862140557553,0.06964221516513255,0.05500969359973025,0.07177128051693066,0.0761641323815464,0.05585659626076403,0.051649103779778875,0.07902195380629942,0.07522048020773592,0.07136366572297903,0.08059976170320898
0.002,0.049349379741734804,0.05882150467899883,0.030842403656401576,0.07923269544901734,0.04426581071146398,0.043522051426465536,0.07471443484294125,0.06147888384575527,0.0634593692589542,0.07031157865085687,0.05130380802081455,0.049497406262621356,0.08031491633792512,0.07950871422223689,0.07513512993529077,0.08824191295852166
0.003,0.04440041151428056,0.05357957035082107,0.028587194779897834,0.07453738209124405,0.037287076559861916,0.037118784033036395,0.0651224193092725,0.05431413805187338,0.06974115118982882,0.07808103620073663,0.05820692053823128,0.0567433023694917,0.08322387726630402,0.0832018311956405,0.08042979706451957,0.09542510748495962
0.004,0.0512323415075743,0.054349084486237084,0.032280491952454166,0.07408845964373664,0.04839604636353215,0.04266099428350377,0.0830569027143138,0.061348951306714715,0.06384764315461815,0.06175573343790247,0.052301357681717946,0.04399832080133646,0.0869775050898721,0.07578397236356484,0.08258326337722054,0.0853389318357008
0.005,0.05783156822291057,0.06425524540542847,0.033405209168500094,0.08065849993708715,0.05630772336694505,0.05193479106898711,0.0889853278049002,0.06897966633162604,0.05730991921263597,0.05832749127399695,0.04282322266311528,0.03800489619201361,0.08082233105770392,0.07396964004191692,0.07008889034215472,0.07629557791007807
0.006,0.056986394827375414,0.06291680041902883,0.03800823701300001,0.09143993930255809,0.04865795649496343,0.04456971887614333,0.08991197776136187,0.06932561934333095,0.057803451652825154,0.058421927507392404,0.050039471013559725,0.044124538466141165,0.07165001432025811,0.06502321867375155,0.07263341471850455,0.0784873196098053
0.007,0.0705935485614468,0.07063426649818158,0.04108180862215929,0.08914906268031823,0.054227876417869685,0.04477042468937707,0.08702656922118596,0.06007753295733519,0.06705215633184906,0.06117184681745665,0.050667223492030095,0.04003308569713859,0.07455554196252435,0.06064798453743618,0.06542931259981404,0.06288175891387722
0.008,0.09362705657482746,0.08406530343522181,0.0458662110002655,0.0886026600760482,0.06284633701658893,0.04619840511834812,0.08406185183828029,0.05114399123626801,0.07646648117714484,0.06201370197573832,0.04819571060032719,0.033465071048484625,0.07353309287839586,0.052619131122861075,0.05303513789485029,0.044259857006349566
0.009000000000000001,0.08793711204958701,0.07573520432800696,0.035188202284528604,0.06503021131387747,0.0799215017357764,0.05668683612882188,0.09014157635086059,0.052808392707226474,0.07287952731990678,0.05667260855793296,0.03777479194655655,0.025040704194016317,0.09474695877819389,0.06530573741796974,0.057795369898417485,0.04633526498832078
