t,y,a,b,c,d
0.0,0.016084366097590095,0.0,0.0,0.0,0.0
0.001,0.02205982220001456,0.0,0.0,0.0,0.0
0.002,0.0059841462283806,0.0,0.0,0.0,0.0
0.003,0.02318888311789965,0.0,0.0,0.0,0.0
0.004,0.012231474389979255,0.0,0.0,0.0,0.0
0.005,0.02263584311240964,0.0,0.0,0.0,0.0
0.006,-0.04433767250783455,0.0,0.0,0.0,0.0
0.007,0.030891284904223926,0.0,0.0,0.0,0.0
0.008,0.026948937393361974,0.0,0.0,0.0,0.0
0.009000000000000001,-0.017000457834215596,0.0,0.0,0.0,0.0
0.01,0.03584753260962935,0.0,0.0,0.0,0.0
0.011,0.02378915066829021,0.0,0.0,0.0,0.0
0.012,-0.0064930612306571284,0.0,0.0,0.0,0.0
0.013000000000000001,0.07213998877105587,0.0,0.0,0.0,0.0
0.014,0.02493633270885754,0.0,0.0,0.0,0.0
0.015,0.02445638325433508,0.0,0.0,0.0,0.0
0.016,0.009507899294305025,0.0,0.0,0.0,0.0
0.017,-0.006883420032336539,0.0,0.0,0.0,0.0
0.018000000000000002,-0.056093272715401814,0.0,0.0,0.0,0.0
0.019,-0.005134084799343679,0.0,0.0,0.0,0.0
0.02,0.01222735653832208,0.0,0.0,0.0,0.0
0.021,-0.044675914743757414,0.0,0.0,0.0,0.0
0.022,-0.05847000567613447,0.0,0.0,0.0,0.0
0.023,-0.07101760023027535,0.0,0.0,0.0,0.0
0.024,0.07725309367998912,0.0,0.0,0.0,0.0
0.025,-0.027592795863980533,0.0,0.0,0.0,0.0
0.026000000000000002,0.010623714393634518,0.0,0.0,0.0,0.0
0.027,0.043569560418530086,0.0,0.0,0.0,0.0
0.028,-0.025050376361201238,0.0,0.0,0.0,0.0
0.029,0.012718181429256604,0.0,0.0,0.0,0.0
0.03,0.006152242277035425,0.0,0.0,0.0,0.0
0.031,-0.04825013754340387,0.0,0.0,0.0,0.0
0.032,-0.015968945656284598,0.0,0.0,0.0,0.0
0.033,-0.009562858218347186,0.0,0.0,0.0,0.0
0.034,-0.022649069768696156,0.0,0.0,0.0,0.0
0.035,-0.03516828371068585,0.0,0.0,0.0,0.0
0.036000000000000004,0.016861586025146355,0.0,0.0,0.0,0.0
0.037,-0.002792788143836434,0.0,0.0,0.0,0.0
0.038,-0.037069632287027574,0.0,0.0,0.0,0.0
0.039,-0.05057583678564771,0.0,0.0,0.0,0.0
0.04,-0.007659089469893241,0.0,0.0,0.0,0.0
0.041,-0.00433850035602095,0.0,0.0,0.0,0.0
0.042,-0.018603476548749193,0.0,0.0,0.0,0.0
0.043000000000000003,-0.017525200322347344,0.0,0.0,0.0,0.0
0.044,-0.026619009656028016,0.0,0.0,0.0,0.0
0.045,0.024465878550026424,0.0,0.0,0.0,0.0
0.046,-0.012984778163948479,0.0,0.0,0.0,0.0
0.047,0.00854438114480433,0.0,0.0,0.0,0.0
0.048,-0.0026949315735539537,0.0,0.0,0.0,0.0
0.049,0.016762528219183854,0.0,0.0,0.0,0.0
0.05,-0.0075942280484502115,0.0,0.0,0.0,0.0
0.051000000000000004,0.012758914431906208,0.0,0.0,0.0,0.0
0.052000000000000005,0.013814218670360458,0.0,0.0,0.0,0.0
0.053,0.026780561967656172,0.0,0.0,0.0,0.0
0.054,-0.04859521871639268,0.0,0.0,0.0,0.0
0.055,0.0024455442013913394,0.0,0.0,0.0,0.0
0.056,-0.00036162045666301296,0.0,0.0,0.0,0.0
0.057,0.016282035518332662,0.0,0.0,0.0,0.0
0.058,-0.08119596598256228,0.0,0.0,0.0,0.0
0.059000000000000004,0.013398280481817293,0.0,0.0,0.0,0.0
0.06,-0.014800662347093678,0.0,0.0,0.0,0.0
0.061,0.012893632698443526,0.0,0.0,0.0,0.0
0.062,-0.04161014529607186,0.0,0.0,0.0,0.0
0.063,0.015694522086548326,0.0,0.0,0.0,0.0
0.064,0.006052637833473019,0.0,0.0,0.0,0.0
0.065,0.00379862593423228,0.0,0.0,0.0,0.0
0.066,0.0008845765546272573,0.0,0.0,0.0,0.0
0.067,-0.050023910248305235,0.0,0.0,0.0,0.0
0.068,0.017448936548948815,0.0,0.0,0.0,0.0
0.069,-0.033890140760893646,0.0,0.0,0.0,0.0
0.07,-0.02645967625622871,0.0,0.0,0.0,0.0
0.07100000000000001,-0.007059524176761965,0.0,0.0,0.0,0.0
0.07200000000000001,0.03997787941678875,0.0,0.0,0.0,0.0
0.073,-0.02984267265568249,0.0,0.0,0.0,0.0
0.074,0.045511070520541604,0.0,0.0,0.0,0.0
0.075,0.029577697901604808,0.0,0.0,0.0,0.0
0.076,-0.03489110706856948,0.0,0.0,0.0,0.0
0.077,-0.0070905934366449685,0.0,0.0,0.0,0.0
0.078,-0.008375529976963142,0.0,0.0,0.0,0.0
0.079,-0.00564266621403782,0.0,0.0,0.0,0.0
0.08,0.0655594307831395,0.0,0.0,0.0,0.0
0.081,0.0492185362691329,0.0,0.0,0.0,0.0
0.082,-0.01923907283722463,0.0,0.0,0.0,0.0
