t,a,b,c,d
0.0,0.03460435287682839,0.06903692210456353,0.0028520187627473215,0.03407879808925776
0.001,0.038701998586280914,0.07357011932673957,0.006604290388722012,0.03796658077822482
0.002,0.04278117567736528,0.0780811805325016,0.010345133409873364,0.04183785037857268
0.003,0.04684188995482265,0.08257006003544362,0.014074479856078015,0.04569261061031682
0.004,0.05088414788421193,0.08703671363249157,0.017792262305703133,0.04953086570503856
0.005,0.05490795658746571,0.09148109859947676,0.021498413894441293,0.053352620402648876
0.006,0.058913323838437934,0.0959031736866167,0.02519286832399048,0.05715787994815191
0.007,0.06290025805844482,0.10030289911390357,0.028875559870581546,0.0609466500884093
0.008,0.06686876831179858,0.10468023656640069,0.032546423393351565,0.06471893706890608
0.009000000000000001,0.07081886430133474,0.10903514918944773,0.03620539434256287,0.06847474763051747
0.01,0.07475055636393327,0.11336760158377651,0.03985240876767132,0.07221408900627643
0.011,0.0786638554660339,0.11767755980053576,0.04348740332523704,0.07593696891814278
0.012,0.08255877319914484,0.12196499133622808,0.04711031528668702,0.07964339557377345
0.013000000000000001,0.08643532177534793,0.12622986512755782,0.05072108254592117,0.08333337766329399
0.014,0.09029351402279766,0.13047215154619204,0.054319643626767666,0.08700692435607194
0.015,0.09413336338121533,0.1346918223934342,0.05790593769028557,0.09066404529749056
0.016,0.09795488389737984,0.13888885089481162,0.06147990454191499,0.09430475060572535
0.017,0.1017580902206138,0.14306321169457853,0.06504148463847587,0.09792905086852155
0.018000000000000002,0.10554299759826552,0.14721488085013346,0.06859061909501596,0.10153695713997299
0.019,0.109309621871189,0.15134383582635352,0.07212724969150519,0.10512848093730343
0.02,0.11305797946921925,0.15545005548984536,0.07565131887938359,0.10870363423764914
0.021,0.11678808740664534,0.1595335201031139,0.07916276978795367,0.11226242947484344
0.022,0.12049996327768142,0.16359421131864957,0.08266154623062699,0.11580487953620328
0.023,0.1241936252519351,0.16763211217293528,0.08614759271101924,0.11933099775931813
0.024,0.12786909206987335,0.17164720708037284,0.08962085442889606,0.12284079792884009
0.025,0.13152638303828784,0.17563948182713077,0.09308127728597076,0.12633429427327703
0.026000000000000002,0.1351655180257584,0.17960892356491392,0.0965288078915536,0.12981150146178766
0.027,0.13878651745811516,0.18355552080465534,0.09996339356805317,0.13327243460097885
0.028,0.14238940231390032,0.18747926341013194,0.10338498235633076,0.13671710923170496
0.029,0.1459741941198295,0.1913801425915041,0.10679352302090805,0.14014554132587084
0.03,0.14954091494625218,0.19525815089878082,0.11018896505502718,0.1435577472832356
0.031,0.15308958740261297,0.19911328221521007,0.113571258685568,0.14695374392822014
0.032,0.15662023463291308,0.2029455317505968,0.11694035487781762,0.15033354850671748
0.033,0.16013288031117248,0.20675489603454827,0.12029620534009722,0.1536971786829053
0.034,0.1636275486368918,0.21054137290964767,0.1236387625282428,0.15704465253606098
0.035,0.16710426433051767,0.21430496152455766,0.12696797964994605,0.16037598855738047
0.036000000000000004,0.17056305262890736,0.2180456623270538,0.13028381066894928,0.1636912056467992
0.037,0.1740039392807961,0.22176347705698954,0.13358621030910023,0.16699032310981726
0.038,0.17742695054226634,0.2254584087391931,0.1368751340582649,0.1702733606543261
0.039,0.18083211317221928,0.2291304616762972,0.14015053817210044,0.17354033838743965
0.04,0.18421945442784837,0.23277964144150287,0.14341237967768644,0.17679127681232787
0.041,0.18758900206011597,0.23640595487127813,0.14666061637701988,0.18002619682505475
0.042,0.19094078430923356,0.24000941005799262,0.14989520685036833,0.18324511971141855
0.043000000000000003,0.19427482990014386,0.2435900163424877,0.15311611045948792,0.18644806714379608
0.044,0.1975911680380078,0.24714778430658566,0.15632328735070283,0.1896350611779906
0.045,0.2008898284036944,0.2506827257655363,0.15951669845784938,0.19280612425008314
0.046,0.20417084114927508,0.25419485376040335,0.1626963055050838,0.19596127917328823
0.047,0.20743423689352192,0.25768418255039127,0.1658620710095564,0.19910054913481176
0.048,0.2106800467174109,0.26115072760511315,0.16901395828395116,0.20222395769271512
0.049,0.21390830215962958,0.2645945055968012,0.17215193143889185,0.20533152877278107
0.05,0.21711903521208942,0.26801553439245923,0.17527595538521745,0.20842328666538534
0.051000000000000004,0.22031227831544398,0.2714138330459612,0.1783859958361247,0.21149925602237088
0.052000000000000005,0.2234880643546125,0.2747894217900929,0.1814820193091804,0.2145594618539276
0.053,0.22664642665430818,0.2781423220285414,0.1845639931282046,0.21760392952547572
0.054,0.22978739897457415,0.2814725563278291,0.18763188542502485,0.220632684754553
0.055,0.23291101550632404,0.28478014840919913,0.19068566514110186,0.22364575360770814
0.056,0.23601731086688943,0.2880651231404459,0.19372530202902927,0.22664316249739608
0.057,0.23910632009557425,0.29132750652769845,0.19675076665390545,0.22962493817888022
