t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.0,0.07270307312898301,0.0785075817962762,0.0456113898793342,0.060843670737273835,0.07872186969903164,0.03721993515997249,0.06421518587112779,0.07947947016641499,0.046493732346969484,0.06707958335505436,0.10415540788299427,0.059124021925396376,0.054508151463550814,0.06619208243153561,0.05063058877263762,0.03451425538344725
0.001,0.07376857864807665,0.07893101960873335,0.04630133302950716,0.061029806298521595,0.07905832180469743,0.037364940455848435,0.06423452216663804,0.07866247728111776,0.047234286472671604,0.06705441229206263,0.10385479756285879,0.05861082575093799,0.054429640577669317,0.06546094533460158,0.05010181012699337,0.03390228258906425
0.002,0.07484239020986348,0.07935350598777065,0.0469895492581569,0.06120803144665752,0.07939302447387035,0.03750486531301446,0.0642471466299872,0.07785207451936216,0.047970720089056604,0.06702430058164097,0.1035511869435884,0.05810090574951636,0.054347601039088506,0.06473615901063177,0.04957730654567501,0.03330123220211982
0.003,0.07592445363636356,0.07977495655041877,0.04767594281535035,0.06137845846702051,0.07972592464008382,0.037639780273593305,0.06425317360838886,0.07704825498619218,0.04870297610815936,0.06698932307914612,0.10324464212306628,0.05759427723819691,0.054262109699435325,0.0640177159408388,0.04905708267431091,0.032710928159435035
0.004,0.07701471301831486,0.08019528850720081,0.048360419813774855,0.06154119921024263,0.08005697058256547,0.037769755337050605,0.0642527166419931,0.07625101083096365,0.049430998845174316,0.06694955426847933,0.10293522859351248,0.057090954559546526,0.05417324303160497,0.06330560756246123,0.048541142325579247,0.032131196871535955
0.005,0.07811311075101357,0.08061442065208356,0.04904288821415956,0.061696365077487415,0.0803861119126954,0.03789485995781453,0.06424588845967778,0.07546033326880107,0.05015473400863549,0.0669050682522946,0.10262301124200109,0.056590951102063136,0.054081077118412764,0.06259982429427076,0.04802948849472882,0.03156186719386054
0.006,0.0792195875699837,0.08103227335225416,0.04972325781062006,0.06184406700606726,0.08071329956043716,0.03801516304309479,0.06423280097500811,0.07467621260175368,0.05087412869046509,0.06685593874253457,0.10230805435108936,0.05609427932029411,0.053985687641541845,0.06190035556168385,0.04752212337493056,0.031002770398241602
0.007,0.08033408258647097,0.08144876853772857,0.05040144021593007,0.061984415455434705,0.08103848576074466,0.03813073295089622,0.06421356528236287,0.07389863823965426,0.05158913135589582,0.06680223905128846,0.101990421599556,0.05560095075464711,0.0538871498707832,0.06120718982148279,0.047019048372460966,0.030453740144663188
0.008,0.08145653332275633,0.08186382969079752,0.05107734884672419,0.06211752039354258,0.08136162403994825,0.03824163748822191,0.06418829165322519,0.07312759872068336,0.0522996918332711,0.06674404208196603,0.10167017606324508,0.05511097605089754,0.05378553865356424,0.06052031458615041,0.0465202641217187,0.029914612453287644
0.009000000000000001,0.08258687574728397,0.08227738183531642,0.051750898908635455,0.06224349128356808,0.0816826692021233,0.038347943909461384,0.06415708953263617,0.07236308173164262,0.05300576130372824,0.06668142032078199,0.10134738021601339,0.05462436497939634,0.053680928404762684,0.0598397164478235,0.046025770500075544,0.029385225676750937
