i,j,a,b,c,d,e
0.0,0.0,0.0,0.012751361678371133,0.006837897519498187,0.0032265457910037928,0.7967182181683217
1.0,0.0,0.0,0.0009022044823165551,0.0002545304790367068,0.0002565599965476324,0.00023501209625664482
2.0,0.0,0.0,0.011193627685265009,-0.00010197732867541028,0.0006358608348771932,-0.01783181678091139
3.0,0.0,0.0,0.00220869022545889,0.00015815813389805355,-0.0009793965917120075,0.007990757608506944
4.0,0.0,0.0,0.0067670844917742,-0.00016658288990235357,-0.0002811068681867286,-0.00017587820894694023
5.0,0.0,0.0,0.001329289047042078,-0.00014965705699503435,-0.01463338372367921,-0.007053774172164036
6.0,0.0,0.0,0.00026359823644516567,-2.5234072017660718e-05,-0.0021861336153815576,0.006547796879380913
7.0,0.0,0.0,0.0028812899348387155,-6.896514707881537e-05,-0.012173699980159262,-0.008701061666159186
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0009022044823165337,0.000254530479036702,0.00025655999654763224,0.00023501209625664387
1.0,1.0,0.0,0.16099954343907036,0.0025208760377735694,0.0017041143314693772,0.02146855931737227
2.0,1.0,0.0,0.2023676589502121,0.0037599903594512122,0.0004976926648271558,0.00036416450206780215
3.0,1.0,0.0,-0.002580259550889603,0.0001500119668017072,0.006248931081631556,0.009325149609152582
4.0,1.0,0.0,0.14146637545991472,-0.012402858340237858,0.00027655008170993355,-0.000668411919711096
5.0,1.0,0.0,-0.0011936008622451628,-3.848094106339602e-05,-0.001331613410814468,0.00021576414875695325
6.0,1.0,0.0,-0.002518066957732662,4.025202351155533e-05,0.00656038393298698,0.00878431354203857
7.0,1.0,0.0,0.0050410345510076456,-1.3821749878725335e-05,-0.0015155508695977446,0.00018309716696547512
8.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.011193627685264976,-0.00010197732867541282,0.000635860834877192,-0.01783181678091141
1.0,2.0,0.0,0.2023676589502119,0.0037599903594512,0.0004976926648271552,0.0003641645020678023
2.0,2.0,0.0,0.31257412049648636,0.02179372973797986,0.0023702301833044837,0.0027789057200280414
3.0,2.0,0.0,0.001223877473815378,5.676238313307434e-05,0.0007364250783047641,-9.782441351891632e-05
4.0,2.0,0.0,0.22372814407417022,0.002170311632151124,0.0003858542146592041,0.0002613310871705589
5.0,2.0,0.0,0.0017819999725856629,0.006043801664913077,-0.006151386181324694,0.00025349395348263115
6.0,2.0,0.0,-0.0030952794315564107,4.054554414649154e-05,0.0005429792301872532,-7.435014941430386e-05
7.0,2.0,0.0,0.014150121768740474,0.004982287314179613,-0.004846438314463745,0.0002851094420549898
8.0,2.0,0.0,0.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,0.0,0.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0,0.0,0.0,0.0
14.0,2.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0022086902254588874,0.00015815813389805344,-0.000979396591712008,0.007990757608506944
1.0,3.0,0.0,-0.0025802595508895953,0.0001500119668017075,0.006248931081631538,0.009325149609152577
2.0,3.0,0.0,0.0012238774738153736,5.676238313307381e-05,0.0007364250783047634,-9.782441351891636e-05
3.0,3.0,0.0,0.0014742387740392228,0.00011889892560013876,0.13022276134452201,0.005903286313434303
4.0,3.0,0.0,0.00029070062246769655,-0.005965056237568572,0.011890944070895259,-0.00027518286004283183
5.0,3.0,0.0,0.0010186741402856434,5.623045784146108e-06,0.015915819685546728,2.4638578391003715e-05
6.0,3.0,0.0,0.00032985265990602934,4.8441453642894394e-05,0.12286466609142534,0.005493865229088785
7.0,3.0,0.0,0.0016843208580080403,1.6786941511001627e-05,0.009535324817428834,-1.5836037961504314e-05
8.0,3.0,0.0,0.0,0.0,0.0,0.0
9.0,3.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,0.0,0.0,0.0,0.0,0.0
13.0,3.0,0.0,0.0,0.0,0.0,0.0
14.0,3.0,0.0,0.0,0.0,0.0,0.0
15.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0067670844917742425,-0.00016658288990235412,-0.00028110686818672893,-0.00017587820894694023
1.0,4.0,0.0,0.1414663754599143,-0.012402858340237861,0.0002765500817099332,-0.0006684119197110965
2.0,4.0,0.0,0.22372814407416997,0.0021703116321511286,0.00038585421465920386,0.0002613310871705588
3.0,4.0,0.0,0.0002907006224676986,-0.005965056237568569,0.011890944070895264,-0.00027518286004283205
4.0,4.0,0.0,0.19914102845339499,0.7315332784332081,0.004449017497946461,0.005910952379544178
5.0,4.0,0.0,0.0010661079600326863,0.004178372093973856,0.0014757911953749208,7.820127746686591e-06
6.0,4.0,0.0,-0.0023846832539802963,-0.0039401232607049076,0.014925868619115153,-0.00028700161440717303
7.0,4.0,0.0,0.010014573500626763,0.0037982054710201806,0.0011752036541352792,4.8055379156882906e-05
8.0,4.0,0.0,0.0,0.0,0.0,0.0
9.0,4.0,0.0,0.0,0.0,0.0,0.0
10.0,4.0,0.0,0.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0,0.0,0.0
12.0,4.0,0.0,0.0,0.0,0.0,0.0
13.0,4.0,0.0,0.0,0.0,0.0,0.0
14.0,4.0,0.0,0.0,0.0,0.0,0.0
15.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0013292890470420738,-0.00014965705699503462,-0.014633383723679217,-0.007053774172164044
1.0,5.0,0.0,-0.0011936008622451804,-3.848094106339594e-05,-0.0013316134108144683,0.00021576414875695328
2.0,5.0,0.0,0.0017819999725856596,0.0060438016649130765,-0.006151386181324683,0.0002534939534826312
3.0,5.0,0.0,0.0010186741402856425,5.623045784145991e-06,0.01591581968554669,2.463857839100369e-05
4.0,5.0,0.0,0.0010661079600326807,0.004178372093973848,0.0014757911953749141,7.820127746686591e-06
5.0,5.0,0.0,0.0012442313623814774,0.0033753363496182706,0.16582252119882354,0.0005099641197490862
6.0,5.0,0.0,0.0005468297436487434,0.0003402241547840802,0.026685566784088205,0.00010396742201802266
7.0,5.0,0.0,0.0013115507835721736,0.002625153047863645,0.1283088535072584,0.00019227027911330536
8.0,5.0,0.0,0.0,0.0,0.0,0.0
9.0,5.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.0,0.0,0.0,0.0,0.0
11.0,5.0,0.0,0.0,0.0,0.0,0.0
12.0,5.0,0.0,0.0,0.0,0.0,0.0
13.0,5.0,0.0,0.0,0.0,0.0,0.0
14.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0002635982364451658,-2.5234072017660494e-05,-0.002186133615381559,0.0065477968793809125
1.0,6.0,0.0,-0.00251806695773266,4.0252023511555374e-05,0.006560383932986977,0.008784313542038569
2.0,6.0,0.0,-0.0030952794315564063,4.054554414649128e-05,0.0005429792301872539,-7.435014941430376e-05
3.0,6.0,0.0,0.0003298526599060297,4.8441453642894305e-05,0.12286466609142561,0.005493865229088784
4.0,6.0,0.0,-0.0023846832539803015,-0.003940123260704908,0.01492586861911515,-0.0002870016144071733
5.0,6.0,0.0,0.000546829743648743,0.00034022415478407887,0.026685566784088184,0.00010396742201802269
6.0,6.0,0.0,0.0006669147916829809,0.0006582485763644743,0.1818212932471891,0.006012150678075243
7.0,6.0,0.0,2.3106281407373687e-05,2.9172087834328404e-05,0.008516079340535412,7.907410753413851e-07
8.0,6.0,0.0,0.0,0.0,0.0,0.0
9.0,6.0,0.0,0.0,0.0,0.0,0.0
10.0,6.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,0.0,0.0,0.0,0.0,0.0
12.0,6.0,0.0,0.0,0.0,0.0,0.0
13.0,6.0,0.0,0.0,0.0,0.0,0.0
14.0,6.0,0.0,0.0,0.0,0.0,0.0
15.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0028812899348387116,-6.896514707881542e-05,-0.01217369998015928,-0.00870106166615919
1.0,7.0,0.0,0.005041034551007638,-1.3821749878724779e-05,-0.0015155508695977443,0.00018309716696547529
2.0,7.0,0.0,0.014150121768740509,0.004982287314179616,-0.004846438314463761,0.00028510944205498997
3.0,7.0,0.0,0.0016843208580080392,1.6786941511001684e-05,0.009535324817428864,-1.5836037961504327e-05
4.0,7.0,0.0,0.010014573500626752,0.0037982054710201736,0.0011752036541352786,4.8055379156882946e-05
