 i	 j	 a	 b	 c	 d	 e	
0.0000 0.0000 0.5000 0.3552 0.3110 0.0350 0.0581
1.0000 0.0000 0.0000 0.0151 0.0484 0.0001 0.0002
2.0000 0.0000 0.0000 -0.0476 -0.1167 -0.0002 -0.0008
3.0000 0.0000 0.0000 0.0042 0.0049 0.0001 0.0003
4.0000 0.0000 0.0000 -0.0032 -0.0000 -0.0000 -0.0000
5.0000 0.0000 0.0000 -0.0036 -0.0001 -0.0001 -0.0003
6.0000 0.0000 0.0000 0.0048 0.0000 0.0001 0.0003
7.0000 0.0000 0.0000 -0.0137 -0.0004 -0.0001 -0.0003
8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 1.0000 0.0000 0.0151 0.0484 0.0001 0.0002
1.0000 1.0000 0.0000 0.0651 0.1879 0.0004 0.0013
2.0000 1.0000 0.0000 -0.0006 -0.0125 -0.0000 0.0000
3.0000 1.0000 0.0000 0.0134 0.0184 0.0001 0.0003
4.0000 1.0000 0.0000 -0.0112 -0.0002 -0.0002 -0.0009
5.0000 1.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
6.0000 1.0000 0.0000 0.0150 0.0004 0.0001 0.0003
7.0000 1.0000 0.0000 0.0007 0.0000 0.0000 0.0000
8.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.0000 0.0000 -0.0476 -0.1167 -0.0002 -0.0008
1.0000 2.0000 0.0000 -0.0006 -0.0125 -0.0000 0.0000
