 t	 a	 b	 c	 d
0.0000 1.0000 1.0000 1.0000 1.0000
0.0199 0.9985 0.9984 0.9982 0.9981
0.0399 0.9940 0.9935 0.9930 0.9924
0.0599 0.9866 0.9856 0.9845 0.9833
0.0798 0.9763 0.9748 0.9731 0.9713
0.0998 0.9632 0.9612 0.9591 0.9569
0.1197 0.9474 0.9452 0.9429 0.9407
0.1396 0.9291 0.9269 0.9249 0.9233
0.1596 0.9084 0.9066 0.9055 0.9053
0.1795 0.8853 0.8846 0.8852 0.8873
0.1995 0.8600 0.8610 0.8643 0.8698
0.2194 0.8326 0.8361 0.8433 0.8536
0.2394 0.8032 0.8103 0.8227 0.8394
0.2593 0.7721 0.7839 0.8032 0.8277
0.2793 0.7395 0.7574 0.7853 0.8192
0.2992 0.7054 0.7311 0.7695 0.8144
0.3192 0.6703 0.7056 0.7563 0.8134
0.3392 0.6343 0.6811 0.7461 0.8163
0.3591 0.5977 0.6580 0.7392 0.8228
0.3790 0.5606 0.6367 0.7355 0.8326
0.3990 0.5234 0.6174 0.7351 0.8452
0.4189 0.4861 0.6002 0.7380 0.8599
0.4389 0.4491 0.5853 0.7439 0.8763
0.4588 0.4124 0.5730 0.7527 0.8938
0.4788 0.3764 0.5634 0.7643 0.9119
0.4987 0.3412 0.5566 0.7785 0.9298
0.5187 0.3071 0.5529 0.7950 0.9470
0.5386 0.2743 0.5523 0.8134 0.9628
0.5586 0.2431 0.5549 0.8334 0.9764
0.5786 0.2137 0.5608 0.8544 0.9873
0.5985 0.1862 0.5698 0.8757 0.9950
0.6184 0.1610 0.5817 0.8968 0.9989
0.6384 0.1380 0.5964 0.9169 0.9992
0.6583 0.1175 0.6136 0.9357 0.9957
0.6783 0.0995 0.6328 0.9526 0.9888
0.6982 0.0840 0.6540 0.9673 0.9789
0.7182 0.0712 0.6767 0.9794 0.9662
0.7381 0.0611 0.7007 0.9888 0.9514
0.7581 0.0538 0.7258 0.9953 0.9349
0.7780 0.0494 0.7516 0.9986 0.9172
0.7980 0.0479 0.7779 0.9988 0.8989
0.8179 0.0494 0.8044 0.9956 0.8807
0.8379 0.0539 0.8305 0.9890 0.8633
