 t	 a	 b	 c	 d
0.0000 1.0000 1.0000 1.0000 1.0000
0.0199 0.9997 0.9993 0.9989 0.9985
0.0399 0.9987 0.9971 0.9955 0.9942
0.0599 0.9971 0.9936 0.9902 0.9874
0.0798 0.9950 0.9889 0.9832 0.9785
0.0998 0.9924 0.9833 0.9750 0.9682
0.1197 0.9896 0.9772 0.9660 0.9573
0.1396 0.9865 0.9707 0.9568 0.9463
0.1596 0.9834 0.9642 0.9478 0.9361
0.1795 0.9804 0.9580 0.9396 0.9272
0.1995 0.9775 0.9524 0.9326 0.9202
0.2194 0.9749 0.9476 0.9270 0.9154
0.2394 0.9727 0.9438 0.9231 0.9130
0.2593 0.9710 0.9410 0.9210 0.9130
0.2793 0.9697 0.9394 0.9207 0.9152
0.2992 0.9689 0.9389 0.9220 0.9196
0.3192 0.9687 0.9395 0.9249 0.9257
0.3392 0.9688 0.9410 0.9291 0.9332
0.3591 0.9694 0.9433 0.9343 0.9417
0.3790 0.9702 0.9462 0.9404 0.9508
0.3990 0.9714 0.9497 0.9469 0.9600
0.4189 0.9727 0.9534 0.9538 0.9690
0.4389 0.9741 0.9574 0.9607 0.9774
0.4588 0.9756 0.9614 0.9674 0.9849
0.4788 0.9770 0.9654 0.9739 0.9911
0.4987 0.9784 0.9693 0.9800 0.9958
0.5187 0.9798 0.9731 0.9854 0.9987
0.5386 0.9810 0.9768 0.9901 0.9995
0.5586 0.9822 0.9802 0.9939 0.9982
0.5786 0.9834 0.9836 0.9968 0.9947
0.5985 0.9845 0.9867 0.9985 0.9891
0.6184 0.9856 0.9896 0.9989 0.9815
0.6384 0.9867 0.9922 0.9980 0.9722
0.6583 0.9879 0.9946 0.9956 0.9617
0.6783 0.9892 0.9965 0.9917 0.9504
0.6982 0.9905 0.9978 0.9863 0.9391
0.7182 0.9919 0.9986 0.9796 0.9284
0.7381 0.9934 0.9986 0.9717 0.9190
0.7581 0.9948 0.9977 0.9629 0.9115
0.7780 0.9962 0.9958 0.9535 0.9065
0.7980 0.9974 0.9930 0.9440 0.9042
0.8179 0.9984 0.9892 0.9349 0.9050
0.8379 0.9992 0.9843 0.9265 0.9088
0.8579 0.9995 0.9786 0.9195 0.9154
0.8778 0.9994 0.9722 0.9141 0.9243
0.8977 0.9988 0.9653 0.9108 0.9350
0.9177 0.9976 0.9581 0.9097 0.9468
0.9376 0.9959 0.9510 0.9109 0.9588
0.9576 0.9937 0.9442 0.9145 0.9703
0.9775 0.9910 0.9381 0.9202 0.9806
0.9975 0.9878 0.9329 0.9278 0.9890
1.0174 0.9843 0.9289 0.9367 0.9952
1.0374 0.9806 0.9263 0.9467 0.9988
1.0574 0.9768 0.9252 0.9570 0.9998
1.0773 0.9730 0.9258 0.9671 0.9982
1.0972 0.9694 0.9279 0.9765 0.9942
1.1172 0.9662 0.9316 0.9847 0.9883
1.1372 0.9634 0.9366 0.9914 0.9808
1.1571 0.9611 0.9427 0.9962 0.9723
1.1770 0.9595 0.9496 0.9990 0.9632
1.1970 0.9586 0.9570 0.9998 0.9540
1.2169 0.9585 0.9645 0.9986 0.9453
1.2369 0.9591 0.9719 0.9956 0.9373
1.2569 0.9604 0.9788 0.9912 0.9304
1.2768 0.9623 0.9850 0.9856 0.9248
1.2967 0.9648 0.9902 0.9792 0.9208
1.3167 0.9677 0.9943 0.9723 0.9185
1.3367 0.9710 0.9972 0.9653 0.9180
1.3566 0.9744 0.9989 0.9584 0.9194
1.3765 0.9779 0.9994 0.9519 0.9226
1.3965 0.9814 0.9988 0.9461 0.9277
1.4164 0.9846 0.9973 0.9410 0.9342
1.4364 0.9877 0.9949 0.9367 0.9422
1.4564 0.9903 0.9920 0.9333 0.9511
1.4763 0.9926 0.9886 0.9310 0.9607
1.4962 0.9945 0.9849 0.9296 0.9703
1.5162 0.9960 0.9811 0.9292 0.9794
1.5362 0.9970 0.9773 0.9299 0.9874
1.5561 0.9977 0.9736 0.9317 0.9938
1.5760 0.9981 0.9700 0.9345 0.9981
1.5960 0.9982 0.9666 0.9383 0.9998
1.6159 0.9980 0.9634 0.9431 0.9988
1.6359 0.9977 0.9604 0.9488 0.9950
1.6558 0.9973 0.9576 0.9553 0.9886
1.6758 0.9968 0.9550 0.9622 0.9798
1.6957 0.9962 0.9526 0.9695 0.9693
1.7157 0.9955 0.9505 0.9767 0.9577
1.7357 0.9948 0.9486 0.9835 0.9458
1.7556 0.9940 0.9471 0.9896 0.9343
1.7755 0.9931 0.9461 0.9945 0.9240
1.7955 0.9920 0.9456 0.9980 0.9155
1.8154 0.9908 0.9458 0.9996 0.9095
1.8354 0.9893 0.9467 0.9993 0.9062
1.8553 0.9876 0.9484 0.9969 0.9059
1.8753 0.9857 0.9510 0.9924 0.9085
1.8952 0.9836 0.9543 0.9861 0.9137
1.9152 0.9812 0.9585 0.9781 0.9210
1.9352 0.9787 0.9632 0.9688 0.9301
1.9551 0.9760 0.9685 0.9588 0.9404
1.9750 0.9734 0.9741 0.9485 0.9511
1.9950 0.9708 0.9797 0.9385 0.9618
2.0149 0.9684 0.9851 0.9294 0.9718
2.0349 0.9663 0.9900 0.9217 0.9807
2.0549 0.9645 0.9942 0.9158 0.9881
2.0748 0.9632 0.9973 0.9119 0.9937
2.0947 0.9624 0.9992 0.9104 0.9974
2.1147 0.9623 0.9997 0.9111 0.9991
2.1347 0.9628 0.9989 0.9141 0.9988
2.1546 0.9639 0.9965 0.9190 0.9964
2.1745 0.9657 0.9928 0.9257 0.9923
2.1945 0.9680 0.9879 0.9337 0.9864
2.2144 0.9709 0.9820 0.9425 0.9791
2.2344 0.9741 0.9753 0.9517 0.9707
2.2543 0.9776 0.9683 0.9609 0.9614
2.2743 0.9812 0.9611 0.9696 0.9516
2.2942 0.9848 0.9542 0.9775 0.9419
2.3142 0.9882 0.9478 0.9843 0.9326
2.3341 0.9914 0.9423 0.9899 0.9242
2.3541 0.9942 0.9378 0.9942 0.9174
2.3740 0.9964 0.9346 0.9970 0.9125
2.3940 0.9981 0.9327 0.9984 0.9099
2.4139 0.9992 0.9322 0.9985 0.9097
2.4339 0.9996 0.9330 0.9973 0.9123
2.4539 0.9994 0.9351 0.9950 0.9174
2.4738 0.9987 0.9382 0.9916 0.9249
2.4937 0.9974 0.9422 0.9873 0.9343
2.5137 0.9957 0.9469 0.9821 0.9451
2.5336 0.9937 0.9520 0.9762 0.9566
2.5536 0.9914 0.9574 0.9698 0.9680
2.5736 0.9891 0.9628 0.9629 0.9785
2.5935 0.9868 0.9680 0.9557 0.9874
2.6134 0.9845 0.9730 0.9485 0.9942
2.6334 0.9824 0.9776 0.9415 0.9984
2.6533 0.9805 0.9817 0.9349 0.9998
2.6733 0.9790 0.9853 0.9291 0.9982
2.6932 0.9777 0.9885 0.9243 0.9938
2.7132 0.9767 0.9911 0.9209 0.9871
2.7331 0.9759 0.9933 0.9190 0.9785
2.7531 0.9755 0.9951 0.9189 0.9687
2.7731 0.9752 0.9963 0.9206 0.9582
2.7930 0.9750 0.9971 0.9243 0.9478
2.8129 0.9750 0.9975 0.9297 0.9382
2.8329 0.9750 0.9973 0.9367 0.9298
2.8529 0.9751 0.9965 0.9449 0.9231
2.8728 0.9752 0.9951 0.9540 0.9184
2.8927 0.9752 0.9930 0.9634 0.9158
2.9127 0.9753 0.9902 0.9726 0.9153
2.9326 0.9754 0.9866 0.9812 0.9170
2.9526 0.9755 0.9823 0.9886 0.9205
2.9725 0.9757 0.9773 0.9943 0.9258
2.9925 0.9761 0.9716 0.9981 0.9324
3.0124 0.9767 0.9656 0.9997 0.9402
3.0324 0.9775 0.9592 0.9990 0.9487
3.0523 0.9785 0.9528 0.9961 0.9576
3.0723 0.9798 0.9467 0.9913 0.9664
3.0922 0.9814 0.9410 0.9847 0.9750
3.1122 0.9832 0.9360 0.9769 0.9828
3.1321 0.9853 0.9321 0.9682 0.9895
3.1521 0.9875 0.9293 0.9592 0.9948
3.1721 0.9897 0.9280 0.9504 0.9982
3.1920 0.9920 0.9281 0.9423 0.9995
3.2119 0.9941 0.9298 0.9352 0.9985
3.2319 0.9961 0.9329 0.9294 0.9951
3.2519 0.9976 0.9374 0.9253 0.9893
3.2718 0.9988 0.9430 0.9228 0.9814
3.2917 0.9994 0.9496 0.9220 0.9717
3.3117 0.9995 0.9568 0.9228 0.9607
3.3316 0.9990 0.9642 0.9251 0.9490
3.3516 0.9978 0.9717 0.9287 0.9374
3.3716 0.9960 0.9787 0.9333 0.9265
3.3915 0.9937 0.9851 0.9388 0.9171
3.4114 0.9909 0.9905 0.9449 0.9097
3.4314 0.9876 0.9948 0.9513 0.9050
3.4513 0.9841 0.9977 0.9580 0.9032
3.4713 0.9805 0.9993 0.9646 0.9046
3.4912 0.9769 0.9996 0.9711 0.9089
3.5112 0.9734 0.9985 0.9772 0.9160
3.5311 0.9702 0.9963 0.9829 0.9253
3.5511 0.9674 0.9932 0.9880 0.9361
3.5711 0.9651 0.9893 0.9923 0.9478
3.5910 0.9634 0.9848 0.9957 0.9597
3.6109 0.9624 0.9801 0.9979 0.9709
3.6309 0.9619 0.9754 0.9989 0.9809
3.6509 0.9622 0.9707 0.9984 0.9890
3.6708 0.9630 0.9664 0.9965 0.9950
3.6907 0.9644 0.9625 0.9929 0.9985
3.7107 0.9662 0.9591 0.9878 0.9996
3.7306 0.9685 0.9562 0.9812 0.9982
3.7506 0.9710 0.9538 0.9733 0.9947
3.7706 0.9736 0.9520 0.9645 0.9893
3.7905 0.9764 0.9507 0.9550 0.9824
3.8104 0.9790 0.9498 0.9453 0.9744
3.8304 0.9816 0.9493 0.9359 0.9657
3.8503 0.9840 0.9492 0.9272 0.9568
3.8703 0.9862 0.9494 0.9198 0.9480
3.8902 0.9882 0.9499 0.9141 0.9398
3.9102 0.9899 0.9509 0.9104 0.9323
3.9301 0.9913 0.9522 0.9090 0.9259
3.9501 0.9926 0.9539 0.9099 0.9210
3.9701 0.9936 0.9561 0.9132 0.9178
3.9900 0.9945 0.9588 0.9187 0.9164
4.0099 0.9952 0.9620 0.9261 0.9171
4.0299 0.9959 0.9657 0.9349 0.9198
4.0499 0.9964 0.9698 0.9447 0.9244
4.0698 0.9969 0.9742 0.9550 0.9310
4.0897 0.9973 0.9788 0.9652 0.9391
4.1097 0.9977 0.9834 0.9747 0.9485
4.1296 0.9979 0.9878 0.9831 0.9586
4.1496 0.9979 0.9919 0.9900 0.9688
4.1696 0.9977 0.9953 0.9952 0.9784
4.1895 0.9973 0.9978 0.9984 0.9869
4.2094 0.9965 0.9993 0.9996 0.9936
4.2294 0.9954 0.9996 0.9989 0.9980
4.2493 0.9939 0.9986 0.9965 0.9998
4.2693 0.9920 0.9962 0.9926 0.9987
4.2892 0.9898 0.9925 0.9875 0.9948
4.3092 0.9871 0.9876 0.9815 0.9881
4.3292 0.9841 0.9816 0.9750 0.9793
4.3491 0.9809 0.9749 0.9682 0.9688
4.3690 0.9775 0.9675 0.9615 0.9573
4.3890 0.9741 0.9600 0.9550 0.9456
4.4089 0.9708 0.9526 0.9490 0.9346
4.4289 0.9676 0.9457 0.9436 0.9248
4.4489 0.9648 0.9396 0.9389 0.9169
4.4688 0.9624 0.9345 0.9350 0.9114
4.4887 0.9606 0.9307 0.9320 0.9086
4.5087 0.9594 0.9284 0.9300 0.9086
4.5286 0.9589 0.9275 0.9290 0.9112
4.5486 0.9591 0.9282 0.9290 0.9162
4.5685 0.9601 0.9304 0.9302 0.9232
4.5885 0.9617 0.9339 0.9324 0.9317
4.6084 0.9640 0.9385 0.9358 0.9413
4.6284 0.9668 0.9439 0.9403 0.9514
4.6483 0.9701 0.9500 0.9458 0.9615
4.6683 0.9737 0.9565 0.9522 0.9710
4.6883 0.9774 0.9630 0.9593 0.9796
4.7082 0.9812 0.9693 0.9668 0.9869
4.7281 0.9848 0.9753 0.9743 0.9927
4.7481 0.9882 0.9806 0.9815 0.9968
4.7680 0.9913 0.9854 0.9880 0.9989
4.7880 0.9940 0.9893 0.9934 0.9991
4.8079 0.9961 0.9925 0.9974 0.9974
4.8279 0.9977 0.9949 0.9995 0.9936
4.8479 0.9988 0.9965 0.9997 0.9880
4.8678 0.9993 0.9974 0.9977 0.9807
4.8877 0.9993 0.9977 0.9936 0.9721
4.9077 0.9989 0.9975 0.9876 0.9624
4.9276 0.9981 0.9967 0.9798 0.9520
4.9476 0.9970 0.9955 0.9708 0.9415
4.9675 0.9957 0.9939 0.9609 0.9315
4.9875 0.9942 0.9918 0.9506 0.9226
5.0074 0.9927 0.9893 0.9407 0.9152
5.0274 0.9912 0.9863 0.9315 0.9100
5.0473 0.9898 0.9829 0.9237 0.9073
5.0673 0.9884 0.9790 0.9176 0.9073
5.0872 0.9871 0.9748 0.9135 0.9102
5.1072 0.9859 0.9701 0.9116 0.9158
5.1272 0.9848 0.9651 0.9120 0.9239
5.1471 0.9837 0.9599 0.9146 0.9339
5.1670 0.9827 0.9547 0.9191 0.9452
5.1870 0.9816 0.9496 0.9254 0.9570
5.2069 0.9805 0.9449 0.9330 0.9686
5.2269 0.9794 0.9407 0.9414 0.9792
5.2469 0.9782 0.9373 0.9503 0.9881
5.2668 0.9769 0.9348 0.9592 0.9947
5.2867 0.9756 0.9335 0.9678 0.9988
5.3067 0.9742 0.9334 0.9757 0.9999
5.3266 0.9730 0.9346 0.9826 0.9983
5.3466 0.9718 0.9372 0.9884 0.9941
5.3665 0.9708 0.9411 0.9930 0.9876
5.3865 0.9700 0.9461 0.9962 0.9794
5.4064 0.9696 0.9520 0.9981 0.9701
5.4264 0.9696 0.9587 0.9987 0.9603
5.4463 0.9699 0.9657 0.9981 0.9504
5.4663 0.9708 0.9727 0.9963 0.9413
5.4863 0.9720 0.9795 0.9934 0.9332
5.5062 0.9738 0.9858 0.9894 0.9266
5.5261 0.9760 0.9911 0.9846 0.9217
5.5461 0.9785 0.9953 0.9789 0.9187
5.5660 0.9812 0.9982 0.9725 0.9175
5.5860 0.9842 0.9997 0.9655 0.9183
5.6059 0.9872 0.9997 0.9581 0.9210
5.6259 0.9901 0.9983 0.9506 0.9253
5.6459 0.9928 0.9956 0.9431 0.9312
5.6658 0.9952 0.9918 0.9361 0.9383
5.6857 0.9971 0.9871 0.9297 0.9464
5.7057 0.9986 0.9818 0.9244 0.9551
5.7256 0.9994 0.9762 0.9204 0.9641
5.7456 0.9996 0.9704 0.9180 0.9729
5.7655 0.9991 0.9649 0.9174 0.9813
5.7855 0.9980 0.9598 0.9188 0.9885
5.8054 0.9964 0.9553 0.9222 0.9943
5.8254 0.9942 0.9515 0.9274 0.9982
5.8453 0.9916 0.9486 0.9343 0.9998
5.8653 0.9887 0.9466 0.9425 0.9989
5.8852 0.9856 0.9454 0.9517 0.9955
5.9052 0.9825 0.9450 0.9613 0.9896
5.9252 0.9795 0.9453 0.9708 0.9813
5.9451 0.9767 0.9463 0.9797 0.9713
5.9650 0.9742 0.9478 0.9874 0.9599
5.9850 0.9721 0.9497 0.9935 0.9479
6.0049 0.9704 0.9520 0.9977 0.9361
6.0249 0.9692 0.9545 0.9998 0.9253
6.0448 0.9685 0.9572 0.9995 0.9161
6.0648 0.9683 0.9601 0.9971 0.9092
6.0847 0.9686 0.9631 0.9927 0.9049
6.1047 0.9692 0.9663 0.9866 0.9037
6.1246 0.9702 0.9696 0.9791 0.9056
6.1446 0.9714 0.9731 0.9708 0.9104
6.1646 0.9729 0.9767 0.9621 0.9177
6.1845 0.9744 0.9804 0.9535 0.9271
6.2044 0.9759 0.9841 0.9454 0.9379
6.2244 0.9775 0.9877 0.9383 0.9494
6.2443 0.9790 0.9910 0.9324 0.9608
6.2643 0.9804 0.9940 0.9280 0.9716
6.2843 0.9817 0.9965 0.9251 0.9812
6.3042 0.9830 0.9983 0.9239 0.9890
6.3241 0.9841 0.9992 0.9241 0.9948
6.3441 0.9853 0.9991 0.9258 0.9983
6.3641 0.9864 0.9979 0.9288 0.9996
6.3840 0.9875 0.9955 0.9328 0.9986
6.4039 0.9887 0.9919 0.9377 0.9956
6.4239 0.9899 0.9872 0.9433 0.9907
6.4438 0.9912 0.9815 0.9493 0.9844
6.4638 0.9925 0.9749 0.9556 0.9768
6.4837 0.9938 0.9678 0.9621 0.9684
6.5037 0.9951 0.9603 0.9685 0.9595
6.5236 0.9963 0.9528 0.9748 0.9504
6.5436 0.9974 0.9457 0.9807 0.9416
