 t	 a	 b	 c	 d
0.0000 1.0000 1.0000 1.0000 1.0000
0.0199 1.0000 0.9986 0.9997 0.9985
0.0399 0.9999 0.9943 0.9987 0.9940
0.0599 0.9997 0.9872 0.9971 0.9866
0.0798 0.9995 0.9773 0.9950 0.9763
0.0998 0.9993 0.9646 0.9924 0.9632
0.1197 0.9990 0.9491 0.9896 0.9474
0.1396 0.9988 0.9310 0.9865 0.9291
0.1596 0.9985 0.9103 0.9834 0.9084
0.1795 0.9982 0.8869 0.9804 0.8853
0.1995 0.9979 0.8611 0.9775 0.8600
0.2194 0.9976 0.8328 0.9749 0.8326
0.2394 0.9974 0.8022 0.9727 0.8032
0.2593 0.9972 0.7693 0.9710 0.7721
0.2793 0.9971 0.7342 0.9697 0.7395
0.2992 0.9970 0.6970 0.9689 0.7054
0.3192 0.9969 0.6579 0.9687 0.6703
0.3392 0.9969 0.6169 0.9688 0.6343
0.3591 0.9969 0.5742 0.9694 0.5977
0.3790 0.9970 0.5299 0.9702 0.5606
0.3990 0.9970 0.4841 0.9714 0.5234
0.4189 0.9971 0.4370 0.9727 0.4861
0.4389 0.9973 0.3887 0.9741 0.4491
0.4588 0.9974 0.3393 0.9756 0.4124
0.4788 0.9975 0.2889 0.9770 0.3764
0.4987 0.9976 0.2378 0.9784 0.3412
0.5187 0.9977 0.1860 0.9798 0.3071
0.5386 0.9978 0.1338 0.9810 0.2743
0.5586 0.9978 0.0812 0.9822 0.2431
0.5786 0.9979 0.0284 0.9834 0.2137
0.5985 0.9979 -0.0243 0.9845 0.1862
0.6184 0.9980 -0.0770 0.9856 0.1610
0.6384 0.9980 -0.1293 0.9867 0.1380
0.6583 0.9981 -0.1812 0.9879 0.1175
0.6783 0.9981 -0.2324 0.9892 0.0995
0.6982 0.9982 -0.2830 0.9905 0.0840
0.7182 0.9983 -0.3326 0.9919 0.0712
0.7381 0.9984 -0.3813 0.9934 0.0611
0.7581 0.9985 -0.4288 0.9948 0.0538
0.7780 0.9987 -0.4749 0.9962 0.0494
0.7980 0.9989 -0.5197 0.9974 0.0479
0.8179 0.9990 -0.5629 0.9984 0.0494
0.8379 0.9992 -0.6043 0.9992 0.0539
0.8579 0.9994 -0.6440 0.9995 0.0614
0.8778 0.9996 -0.6817 0.9994 0.0718
0.8977 0.9997 -0.7174 0.9988 0.0850
0.9177 0.9998 -0.7509 0.9976 0.1010
0.9376 0.9999 -0.7822 0.9959 0.1195
0.9576 0.9999 -0.8111 0.9937 0.1404
0.9775 0.9999 -0.8377 0.9910 0.1637
0.9975 0.9998 -0.8617 0.9878 0.1891
1.0174 0.9997 -0.8832 0.9843 0.2165
1.0374 0.9995 -0.9021 0.9806 0.2458
1.0574 0.9993 -0.9182 0.9768 0.2768
1.0773 0.9990 -0.9317 0.9730 0.3094
1.0972 0.9986 -0.9424 0.9694 0.3434
1.1172 0.9983 -0.9502 0.9662 0.3786
1.1372 0.9979 -0.9553 0.9634 0.4148
1.1571 0.9976 -0.9574 0.9611 0.4516
