 t	 z0	 z1	 z2	 z3	 z4	 j0	 j1	 j2	 j3
0.0000 0.0283 0.0430 -0.0099 -0.0182 -0.0550 -0.0541 0.0387 0.0870 0.0250
0.0500 0.0089 0.0514 -0.0048 -0.0246 -0.0394 -0.0476 0.0261 0.0798 0.0169
0.1000 -0.0073 0.0575 0.0007 -0.0304 -0.0251 -0.0350 0.0116 0.0676 0.0153
0.1500 -0.0203 0.0606 0.0063 -0.0347 -0.0126 -0.0182 -0.0038 0.0515 0.0190
0.2000 -0.0301 0.0603 0.0117 -0.0367 -0.0019 0.0009 -0.0187 0.0331 0.0264
0.2500 -0.0370 0.0567 0.0165 -0.0360 0.0066 0.0206 -0.0321 0.0135 0.0360
0.3000 -0.0413 0.0499 0.0207 -0.0322 0.0133 0.0393 -0.0430 -0.0056 0.0462
0.3500 -0.0434 0.0404 0.0240 -0.0257 0.0183 0.0558 -0.0505 -0.0231 0.0556
0.4000 -0.0439 0.0289 0.0261 -0.0167 0.0219 0.0690 -0.0542 -0.0377 0.0631
0.4500 -0.0432 0.0160 0.0272 -0.0057 0.0246 0.0785 -0.0540 -0.0486 0.0678
0.5000 -0.0419 0.0026 0.0273 0.0064 0.0266 0.0841 -0.0501 -0.0551 0.0694
0.5500 -0.0405 -0.0106 0.0263 0.0189 0.0284 0.0858 -0.0429 -0.0569 0.0677
0.6000 -0.0392 -0.0229 0.0245 0.0310 0.0303 0.0841 -0.0331 -0.0540 0.0630
0.6500 -0.0383 -0.0339 0.0222 0.0420 0.0326 0.0796 -0.0212 -0.0467 0.0558
0.7000 -0.0381 -0.0430 0.0195 0.0513 0.0354 0.0730 -0.0082 -0.0356 0.0470
0.7500 -0.0386 -0.0500 0.0168 0.0584 0.0387 0.0652 0.0054 -0.0214 0.0374
0.8000 -0.0398 -0.0549 0.0142 0.0630 0.0426 0.0570 0.0189 -0.0053 0.0279
0.8500 -0.0416 -0.0577 0.0120 0.0651 0.0469 0.0490 0.0319 0.0118 0.0195
0.9000 -0.0439 -0.0584 0.0102 0.0647 0.0514 0.0420 0.0438 0.0287 0.0129
0.9500 -0.0466 -0.0574 0.0090 0.0620 0.0559 0.0364 0.0546 0.0446 0.0087
1.0000 -0.0494 -0.0549 0.0082 0.0576 0.0601 0.0325 0.0641 0.0586 0.0073
1.0500 -0.0522 -0.0512 0.0078 0.0520 0.0639 0.0306 0.0722 0.0700 0.0089
1.1000 -0.0547 -0.0467 0.0077 0.0456 0.0670 0.0307 0.0790 0.0786 0.0132
1.1500 -0.0569 -0.0416 0.0077 0.0391 0.0691 0.0327 0.0845 0.0842 0.0200
1.2000 -0.0585 -0.0364 0.0076 0.0329 0.0703 0.0364 0.0888 0.0871 0.0288
1.2500 -0.0595 -0.0312 0.0073 0.0275 0.0705 0.0415 0.0919 0.0875 0.0389
1.3000 -0.0599 -0.0264 0.0067 0.0232 0.0697 0.0477 0.0939 0.0862 0.0496
1.3500 -0.0596 -0.0221 0.0058 0.0202 0.0679 0.0545 0.0949 0.0837 0.0602
1.4000 -0.0587 -0.0184 0.0045 0.0186 0.0654 0.0617 0.0950 0.0807 0.0702
1.4500 -0.0572 -0.0154 0.0030 0.0181 0.0623 0.0688 0.0942 0.0779 0.0788
1.5000 -0.0553 -0.0133 0.0013 0.0187 0.0587 0.0754 0.0927 0.0758 0.0858
1.5500 -0.0529 -0.0120 -0.0004 0.0200 0.0551 0.0814 0.0906 0.0748 0.0909
1.6000 -0.0503 -0.0114 -0.0018 0.0218 0.0514 0.0863 0.0883 0.0751 0.0941
1.6500 -0.0476 -0.0115 -0.0030 0.0237 0.0480 0.0901 0.0859 0.0767 0.0953
1.7000 -0.0449 -0.0122 -0.0036 0.0254 0.0449 0.0927 0.0836 0.0794 0.0949
1.7500 -0.0423 -0.0133 -0.0038 0.0267 0.0422 0.0941 0.0818 0.0830 0.0932
1.8000 -0.0400 -0.0146 -0.0034 0.0274 0.0401 0.0942 0.0806 0.0870 0.0905
1.8500 -0.0379 -0.0160 -0.0025 0.0274 0.0385 0.0933 0.0801 0.0910 0.0873
1.9000 -0.0362 -0.0172 -0.0013 0.0267 0.0374 0.0915 0.0805 0.0947 0.0840
1.9500 -0.0349 -0.0181 0.0003 0.0253 0.0367 0.0891 0.0817 0.0977 0.0808
2.0000 -0.0340 -0.0186 0.0019 0.0233 0.0364 0.0863 0.0836 0.0997 0.0782
2.0500 -0.0335 -0.0186 0.0034 0.0210 0.0363 0.0834 0.0861 0.1006 0.0762
2.1000 -0.0333 -0.0181 0.0048 0.0185 0.0364 0.0806 0.0888 0.1004 0.0750
2.1500 -0.0334 -0.0170 0.0057 0.0160 0.0366 0.0783 0.0916 0.0992 0.0745
2.2000 -0.0336 -0.0154 0.0062 0.0136 0.0367 0.0765 0.0941 0.0971 0.0747
2.2500 -0.0340 -0.0135 0.0063 0.0115 0.0368 0.0754 0.0961 0.0945 0.0755
2.3000 -0.0343 -0.0114 0.0059 0.0098 0.0368 0.0750 0.0974 0.0917 0.0766
2.3500 -0.0347 -0.0091 0.0052 0.0085 0.0366 0.0754 0.0977 0.0888 0.0780
2.4000 -0.0349 -0.0069 0.0042 0.0077 0.0364 0.0764 0.0971 0.0862 0.0794
2.4500 -0.0350 -0.0050 0.0031 0.0072 0.0360 0.0779 0.0956 0.0840 0.0807
2.5000 -0.0349 -0.0034 0.0019 0.0070 0.0356 0.0798 0.0933 0.0823 0.0819
2.5500 -0.0347 -0.0023 0.0009 0.0071 0.0351 0.0818 0.0904 0.0813 0.0827
