 x	 y	 z	 xc	 yc
1.0000 1.0000 1.0000 1.0000 1.0000
1.0060 0.9967 0.9971 1.0054 0.9961
1.0111 1.0006 0.9888 1.0102 0.9998
1.0089 0.9997 0.9951 1.0069 0.9977
1.0153 1.0073 1.0015 1.0122 1.0042
1.0181 1.0115 1.0088 1.0138 1.0072
1.0237 1.0133 1.0062 1.0188 1.0084
1.0303 1.0180 1.0169 1.0240 1.0118
1.0281 1.0131 1.0192 1.0208 1.0059
1.0319 1.0183 1.0166 1.0240 1.0104
1.0375 1.0161 1.0175 1.0288 1.0075
1.0405 1.0162 1.0286 1.0303 1.0061
1.0497 1.0213 1.0336 1.0384 1.0101
1.0559 1.0226 1.0424 1.0433 1.0102
1.0626 1.0274 1.0392 1.0495 1.0143
1.0702 1.0356 1.0548 1.0553 1.0209
1.0796 1.0355 1.0521 1.0641 1.0202
1.0826 1.0351 1.0535 1.0662 1.0190
1.0849 1.0291 1.0495 1.0679 1.0123
1.0830 1.0253 1.0596 1.0644 1.0070
1.0840 1.0261 1.0706 1.0639 1.0064
1.0824 1.0164 1.0708 1.0614 0.9958
1.0943 1.0230 1.0621 1.0730 1.0022
1.0995 1.0207 1.0674 1.0771 0.9988
1.0964 1.0200 1.0645 1.0733 0.9974
1.0971 1.0234 1.0640 1.0732 1.0001
1.1011 1.0211 1.0724 1.0758 0.9965
1.1055 1.0163 1.0686 1.0795 0.9910
1.1074 1.0184 1.0657 1.0808 0.9925
1.1059 1.0135 1.0664 1.0784 0.9868
1.1092 1.0158 1.0570 1.0814 0.9888
1.1127 1.0238 1.0531 1.0843 0.9963
1.1165 1.0180 1.0561 1.0871 0.9895
1.1245 1.0243 1.0657 1.0938 0.9945
1.1271 1.0288 1.0810 1.0945 0.9973
1.1315 1.0322 1.0790 1.0982 1.0000
1.1347 1.0323 1.0822 1.1004 0.9991
1.1415 1.0423 1.0802 1.1065 1.0085
1.1515 1.0368 1.0914 1.1149 1.0016
1.1519 1.0465 1.1059 1.1137 1.0096
1.1501 1.0484 1.1037 1.1111 1.0109
1.1543 1.0505 1.1006 1.1145 1.0123
1.1582 1.0500 1.0961 1.1178 1.0113
1.1615 1.0565 1.0891 1.1208 1.0174
1.1724 1.0628 1.0924 1.1306 1.0227
1.1758 1.0696 1.0841 1.1337 1.0293
1.1700 1.0687 1.0855 1.1268 1.0275
1.1647 1.0666 1.0837 1.1207 1.0247
1.1610 1.0614 1.0811 1.1162 1.0188
1.1688 1.0703 1.0868 1.1229 1.0265
1.1667 1.0709 1.0839 1.1200 1.0265
1.1694 1.0680 1.0814 1.1220 1.0230
1.1678 1.0653 1.0766 1.1198 1.0197
1.1730 1.0672 1.0781 1.1240 1.0208
1.1657 1.0624 1.0712 1.1162 1.0156
