 t	 x	 y	 z	 w
0.0000 0.0000 -0.0000 0.0000 -0.0000
0.0100 0.0206 0.0029 0.0024 0.0022
0.0200 0.0652 0.0098 0.0082 0.0076
0.0300 0.1231 0.0197 0.0165 0.0153
0.0400 0.1883 0.0320 0.0268 0.0249
0.0500 0.2562 0.0463 0.0389 0.0361
0.0600 0.3233 0.0622 0.0524 0.0486
0.0700 0.3870 0.0797 0.0671 0.0622
0.0800 0.4455 0.0982 0.0829 0.0768
0.0900 0.4974 0.1178 0.0995 0.0921
0.1000 0.5423 0.1382 0.1168 0.1081
0.1100 0.5799 0.1591 0.1346 0.1245
0.1200 0.6106 0.1805 0.1528 0.1412
0.1300 0.6349 0.2023 0.1713 0.1582
0.1400 0.6534 0.2242 0.1901 0.1754
0.1500 0.6672 0.2462 0.2089 0.1927
0.1600 0.6770 0.2682 0.2277 0.2100
0.1700 0.6837 0.2901 0.2465 0.2273
0.1800 0.6880 0.3117 0.2652 0.2445
0.1900 0.6906 0.3331 0.2837 0.2616
0.2000 0.6920 0.3541 0.3019 0.2786
0.2100 0.6926 0.3746 0.3199 0.2953
0.2200 0.6927 0.3947 0.3376 0.3119
0.2300 0.6926 0.4143 0.3549 0.3282
0.2400 0.6923 0.4332 0.3718 0.3442
0.2500 0.6919 0.4516 0.3884 0.3600
0.2600 0.6916 0.4694 0.4045 0.3754
0.2700 0.6913 0.4864 0.4202 0.3906
0.2800 0.6910 0.5028 0.4355 0.4053
0.2900 0.6907 0.5185 0.4503 0.4197
0.3000 0.6905 0.5335 0.4646 0.4337
0.3100 0.6904 0.5478 0.4784 0.4472
0.3200 0.6902 0.5614 0.4917 0.4603
0.3300 0.6901 0.5742 0.5046 0.4730
0.3400 0.6900 0.5863 0.5169 0.4851
0.3500 0.6898 0.5977 0.5287 0.4967
0.3600 0.6897 0.6084 0.5400 0.5077
0.3700 0.6896 0.6183 0.5508 0.5183
0.3800 0.6896 0.6276 0.5610 0.5282
0.3900 0.6895 0.6362 0.5707 0.5376
0.4000 0.6894 0.6441 0.5799 0.5464
0.4100 0.6893 0.6513 0.5885 0.5547
0.4200 0.6892 0.6579 0.5966 0.5624
0.4300 0.6892 0.6638 0.6041 0.5695
0.4400 0.6891 0.6692 0.6112 0.5761
0.4500 0.6890 0.6739 0.6177 0.5822
0.4600 0.6890 0.6781 0.6237 0.5878
0.4700 0.6890 0.6817 0.6292 0.5928
0.4800 0.6889 0.6847 0.6343 0.5974
0.4900 0.6889 0.6873 0.6389 0.6016
0.5000 0.6889 0.6893 0.6430 0.6053
0.5100 0.6889 0.6909 0.6467 0.6085
0.5200 0.6888 0.6920 0.6500 0.6114
0.5300 0.6889 0.6928 0.6529 0.6139
0.5400 0.6889 0.6931 0.6555 0.6161
0.5500 0.6889 0.6931 0.6576 0.6179
0.5600 0.6889 0.6928 0.6595 0.6194
0.5700 0.6889 0.6922 0.6610 0.6205
0.5800 0.6890 0.6914 0.6623 0.6214
0.5900 0.6890 0.6904 0.6633 0.6219
0.6000 0.6891 0.6892 0.6639 0.6221
0.6100 0.6892 0.6879 0.6644 0.6221
0.6200 0.6892 0.6865 0.6645 0.6217
0.6300 0.6893 0.6851 0.6644 0.6210
0.6400 0.6894 0.6837 0.6641 0.6200
0.6500 0.6895 0.6823 0.6635 0.6187
0.6600 0.6896 0.6810 0.6627 0.6171
0.6700 0.6897 0.6798 0.6616 0.6151
0.6800 0.6898 0.6788 0.6602 0.6127
0.6900 0.6899 0.6779 0.6586 0.6099
0.7000 0.6900 0.6772 0.6567 0.6068
0.7100 0.6901 0.6767 0.6545 0.6032
0.7200 0.6902 0.6764 0.6520 0.5992
0.7300 0.6903 0.6764 0.6492 0.5947
0.7400 0.6904 0.6766 0.6461 0.5897
0.7500 0.6905 0.6770 0.6427 0.5843
0.7600 0.6906 0.6776 0.6389 0.5783
0.7700 0.6907 0.6784 0.6348 0.5718
0.7800 0.6908 0.6794 0.6302 0.5647
0.7900 0.6909 0.6805 0.6253 0.5571
