 t	 x	 y	 z	 w
0.0000 1.0000 1.0000 1.0000 1.0000
0.0100 0.9989 0.9997 0.9998 0.9998
0.0200 0.9958 0.9990 0.9990 0.9991
0.0300 0.9906 0.9977 0.9979 0.9979
0.0400 0.9833 0.9960 0.9962 0.9962
0.0500 0.9739 0.9937 0.9940 0.9941
0.0600 0.9627 0.9910 0.9914 0.9915
0.0700 0.9495 0.9877 0.9883 0.9885
0.0800 0.9344 0.9840 0.9848 0.9850
0.0900 0.9176 0.9798 0.9808 0.9810
0.1000 0.8991 0.9751 0.9763 0.9766
0.1100 0.8790 0.9699 0.9713 0.9717
0.1200 0.8574 0.9642 0.9659 0.9664
0.1300 0.8345 0.9581 0.9601 0.9606
0.1400 0.8102 0.9515 0.9538 0.9544
0.1500 0.7848 0.9444 0.9471 0.9478
0.1600 0.7584 0.9369 0.9399 0.9407
0.1700 0.7310 0.9289 0.9323 0.9331
0.1800 0.7029 0.9205 0.9242 0.9252
0.1900 0.6741 0.9116 0.9158 0.9168
0.2000 0.6448 0.9023 0.9069 0.9080
0.2100 0.6151 0.8926 0.8976 0.8988
0.2200 0.5851 0.8825 0.8878 0.8892
0.2300 0.5549 0.8719 0.8777 0.8792
0.2400 0.5247 0.8610 0.8672 0.8688
0.2500 0.4946 0.8496 0.8563 0.8579
0.2600 0.4648 0.8379 0.8449 0.8467
0.2700 0.4352 0.8257 0.8332 0.8351
0.2800 0.4060 0.8132 0.8212 0.8231
0.2900 0.3774 0.8004 0.8087 0.8107
0.3000 0.3494 0.7871 0.7959 0.7979
0.3100 0.3220 0.7735 0.7827 0.7848
0.3200 0.2955 0.7596 0.7691 0.7713
0.3300 0.2698 0.7453 0.7552 0.7575
0.3400 0.2449 0.7307 0.7410 0.7432
0.3500 0.2211 0.7158 0.7264 0.7287
0.3600 0.1982 0.7005 0.7114 0.7138
0.3700 0.1764 0.6849 0.6961 0.6985
0.3800 0.1556 0.6690 0.6805 0.6830
0.3900 0.1359 0.6528 0.6646 0.6671
0.4000 0.1174 0.6363 0.6484 0.6509
0.4100 0.0999 0.6196 0.6318 0.6344
0.4200 0.0835 0.6025 0.6150 0.6176
0.4300 0.0683 0.5852 0.5979 0.6005
0.4400 0.0541 0.5676 0.5805 0.5832
0.4500 0.0409 0.5497 0.5628 0.5655
0.4600 0.0289 0.5316 0.5448 0.5477
0.4700 0.0178 0.5132 0.5266 0.5295
0.4800 0.0077 0.4946 0.5081 0.5112
0.4900 -0.0015 0.4758 0.4894 0.4926
0.5000 -0.0098 0.4567 0.4705 0.4738
0.5100 -0.0173 0.4374 0.4513 0.4547
0.5200 -0.0240 0.4179 0.4320 0.4355
0.5300 -0.0299 0.3982 0.4124 0.4161
0.5400 -0.0352 0.3783 0.3926 0.3964
0.5500 -0.0398 0.3582 0.3727 0.3766
0.5600 -0.0438 0.3379 0.3526 0.3567
0.5700 -0.0473 0.3174 0.3323 0.3366
0.5800 -0.0503 0.2967 0.3119 0.3163
0.5900 -0.0528 0.2759 0.2913 0.2959
0.6000 -0.0550 0.2550 0.2706 0.2753
0.6100 -0.0568 0.2339 0.2498 0.2547
0.6200 -0.0583 0.2127 0.2289 0.2339
0.6300 -0.0595 0.1913 0.2079 0.2130
0.6400 -0.0606 0.1698 0.1868 0.1920
0.6500 -0.0614 0.1482 0.1656 0.1709
0.6600 -0.0620 0.1266 0.1444 0.1498
0.6700 -0.0625 0.1048 0.1231 0.1286
0.6800 -0.0629 0.0830 0.1017 0.1073
0.6900 -0.0632 0.0611 0.0804 0.0860
0.7000 -0.0634 0.0391 0.0590 0.0646
0.7100 -0.0636 0.0171 0.0376 0.0433
0.7200 -0.0637 -0.0049 0.0161 0.0219
0.7300 -0.0637 -0.0269 -0.0053 0.0005
0.7400 -0.0637 -0.0490 -0.0267 -0.0209
0.7500 -0.0637 -0.0710 -0.0480 -0.0423
0.7600 -0.0637 -0.0930 -0.0694 -0.0636
0.7700 -0.0636 -0.1150 -0.0906 -0.0849
0.7800 -0.0635 -0.1369 -0.1119 -0.1062
0.7900 -0.0633 -0.1588 -0.1331 -0.1274
0.8000 -0.0631 -0.1806 -0.1542 -0.1485
0.8100 -0.0629 -0.2023 -0.1752 -0.1696
0.8200 -0.0627 -0.2239 -0.1961 -0.1905
0.8300 -0.0624 -0.2454 -0.2170 -0.2114
0.8400 -0.0621 -0.2668 -0.2377 -0.2321
0.8500 -0.0618 -0.2880 -0.2583 -0.2527
0.8600 -0.0614 -0.3090 -0.2788 -0.2732
0.8700 -0.0611 -0.3299 -0.2992 -0.2935
0.8800 -0.0607 -0.3507 -0.3194 -0.3137
0.8900 -0.0603 -0.3712 -0.3395 -0.3338
0.9000 -0.0600 -0.3915 -0.3594 -0.3536
0.9100 -0.0597 -0.4116 -0.3791 -0.3733
0.9200 -0.0594 -0.4314 -0.3986 -0.3928
0.9300 -0.0593 -0.4511 -0.4180 -0.4121
0.9400 -0.0592 -0.4704 -0.4372 -0.4312
0.9500 -0.0593 -0.4895 -0.4561 -0.4501
0.9600 -0.0595 -0.5083 -0.4748 -0.4688
