 i	 j	 H	 L
0.0000 0.0000 1.9000 0.0000
1.0000 0.0000 -0.0000 0.0000
2.0000 0.0000 -0.0000 0.0000
3.0000 0.0000 -0.0000 0.0000
4.0000 0.0000 -0.0000 0.0000
5.0000 0.0000 0.0000 0.0000
6.0000 0.0000 -0.0000 0.0000
7.0000 0.0000 0.0000 -0.0000
8.0000 0.0000 -0.0000 0.0000
9.0000 0.0000 -0.0000 0.0000
10.0000 0.0000 -0.0000 0.0000
11.0000 0.0000 0.0000 -0.0000
12.0000 0.0000 -0.0000 -0.0000
13.0000 0.0000 0.0000 0.0000
14.0000 0.0000 -0.0000 0.0000
15.0000 0.0000 -0.0000 0.0000
16.0000 0.0000 -0.0000 0.0000
17.0000 0.0000 0.0000 0.0000
18.0000 0.0000 -0.0000 0.0000
19.0000 0.0000 0.0000 0.0000
20.0000 0.0000 0.0000 0.0000
21.0000 0.0000 0.0000 0.0000
22.0000 0.0000 0.0000 0.0000
23.0000 0.0000 -0.0000 0.0000
24.0000 0.0000 0.0000 -0.0000
25.0000 0.0000 -0.0000 0.0000
26.0000 0.0000 0.0000 -0.0000
27.0000 0.0000 0.0000 0.0000
28.0000 0.0000 0.0000 0.0000
29.0000 0.0000 -0.0000 0.0000
30.0000 0.0000 0.0000 0.0000
31.0000 0.0000 0.0000 0.0000
0.0000 1.0000 -0.0000 -0.0000
1.0000 1.0000 1.9000 0.0000
2.0000 1.0000 0.0000 0.0000
3.0000 1.0000 0.0000 0.0000
4.0000 1.0000 -0.0000 -0.0000
5.0000 1.0000 0.0000 0.0000
6.0000 1.0000 0.0000 0.0000
7.0000 1.0000 0.0000 -0.0000
8.0000 1.0000 0.0000 0.0000
9.0000 1.0000 0.0000 0.0000
10.0000 1.0000 -0.0000 0.0000
11.0000 1.0000 0.0000 0.0000
12.0000 1.0000 0.0000 0.0000
13.0000 1.0000 0.0000 0.0000
14.0000 1.0000 0.0000 0.0000
15.0000 1.0000 0.0000 0.0000
16.0000 1.0000 -0.0000 0.0000
17.0000 1.0000 0.0000 0.0000
18.0000 1.0000 -0.0000 0.0000
19.0000 1.0000 0.0000 0.0000
20.0000 1.0000 0.0000 0.0000
21.0000 1.0000 0.0000 0.0000
22.0000 1.0000 0.0000 0.0000
23.0000 1.0000 0.0000 0.0000
24.0000 1.0000 0.0000 0.0000
25.0000 1.0000 0.0000 0.0000
26.0000 1.0000 0.0000 0.0000
27.0000 1.0000 0.0000 0.0000
28.0000 1.0000 0.0000 0.0000
29.0000 1.0000 0.0000 0.0000
30.0000 1.0000 0.0000 0.0000
31.0000 1.0000 0.0000 0.0000
0.0000 2.0000 0.0000 0.0000
1.0000 2.0000 0.0000 0.0000
2.0000 2.0000 -2.3000 0.0000
3.0000 2.0000 0.0000 0.0000
4.0000 2.0000 0.0000 0.0000
5.0000 2.0000 0.0000 0.0000
6.0000 2.0000 0.0000 0.0000
7.0000 2.0000 -0.0000 0.0000
8.0000 2.0000 0.0000 0.0000
9.0000 2.0000 0.0000 0.0000
10.0000 2.0000 0.0000 0.0000
11.0000 2.0000 -0.0000 0.0000
12.0000 2.0000 -0.0000 0.0000
13.0000 2.0000 -0.0000 0.0000
14.0000 2.0000 -0.0000 0.0000
15.0000 2.0000 -0.0000 0.0000
16.0000 2.0000 -0.0000 -0.0000
17.0000 2.0000 0.0000 0.0000
18.0000 2.0000 0.0000 0.0000
19.0000 2.0000 0.0000 0.0000
20.0000 2.0000 -0.0000 -0.0000
21.0000 2.0000 0.0000 -0.0000
22.0000 2.0000 0.0000 0.0000
23.0000 2.0000 0.0000 0.0000
24.0000 2.0000 -0.0000 0.0000
25.0000 2.0000 0.0000 0.0000
26.0000 2.0000 -0.0000 0.0000
27.0000 2.0000 0.0000 0.0000
28.0000 2.0000 -0.0000 0.0000
29.0000 2.0000 -0.0000 -0.0000
30.0000 2.0000 0.0000 0.0000
31.0000 2.0000 0.0000 -0.0000
0.0000 3.0000 -0.0000 0.0000
1.0000 3.0000 0.0000 0.0000
2.0000 3.0000 0.0000 -0.0000
3.0000 3.0000 -2.3000 0.0000
4.0000 3.0000 -0.0000 0.0000
5.0000 3.0000 0.0000 0.0000
6.0000 3.0000 0.0000 0.0000
7.0000 3.0000 -0.0000 0.0000
8.0000 3.0000 0.0000 0.0000
9.0000 3.0000 0.0000 0.0000
10.0000 3.0000 0.0000 0.0000
11.0000 3.0000 0.0000 0.0000
12.0000 3.0000 0.0000 0.0000
13.0000 3.0000 0.0000 -0.0000
14.0000 3.0000 -0.0000 0.0000
15.0000 3.0000 -0.0000 0.0000
16.0000 3.0000 -0.0000 -0.0000
17.0000 3.0000 -0.0000 0.0000
18.0000 3.0000 -0.0000 0.0000
19.0000 3.0000 0.0000 0.0000
20.0000 3.0000 -0.0000 0.0000
21.0000 3.0000 0.0000 0.0000
22.0000 3.0000 0.0000 0.0000
23.0000 3.0000 0.0000 0.0000
24.0000 3.0000 0.0000 0.0000
25.0000 3.0000 0.0000 0.0000
26.0000 3.0000 0.0000 0.0000
27.0000 3.0000 0.0000 0.0000
28.0000 3.0000 0.0000 0.0000
29.0000 3.0000 -0.0000 0.0000
30.0000 3.0000 -0.0000 0.0000
31.0000 3.0000 0.0000 0.0000
0.0000 4.0000 -0.0000 0.0000
1.0000 4.0000 -0.0000 0.0000
2.0000 4.0000 0.0000 0.0000
3.0000 4.0000 -0.0000 0.0000
4.0000 4.0000 3.0000 0.0000
5.0000 4.0000 0.0000 -0.0000
6.0000 4.0000 0.0000 0.0000
7.0000 4.0000 0.0000 1.4142
8.0000 4.0000 0.0000 -0.0000
9.0000 4.0000 0.0000 0.0000
10.0000 4.0000 0.1000 0.0000
11.0000 4.0000 -0.0000 0.0000
12.0000 4.0000 -0.0000 0.0000
13.0000 4.0000 0.0000 0.0000
14.0000 4.0000 0.0000 0.0000
15.0000 4.0000 0.0000 0.0000
16.0000 4.0000 -0.0000 0.0000
17.0000 4.0000 -0.0000 0.0000
18.0000 4.0000 -0.0000 0.0000
19.0000 4.0000 0.0000 0.0000
20.0000 4.0000 0.0000 0.0000
21.0000 4.0000 0.0000 0.0000
22.0000 4.0000 0.0000 0.0000
23.0000 4.0000 -0.0000 0.0000
24.0000 4.0000 0.0000 -0.0000
25.0000 4.0000 0.0000 0.0000
26.0000 4.0000 0.0000 0.0000
27.0000 4.0000 -0.0000 0.0000
28.0000 4.0000 0.0000 0.0000
29.0000 4.0000 0.0000 0.0000
30.0000 4.0000 0.0000 0.0000
31.0000 4.0000 0.0000 0.0000
0.0000 5.0000 0.0000 -0.0000
1.0000 5.0000 0.0000 0.0000
2.0000 5.0000 0.0000 0.0000
3.0000 5.0000 0.0000 0.0000
4.0000 5.0000 0.0000 0.0000
5.0000 5.0000 3.0000 0.0000
6.0000 5.0000 -0.0000 0.0000
7.0000 5.0000 -0.0000 -0.0000
8.0000 5.0000 0.0000 1.4142
9.0000 5.0000 0.0000 -0.0000
10.0000 5.0000 -0.0000 -0.0000
11.0000 5.0000 0.1000 0.0000
12.0000 5.0000 -0.0000 0.0000
13.0000 5.0000 -0.0000 0.0000
14.0000 5.0000 0.0000 0.0000
15.0000 5.0000 0.0000 0.0000
16.0000 5.0000 -0.0000 0.0000
17.0000 5.0000 0.0000 0.0000
18.0000 5.0000 -0.0000 0.0000
19.0000 5.0000 0.0000 0.0000
20.0000 5.0000 0.0000 0.0000
21.0000 5.0000 0.0000 0.0000
22.0000 5.0000 -0.0000 0.0000
23.0000 5.0000 0.0000 0.0000
24.0000 5.0000 -0.0000 0.0000
25.0000 5.0000 0.0000 -0.0000
26.0000 5.0000 -0.0000 0.0000
27.0000 5.0000 0.0000 0.0000
28.0000 5.0000 -0.0000 0.0000
29.0000 5.0000 0.0000 0.0000
30.0000 5.0000 0.0000 0.0000
31.0000 5.0000 0.0000 0.0000
0.0000 6.0000 -0.0000 -0.0000
1.0000 6.0000 0.0000 0.0000
2.0000 6.0000 0.0000 0.0000
3.0000 6.0000 0.0000 0.0000
4.0000 6.0000 0.0000 0.0000
5.0000 6.0000 -0.0000 0.0000
6.0000 6.0000 3.0000 0.0000
7.0000 6.0000 0.0000 0.0000
8.0000 6.0000 0.0000 -0.0000
9.0000 6.0000 0.0000 1.4142
10.0000 6.0000 0.0000 0.0000
11.0000 6.0000 -0.0000 0.0000
12.0000 6.0000 0.1000 0.0000
13.0000 6.0000 0.0000 0.0000
14.0000 6.0000 0.0000 0.0000
15.0000 6.0000 0.0000 0.0000
16.0000 6.0000 0.0000 0.0000
17.0000 6.0000 0.0000 0.0000
18.0000 6.0000 0.0000 0.0000
19.0000 6.0000 0.0000 0.0000
20.0000 6.0000 0.0000 0.0000
21.0000 6.0000 0.0000 0.0000
22.0000 6.0000 0.0000 0.0000
23.0000 6.0000 -0.0000 0.0000
24.0000 6.0000 0.0000 -0.0000
25.0000 6.0000 -0.0000 0.0000
26.0000 6.0000 0.0000 0.0000
27.0000 6.0000 -0.0000 0.0000
28.0000 6.0000 0.0000 0.0000
29.0000 6.0000 0.0000 0.0000
30.0000 6.0000 0.0000 0.0000
31.0000 6.0000 0.0000 0.0000
0.0000 7.0000 0.0000 -0.0000
1.0000 7.0000 0.0000 -0.0000
2.0000 7.0000 -0.0000 0.0000
3.0000 7.0000 -0.0000 0.0000
4.0000 7.0000 0.0000 -0.0000
5.0000 7.0000 -0.0000 -0.0000
6.0000 7.0000 0.0000 0.0000
7.0000 7.0000 2.1000 0.0000
8.0000 7.0000 -0.0000 -0.0000
9.0000 7.0000 0.0000 -0.0000
10.0000 7.0000 0.0000 1.4142
11.0000 7.0000 0.0000 0.0000
12.0000 7.0000 0.0000 -0.0000
13.0000 7.0000 2.8284 0.0000
14.0000 7.0000 -0.0000 0.0000
15.0000 7.0000 0.0000 0.0000
16.0000 7.0000 0.0000 0.0000
17.0000 7.0000 0.0000 0.0000
18.0000 7.0000 0.0000 0.0000
19.0000 7.0000 -0.0000 0.0000
20.0000 7.0000 0.0000 0.0000
21.0000 7.0000 -0.0000 0.0000
22.0000 7.0000 -0.0000 0.0000
23.0000 7.0000 0.0000 0.0000
24.0000 7.0000 -0.0000 0.0000
25.0000 7.0000 0.0000 -0.0000
26.0000 7.0000 -0.0000 0.0000
27.0000 7.0000 0.0000 0.0000
28.0000 7.0000 -0.0000 0.0000
29.0000 7.0000 0.0000 0.0000
30.0000 7.0000 0.0000 0.0000
31.0000 7.0000 0.0000 0.0000
0.0000 8.0000 0.0000 0.0000
1.0000 8.0000 0.0000 0.0000
2.0000 8.0000 0.0000 0.0000
3.0000 8.0000 0.0000 0.0000
4.0000 8.0000 0.0000 -0.0000
5.0000 8.0000 0.0000 0.0000
6.0000 8.0000 0.0000 0.0000
7.0000 8.0000 -0.0000 0.0000
8.0000 8.0000 2.1000 0.0000
9.0000 8.0000 -0.0000 0.0000
10.0000 8.0000 -0.0000 -0.0000
11.0000 8.0000 0.0000 1.4142
12.0000 8.0000 0.0000 -0.0000
13.0000 8.0000 -0.0000 0.0000
14.0000 8.0000 2.8284 0.0000
15.0000 8.0000 -0.0000 0.0000
16.0000 8.0000 -0.0000 0.0000
17.0000 8.0000 0.0000 0.0000
18.0000 8.0000 0.0000 0.0000
19.0000 8.0000 -0.0000 0.0000
20.0000 8.0000 0.0000 0.0000
21.0000 8.0000 -0.0000 0.0000
22.0000 8.0000 0.0000 0.0000
23.0000 8.0000 -0.0000 0.0000
24.0000 8.0000 0.0000 0.0000
25.0000 8.0000 -0.0000 0.0000
26.0000 8.0000 0.0000 -0.0000
27.0000 8.0000 0.0000 0.0000
28.0000 8.0000 0.0000 0.0000
29.0000 8.0000 -0.0000 0.0000
30.0000 8.0000 0.0000 0.0000
31.0000 8.0000 0.0000 0.0000
0.0000 9.0000 -0.0000 -0.0000
1.0000 9.0000 0.0000 -0.0000
2.0000 9.0000 0.0000 0.0000
3.0000 9.0000 0.0000 0.0000
4.0000 9.0000 0.0000 -0.0000
5.0000 9.0000 0.0000 -0.0000
6.0000 9.0000 0.0000 0.0000
7.0000 9.0000 0.0000 0.0000
8.0000 9.0000 -0.0000 0.0000
9.0000 9.0000 2.1000 0.0000
10.0000 9.0000 -0.0000 0.0000
11.0000 9.0000 0.0000 -0.0000
12.0000 9.0000 0.0000 1.4142
13.0000 9.0000 0.0000 0.0000
14.0000 9.0000 -0.0000 0.0000
15.0000 9.0000 2.8284 0.0000
16.0000 9.0000 -0.0000 0.0000
17.0000 9.0000 0.0000 0.0000
18.0000 9.0000 0.0000 0.0000
