 x	 y	 z
0.0000 0.0000 1.0000
0.0477 -0.0224 0.9854
0.0939 -0.0440 0.9682
0.1385 -0.0646 0.9486
0.1815 -0.0844 0.9267
0.2227 -0.1031 0.9028
0.2621 -0.1209 0.8768
0.2997 -0.1376 0.8490
0.3353 -0.1532 0.8195
0.3689 -0.1678 0.7885
0.4005 -0.1812 0.7560
0.4300 -0.1936 0.7223
0.4575 -0.2048 0.6875
0.4829 -0.2150 0.6517
0.5061 -0.2240 0.6150
0.5273 -0.2318 0.5777
0.5463 -0.2386 0.5398
0.5633 -0.2442 0.5015
0.5781 -0.2488 0.4630
0.5909 -0.2523 0.4242
0.6017 -0.2547 0.3855
0.6105 -0.2561 0.3468
0.6172 -0.2565 0.3083
0.6221 -0.2558 0.2702
0.6251 -0.2543 0.2325
0.6262 -0.2517 0.1953
0.6256 -0.2483 0.1587
0.6233 -0.2440 0.1229
0.6193 -0.2389 0.0879
0.6138 -0.2330 0.0538
0.6067 -0.2264 0.0206
0.5981 -0.2190 -0.0115
0.5882 -0.2109 -0.0425
0.5771 -0.2023 -0.0723
0.5646 -0.1930 -0.1008
0.5511 -0.1831 -0.1281
0.5365 -0.1728 -0.1541
0.5209 -0.1620 -0.1787
0.5044 -0.1507 -0.2019
0.4870 -0.1391 -0.2237
0.4690 -0.1271 -0.2440
0.4502 -0.1149 -0.2629
0.4310 -0.1023 -0.2803
0.4112 -0.0896 -0.2962
0.3909 -0.0767 -0.3106
0.3704 -0.0636 -0.3235
0.3495 -0.0505 -0.3350
0.3285 -0.0373 -0.3449
0.3074 -0.0240 -0.3534
0.2862 -0.0108 -0.3605
0.2650 0.0024 -0.3662
0.2440 0.0155 -0.3705
0.2230 0.0284 -0.3734
0.2023 0.0413 -0.3750
0.1819 0.0539 -0.3753
0.1618 0.0664 -0.3744
0.1420 0.0786 -0.3722
0.1227 0.0906 -0.3689
0.1039 0.1023 -0.3645
0.0856 0.1137 -0.3590
0.0679 0.1248 -0.3525
0.0508 0.1355 -0.3450
0.0343 0.1459 -0.3366
0.0185 0.1559 -0.3274
0.0033 0.1655 -0.3174
-0.0110 0.1748 -0.3066
-0.0247 0.1836 -0.2951
-0.0375 0.1920 -0.2830
-0.0496 0.2000 -0.2704
-0.0609 0.2075 -0.2572
-0.0713 0.2146 -0.2435
-0.0810 0.2212 -0.2295
-0.0898 0.2274 -0.2151
-0.0978 0.2332 -0.2004
-0.1049 0.2385 -0.1854
-0.1113 0.2434 -0.1703
-0.1168 0.2478 -0.1551
-0.1215 0.2518 -0.1398
-0.1254 0.2553 -0.1244
-0.1285 0.2584 -0.1091
-0.1308 0.2611 -0.0938
-0.1324 0.2634 -0.0787
-0.1333 0.2653 -0.0637
-0.1334 0.2668 -0.0488
-0.1328 0.2679 -0.0343
-0.1316 0.2686 -0.0200
-0.1297 0.2690 -0.0060
-0.1271 0.2690 0.0076
-0.1240 0.2687 0.0209
-0.1203 0.2681 0.0337
-0.1161 0.2671 0.0462
-0.1114 0.2659 0.0581
-0.1062 0.2644 0.0696
-0.1005 0.2627 0.0806
-0.0944 0.2607 0.0911
-0.0880 0.2584 0.1010
-0.0811 0.2560 0.1104
-0.0740 0.2534 0.1192
-0.0666 0.2506 0.1274
-0.0589 0.2476 0.1351
-0.0510 0.2445 0.1422
-0.0428 0.2412 0.1486
-0.0346 0.2378 0.1545
-0.0262 0.2344 0.1598
-0.0177 0.2308 0.1645
-0.0091 0.2272 0.1687
-0.0005 0.2235 0.1722
0.0082 0.2198 0.1752
0.0168 0.2161 0.1776
0.0254 0.2123 0.1794
0.0339 0.2086 0.1807
0.0424 0.2049 0.1814
0.0507 0.2012 0.1817
0.0589 0.1975 0.1814
0.0670 0.1939 0.1806
0.0748 0.1904 0.1794
0.0825 0.1870 0.1777
0.0900 0.1836 0.1756
0.0972 0.1803 0.1731
0.1042 0.1771 0.1702
0.1110 0.1741 0.1669
0.1175 0.1711 0.1632
0.1237 0.1683 0.1592
0.1296 0.1656 0.1549
0.1352 0.1631 0.1503
0.1405 0.1606 0.1455
0.1455 0.1584 0.1404
0.1502 0.1563 0.1351
0.1546 0.1543 0.1296
0.1586 0.1525 0.1239
0.1623 0.1509 0.1181
0.1657 0.1494 0.1121
0.1687 0.1481 0.1060
0.1715 0.1470 0.0999
0.1739 0.1460 0.0936
0.1760 0.1452 0.0874
0.1777 0.1446 0.0811
0.1792 0.1441 0.0748
0.1803 0.1438 0.0685
0.1812 0.1436 0.0622
0.1817 0.1436 0.0560
0.1820 0.1437 0.0499
0.1820 0.1440 0.0438
0.1817 0.1444 0.0378
0.1812 0.1450 0.0320
0.1804 0.1457 0.0262
0.1794 0.1466 0.0207
0.1782 0.1475 0.0152
0.1767 0.1486 0.0099
0.1751 0.1498 0.0048
0.1733 0.1511 -0.0001
0.1712 0.1526 -0.0048
0.1691 0.1541 -0.0094
