 x	 y	 z
0.0000 0.0000 1.0000
0.0931 -0.0555 0.9847
0.1837 -0.1097 0.9578
0.2709 -0.1618 0.9197
0.3536 -0.2113 0.8711
0.4308 -0.2577 0.8127
0.5017 -0.3005 0.7453
0.5655 -0.3392 0.6698
0.6215 -0.3735 0.5873
0.6692 -0.4030 0.4989
0.7080 -0.4274 0.4056
0.7377 -0.4465 0.3087
0.7579 -0.4603 0.2094
0.7686 -0.4686 0.1089
0.7697 -0.4714 0.0085
0.7614 -0.4687 -0.0908
0.7438 -0.4608 -0.1876
0.7173 -0.4478 -0.2810
0.6823 -0.4299 -0.3697
0.6394 -0.4075 -0.4529
0.5891 -0.3808 -0.5296
0.5321 -0.3503 -0.5990
0.4692 -0.3164 -0.6603
0.4013 -0.2795 -0.7130
0.3291 -0.2402 -0.7565
0.2537 -0.1990 -0.7905
0.1759 -0.1564 -0.8146
0.0967 -0.1130 -0.8287
0.0170 -0.0693 -0.8329
-0.0622 -0.0257 -0.8272
-0.1399 0.0170 -0.8117
-0.2153 0.0585 -0.7869
-0.2875 0.0983 -0.7531
-0.3557 0.1358 -0.7110
-0.4191 0.1707 -0.6610
-0.4771 0.2025 -0.6040
-0.5291 0.2310 -0.5407
-0.5744 0.2558 -0.4720
-0.6128 0.2766 -0.3987
-0.6437 0.2934 -0.3219
-0.6670 0.3058 -0.2424
-0.6826 0.3139 -0.1613
-0.6902 0.3176 -0.0795
-0.6900 0.3168 0.0018
-0.6821 0.3117 0.0819
-0.6667 0.3023 0.1597
-0.6440 0.2889 0.2343
-0.6145 0.2716 0.3049
-0.5786 0.2506 0.3706
-0.5369 0.2264 0.4309
-0.4899 0.1992 0.4849
-0.4382 0.1693 0.5322
-0.3826 0.1371 0.5723
-0.3238 0.1031 0.6048
-0.2625 0.0677 0.6294
-0.1995 0.0312 0.6460
-0.1356 -0.0058 0.6544
-0.0716 -0.0429 0.6547
-0.0082 -0.0797 0.6469
0.0538 -0.1158 0.6313
0.1137 -0.1507 0.6081
0.1708 -0.1841 0.5778
0.2244 -0.2156 0.5409
0.2740 -0.2449 0.4977
0.3190 -0.2716 0.4490
0.3589 -0.2955 0.3954
