t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.0,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,2.1942709178604383e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,5.541277835269622e-06,1.1082354380476155e-05,1.662321951983743e-05,2.2163863139023814e-05,2.7704275125211287e-05,3.324444536713509e-05,3.8784363755142754e-05,4.4324020181248035e-05,4.98634045391834e-05,5.540250672445384e-05,0.0053738459282233475,0.010747691856446695,0.016121537784670046,0.02149538371289339,0.026869229641116738,0.032243075569340085,0.03761692149756344,0.04299076742578678,0.048364613354010134,0.053738459282233475
0.006,1.1050251248258204e-05,2.2098898155572052e-05,3.3145860383067e-05,4.4191057638056164e-05,5.523440967572604e-05,6.627583630082115e-05,7.731525736932773e-05,8.835259279015354e-05,9.938776252681009e-05,0.00011042068659908914,0.010747691856446695,0.02149538371289339,0.03224307556934009,0.04299076742578678,0.053738459282233475,0.06448615113868017,0.07523384299512688,0.08598153485157356,0.09672922670802027,0.10747691856446695
0.009,1.6514763279210305e-05,3.302414084735614e-05,4.952786458861237e-05,6.602566673463516e-05,8.251727987710581e-05,9.900243698024904e-05,0.00011548087139332856,0.0001319523168631092,0.0001484165075463023,0.0001648731780219761,0.016121537784670043,0.032243075569340085,0.048364613354010134,0.06448615113868017,0.08060768892335021,0.09672922670802024,0.1128507644926903,0.12897230227736034,0.14509384006203038,0.16121537784670043
0.012,2.1922913188352198e-05,4.3833149122000886e-05,6.57300818433379e-05,8.761308684097579e-05,0.00010948154110113012,0.00013133482315881586,0.00015317231314885833,0.00017499339285670167,0.000196797445769025,0.00021858385712414684,0.02149538371289339,0.04299076742578678,0.06448615113868018,0.08598153485157356,0.10747691856446695,0.12897230227736034,0.15046768599025376,0.17196306970314712,0.19345845341604054,0.2149538371289339
0.015,2.7263147578491944e-05,5.450174686336247e-05,8.171459846755298e-05,0.00010890050734955336,0.00013605828296457394,0.00016318673941485306,0.00019028469559907263,0.00021735097536085705,0.0002443844076363328,0.00027138382660072096,0.02686922964111674,0.05373845928223348,0.08060768892335023,0.10747691856446696,0.1343461482055837,0.16121537784670043,0.18808460748781716,0.21495383712893393,0.24182306677005067,0.2686922964111674
0.018,3.252434551416034e-05,6.500670162943792e-05,9.744504318892978e-05,0.00012983735564900064,0.00016218163543879187,0.00019447589031668233,0.0002267181397236113,0.0002589064151331784,0.00029103876039845137,0.0003231132320953841,0.032243075569340085,0.06448615113868017,0.09672922670802027,0.12897230227736034,0.16121537784670043,0.19345845341604048,0.2257015289853806,0.2579446045547207,0.29018768012406077,0.32243075569340085
0.021,3.769589618346638e-05,7.532589418669523e-05,0.0001128868642043246,0.00015037569887524488,0.00018778931401832014,0.00022512464935932542,0.00026237866924884104,0.00029954836337091003,0.00033663074744221775,0.00037362286390155733,0.03761692149756344,0.07523384299512688,0.11285076449269033,0.15046768599025376,0.18808460748781716,0.2257015289853806,0.26331845048294406,0.3009353719805075,0.338552293478071,0.3761692149756343
0.024,4.276776780276899e-05,8.54384681771624e-05,0.0001280075725182947,0.00017047059489825513,0.00021282309341047497,0.00025506067149226217,0.00029717897922491545,0.0003391737146109411,0.0003810406248278024,0.00042277550745769513,0.04299076742578678,0.08598153485157356,0.12897230227736037,0.17196306970314712,0.2149538371289339,0.2579446045547207,0.3009353719805075,0.34392613940629424,0.3869169068320811,0.4299076742578678
0.027,4.773056664318244e-05,9.532495739202762e-05,0.00014277694730047594,0.00019008038618302365,0.00023722920085979512,0.0002842173973532276,0.0003310390630351772,0.0003776883687234011,0.00042415957072627447,0.0004704470128347174,0.04836461335401012,0.09672922670802024,0.14509384006203038,0.19345845341604048,0.2418230667700506,0.29018768012406077,0.33855229347807086,0.38691690683208096,0.4352815201860911,0.4836461335401012
0.03,5.257558525982485e-05,0.00010496738859859217,0.0001571671998330768,0.00020916693145141963,0.00026095862209218245,0.000312534439925517,0.0003638866859342567,0.0004150077970929408,0.0004658903494427107,0.0005165270610601596,0.05373845928223348,0.10747691856446696,0.16121537784670045,0.21495383712893393,0.2686922964111674,0.32243075569340085,0.3761692149756343,0.42990767425786786,0.48364613354010133,0.5373845928223348
0.033,5.72948392271957e-05,0.00011434935838904756,0.0001711530935344041,0.00022769577149330802,0.0002839673149299653,0.0003399578472120359,0.00039565769709256797,0.0004510574032011598,0.0005061477183409723,0.0005609196135884358,0.05911230521045682,0.11822461042091365,0.1773369156313705,0.2364492208418273,0.2955615260522841,0.35467383126274094,0.4137861364731978,0.4728984416836546,0.5320107468941114,0.5911230521045682
0.036,6.188109192422928e-05,0.00012345608308271606,0.00018471201853202532,0.0002456362270107472,0.0003062163278608122,0.0003664402376252725,0.00042629617631689235,0.0004857726733523114,0.0005448585731467751,0.0006035430403648114,0.06448615113868017,0.12897230227736034,0.19345845341604054,0.2579446045547207,0.32243075569340085,0.38691690683208096,0.4514030579707612,0.5158892091094414,0.5803753602481215,0.6448615113868017
0.039,6.632786716693174e-05,0.00013227442130969917,0.00019782402030445892,0.000262961428003287,0.0003276718232029814,0.00039194080807416066,0.0004557544160428256,0.0005190991191171865,0.0005819618346532467,0.0006443299315533087,0.06985999706690352,0.13971999413380704,0.20957999120071058,0.27943998826761407,0.34929998533451756,0.4191599824014211,0.48901997946832465,0.5588799765352281,0.6287399736021316,0.6985999706690351
