t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.0,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,2.0525524970989362e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,2.4963743711132147e-09,9.985137840258003e-09,2.2465723656440514e-08,3.9937528772613994e-08,6.239991384553606e-08,8.985220326217487e-08,1.222936851012678e-07,1.5972361124598443e-07,2.021411972681888e-07,2.4954562253473503e-07,1.4439110030141328e-05,5.775644012056531e-05,0.00012995199027127197,0.00023102576048226125,0.00036097775075353314,0.0005198079610850878,0.0007075163914769251,0.000924103041929045,0.0011695679124414473,0.0014439110030141325
0.006,9.95131510206537e-09,3.979954035189933e-08,8.95356650705925e-08,1.5915010454936402e-07,2.48632701107814e-07,3.5797272445450036e-07,4.871588727279902e-07,6.361792730249896e-07,8.050214824508067e-07,9.936724887771403e-07,5.775644012056531e-05,0.00023102576048226125,0.0005198079610850879,0.000924103041929045,0.0014439110030141325,0.002079231844340351,0.0028300655659077006,0.00369641216771618,0.004678271649765789,0.00577564401205653
0.009,2.228095699252493e-08,8.909511735718256e-08,2.0039727263282702e-07,3.5613936335236944e-07,5.562704870459269e-07,8.007369059258675e-07,1.089482055680468e-06,1.4224465535718147e-06,1.7995682080878347e-06,2.2207820280184658e-06,0.00012995199027127197,0.0005198079610850879,0.0011695679124414475,0.0020792318443403515,0.003248799756781798,0.004678271649765789,0.006367647523292326,0.008316927377361406,0.010526111211973027,0.012995199027127192
0.012,3.935941638718611e-08,1.573479228771154e-07,3.538242935711342e-07,6.286385195253727e-07,9.816318515621015e-07,1.4126368439462247e-06,1.9214774009663887e-06,2.5079688239802776e-06,3.1719178612933e-06,3.913122759105095e-06,0.00023102576048226125,0.000924103041929045,0.0020792318443403515,0.00369641216771618,0.00577564401205653,0.008316927377361404,0.011320262263630802,0.01478564867086472,0.018713086599063157,0.02310257604822612
0.015,6.10211769366246e-08,2.438685492378805e-07,5.482022166972132e-07,9.736615184308487e-07,1.5198651911493822e-06,2.1864115330561826e-06,2.972878574897915e-06,3.878824256018321e-06,4.903786607223591e-06,6.047283938977271e-06,0.0003609777507535333,0.0014439110030141332,0.0032487997567817997,0.005775644012056533,0.00902444376883833,0.012995199027127195,0.01768790978692313,0.02310257604822613,0.029239197811036188,0.03609777507535332
0.018,8.70641181763052e-08,3.4781533399893974e-07,7.815606276902795e-07,1.387565585994496e-06,2.165054860771103e-06,3.1132126439457342e-06,4.2311831605607e-06,5.518071176714755e-06,6.972942525191612e-06,8.594824645650393e-06,0.0005198079610850879,0.0020792318443403515,0.00467827164976579,0.008316927377361406,0.012995199027127192,0.018713086599063157,0.025470590093169303,0.033267709509445624,0.04210444484789211,0.05198079610850877
0.021,1.1725309553619364e-07,4.68209964575751e-07,1.051611416773631e-06,1.8661250429806245e-06,2.91034633218292e-06,4.1827998269957575e-06,5.68194031753652e-06,7.406154072150037e-06,9.353760104621126e-06,1.152301147505024e-05,0.0007075163914769253,0.002830065565907701,0.006367647523292328,0.011320262263630804,0.017687909786923126,0.0254705900931693,0.03466830318236933,0.045281049054523216,0.05730882770963094,0.0707516391476925
0.024,1.5132396596930752e-07,6.039550009832404e-07,1.3557916170787048e-06,2.4046139279703076e-06,3.74808604127478e-06,5.383758527672288e-06,7.309070964501111e-06,9.521354551643549e-06,1.2017834795972737e-05,1.4795634260804508e-05,0.000924103041929045,0.00369641216771618,0.008316927377361406,0.01478564867086472,0.02310257604822612,0.03326770950944562,0.04528104905452321,0.05914259468345888,0.07485234639625263,0.09241030419290448
0.027,1.8898794428217246e-07,7.538527934973231e-07,1.6913095416663883e-06,2.997894758543955e-06,4.669971228136723e-06,6.703732724083097e-06,9.09520891368759e-06,1.1840270385275159e-05,1.4934633790379683e-05,1.837386709339472e-05,0.0011695679124414475,0.00467827164976579,0.010526111211973029,0.01871308659906316,0.02923919781103618,0.0421044448478921,0.05730882770963092,0.07485234639625264,0.09473500090775723,0.11695679124414472
