t,e0,e1,e2,b0,b1,b2
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003,1.0624082113128026e-12,2.6560128653631027e-11,1.0624059837409138e-10,7.200487328054688e-10,1.8001218320136725e-08,7.20048732805469e-08
0.0006,4.249041568325629e-12,1.0622603158348482e-10,4.2490409037873526e-10,2.8801949312218752e-09,7.20048732805469e-08,2.880194931221876e-07
0.0009,9.55894006475591e-12,2.389741046335818e-10,9.55896229053272e-10,6.48043859524922e-09,1.6201096488123054e-07,6.480438595249221e-07
0.0012,1.6991136151609906e-11,4.247786841701205e-10,1.699113951757428e-09,1.1520779724887501e-08,2.880194931221876e-07,1.1520779724887504e-06
0.0015,2.6544442740556315e-11,6.636118951144834e-10,2.654445393319178e-09,1.800121832013672e-08,4.500304580034181e-07,1.8001218320136723e-06
0.0018,3.821775092273524e-11,9.55443726254417e-10,3.821769801461651e-09,2.592175438099688e-08,6.480438595249221e-07,2.5921754380996886e-06
0.0021,5.2009707459842196e-11,1.300241914504936e-09,5.200957686170278e-09,3.528238790746798e-08,8.820596976866996e-07,3.5282387907467983e-06
0.0024,6.791899233129206e-11,1.6979721291919887e-09,6.7918707183619925e-09,4.6083118899550003e-08,1.1520779724887504e-06,4.6083118899550015e-06
0.0027,8.594411090816102e-11,2.1485977922128546e-09,8.59436179004804e-09,5.832394735724298e-08,1.458098683931075e-06,5.8323947357243e-06
0.003,1.0608353346892274e-10,2.6520802453531478e-09,1.0608275021676096e-08,7.200487328054689e-08,1.8001218320136723e-06,7.200487328054689e-06
0.0032999999999999995,1.2833565773391606e-10,3.2083785823508352e-09,1.283344582943728e-08,8.712589666946172e-08,2.1781474167365434e-06,8.712589666946174e-06
0.0036,1.5269874104552008e-10,3.8174498642277975e-09,1.5269700845734744e-08,1.0368701752398751e-07,2.5921754380996886e-06,1.0368701752398754e-05
0.0039000000000000003,1.7917103409171838e-10,4.479248898461357e-09,1.791685805612133e-08,1.2168823584412427e-07,3.0422058961031073e-06,1.2168823584412429e-05
0.0042,2.0775057623515163e-10,5.1937284149176534e-09,2.0774726654319864e-08,1.4112955162987192e-07,3.5282387907467983e-06,1.4112955162987193e-05
0.0045,2.384354780697883e-10,5.960838993346137e-09,2.384310724274371e-08,1.6201096488123048e-07,4.050274122030763e-06,1.6201096488123053e-05
0.0048,2.712236599996239e-10,6.78052910421313e-09,2.7121791785674323e-08,1.8433247559820001e-07,4.6083118899550015e-06,1.8433247559820006e-05
0.0051,3.0611305787097015e-10,7.652745028162126e-09,3.061056352189977e-08,2.080940837807805e-07,5.202352094519514e-06,2.0809408378078055e-05
0.0054,3.4310135062527286e-10,8.577430990214736e-09,3.4309197176699265e-08,2.3329578942897192e-07,5.8323947357243e-06,2.33295789428972e-05
0.005699999999999999,3.8218631214485054e-10,9.554529063237623e-09,3.821745881936029e-08,2.5993759254277425e-07,6.498439813569357e-06,2.5993759254277427e-05
0.006,4.233655178763569e-10,1.0583979259185002e-08,4.233510600287032e-08,2.8801949312218754e-07,7.200487328054689e-06,2.8801949312218757e-05
0.0063,4.666365237633865e-10,1.1665719396937096e-08,4.6661887711096585e-08,3.175414911672118e-07,7.938537279180296e-06,3.175414911672118e-05
0.006599999999999999,5.119967641517683e-10,1.279968529302522e-08,5.119754440945594e-08,3.4850358667784687e-07,8.712589666946174e-06,3.4850358667784695e-05
0.0069,5.594436488320018e-10,1.398581061299389e-08,5.5941808081155614e-08,3.80905779654093e-07,9.522644491352325e-06,3.80905779654093e-05
0.0072,6.089744178931423e-10,1.5224027003221908e-08,6.089440226375777e-08,4.1474807009595006e-07,1.0368701752398754e-05,4.147480700959502e-05
0.0075,6.605862977407474e-10,1.651426394114877e-08,6.605504203126327e-08,4.500304580034181e-07,1.1250761450085455e-05,4.500304580034182e-05
0.0078000000000000005,7.142763934328688e-10,1.7856448869008736e-08,7.142343403310843e-08,4.867529433764971e-07,1.2168823584412429e-05,4.8675294337649716e-05
0.0081,7.700417729609819e-10,1.9250507237317003e-08,7.69992766130148e-08,5.249155262151867e-07,1.312288815537967e-05,5.249155262151868e-05
0.0084,8.278793709406297e-10,2.0696362309498105e-08,8.27822596235197e-08,5.645182065194877e-07,1.4112955162987193e-05,5.645182065194877e-05
0.0087,8.877861091012706e-10,2.219393541160615e-08,8.87720647550184e-08,6.055609842893993e-07,1.5139024607234987e-05,6.055609842893995e-05
