t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.0,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,2.948466027559694e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,5.8504194949008674e-09,2.3399883083288614e-08,5.264567512301839e-08,9.358504896057241e-08,1.4621522694513547e-07,2.10533400449712e-07,2.865367298628481e-07,3.7422234476359195e-07,4.735873437317443e-07,5.846287946080192e-07,1.012278785974874e-05,4.049115143899496e-05,9.110509073773868e-05,0.00016196460575597984,0.00025306969649371847,0.0003644203629509546,0.0004960166051276884,0.0006478584230239194,0.0008199458166396478,0.0010122787859748739
0.006,2.339375102245664e-08,9.355909841385955e-08,2.1047181477678993e-07,3.741071819330598e-07,5.84439992082676e-07,8.414445488452318e-07,1.14509466845309e-06,1.4953636809834667e-06,1.8922244314395481e-06,2.335649280994364e-06,4.049115143899496e-05,0.00016196460575597984,0.00036442036295095473,0.0006478584230239194,0.0010122787859748739,0.0014576814518038185,0.0019840664205107534,0.0025914336920956774,0.0032797832665585913,0.0040491151438994955
0.009,5.2588622477992035e-08,2.1029568721689461e-07,4.730311466133594e-07,8.407025023988128e-07,1.313214814959936e-06,1.890470712609486e-06,2.5723704012331837e-06,3.3588116739257996e-06,4.249689920653029e-06,5.244898138156026e-06,9.110509073773867e-05,0.0003644203629509547,0.000819945816639648,0.0014576814518038187,0.002277627268443466,0.003279783266558591,0.004464149446149195,0.005830725807215275,0.007379512349756831,0.009110509073773865
0.012,9.335429940931143e-08,3.732659643957542e-07,8.395024031189684e-07,1.4918234005573058e-06,2.329981160627802e-06,3.35372034807032e-06,4.56277813192157e-06,5.95688422900643e-06,7.5357609479745985e-06,9.299123234331943e-06,0.00016196460575597984,0.0006478584230239194,0.001457681451803819,0.0025914336920956774,0.0040491151438994955,0.005830725807215274,0.007936265682043014,0.01036573476838271,0.013119133066234365,0.016196460575597982
0.015,1.4557094261538627e-07,5.819659197386366e-07,1.3086943664990188e-06,2.3252474396988285e-06,3.6310981527611852e-06,5.225701512797264e-06,7.108494660350676e-06,9.278897010891143e-06,1.1736310398299548e-05,1.4480119220995259e-05,0.0002530696964937186,0.0010122787859748743,0.002277627268443467,0.004049115143899497,0.0063267424123429625,0.009110509073773866,0.012400415128192208,0.01619646057559799,0.0204986454159912,0.02530696964937185
0.018,2.0908025148680402e-07,8.357342543332277e-07,1.8790538127967735e-06,3.338093585245979e-06,5.2118714370773126e-06,7.499368800060837e-06,1.0199531038014477e-05,1.3311267818358828e-05,1.683345348897684e-05,2.076492746183076e-05,0.0003644203629509547,0.0014576814518038187,0.003279783266558592,0.005830725807215275,0.009110509073773865,0.013119133066234363,0.01785659778459678,0.0233229032288611,0.029518049399027323,0.03644203629509546
0.021,2.8368648374127244e-07,1.1337570066298458e-06,2.5486772284287895e-06,4.526845506400011e-06,7.066593691735445e-06,1.0166187941515153e-05,1.3823829544625985e-05,1.803765576160209e-05,2.2805740677520662e-05,2.8126096068777656e-05,0.0004960166051276884,0.0019840664205107534,0.0044641494461491954,0.007936265682043014,0.012400415128192207,0.01785659778459678,0.02430481365125673,0.031745062728172055,0.04017734501534276,0.049601660512768826
0.024,3.691578374311691e-07,1.4750736982944108e-06,3.3153261138501877e-06,5.887381562624198e-06,9.188596082544365e-06,1.3216216913697955e-05,1.7967384170653554e-05,2.3439132542129755e-05,2.962839301805568e-05,3.653199464249194e-05,0.0006478584230239194,0.0025914336920956774,0.005830725807215276,0.01036573476838271,0.016196460575597982,0.023322903228861096,0.031745062728172055,0.04146293907353084,0.05247653226493746,0.06478584230239193
0.027,4.652281750164647e-07,1.8585849067473566e-06,4.1764456317608986e-06,7.415010981932801e-06,1.1570309782796148e-05,1.663820210840215e-05,2.2614382389822647e-05,2.9494382574542944e-05,3.7273575334103256e-05,4.5947177318185714e-05,0.000819945816639648,0.003279783266558592,0.007379512349756832,0.013119133066234369,0.020498645415991196,0.02951804939902732,0.040177345015342744,0.052476532264937474,0.06641561114781147,0.08199458166396478
0.03,5.71599065030746e-07,2.283061151792956e-06,5.129186310491731e-06,9.104515644797348e-06,1.4203336524418479e-05,2.0419687893572168e-05,2.7747365670026354e-05,3.6179928228915234e-05,4.571070196559545e-05,5.63327869336829e-05,0.0010122787859748743,0.004049115143899497,0.009110509073773868,0.01619646057559799,0.02530696964937185,0.036442036295095466,0.04960166051276883,0.06478584230239195,0.0819945816639648,0.1012278785974874
0.033,6.87942112384868e-07,2.7471529649563237e-06,6.17042847015217e-06,1.0950196812332824e-05,1.7078527022867196e-05,2.4547137706772025e-05,3.3347405911682905e-05,4.347037612705114e-05,5.490676940357806e-05,6.76469925835369e-05,0.0012248573310295976,0.00489942932411839,0.01102371597926638,0.01959771729647356,0.030621433275739934,0.044094863917065505,0.06001800922045028,0.07839086918589425,0.09921344381339739,0.12248573310295974
0.036,8.139015454945924e-07,3.2494019979327536e-06,7.296809008453237e-06,1.2945926077847465e-05,2.0186066026588056e-05,2.900606469082884e-05,3.939429482659122e-05,5.133868020171632e-05,6.482670985652266e-05,7.984545251562609e-05,0.0014576814518038187,0.005830725807215275,0.013119133066234369,0.0233229032288611,0.03644203629509546,0.05247653226493745,0.07142639113838711,0.0932916129154444,0.11807219759610929,0.14576814518038184
0.039,9.490970247857003e-07,3.7882530144592463e-06,8.504750159265284e-06,1.5085199782410725e-05,2.3515562684317134e-05,3.3781169805958744e-05,4.5866743179174136e-05,5.9756417129666896e-05,7.543375970017704e-05,9.288179426202489e-05,0.0017107511482975372,0.006843004593190149,0.015396760334677838,0.027372018372760595,0.04276877870743843,0.06158704133871133,0.08382680626657932,0.10948807349104238,0.1385708430121005,0.1710751148297537
0.042,1.0931266370062845e-06,4.362066604568166e-06,9.790489824585299e-06,1.736119611603429e-05,2.7056144899980286e-05,3.885648533133624e-05,5.274258680392354e-05,6.869406977317563e-05,8.668983684334642e-05,0.00010670810406680438,0.0019840664205107534,0.007936265682043014,0.017856597784596782,0.031745062728172055,0.049601660512768826,0.07142639113838711,0.09721925460502692,0.12698025091268822,0.16070938006137103,0.1984066420510753
0.045,1.2455700369650362e-06,4.969132457334192e-06,1.1150113076940281e-05,1.976683412509299e-05,3.0796556356165566e-05,4.421552170320571e-05,5.999899638847723e-05,7.812131440436204e-05,9.855592128090476e-05,0.00012127541805778855,0.0022776272684434666,0.009110509073773866,0.0204986454159912,0.036442036295095466,0.056940681711086655,0.08199458166396478,0.11160373615372986,0.14576814518038186,0.1844878087439208,0.22776272684434662
0.048,1.4059916998339071e-06,5.607683028939282e-06,1.2579584436008809e-05,2.2294833866240215e-05,3.4725254929076144e-05,4.9841415718738716e-05,6.761268815732267e-05,8.800730772981621e-05,0.000110992433484871,0.00013653420817684033,0.0025914336920956774,0.01036573476838271,0.023322903228861103,0.04146293907353084,0.06478584230239193,0.09329161291544438,0.12698025091268822,0.16585175629412335,0.20990612905974984,0.2591433692095677
0.051000000000000004,1.573944247053849e-06,6.275907448057342e-06,1.4074780537628015e-05,2.4937776981367173e-05,3.883051128807691e-05,5.571707826148044e-05,7.55601328010452e-05,9.832097006002319e-05,0.0001239596057766879,0.00015243485659714452,0.002925485691467386,0.011701942765869545,0.026329371223206482,0.04680777106347818,0.07313714228668465,0.1053174848928259,0.14334879888190194,0.18723108425391272,0.2369643410088583,0.2925485691467386
0.054,1.7489718104831818e-06,6.971965508845219e-06,1.563152283636843e-05,2.76881670182899e-05,4.310050656700332e-05,6.182533986510268e-05,8.381776025518838e-05,0.00010903126136418857,0.000137417842400961,0.0001689281131705976,0.003279783266558592,0.013119133066234369,0.02951804939902733,0.052476532264937474,0.08199458166396478,0.11807219759610928,0.16070938006137098,0.2099061290597499,0.2656624445912459,0.32797832665585913
0.056999999999999995,1.9306134021469076e-06,7.6940016106887e-06,1.724561001106949e-05,3.053848888218485e-05,4.752342810632043e-05,6.814909262009343e-05,9.236215822582039e-05,0.00012010744738737421,0.0001513280646479879,0.0001859655313184704,0.003654326417369295,0.01461730566947718,0.03288893775632366,0.05846922267790872,0.09135816043423237,0.1315557510252946,0.17906199445109547,0.2338768907116349,0.2960004398069129,0.36543264173692946
0.06,2.1184062584274196e-06,8.44015851861789e-06,1.8912849776008896e-05,3.348126687174292e-05,5.208756238820739e-05,7.4671427129791e-05,0.00010117026267115027,0.00013151935346379136,0.00016565203801327744,0.00020349987865337743,0.004049115143899497,0.01619646057559799,0.03644203629509547,0.06478584230239195,0.1012278785974874,0.14576814518038186,0.19840664205107533,0.2591433692095678,0.3279783266558592,0.4049115143899496
0.063,2.3118891318017827e-06,9.208590830331095e-06,2.062908983680757e-05,3.6509120826906056e-05,5.678138441592773e-05,8.137576343122325e-05,0.00011021953876155833,0.000143237604110327,0.0001803526790067886,0.0002214855194540916,0.004464149446149195,0.01785659778459678,0.040177345015342744,0.07142639113838711,0.11160373615372983,0.16070938006137095,0.21874332286131049,0.28570556455354845,0.36159610513808466,0.4464149446149193
0.066,2.5106055051602215e-06,9.997478051009603e-06,2.239024776627104e-05,3.9614819988622864e-05,6.159364291656835e-05,8.824597499614531e-05,0.0001194881511405093,0.00015523384690713604,0.00019539433979609273,0.00023987876686615918,0.00489942932411839,0.01959771729647356,0.04409486391706552,0.07839086918589425,0.12248573310295974,0.17637945566826202,0.24007203688180112,0.313563476743577,0.39685377525358956,0.48994293241183895
0.069,2.714106707926348e-06,1.0805037191530372e-05,2.4192339612037983e-05,4.279133424120298e-05,6.651344086462414e-05,9.526650511499319e-05,0.00012895512257709676,0.00016748095954456857,0.0002107430693618446,0.0002586382033310753,0.005354954777807085,0.02141981911122834,0.048194593000263755,0.08567927644491335,0.13387386944517707,0.192778372001055,0.26239278411254713,0.3427171057796534,0.4337513370023737,0.5354954777807083
0.072,2.9219549155260267e-06,1.1629534818679826e-05,2.603150708037125e-05,4.603188247122726e-05,7.153031093081206e-05,0.00010242247512577527,0.00013860048033094373,0.00017995323922179472,0.00022636685023728656,0.0002777249682349099,0.005830725807215275,0.0233229032288611,0.052476532264937474,0.0932916129154444,0.14576814518038184,0.2099061290597498,0.28570556455354845,0.3731664516617776,0.47228879038443716,0.5830725807215273
0.075,3.1337260169979095e-06,1.2469298498149664e-05,2.7904043169258284e-05,4.932997783076345e-05,7.663428554748915e-05,0.00010969978407982146,0.00014840538972480486,0.00019262657381133736,0.00024223581018388427,0.00029710301209157124,0.0063267424123429625,0.02530696964937185,0.05694068171108667,0.1012278785974874,0.15816856030857404,0.22776272684434662,0.3100103782048052,0.4049115143899496,0.5124661353997799,0.6326742412342962
0.078,3.3490123371975605e-06,1.3322727581271055e-05,2.9806416147334656e-05,5.26794697344258e-05,8.181596134680048e-05,0.0001170851995271048,0.00015835227454019887,0.00020547859434574052,0.0002583224083136875,0.0003167393167407136,0.006843004593190149,0.027372018372760595,0.06158704133871135,0.10948807349104238,0.1710751148297537,0.24634816535484533,0.33530722506631727,0.4379522939641695,0.554283372048402,0.6843004593190148
