t,ex,red,th
0.0,0.0009308826020214614,0.0017022115123692932,0.0017022115123692932
0.003,0.0007982874144926849,0.0016539386367857636,0.0016539386367857636
0.006,0.0006605138138581022,0.0016041773280666357,0.0016041773280666355
0.009,0.0005175329278189374,0.0015529723680309689,0.0015529723680309689
0.012,0.00036938366294784336,0.0015003698376865645,0.0015003698376865643
0.015,0.00021617698955662262,0.0014464170757601679,0.0014464170757601674
0.018,5.809913599665907e-05,0.0013911626360958108,0.0013911626360958106
0.021,-0.00010458641851463987,0.0013346562439596286,0.0013346562439596281
0.024,-0.00027153823750580147,0.0012769487512904764,0.001276948751290476
0.027,-0.0004423375644143253,0.0012180920909366177,0.0012180920909366172
0.03,-0.0006164903313140221,0.0011581392299196656,0.0011581392299196648
0.033,-0.0007934305375497325,0.0010971441217678386,0.0010971441217678382
0.036,-0.0009725249670614758,0.0010351616579614272,0.0010351616579614264
0.039,-0.0011530791843917722,0.0009722476185341661,0.0009722476185341655
0.042,-0.001334344721989936,0.0009084586218749697,0.000908458621874969
0.045,-0.0015155273460464302,0.0008438520737752033,0.0008438520737752028
0.048,-0.0016957962652462445,0.0007784861157673454,0.0007784861157673446
0.051000000000000004,-0.0018742941269923397,0.0007124195728015333,0.0007124195728015327
0.054,-0.0020501476292125245,0.0006457119003070783,0.0006457119003070775
0.056999999999999995,-0.0022224785631386424,0.0005784231306865927,0.0005784231306865918
0.06,-0.0023904150936589832,0.0005106138192908792,0.000510613819290878
0.063,-0.0025531030791271217,0.00044234498992320266,0.000442344989923202
0.066,-0.00270971723190528,0.0003736780799219864,0.0003736780799219857
0.069,-0.0028594719243785448,0.0003046748848713541,0.00030467488487135306
0.072,-0.0030016314525624383,0.00023539750298927527,0.00023539750298927483
0.075,-0.0031355195805225188,0.0001659082792433609,0.0001659082792433604
0.078,-0.0032605282033372476,9.626974924460037e-05,9.626974924459948e-05
0.081,-0.003376124983903739,2.6544582969532838e-05,2.6544582969532113e-05
0.084,-0.0034818598390920505,-4.320447163850167e-05,-4.320447163850259e-05
0.087,-0.0035773701731316226,-0.00011291464513827589,-0.00011291464513827612
0.09,-0.0036623847801628227,-0.00018252320307893556,-0.00018252320307893602
0.093,-0.003736726363081512,-0.00025196750245677077,-0.00025196750245677114
0.096,-0.0038003126416078633,-0.0003211850480896911,-0.0003211850480896915
0.099,-0.003853156048386224,-0.00039011354885867106,-0.0003901135488586716
0.10200000000000001,-0.0038953620373433683,-0.0004586909737655528,-0.0004586909737655534
0.10500000000000001,-0.00392712605299599,-0.0005268556077567575,-0.000526855607756758
0.108,-0.003948729232434315,-0.0005945461072626678,-0.0005945461072626682
0.111,-0.003960532932888014,-0.0006617015554027,-0.0006617015554027
0.11399999999999999,-0.003962972196725896,-0.0007282615168063847,-0.0007282615168063851
0.11699999999999999,-0.003956548282129218,-0.0007941660920011214,-0.0007941660920011215
0.12,-0.003941820401250443,-0.0008593559713176601,-0.0008593559713176605
0.123,-0.00391939681823031,-0.0009237724882648009,-0.0009237724882648008
0.126,-0.0038899254668695524,-0.0009873576723252757,-0.0009873576723252754
0.129,-0.0038540842519785416,-0.0010500543011253013,-0.001050054301125301
0.132,-0.0038125711994690848,-0.0011118059519308532,-0.001111805951930853
0.135,-0.003766094618180158,-0.0011725570524243176,-0.0011725570524243171
0.138,-0.0037153634313810673,-0.0012322529307158268,-0.0012322529307158265
0.14100000000000001,-0.0036610778280628574,-0.0012908398645442693,-0.0012908398645442689
0.144,-0.003603920373755551,-0.001348265129623699,-0.0013482651296236978
