 t	 x	 y	 z	 w
0.0000 0.0000 0.0000 0.0000 0.0000
0.0100 0.0119 0.0012 0.0006 0.0003
0.0200 0.0385 0.0041 0.0020 0.0012
0.0300 0.0745 0.0083 0.0042 0.0024
0.0400 0.1168 0.0136 0.0069 0.0040
0.0500 0.1631 0.0200 0.0102 0.0059
0.0600 0.2115 0.0271 0.0139 0.0081
0.0700 0.2606 0.0351 0.0181 0.0105
0.0800 0.3092 0.0437 0.0226 0.0132
0.0900 0.3561 0.0530 0.0275 0.0160
0.1000 0.4006 0.0627 0.0327 0.0190
0.1100 0.4421 0.0729 0.0381 0.0221
0.1200 0.4802 0.0836 0.0437 0.0254
0.1300 0.5146 0.0946 0.0496 0.0287
0.1400 0.5453 0.1058 0.0556 0.0321
0.1500 0.5721 0.1174 0.0618 0.0355
0.1600 0.5953 0.1291 0.0680 0.0390
0.1700 0.6151 0.1411 0.0744 0.0425
0.1800 0.6317 0.1531 0.0808 0.0459
0.1900 0.6454 0.1652 0.0872 0.0494
0.2000 0.6566 0.1774 0.0937 0.0527
0.2100 0.6655 0.1897 0.1002 0.0561
0.2200 0.6726 0.2019 0.1066 0.0593
0.2300 0.6781 0.2140 0.1130 0.0624
0.2400 0.6823 0.2262 0.1194 0.0655
0.2500 0.6854 0.2382 0.1257 0.0684
0.2600 0.6878 0.2501 0.1318 0.0712
0.2700 0.6894 0.2620 0.1379 0.0739
0.2800 0.6906 0.2736 0.1439 0.0764
0.2900 0.6915 0.2851 0.1497 0.0788
0.3000 0.6921 0.2965 0.1554 0.0810
0.3100 0.6924 0.3076 0.1609 0.0830
0.3200 0.6927 0.3185 0.1663 0.0849
0.3300 0.6929 0.3293 0.1715 0.0866
0.3400 0.6930 0.3398 0.1765 0.0881
0.3500 0.6930 0.3500 0.1814 0.0894
0.3600 0.6931 0.3601 0.1861 0.0906
0.3700 0.6931 0.3699 0.1905 0.0916
0.3800 0.6931 0.3794 0.1948 0.0924
0.3900 0.6931 0.3887 0.1989 0.0930
0.4000 0.6931 0.3977 0.2028 0.0935
0.4100 0.6931 0.4064 0.2065 0.0938
0.4200 0.6931 0.4149 0.2100 0.0939
0.4300 0.6931 0.4231 0.2133 0.0939
0.4400 0.6931 0.4311 0.2164 0.0937
0.4500 0.6931 0.4388 0.2194 0.0934
0.4600 0.6931 0.4462 0.2221 0.0929
0.4700 0.6931 0.4534 0.2247 0.0924
0.4800 0.6931 0.4603 0.2271 0.0917
0.4900 0.6931 0.4670 0.2293 0.0908
0.5000 0.6930 0.4734 0.2313 0.0899
0.5100 0.6930 0.4796 0.2332 0.0889
0.5200 0.6930 0.4856 0.2350 0.0878
0.5300 0.6930 0.4913 0.2365 0.0866
0.5400 0.6930 0.4968 0.2380 0.0853
0.5500 0.6930 0.5021 0.2393 0.0840
0.5600 0.6930 0.5072 0.2405 0.0827
0.5700 0.6930 0.5121 0.2416 0.0812
0.5800 0.6930 0.5167 0.2425 0.0798
0.5900 0.6930 0.5213 0.2434 0.0783
0.6000 0.6930 0.5256 0.2441 0.0768
0.6100 0.6929 0.5298 0.2448 0.0753
0.6200 0.6929 0.5338 0.2454 0.0738
0.6300 0.6929 0.5377 0.2460 0.0723
0.6400 0.6929 0.5415 0.2464 0.0708
0.6500 0.6929 0.5451 0.2468 0.0693
0.6600 0.6929 0.5486 0.2472 0.0678
0.6700 0.6929 0.5520 0.2476 0.0663
0.6800 0.6928 0.5554 0.2479 0.0648
0.6900 0.6928 0.5586 0.2481 0.0634
0.7000 0.6928 0.5618 0.2484 0.0620
0.7100 0.6928 0.5649 0.2487 0.0606
0.7200 0.6928 0.5679 0.2489 0.0592
0.7300 0.6928 0.5709 0.2492 0.0578
0.7400 0.6927 0.5738 0.2494 0.0564
0.7500 0.6927 0.5767 0.2497 0.0551
0.7600 0.6927 0.5796 0.2500 0.0537
0.7700 0.6927 0.5824 0.2503 0.0524
0.7800 0.6926 0.5852 0.2506 0.0511
0.7900 0.6926 0.5880 0.2509 0.0497
0.8000 0.6926 0.5908 0.2513 0.0484
0.8100 0.6926 0.5936 0.2516 0.0470
0.8200 0.6926 0.5963 0.2520 0.0456
0.8300 0.6925 0.5991 0.2524 0.0442
