 t	 x	 y	 z	 w
0.0000 0.0000 -0.0000 -0.0000 -0.0000
0.0100 0.0045 0.0013 0.0012 0.0012
0.0200 0.0150 0.0043 0.0041 0.0041
0.0300 0.0299 0.0088 0.0084 0.0083
0.0400 0.0482 0.0145 0.0139 0.0137
0.0500 0.0693 0.0212 0.0203 0.0201
0.0600 0.0926 0.0289 0.0277 0.0274
0.0700 0.1176 0.0374 0.0358 0.0354
0.0800 0.1439 0.0466 0.0447 0.0442
0.0900 0.1713 0.0565 0.0542 0.0537
0.1000 0.1993 0.0671 0.0644 0.0637
0.1100 0.2278 0.0781 0.0751 0.0743
0.1200 0.2564 0.0897 0.0862 0.0853
0.1300 0.2848 0.1018 0.0978 0.0968
0.1400 0.3130 0.1142 0.1099 0.1087
0.1500 0.3407 0.1270 0.1222 0.1210
0.1600 0.3678 0.1401 0.1349 0.1336
0.1700 0.3940 0.1535 0.1479 0.1465
0.1800 0.4194 0.1672 0.1612 0.1596
0.1900 0.4437 0.1810 0.1746 0.1729
0.2000 0.4669 0.1951 0.1883 0.1865
0.2100 0.4890 0.2093 0.2021 0.2002
0.2200 0.5098 0.2235 0.2160 0.2141
0.2300 0.5293 0.2379 0.2301 0.2281
0.2400 0.5476 0.2524 0.2442 0.2421
0.2500 0.5645 0.2669 0.2584 0.2563
0.2600 0.5801 0.2813 0.2727 0.2705
0.2700 0.5945 0.2958 0.2869 0.2847
0.2800 0.6076 0.3103 0.3012 0.2989
0.2900 0.6195 0.3247 0.3154 0.3131
0.3000 0.6302 0.3390 0.3296 0.3273
0.3100 0.6398 0.3532 0.3437 0.3414
0.3200 0.6483 0.3673 0.3577 0.3555
0.3300 0.6558 0.3813 0.3716 0.3694
0.3400 0.6624 0.3951 0.3855 0.3833
0.3500 0.6681 0.4088 0.3991 0.3970
0.3600 0.6730 0.4223 0.4127 0.4106
0.3700 0.6772 0.4356 0.4260 0.4240
0.3800 0.6807 0.4486 0.4392 0.4372
0.3900 0.6836 0.4615 0.4522 0.4502
0.4000 0.6860 0.4741 0.4650 0.4630
0.4100 0.6879 0.4865 0.4775 0.4756
0.4200 0.6895 0.4986 0.4898 0.4879
0.4300 0.6906 0.5105 0.5018 0.5000
0.4400 0.6915 0.5220 0.5136 0.5118
0.4500 0.6922 0.5333 0.5251 0.5233
0.4600 0.6926 0.5443 0.5363 0.5346
0.4700 0.6929 0.5549 0.5472 0.5455
0.4800 0.6930 0.5652 0.5578 0.5561
0.4900 0.6931 0.5752 0.5680 0.5663
0.5000 0.6930 0.5849 0.5779 0.5763
0.5100 0.6929 0.5941 0.5875 0.5858
0.5200 0.6928 0.6031 0.5967 0.5950
0.5300 0.6926 0.6116 0.6055 0.6039
0.5400 0.6924 0.6198 0.6139 0.6123
0.5500 0.6923 0.6275 0.6220 0.6204
0.5600 0.6921 0.6349 0.6296 0.6281
0.5700 0.6919 0.6419 0.6368 0.6354
0.5800 0.6918 0.6484 0.6437 0.6422
0.5900 0.6917 0.6545 0.6501 0.6487
0.6000 0.6915 0.6602 0.6560 0.6547
0.6100 0.6914 0.6655 0.6616 0.6603
0.6200 0.6914 0.6703 0.6667 0.6655
0.6300 0.6913 0.6747 0.6713 0.6703
0.6400 0.6912 0.6786 0.6756 0.6746
0.6500 0.6912 0.6821 0.6793 0.6784
0.6600 0.6911 0.6851 0.6827 0.6818
0.6700 0.6911 0.6876 0.6855 0.6848
0.6800 0.6911 0.6897 0.6879 0.6873
0.6900 0.6910 0.6912 0.6899 0.6894
0.7000 0.6910 0.6923 0.6914 0.6910
0.7100 0.6910 0.6930 0.6924 0.6922
0.7200 0.6910 0.6931 0.6930 0.6929
0.7300 0.6910 0.6927 0.6931 0.6931
0.7400 0.6910 0.6919 0.6928 0.6929
0.7500 0.6910 0.6906 0.6920 0.6922
0.7600 0.6910 0.6888 0.6907 0.6911
0.7700 0.6910 0.6865 0.6890 0.6895
0.7800 0.6910 0.6837 0.6868 0.6875
0.7900 0.6910 0.6804 0.6842 0.6850
0.8000 0.6911 0.6767 0.6812 0.6820
0.8100 0.6911 0.6725 0.6777 0.6787
0.8200 0.6911 0.6678 0.6737 0.6748
0.8300 0.6911 0.6627 0.6694 0.6706
0.8400 0.6911 0.6571 0.6646 0.6659
0.8500 0.6911 0.6510 0.6594 0.6608
0.8600 0.6912 0.6446 0.6537 0.6553
0.8700 0.6912 0.6376 0.6477 0.6494
0.8800 0.6912 0.6303 0.6412 0.6430
0.8900 0.6912 0.6225 0.6343 0.6363
0.9000 0.6913 0.6144 0.6271 0.6292
0.9100 0.6913 0.6058 0.6194 0.6217
0.9200 0.6913 0.5969 0.6114 0.6138
0.9300 0.6913 0.5876 0.6030 0.6056
0.9400 0.6913 0.5780 0.5942 0.5970
0.9500 0.6913 0.5680 0.5851 0.5881
0.9600 0.6913 0.5577 0.5757 0.5788
0.9700 0.6913 0.5471 0.5659 0.5692
0.9800 0.6912 0.5361 0.5558 0.5593
0.9900 0.6912 0.5250 0.5454 0.5491
1.0000 0.6911 0.5135 0.5347 0.5386
1.0100 0.6910 0.5018 0.5238 0.5278
1.0200 0.6909 0.4899 0.5125 0.5167
1.0300 0.6907 0.4778 0.5010 0.5054
1.0400 0.6905 0.4656 0.4893 0.4939
1.0500 0.6903 0.4531 0.4774 0.4821
1.0600 0.6900 0.4405 0.4652 0.4701
1.0700 0.6896 0.4278 0.4529 0.4580
1.0800 0.6891 0.4150 0.4404 0.4456
1.0900 0.6886 0.4021 0.4277 0.4331
1.1000 0.6879 0.3891 0.4150 0.4205
1.1100 0.6871 0.3761 0.4021 0.4077
1.1200 0.6862 0.3631 0.3891 0.3948
1.1300 0.6851 0.3500 0.3760 0.3819
1.1400 0.6838 0.3370 0.3629 0.3689
1.1500 0.6823 0.3241 0.3498 0.3558
1.1600 0.6806 0.3112 0.3366 0.3428
1.1700 0.6786 0.2985 0.3235 0.3297
1.1800 0.6762 0.2858 0.3104 0.3167
1.1900 0.6736 0.2733 0.2974 0.3037
1.2000 0.6705 0.2610 0.2845 0.2908
1.2100 0.6671 0.2489 0.2717 0.2780
1.2200 0.6632 0.2370 0.2590 0.2653
1.2300 0.6589 0.2253 0.2465 0.2528
1.2400 0.6540 0.2140 0.2342 0.2404
1.2500 0.6487 0.2029 0.2221 0.2283
1.2600 0.6428 0.1922 0.2103 0.2164
1.2700 0.6363 0.1819 0.1988 0.2048
1.2800 0.6292 0.1720 0.1876 0.1936
1.2900 0.6216 0.1625 0.1767 0.1826
1.3000 0.6134 0.1535 0.1662 0.1721
1.3100 0.6045 0.1450 0.1562 0.1619
1.3200 0.5951 0.1371 0.1467 0.1522
1.3300 0.5852 0.1298 0.1376 0.1430
1.3400 0.5747 0.1230 0.1291 0.1344
1.3500 0.5637 0.1170 0.1213 0.1263
1.3600 0.5523 0.1116 0.1140 0.1189
1.3700 0.5405 0.1070 0.1075 0.1121
1.3800 0.5284 0.1032 0.1017 0.1061
1.3900 0.5161 0.1002 0.0966 0.1009
1.4000 0.5036 0.0980 0.0924 0.0964
1.4100 0.4910 0.0967 0.0891 0.0928
1.4200 0.4785 0.0962 0.0867 0.0901
1.4300 0.4661 0.0966 0.0852 0.0882
1.4400 0.4540 0.0979 0.0846 0.0874
1.4500 0.4423 0.1000 0.0850 0.0874
1.4600 0.4311 0.1030 0.0863 0.0884
1.4700 0.4205 0.1068 0.0886 0.0903
1.4800 0.4107 0.1114 0.0918 0.0932
1.4900 0.4017 0.1168 0.0958 0.0969
1.5000 0.3937 0.1229 0.1007 0.1015
1.5100 0.3868 0.1297 0.1065 0.1068
1.5200 0.3811 0.1371 0.1129 0.1130
1.5300 0.3766 0.1452 0.1201 0.1198
1.5400 0.3734 0.1538 0.1280 0.1274
1.5500 0.3715 0.1630 0.1365 0.1355
1.5600 0.3709 0.1727 0.1456 0.1443
1.5700 0.3717 0.1829 0.1552 0.1536
1.5800 0.3737 0.1935 0.1653 0.1633
1.5900 0.3771 0.2045 0.1758 0.1736
1.6000 0.3816 0.2159 0.1867 0.1842
1.6100 0.3872 0.2276 0.1981 0.1952
1.6200 0.3939 0.2396 0.2097 0.2066
1.6300 0.4014 0.2518 0.2216 0.2182
1.6400 0.4098 0.2643 0.2338 0.2302
1.6500 0.4189 0.2770 0.2462 0.2423
1.6600 0.4285 0.2899 0.2588 0.2547
1.6700 0.4386 0.3029 0.2716 0.2672
1.6800 0.4490 0.3160 0.2845 0.2799
1.6900 0.4597 0.3293 0.2975 0.2927
1.7000 0.4705 0.3425 0.3106 0.3056
1.7100 0.4813 0.3559 0.3237 0.3186
1.7200 0.4921 0.3692 0.3369 0.3316
1.7300 0.5027 0.3825 0.3500 0.3447
1.7400 0.5131 0.3958 0.3632 0.3577
1.7500 0.5233 0.4090 0.3763 0.3707
1.7600 0.5331 0.4221 0.3893 0.3837
1.7700 0.5426 0.4351 0.4023 0.3966
1.7800 0.5516 0.4480 0.4151 0.4095
