 t	 x	 y	 z
0.0000 1.0000 1.0000 1.0000
0.0100 0.9990 0.9998 0.9998
0.0200 0.9960 0.9991 0.9992
0.0300 0.9910 0.9981 0.9982
0.0400 0.9841 0.9966 0.9967
0.0500 0.9752 0.9947 0.9949
0.0600 0.9645 0.9923 0.9927
0.0700 0.9519 0.9895 0.9900
0.0800 0.9376 0.9863 0.9870
0.0900 0.9216 0.9827 0.9835
0.1000 0.9040 0.9787 0.9797
0.1100 0.8849 0.9743 0.9755
0.1200 0.8643 0.9694 0.9708
0.1300 0.8425 0.9641 0.9658
0.1400 0.8194 0.9585 0.9604
0.1500 0.7953 0.9524 0.9546
0.1600 0.7702 0.9460 0.9484
0.1700 0.7442 0.9391 0.9418
0.1800 0.7174 0.9319 0.9348
0.1900 0.6901 0.9242 0.9275
0.2000 0.6622 0.9162 0.9198
0.2100 0.6340 0.9078 0.9118
0.2200 0.6055 0.8991 0.9033
0.2300 0.5769 0.8900 0.8945
0.2400 0.5483 0.8805 0.8854
0.2500 0.5198 0.8706 0.8759
0.2600 0.4915 0.8604 0.8660
0.2700 0.4634 0.8499 0.8558
0.2800 0.4358 0.8390 0.8453
0.2900 0.4087 0.8278 0.8344
0.3000 0.3822 0.8163 0.8231
0.3100 0.3564 0.8044 0.8116
0.3200 0.3313 0.7922 0.7997
0.3300 0.3070 0.7797 0.7875
0.3400 0.2835 0.7669 0.7750
0.3500 0.2610 0.7538 0.7622
0.3600 0.2395 0.7404 0.7490
0.3700 0.2189 0.7266 0.7356
0.3800 0.1994 0.7126 0.7219
0.3900 0.1808 0.6984 0.7078
0.4000 0.1634 0.6838 0.6935
0.4100 0.1470 0.6690 0.6789
0.4200 0.1316 0.6539 0.6641
0.4300 0.1173 0.6385 0.6489
0.4400 0.1040 0.6229 0.6335
0.4500 0.0918 0.6070 0.6179
0.4600 0.0804 0.5908 0.6020
0.4700 0.0701 0.5745 0.5858
0.4800 0.0606 0.5579 0.5695
0.4900 0.0521 0.5410 0.5529
0.5000 0.0443 0.5240 0.5360
0.5100 0.0374 0.5067 0.5190
0.5200 0.0311 0.4892 0.5017
0.5300 0.0256 0.4715 0.4843
0.5400 0.0207 0.4536 0.4666
0.5500 0.0164 0.4355 0.4488
0.5600 0.0126 0.4172 0.4308
0.5700 0.0093 0.3988 0.4126
0.5800 0.0065 0.3801 0.3943
0.5900 0.0040 0.3613 0.3758
0.6000 0.0019 0.3423 0.3572
0.6100 0.0001 0.3232 0.3384
0.6200 -0.0015 0.3039 0.3195
0.6300 -0.0028 0.2845 0.3005
0.6400 -0.0040 0.2650 0.2814
0.6500 -0.0050 0.2453 0.2622
0.6600 -0.0058 0.2255 0.2429
0.6700 -0.0066 0.2056 0.2234
0.6800 -0.0073 0.1856 0.2039
0.6900 -0.0079 0.1655 0.1844
0.7000 -0.0085 0.1454 0.1647
0.7100 -0.0091 0.1252 0.1451
0.7200 -0.0096 0.1049 0.1253
0.7300 -0.0102 0.0845 0.1055
0.7400 -0.0107 0.0641 0.0857
0.7500 -0.0113 0.0437 0.0659
0.7600 -0.0118 0.0233 0.0460
0.7700 -0.0124 0.0028 0.0262
0.7800 -0.0129 -0.0176 0.0063
0.7900 -0.0135 -0.0381 -0.0135
0.8000 -0.0141 -0.0585 -0.0334
0.8100 -0.0147 -0.0789 -0.0532
0.8200 -0.0152 -0.0993 -0.0730
0.8300 -0.0158 -0.1196 -0.0928
0.8400 -0.0164 -0.1398 -0.1125
0.8500 -0.0170 -0.1600 -0.1322
0.8600 -0.0176 -0.1801 -0.1518
0.8700 -0.0182 -0.2001 -0.1713
0.8800 -0.0189 -0.2200 -0.1908
0.8900 -0.0195 -0.2398 -0.2101
0.9000 -0.0203 -0.2595 -0.2294
0.9100 -0.0211 -0.2790 -0.2486
0.9200 -0.0219 -0.2984 -0.2677
0.9300 -0.0229 -0.3176 -0.2867
0.9400 -0.0240 -0.3367 -0.3055
0.9500 -0.0253 -0.3556 -0.3242
0.9600 -0.0267 -0.3743 -0.3428
0.9700 -0.0284 -0.3928 -0.3612
0.9800 -0.0303 -0.4111 -0.3795
0.9900 -0.0325 -0.4292 -0.3976
1.0000 -0.0350 -0.4471 -0.4155
1.0100 -0.0378 -0.4648 -0.4332
1.0200 -0.0411 -0.4823 -0.4508
1.0300 -0.0448 -0.4995 -0.4682
1.0400 -0.0489 -0.5164 -0.4853
1.0500 -0.0536 -0.5332 -0.5023
1.0600 -0.0588 -0.5496 -0.5190
1.0700 -0.0646 -0.5658 -0.5355
1.0800 -0.0710 -0.5817 -0.5518
1.0900 -0.0781 -0.5973 -0.5678
1.1000 -0.0859 -0.6127 -0.5836
1.1100 -0.0944 -0.6278 -0.5991
1.1200 -0.1036 -0.6425 -0.6144
1.1300 -0.1136 -0.6570 -0.6294
1.1400 -0.1244 -0.6712 -0.6441
1.1500 -0.1359 -0.6850 -0.6586
1.1600 -0.1483 -0.6986 -0.6728
1.1700 -0.1614 -0.7118 -0.6867
1.1800 -0.1753 -0.7248 -0.7003
1.1900 -0.1900 -0.7374 -0.7136
1.2000 -0.2055 -0.7496 -0.7265
1.2100 -0.2216 -0.7616 -0.7392
1.2200 -0.2385 -0.7732 -0.7516
1.2300 -0.2561 -0.7845 -0.7636
1.2400 -0.2743 -0.7955 -0.7754
1.2500 -0.2931 -0.8061 -0.7867
1.2600 -0.3124 -0.8163 -0.7978
1.2700 -0.3322 -0.8263 -0.8085
1.2800 -0.3524 -0.8358 -0.8189
1.2900 -0.3730 -0.8451 -0.8290
1.3000 -0.3938 -0.8540 -0.8387
1.3100 -0.4148 -0.8625 -0.8480
1.3200 -0.4359 -0.8706 -0.8570
1.3300 -0.4571 -0.8785 -0.8656
1.3400 -0.4782 -0.8859 -0.8739
1.3500 -0.4991 -0.8930 -0.8818
1.3600 -0.5198 -0.8997 -0.8893
1.3700 -0.5402 -0.9061 -0.8965
1.3800 -0.5602 -0.9120 -0.9032
1.3900 -0.5796 -0.9176 -0.9096
1.4000 -0.5985 -0.9229 -0.9157
1.4100 -0.6167 -0.9277 -0.9213
1.4200 -0.6341 -0.9322 -0.9266
1.4300 -0.6507 -0.9362 -0.9314
1.4400 -0.6663 -0.9399 -0.9359
1.4500 -0.6810 -0.9432 -0.9399
1.4600 -0.6946 -0.9461 -0.9436
1.4700 -0.7071 -0.9486 -0.9469
1.4800 -0.7184 -0.9507 -0.9498
1.4900 -0.7284 -0.9525 -0.9522
1.5000 -0.7373 -0.9538 -0.9543
1.5100 -0.7448 -0.9547 -0.9559
1.5200 -0.7510 -0.9552 -0.9572
1.5300 -0.7558 -0.9552 -0.9580
1.5400 -0.7593 -0.9549 -0.9585
1.5500 -0.7614 -0.9542 -0.9585
1.5600 -0.7622 -0.9530 -0.9581
1.5700 -0.7616 -0.9514 -0.9573
1.5800 -0.7597 -0.9495 -0.9561
1.5900 -0.7565 -0.9470 -0.9545
1.6000 -0.7521 -0.9442 -0.9525
1.6100 -0.7464 -0.9409 -0.9501
1.6200 -0.7396 -0.9373 -0.9473
1.6300 -0.7316 -0.9332 -0.9440
1.6400 -0.7226 -0.9286 -0.9404
1.6500 -0.7127 -0.9237 -0.9364
1.6600 -0.7018 -0.9183 -0.9320
1.6700 -0.6901 -0.9125 -0.9271
1.6800 -0.6776 -0.9063 -0.9219
1.6900 -0.6645 -0.8997 -0.9163
1.7000 -0.6508 -0.8927 -0.9103
1.7100 -0.6366 -0.8852 -0.9040
1.7200 -0.6220 -0.8774 -0.8972
1.7300 -0.6070 -0.8691 -0.8901
1.7400 -0.5919 -0.8605 -0.8826
1.7500 -0.5766 -0.8514 -0.8747
1.7600 -0.5613 -0.8419 -0.8664
1.7700 -0.5460 -0.8321 -0.8578
1.7800 -0.5308 -0.8218 -0.8489
1.7900 -0.5158 -0.8112 -0.8396
1.8000 -0.5011 -0.8002 -0.8299
1.8100 -0.4868 -0.7889 -0.8199
1.8200 -0.4728 -0.7771 -0.8095
1.8300 -0.4594 -0.7650 -0.7988
1.8400 -0.4464 -0.7526 -0.7878
1.8500 -0.4341 -0.7398 -0.7764
1.8600 -0.4223 -0.7267 -0.7647
1.8700 -0.4113 -0.7133 -0.7527
1.8800 -0.4009 -0.6995 -0.7403
1.8900 -0.3912 -0.6854 -0.7277
1.9000 -0.3823 -0.6710 -0.7147
1.9100 -0.3742 -0.6563 -0.7015
1.9200 -0.3668 -0.6414 -0.6879
1.9300 -0.3601 -0.6261 -0.6740
1.9400 -0.3543 -0.6106 -0.6599
1.9500 -0.3492 -0.5948 -0.6455
1.9600 -0.3448 -0.5787 -0.6308
1.9700 -0.3412 -0.5624 -0.6158
1.9800 -0.3383 -0.5459 -0.6005
1.9900 -0.3360 -0.5291 -0.5850
2.0000 -0.3344 -0.5121 -0.5693
2.0100 -0.3334 -0.4949 -0.5533
2.0200 -0.3330 -0.4775 -0.5370
2.0300 -0.3332 -0.4599 -0.5206
2.0400 -0.3338 -0.4421 -0.5039
2.0500 -0.3349 -0.4241 -0.4869
2.0600 -0.3364 -0.4060 -0.4698
2.0700 -0.3383 -0.3877 -0.4525
2.0800 -0.3405 -0.3692 -0.4349
2.0900 -0.3431 -0.3506 -0.4172
2.1000 -0.3459 -0.3318 -0.3993
2.1100 -0.3489 -0.3129 -0.3812
2.1200 -0.3521 -0.2939 -0.3630
2.1300 -0.3555 -0.2748 -0.3446
2.1400 -0.3589 -0.2556 -0.3260
2.1500 -0.3625 -0.2362 -0.3073
2.1600 -0.3661 -0.2168 -0.2885
2.1700 -0.3698 -0.1973 -0.2695
2.1800 -0.3734 -0.1777 -0.2504
2.1900 -0.3771 -0.1580 -0.2312
2.2000 -0.3807 -0.1383 -0.2119
2.2100 -0.3843 -0.1185 -0.1926
2.2200 -0.3878 -0.0986 -0.1731
2.2300 -0.3913 -0.0787 -0.1535
2.2400 -0.3947 -0.0588 -0.1339
2.2500 -0.3980 -0.0388 -0.1143
2.2600 -0.4012 -0.0188 -0.0945
2.2700 -0.4044 0.0012 -0.0748
2.2800 -0.4074 0.0212 -0.0550
2.2900 -0.4104 0.0412 -0.0351
2.3000 -0.4132 0.0612 -0.0153
2.3100 -0.4160 0.0813 0.0046
2.3200 -0.4186 0.1012 0.0244
2.3300 -0.4212 0.1212 0.0443
2.3400 -0.4236 0.1411 0.0642
2.3500 -0.4260 0.1610 0.0840
2.3600 -0.4282 0.1809 0.1038
2.3700 -0.4302 0.2007 0.1236
2.3800 -0.4322 0.2204 0.1433
2.3900 -0.4339 0.2401 0.1630
2.4000 -0.4355 0.2596 0.1826
2.4100 -0.4369 0.2791 0.2022
2.4200 -0.4381 0.2985 0.2217
2.4300 -0.4390 0.3178 0.2411
2.4400 -0.4397 0.3370 0.2604
2.4500 -0.4400 0.3561 0.2796
2.4600 -0.4400 0.3750 0.2987
2.4700 -0.4396 0.3938 0.3178
2.4800 -0.4388 0.4125 0.3366
2.4900 -0.4375 0.4310 0.3554
2.5000 -0.4357 0.4493 0.3740
2.5100 -0.4334 0.4675 0.3925
2.5200 -0.4304 0.4855 0.4109
2.5300 -0.4268 0.5033 0.4290
2.5400 -0.4224 0.5209 0.4470
2.5500 -0.4173 0.5382 0.4649
2.5600 -0.4114 0.5554 0.4825
2.5700 -0.4046 0.5724 0.5000
2.5800 -0.3968 0.5891 0.5173
2.5900 -0.3882 0.6056 0.5343
2.6000 -0.3785 0.6218 0.5512
2.6100 -0.3677 0.6377 0.5678
2.6200 -0.3558 0.6534 0.5842
2.6300 -0.3428 0.6688 0.6004
2.6400 -0.3287 0.6840 0.6163
2.6500 -0.3133 0.6988 0.6320
2.6600 -0.2968 0.7134 0.6474
2.6700 -0.2790 0.7276 0.6626
2.6800 -0.2600 0.7415 0.6775
2.6900 -0.2398 0.7551 0.6921
2.7000 -0.2183 0.7684 0.7064
2.7100 -0.1956 0.7813 0.7205
2.7200 -0.1718 0.7939 0.7342
2.7300 -0.1468 0.8061 0.7477
2.7400 -0.1206 0.8180 0.7609
2.7500 -0.0934 0.8296 0.7737
2.7600 -0.0651 0.8408 0.7863
2.7700 -0.0359 0.8516 0.7985
2.7800 -0.0058 0.8620 0.8104
2.7900 0.0251 0.8721 0.8220
2.8000 0.0567 0.8817 0.8332
2.8100 0.0890 0.8910 0.8441
2.8200 0.1219 0.8999 0.8547
2.8300 0.1552 0.9085 0.8649
2.8400 0.1888 0.9166 0.8748
2.8500 0.2227 0.9243 0.8843
2.8600 0.2567 0.9316 0.8935
2.8700 0.2906 0.9386 0.9023
2.8800 0.3245 0.9451 0.9108
2.8900 0.3580 0.9512 0.9189
2.9000 0.3912 0.9570 0.9266
2.9100 0.4239 0.9623 0.9340
2.9200 0.4560 0.9672 0.9409
2.9300 0.4873 0.9717 0.9475
2.9400 0.5178 0.9758 0.9538
2.9500 0.5472 0.9795 0.9596
2.9600 0.5756 0.9828 0.9650
2.9700 0.6027 0.9856 0.9701
2.9800 0.6286 0.9881 0.9748
2.9900 0.6530 0.9902 0.9790
3.0000 0.6759 0.9918 0.9829
3.0100 0.6972 0.9931 0.9864
3.0200 0.7169 0.9939 0.9895
3.0300 0.7348 0.9944 0.9922
3.0400 0.7510 0.9944 0.9945
3.0500 0.7653 0.9940 0.9963
3.0600 0.7778 0.9932 0.9978
3.0700 0.7884 0.9921 0.9989
3.0800 0.7971 0.9905 0.9995
3.0900 0.8038 0.9885 0.9998
3.1000 0.8087 0.9861 0.9996
3.1100 0.8116 0.9833 0.9991
3.1200 0.8127 0.9802 0.9981
3.1300 0.8119 0.9766 0.9967
3.1400 0.8094 0.9726 0.9949
3.1500 0.8051 0.9682 0.9927
3.1600 0.7991 0.9635 0.9901
3.1700 0.7915 0.9583 0.9871
3.1800 0.7824 0.9528 0.9837
3.1900 0.7718 0.9468 0.9799
3.2000 0.7599 0.9405 0.9757
3.2100 0.7467 0.9338 0.9711
3.2200 0.7324 0.9267 0.9662
3.2300 0.7170 0.9192 0.9608
3.2400 0.7007 0.9113 0.9550
3.2500 0.6836 0.9031 0.9488
3.2600 0.6657 0.8945 0.9423
3.2700 0.6473 0.8855 0.9354
3.2800 0.6284 0.8761 0.9281
3.2900 0.6092 0.8664 0.9204
3.3000 0.5897 0.8563 0.9124
3.3100 0.5701 0.8458 0.9040
3.3200 0.5505 0.8349 0.8952
3.3300 0.5310 0.8237 0.8861
3.3400 0.5117 0.8122 0.8766
3.3500 0.4927 0.8003 0.8668
3.3600 0.4740 0.7881 0.8566
3.3700 0.4559 0.7755 0.8461
3.3800 0.4382 0.7625 0.8352
3.3900 0.4212 0.7493 0.8240
3.4000 0.4049 0.7357 0.8125
3.4100 0.3894 0.7218 0.8006
3.4200 0.3746 0.7076 0.7885
3.4300 0.3607 0.6930 0.7760
3.4400 0.3477 0.6782 0.7632
3.4500 0.3355 0.6631 0.7501
3.4600 0.3243 0.6476 0.7367
3.4700 0.3141 0.6319 0.7230
3.4800 0.3048 0.6159 0.7090
3.4900 0.2964 0.5997 0.6947
3.5000 0.2889 0.5832 0.6801
3.5100 0.2824 0.5664 0.6653
3.5200 0.2768 0.5494 0.6502
3.5300 0.2721 0.5322 0.6348
3.5400 0.2682 0.5147 0.6192
3.5500 0.2651 0.4970 0.6033
3.5600 0.2628 0.4791 0.5872
3.5700 0.2612 0.4610 0.5709
3.5800 0.2602 0.4427 0.5543
3.5900 0.2600 0.4243 0.5375
3.6000 0.2603 0.4056 0.5205
3.6100 0.2611 0.3868 0.5032
3.6200 0.2624 0.3679 0.4858
3.6300 0.2642 0.3488 0.4682
3.6400 0.2663 0.3295 0.4504
3.6500 0.2687 0.3102 0.4324
3.6600 0.2715 0.2907 0.4143
3.6700 0.2744 0.2711 0.3959
3.6800 0.2776 0.2514 0.3775
3.6900 0.2809 0.2317 0.3588
3.7000 0.2843 0.2119 0.3401
3.7100 0.2878 0.1920 0.3212
3.7200 0.2913 0.1720 0.3022
3.7300 0.2949 0.1520 0.2831
3.7400 0.2984 0.1319 0.2638
3.7500 0.3018 0.1119 0.2445
3.7600 0.3052 0.0918 0.2251
3.7700 0.3086 0.0716 0.2056
3.7800 0.3118 0.0515 0.1860
3.7900 0.3149 0.0314 0.1664
3.8000 0.3179 0.0113 0.1467
3.8100 0.3208 -0.0088 0.1270
3.8200 0.3236 -0.0289 0.1072
3.8300 0.3263 -0.0489 0.0874
3.8400 0.3288 -0.0689 0.0675
3.8500 0.3312 -0.0888 0.0477
3.8600 0.3335 -0.1087 0.0278
3.8700 0.3357 -0.1285 0.0080
3.8800 0.3378 -0.1482 -0.0119
3.8900 0.3397 -0.1679 -0.0317
3.9000 0.3416 -0.1875 -0.0515
3.9100 0.3434 -0.2069 -0.0713
3.9200 0.3450 -0.2263 -0.0911
3.9300 0.3466 -0.2456 -0.1108
3.9400 0.3481 -0.2648 -0.1305
3.9500 0.3494 -0.2838 -0.1501
3.9600 0.3507 -0.3027 -0.1696
3.9700 0.3518 -0.3215 -0.1890
3.9800 0.3528 -0.3402 -0.2084
3.9900 0.3536 -0.3587 -0.2277
4.0000 0.3543 -0.3771 -0.2469
4.0100 0.3548 -0.3953 -0.2659
4.0200 0.3552 -0.4133 -0.2849
