 t	 x	 y	 z	 w
0.0000 1.0000 1.0000 1.0000 1.0000
0.0100 0.9987 0.9999 1.0000 1.0000
0.0200 0.9950 0.9996 0.9998 0.9999
0.0300 0.9887 0.9990 0.9996 0.9998
0.0400 0.9799 0.9982 0.9993 0.9997
0.0500 0.9688 0.9972 0.9989 0.9995
0.0600 0.9553 0.9960 0.9985 0.9992
0.0700 0.9396 0.9945 0.9979 0.9990
0.0800 0.9217 0.9929 0.9973 0.9987
0.0900 0.9018 0.9910 0.9966 0.9983
0.1000 0.8800 0.9890 0.9959 0.9980
0.1100 0.8564 0.9867 0.9950 0.9976
0.1200 0.8312 0.9842 0.9942 0.9971
0.1300 0.8045 0.9816 0.9932 0.9967
0.1400 0.7764 0.9787 0.9922 0.9962
0.1500 0.7472 0.9757 0.9911 0.9958
0.1600 0.7169 0.9725 0.9900 0.9953
0.1700 0.6859 0.9692 0.9888 0.9948
0.1800 0.6541 0.9657 0.9876 0.9942
0.1900 0.6219 0.9620 0.9864 0.9937
0.2000 0.5893 0.9582 0.9851 0.9932
0.2100 0.5565 0.9543 0.9838 0.9927
0.2200 0.5237 0.9502 0.9824 0.9922
0.2300 0.4911 0.9460 0.9811 0.9917
0.2400 0.4588 0.9417 0.9797 0.9912
0.2500 0.4268 0.9373 0.9784 0.9908
0.2600 0.3955 0.9328 0.9770 0.9903
0.2700 0.3648 0.9283 0.9756 0.9899
0.2800 0.3349 0.9236 0.9743 0.9895
0.2900 0.3059 0.9189 0.9729 0.9891
0.3000 0.2779 0.9141 0.9716 0.9888
0.3100 0.2509 0.9093 0.9703 0.9885
0.3200 0.2250 0.9045 0.9690 0.9882
0.3300 0.2004 0.8996 0.9677 0.9880
0.3400 0.1769 0.8947 0.9665 0.9877
0.3500 0.1547 0.8898 0.9653 0.9876
0.3600 0.1337 0.8849 0.9641 0.9874
0.3700 0.1141 0.8800 0.9630 0.9873
0.3800 0.0957 0.8751 0.9620 0.9873
0.3900 0.0786 0.8702 0.9610 0.9872
0.4000 0.0628 0.8654 0.9600 0.9873
0.4100 0.0481 0.8606 0.9591 0.9873
0.4200 0.0347 0.8559 0.9582 0.9874
0.4300 0.0224 0.8512 0.9575 0.9875
0.4400 0.0113 0.8466 0.9567 0.9876
0.4500 0.0012 0.8421 0.9560 0.9878
0.4600 -0.0079 0.8376 0.9554 0.9880
0.4700 -0.0161 0.8333 0.9549 0.9882
0.4800 -0.0234 0.8290 0.9544 0.9884
0.4900 -0.0298 0.8249 0.9540 0.9887
0.5000 -0.0355 0.8208 0.9536 0.9889
0.5100 -0.0405 0.8169 0.9533 0.9892
0.5200 -0.0449 0.8130 0.9530 0.9895
0.5300 -0.0486 0.8093 0.9528 0.9898
0.5400 -0.0519 0.8057 0.9526 0.9901
0.5500 -0.0547 0.8023 0.9525 0.9905
0.5600 -0.0570 0.7990 0.9525 0.9908
0.5700 -0.0591 0.7958 0.9525 0.9911
0.5800 -0.0608 0.7927 0.9525 0.9914
0.5900 -0.0622 0.7898 0.9526 0.9917
0.6000 -0.0634 0.7871 0.9527 0.9920
0.6100 -0.0643 0.7844 0.9529 0.9923
0.6200 -0.0651 0.7820 0.9531 0.9925
0.6300 -0.0658 0.7796 0.9533 0.9928
0.6400 -0.0663 0.7774 0.9535 0.9930
0.6500 -0.0668 0.7753 0.9537 0.9932
0.6600 -0.0671 0.7734 0.9540 0.9934
0.6700 -0.0674 0.7716 0.9542 0.9936
0.6800 -0.0676 0.7699 0.9545 0.9937
0.6900 -0.0678 0.7683 0.9548 0.9939
0.7000 -0.0679 0.7669 0.9550 0.9940
0.7100 -0.0680 0.7655 0.9553 0.9941
0.7200 -0.0680 0.7643 0.9555 0.9941
0.7300 -0.0680 0.7632 0.9557 0.9942
0.7400 -0.0680 0.7622 0.9559 0.9942
0.7500 -0.0679 0.7613 0.9561 0.9942
0.7600 -0.0678 0.7604 0.9562 0.9942
0.7700 -0.0676 0.7596 0.9563 0.9941
0.7800 -0.0675 0.7589 0.9563 0.9941
0.7900 -0.0672 0.7583 0.9564 0.9940
0.8000 -0.0670 0.7577 0.9563 0.9939
0.8100 -0.0667 0.7571 0.9562 0.9939
0.8200 -0.0664 0.7566 0.9561 0.9938
0.8300 -0.0660 0.7561 0.9559 0.9937
0.8400 -0.0656 0.7556 0.9557 0.9936
0.8500 -0.0652 0.7551 0.9554 0.9935
0.8600 -0.0647 0.7546 0.9550 0.9934
0.8700 -0.0642 0.7541 0.9546 0.9933
0.8800 -0.0636 0.7536 0.9541 0.9932
0.8900 -0.0630 0.7530 0.9535 0.9931
0.9000 -0.0624 0.7524 0.9529 0.9930
0.9100 -0.0617 0.7517 0.9523 0.9929
0.9200 -0.0609 0.7509 0.9515 0.9929
0.9300 -0.0601 0.7501 0.9507 0.9928
0.9400 -0.0592 0.7491 0.9498 0.9928
0.9500 -0.0582 0.7481 0.9489 0.9928
0.9600 -0.0570 0.7469 0.9479 0.9928
0.9700 -0.0557 0.7457 0.9469 0.9929
0.9800 -0.0543 0.7443 0.9458 0.9929
0.9900 -0.0527 0.7427 0.9446 0.9930
1.0000 -0.0508 0.7410 0.9434 0.9931
1.0100 -0.0487 0.7391 0.9421 0.9933
1.0200 -0.0463 0.7371 0.9408 0.9934
1.0300 -0.0436 0.7348 0.9395 0.9936
1.0400 -0.0406 0.7324 0.9381 0.9938
1.0500 -0.0371 0.7297 0.9367 0.9940
1.0600 -0.0332 0.7269 0.9353 0.9942
1.0700 -0.0288 0.7238 0.9339 0.9945
1.0800 -0.0239 0.7205 0.9324 0.9947
1.0900 -0.0184 0.7169 0.9309 0.9950
1.1000 -0.0122 0.7131 0.9294 0.9953
1.1100 -0.0054 0.7091 0.9280 0.9956
1.1200 0.0021 0.7048 0.9265 0.9960
1.1300 0.0104 0.7002 0.9250 0.9963
1.1400 0.0194 0.6953 0.9236 0.9966
1.1500 0.0293 0.6902 0.9221 0.9969
1.1600 0.0400 0.6848 0.9207 0.9972
1.1700 0.0516 0.6791 0.9194 0.9976
1.1800 0.0640 0.6731 0.9180 0.9979
1.1900 0.0774 0.6668 0.9167 0.9982
1.2000 0.0917 0.6602 0.9155 0.9984
1.2100 0.1069 0.6533 0.9143 0.9987
1.2200 0.1230 0.6461 0.9132 0.9990
1.2300 0.1399 0.6386 0.9121 0.9992
1.2400 0.1577 0.6308 0.9111 0.9994
1.2500 0.1763 0.6227 0.9102 0.9996
1.2600 0.1957 0.6142 0.9094 0.9997
1.2700 0.2159 0.6055 0.9086 0.9998
1.2800 0.2367 0.5965 0.9079 0.9999
1.2900 0.2581 0.5872 0.9074 0.9999
1.3000 0.2800 0.5776 0.9069 0.9999
1.3100 0.3024 0.5678 0.9065 0.9999
1.3200 0.3251 0.5576 0.9062 0.9998
1.3300 0.3481 0.5472 0.9060 0.9997
1.3400 0.3713 0.5365 0.9059 0.9995
