 t	 x	 y	 z
0.0000 1.0000 1.0000 1.0000
0.0130 0.9979 0.9997 0.9999
0.0260 0.9915 0.9989 0.9996
0.0390 0.9810 0.9976 0.9990
0.0520 0.9664 0.9957 0.9982
0.0650 0.9479 0.9934 0.9973
0.0780 0.9257 0.9905 0.9961
0.0910 0.9000 0.9871 0.9947
0.1040 0.8712 0.9833 0.9932
0.1170 0.8396 0.9790 0.9914
0.1300 0.8053 0.9742 0.9896
0.1430 0.7689 0.9690 0.9875
0.1560 0.7307 0.9634 0.9854
0.1690 0.6910 0.9575 0.9832
0.1820 0.6502 0.9511 0.9808
0.1950 0.6087 0.9445 0.9784
0.2080 0.5669 0.9375 0.9759
0.2210 0.5252 0.9303 0.9734
0.2340 0.4838 0.9228 0.9709
0.2470 0.4431 0.9151 0.9684
0.2600 0.4034 0.9072 0.9659
0.2730 0.3650 0.8992 0.9634
0.2860 0.3281 0.8910 0.9610
0.2990 0.2929 0.8828 0.9587
0.3120 0.2597 0.8744 0.9565
0.3250 0.2284 0.8661 0.9544
0.3380 0.1993 0.8577 0.9524
0.3510 0.1724 0.8494 0.9505
0.3640 0.1478 0.8412 0.9489
0.3770 0.1255 0.8330 0.9474
0.3900 0.1054 0.8250 0.9460
0.4030 0.0876 0.8172 0.9449
0.4160 0.0718 0.8095 0.9440
0.4290 0.0582 0.8021 0.9433
0.4420 0.0464 0.7949 0.9428
0.4550 0.0366 0.7880 0.9425
0.4680 0.0284 0.7814 0.9424
0.4810 0.0217 0.7752 0.9426
0.4940 0.0165 0.7693 0.9429
0.5070 0.0125 0.7638 0.9435
0.5200 0.0097 0.7586 0.9443
0.5330 0.0078 0.7539 0.9453
0.5460 0.0068 0.7497 0.9465
0.5590 0.0065 0.7458 0.9479
0.5720 0.0068 0.7425 0.9494
0.5850 0.0076 0.7396 0.9511
0.5980 0.0089 0.7372 0.9529
0.6110 0.0104 0.7352 0.9549
0.6240 0.0122 0.7338 0.9570
0.6370 0.0142 0.7328 0.9592
0.6500 0.0164 0.7323 0.9614
0.6630 0.0186 0.7323 0.9638
0.6760 0.0210 0.7327 0.9661
0.6890 0.0233 0.7336 0.9685
0.7020 0.0257 0.7349 0.9709
0.7150 0.0281 0.7367 0.9732
0.7280 0.0306 0.7388 0.9756
0.7410 0.0330 0.7413 0.9778
0.7540 0.0354 0.7442 0.9800
0.7670 0.0379 0.7474 0.9821
0.7800 0.0404 0.7509 0.9840
0.7930 0.0428 0.7547 0.9858
0.8060 0.0453 0.7587 0.9875
0.8190 0.0478 0.7630 0.9890
0.8320 0.0502 0.7674 0.9903
