 t	 x	 y	 z
0.0000 -0.0000 0.0000 0.0000
0.0130 0.0083 0.0013 0.0006
0.0260 0.0274 0.0046 0.0021
0.0390 0.0537 0.0093 0.0043
0.0520 0.0853 0.0152 0.0071
0.0650 0.1206 0.0222 0.0104
0.0780 0.1586 0.0302 0.0142
0.0910 0.1981 0.0389 0.0183
0.1040 0.2385 0.0483 0.0228
0.1170 0.2789 0.0584 0.0276
0.1300 0.3188 0.0689 0.0326
0.1430 0.3575 0.0799 0.0378
0.1560 0.3947 0.0913 0.0432
0.1690 0.4300 0.1029 0.0486
0.1820 0.4631 0.1148 0.0541
0.1950 0.4938 0.1269 0.0597
0.2080 0.5220 0.1390 0.0652
0.2210 0.5476 0.1512 0.0706
0.2340 0.5706 0.1635 0.0760
0.2470 0.5910 0.1756 0.0813
0.2600 0.6090 0.1877 0.0864
0.2730 0.6246 0.1997 0.0913
0.2860 0.6380 0.2115 0.0961
0.2990 0.6493 0.2232 0.1006
0.3120 0.6588 0.2346 0.1048
0.3250 0.6666 0.2457 0.1088
0.3380 0.6729 0.2566 0.1125
0.3510 0.6780 0.2671 0.1159
0.3640 0.6820 0.2773 0.1190
0.3770 0.6851 0.2872 0.1217
0.3900 0.6874 0.2967 0.1241
0.4030 0.6891 0.3058 0.1261
0.4160 0.6904 0.3145 0.1277
0.4290 0.6913 0.3228 0.1290
0.4420 0.6919 0.3306 0.1299
0.4550 0.6923 0.3380 0.1304
0.4680 0.6926 0.3450 0.1305
0.4810 0.6928 0.3515 0.1302
0.4940 0.6928 0.3576 0.1296
0.5070 0.6929 0.3632 0.1285
0.5200 0.6929 0.3683 0.1271
0.5330 0.6929 0.3729 0.1254
0.5460 0.6929 0.3771 0.1233
0.5590 0.6929 0.3808 0.1208
0.5720 0.6929 0.3840 0.1180
0.5850 0.6929 0.3868 0.1149
0.5980 0.6929 0.3891 0.1115
0.6110 0.6929 0.3909 0.1078
0.6240 0.6929 0.3922 0.1038
0.6370 0.6929 0.3931 0.0996
0.6500 0.6928 0.3936 0.0952
0.6630 0.6928 0.3936 0.0906
0.6760 0.6928 0.3932 0.0858
0.6890 0.6927 0.3924 0.0810
0.7020 0.6927 0.3911 0.0760
0.7150 0.6926 0.3895 0.0710
0.7280 0.6925 0.3875 0.0659
0.7410 0.6925 0.3851 0.0609
0.7540 0.6924 0.3823 0.0560
0.7670 0.6923 0.3792 0.0512
0.7800 0.6922 0.3758 0.0465
0.7930 0.6921 0.3721 0.0421
0.8060 0.6920 0.3681 0.0379
0.8190 0.6919 0.3639 0.0340
0.8320 0.6918 0.3594 0.0306
0.8450 0.6917 0.3548 0.0276
0.8580 0.6915 0.3499 0.0250
0.8710 0.6914 0.3449 0.0231
0.8840 0.6913 0.3399 0.0217
0.8970 0.6911 0.3347 0.0210
0.9100 0.6910 0.3295 0.0210
0.9230 0.6908 0.3243 0.0216
0.9360 0.6906 0.3191 0.0230
0.9490 0.6904 0.3140 0.0249
0.9620 0.6903 0.3090 0.0275
0.9750 0.6900 0.3042 0.0307
0.9880 0.6898 0.2996 0.0344
1.0010 0.6896 0.2953 0.0385
1.0140 0.6893 0.2913 0.0430
1.0270 0.6890 0.2877 0.0479
1.0400 0.6886 0.2845 0.0532
1.0530 0.6882 0.2817 0.0587
1.0660 0.6877 0.2795 0.0643
1.0790 0.6871 0.2778 0.0702
1.0920 0.6863 0.2767 0.0762
1.1050 0.6855 0.2763 0.0823
1.1180 0.6845 0.2765 0.0884
1.1310 0.6833 0.2775 0.0945
1.1440 0.6819 0.2792 0.1005
1.1570 0.6802 0.2817 0.1065
1.1700 0.6782 0.2849 0.1124
1.1830 0.6758 0.2890 0.1181
1.1960 0.6730 0.2938 0.1237
1.2090 0.6698 0.2994 0.1290
1.2220 0.6661 0.3057 0.1341
1.2350 0.6618 0.3128 0.1390
1.2480 0.6568 0.3207 0.1436
1.2610 0.6513 0.3292 0.1479
1.2740 0.6450 0.3383 0.1519
1.2870 0.6379 0.3480 0.1556
1.3000 0.6301 0.3583 0.1589
1.3130 0.6216 0.3691 0.1619
1.3260 0.6122 0.3803 0.1644
1.3390 0.6022 0.3919 0.1666
1.3520 0.5914 0.4039 0.1684
1.3650 0.5800 0.4161 0.1698
1.3780 0.5681 0.4284 0.1708
1.3910 0.5557 0.4410 0.1714
1.4040 0.5430 0.4536 0.1715
1.4170 0.5301 0.4663 0.1712
1.4300 0.5172 0.4789 0.1705
1.4430 0.5045 0.4914 0.1694
1.4560 0.4921 0.5038 0.1679
1.4690 0.4802 0.5160 0.1660
1.4820 0.4690 0.5280 0.1637
1.4950 0.4587 0.5398 0.1610
1.5080 0.4494 0.5512 0.1579
1.5210 0.4413 0.5623 0.1544
1.5340 0.4344 0.5730 0.1506
1.5470 0.4289 0.5833 0.1464
1.5600 0.4248 0.5932 0.1419
1.5730 0.4221 0.6026 0.1371
1.5860 0.4208 0.6116 0.1321
1.5990 0.4207 0.6201 0.1267
1.6120 0.4220 0.6281 0.1212
1.6250 0.4243 0.6356 0.1154
1.6380 0.4276 0.6426 0.1094
1.6510 0.4318 0.6491 0.1033
1.6640 0.4367 0.6550 0.0970
1.6770 0.4421 0.6605 0.0907
1.6900 0.4480 0.6655 0.0843
1.7030 0.4541 0.6700 0.0778
1.7160 0.4603 0.6740 0.0714
1.7290 0.4665 0.6776 0.0650
1.7420 0.4726 0.6807 0.0587
1.7550 0.4785 0.6834 0.0525
1.7680 0.4842 0.6857 0.0465
1.7810 0.4895 0.6877 0.0407
1.7940 0.4944 0.6892 0.0351
1.8070 0.4990 0.6905 0.0298
1.8200 0.5031 0.6915 0.0249
1.8330 0.5068 0.6922 0.0204
1.8460 0.5100 0.6927 0.0163
1.8590 0.5128 0.6930 0.0127
1.8720 0.5152 0.6931 0.0097
1.8850 0.5173 0.6931 0.0073
1.8980 0.5189 0.6930 0.0056
1.9110 0.5203 0.6927 0.0047
1.9240 0.5213 0.6925 0.0046
1.9370 0.5222 0.6922 0.0054
1.9500 0.5228 0.6919 0.0069
1.9630 0.5232 0.6916 0.0091
1.9760 0.5236 0.6913 0.0118
1.9890 0.5239 0.6911 0.0149
2.0020 0.5242 0.6909 0.0185
2.0150 0.5244 0.6907 0.0224
2.0280 0.5248 0.6907 0.0265
2.0410 0.5252 0.6907 0.0309
2.0540 0.5257 0.6908 0.0354
2.0670 0.5264 0.6909 0.0401
2.0800 0.5272 0.6911 0.0448
2.0930 0.5282 0.6913 0.0495
2.1060 0.5294 0.6915 0.0542
2.1190 0.5308 0.6918 0.0588
2.1320 0.5324 0.6921 0.0633
2.1450 0.5342 0.6924 0.0678
2.1580 0.5362 0.6926 0.0720
2.1710 0.5384 0.6929 0.0761
2.1840 0.5408 0.6930 0.0800
2.1970 0.5434 0.6931 0.0836
2.2100 0.5462 0.6931 0.0870
2.2230 0.5492 0.6930 0.0901
2.2360 0.5524 0.6928 0.0929
2.2490 0.5557 0.6925 0.0954
2.2620 0.5592 0.6920 0.0976
2.2750 0.5629 0.6914 0.0994
2.2880 0.5667 0.6906 0.1009
2.3010 0.5707 0.6897 0.1020
2.3140 0.5747 0.6886 0.1028
