 t	 x	 y	 z
0.0000 -0.0000 0.0000 -0.0000
0.0100 0.0050 0.0004 0.0001
0.0200 0.0168 0.0016 0.0005
0.0300 0.0334 0.0032 0.0011
0.0400 0.0537 0.0053 0.0018
0.0500 0.0770 0.0079 0.0027
0.0600 0.1026 0.0108 0.0037
0.0700 0.1299 0.0141 0.0048
0.0800 0.1586 0.0177 0.0061
0.0900 0.1881 0.0216 0.0075
0.1000 0.2182 0.0257 0.0089
0.1100 0.2485 0.0301 0.0105
0.1200 0.2787 0.0348 0.0121
0.1300 0.3086 0.0396 0.0138
0.1400 0.3379 0.0446 0.0156
0.1500 0.3665 0.0498 0.0174
0.1600 0.3941 0.0552 0.0193
0.1700 0.4206 0.0607 0.0212
0.1800 0.4460 0.0663 0.0232
0.1900 0.4700 0.0720 0.0252
0.2000 0.4927 0.0778 0.0272
0.2100 0.5139 0.0837 0.0293
0.2200 0.5338 0.0897 0.0313
0.2300 0.5521 0.0957 0.0334
0.2400 0.5690 0.1017 0.0355
0.2500 0.5845 0.1078 0.0375
0.2600 0.5986 0.1139 0.0396
0.2700 0.6113 0.1200 0.0416
0.2800 0.6228 0.1261 0.0437
0.2900 0.6330 0.1322 0.0457
0.3000 0.6421 0.1383 0.0476
0.3100 0.6500 0.1444 0.0496
0.3200 0.6570 0.1504 0.0515
0.3300 0.6631 0.1564 0.0534
0.3400 0.6683 0.1623 0.0552
0.3500 0.6728 0.1681 0.0570
0.3600 0.6766 0.1739 0.0587
0.3700 0.6798 0.1797 0.0604
0.3800 0.6825 0.1853 0.0620
0.3900 0.6847 0.1909 0.0636
0.4000 0.6865 0.1964 0.0652
0.4100 0.6880 0.2017 0.0666
0.4200 0.6892 0.2070 0.0680
0.4300 0.6901 0.2122 0.0694
0.4400 0.6909 0.2173 0.0707
0.4500 0.6915 0.2223 0.0719
0.4600 0.6919 0.2271 0.0731
0.4700 0.6923 0.2319 0.0742
0.4800 0.6925 0.2365 0.0753
0.4900 0.6927 0.2410 0.0763
0.5000 0.6928 0.2454 0.0772
0.5100 0.6929 0.2497 0.0781
0.5200 0.6930 0.2539 0.0790
0.5300 0.6930 0.2579 0.0797
0.5400 0.6931 0.2618 0.0805
0.5500 0.6931 0.2656 0.0812
0.5600 0.6931 0.2693 0.0818
0.5700 0.6931 0.2729 0.0824
0.5800 0.6931 0.2763 0.0829
0.5900 0.6931 0.2797 0.0835
0.6000 0.6931 0.2829 0.0840
0.6100 0.6931 0.2860 0.0844
0.6200 0.6931 0.2890 0.0848
0.6300 0.6931 0.2919 0.0852
0.6400 0.6931 0.2947 0.0856
0.6500 0.6931 0.2974 0.0860
0.6600 0.6931 0.3000 0.0864
0.6700 0.6930 0.3025 0.0867
0.6800 0.6930 0.3050 0.0870
0.6900 0.6930 0.3073 0.0874
0.7000 0.6930 0.3096 0.0877
0.7100 0.6930 0.3118 0.0881
0.7200 0.6930 0.3139 0.0884
0.7300 0.6930 0.3160 0.0888
0.7400 0.6930 0.3180 0.0892
0.7500 0.6930 0.3200 0.0896
0.7600 0.6930 0.3219 0.0900
0.7700 0.6930 0.3238 0.0905
0.7800 0.6930 0.3257 0.0910
0.7900 0.6930 0.3276 0.0915
0.8000 0.6929 0.3294 0.0921
0.8100 0.6929 0.3312 0.0927
0.8200 0.6929 0.3330 0.0933
0.8300 0.6929 0.3349 0.0940
0.8400 0.6929 0.3367 0.0947
0.8500 0.6929 0.3386 0.0954
0.8600 0.6929 0.3404 0.0962
0.8700 0.6929 0.3423 0.0971
0.8800 0.6928 0.3443 0.0980
0.8900 0.6928 0.3463 0.0989
0.9000 0.6928 0.3483 0.0999
0.9100 0.6928 0.3504 0.1009
0.9200 0.6928 0.3526 0.1019
0.9300 0.6928 0.3548 0.1030
0.9400 0.6928 0.3572 0.1042
0.9500 0.6928 0.3596 0.1053
0.9600 0.6928 0.3620 0.1065
0.9700 0.6927 0.3646 0.1077
0.9800 0.6927 0.3673 0.1090
0.9900 0.6927 0.3701 0.1103
1.0000 0.6928 0.3730 0.1116
1.0100 0.6928 0.3760 0.1129
1.0200 0.6928 0.3791 0.1142
1.0300 0.6928 0.3823 0.1156
1.0400 0.6928 0.3856 0.1169
1.0500 0.6929 0.3891 0.1183
