 t	 x	 y	 z	 w	 q
0.0000 0.0831 0.2223 0.3307 0.2692 0.0946
0.0037 0.0827 0.2212 0.3291 0.2679 0.0941
0.0075 0.0815 0.2179 0.3241 0.2638 0.0927
0.0113 0.0794 0.2124 0.3159 0.2570 0.0903
0.0150 0.0766 0.2047 0.3045 0.2477 0.0870
0.0187 0.0730 0.1951 0.2901 0.2359 0.0828
0.0225 0.0687 0.1836 0.2728 0.2218 0.0778
0.0263 0.0637 0.1702 0.2529 0.2055 0.0721
0.0300 0.0581 0.1553 0.2306 0.1873 0.0656
0.0338 0.0520 0.1389 0.2061 0.1673 0.0586
0.0375 0.0455 0.1213 0.1798 0.1458 0.0510
0.0413 0.0385 0.1025 0.1519 0.1230 0.0430
0.0450 0.0312 0.0830 0.1227 0.0992 0.0346
0.0488 0.0237 0.0628 0.0926 0.0747 0.0260
0.0525 0.0160 0.0422 0.0619 0.0496 0.0172
0.0562 0.0083 0.0215 0.0309 0.0243 0.0082
0.0600 0.0007 0.0008 -0.0000 -0.0010 -0.0007
0.0638 -0.0069 -0.0195 -0.0305 -0.0259 -0.0095
0.0675 -0.0142 -0.0394 -0.0603 -0.0503 -0.0181
0.0713 -0.0212 -0.0584 -0.0889 -0.0738 -0.0264
0.0750 -0.0279 -0.0765 -0.1161 -0.0962 -0.0343
0.0788 -0.0341 -0.0934 -0.1416 -0.1172 -0.0418
0.0825 -0.0398 -0.1089 -0.1651 -0.1366 -0.0487
0.0863 -0.0448 -0.1228 -0.1863 -0.1542 -0.0550
0.0900 -0.0493 -0.1350 -0.2050 -0.1698 -0.0606
0.0938 -0.0530 -0.1454 -0.2209 -0.1831 -0.0654
0.0975 -0.0559 -0.1537 -0.2338 -0.1940 -0.0693
0.1013 -0.0581 -0.1600 -0.2437 -0.2024 -0.0724
0.1050 -0.0595 -0.1641 -0.2503 -0.2081 -0.0745
0.1088 -0.0601 -0.1660 -0.2537 -0.2112 -0.0757
0.1125 -0.0598 -0.1657 -0.2537 -0.2115 -0.0759
0.1162 -0.0587 -0.1632 -0.2504 -0.2091 -0.0751
0.1200 -0.0568 -0.1585 -0.2438 -0.2040 -0.0733
0.1237 -0.0541 -0.1516 -0.2340 -0.1962 -0.0707
0.1275 -0.0506 -0.1427 -0.2211 -0.1860 -0.0672
