 i	 j	 H	 Lc	 L0	 L1	 L2	
0.0000 0.0000 0.4000 0.0000 0.0000 0.0000 0.0000
1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.1547
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 1.0000 -0.4000 0.0000 0.0000 0.0000 0.0000
2.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 1.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
6.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.1547
8.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.0000 0.0000 0.0000 -1.4142 0.0000 0.0000
1.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 2.0000 0.7250 0.0000 0.0000 -0.0000 0.0000
3.0000 2.0000 0.0000 0.7071 0.0000 -1.2247 0.0000
4.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 2.0000 0.0177 0.0000 0.0000 0.0000 0.0000
7.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 2.0000 0.0000 0.0000 0.0000 0.0000 -0.7071
11.0000 2.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
12.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 3.0000 0.4000 0.0000 0.0000 -0.0000 0.0000
4.0000 3.0000 0.0000 0.7071 0.0000 -1.2247 0.0000
5.0000 3.0000 0.4066 0.0000 0.0000 0.0000 0.0000
6.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 3.0000 0.0177 0.0000 0.0000 0.0000 0.0000
8.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 3.0000 0.0000 0.0000 0.0000 0.0000 -1.2247
12.0000 3.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
13.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 4.0000 0.0000 0.0000 0.0000 -0.0000 0.0000
4.0000 4.0000 0.0750 0.0000 0.0000 0.0000 0.0000
5.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 4.0000 0.4066 0.0000 0.0000 0.0000 0.0000
7.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 4.0000 0.0000 0.0000 0.0000 0.0000 -1.7321
13.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 5.0000 0.0000 0.0000 -1.4142 0.0000 0.0000
2.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 5.0000 0.4066 0.0000 0.0000 0.0000 0.0000
4.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 5.0000 -0.7250 0.0000 0.0000 -0.0000 0.0000
6.0000 5.0000 0.0000 0.7071 0.0000 -1.2247 0.0000
7.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 5.0000 0.0000 0.0000 0.0000 0.0000 -0.7071
16.0000 5.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
17.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 6.0000 0.0177 0.0000 0.0000 0.0000 0.0000
3.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 6.0000 0.4066 0.0000 0.0000 0.0000 0.0000
5.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 6.0000 -0.4000 0.0000 0.0000 -0.0000 0.0000
7.0000 6.0000 0.0000 0.7071 0.0000 -1.2247 0.0000
8.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 6.0000 0.0000 0.0000 0.0000 0.0000 -1.2247
17.0000 6.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
0.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 7.0000 0.0177 0.0000 0.0000 0.0000 0.0000
4.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 7.0000 0.0000 0.0000 0.0000 -0.0000 0.0000
7.0000 7.0000 -0.0750 0.0000 0.0000 0.0000 0.0000
8.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 7.0000 0.0000 0.0000 0.0000 0.0000 -1.7321
0.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 8.0000 0.0000 0.0000 1.0000 0.0000 0.0000
3.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 8.0000 1.0500 0.0000 0.0000 0.0000 0.0000
9.0000 8.0000 0.0000 1.0000 0.0000 1.0000 0.0000
10.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 8.0000 0.0250 0.0000 0.0000 0.0000 0.0000
15.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 9.0000 0.0000 0.0000 0.7071 0.0000 0.0000
4.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 9.0000 0.7250 0.0000 0.0000 0.0000 0.0000
10.0000 9.0000 0.0000 1.2247 0.0000 1.2247 0.0000
11.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 9.0000 0.5750 0.0000 0.0000 0.0000 0.0000
14.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 9.0000 0.0306 0.0000 0.0000 0.0000 0.0000
16.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 10.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
3.0000 10.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
4.0000 10.0000 0.0000 0.0000 0.4082 0.0000 0.0000
5.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 10.0000 0.4000 0.0000 0.0000 0.0000 0.0000
11.0000 10.0000 0.0000 1.2247 0.0000 1.2247 0.0000
12.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
