 t	 x	 y	 z	 w	 q
0.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000
0.0400 -0.9378 -0.9393 -0.9447 -0.9564 -0.9679
0.0800 -0.7671 -0.7776 -0.8129 -0.8745 -0.9201
0.1200 -0.5289 -0.5572 -0.6482 -0.7864 -0.8722
0.1600 -0.2771 -0.3258 -0.4803 -0.7004 -0.8255
0.2000 -0.0663 -0.1253 -0.3257 -0.6182 -0.7799
0.2400 0.0608 0.0164 -0.1908 -0.5401 -0.7355
0.2800 0.0825 0.0884 -0.0759 -0.4657 -0.6921
0.3200 0.0018 0.0964 0.0217 -0.3949 -0.6499
0.3600 -0.1553 0.0583 0.1058 -0.3276 -0.6087
0.4000 -0.3468 -0.0017 0.1797 -0.2635 -0.5685
0.4400 -0.5253 -0.0593 0.2459 -0.2025 -0.5293
0.4800 -0.6483 -0.0955 0.3063 -0.1445 -0.4912
0.5200 -0.6882 -0.0995 0.3618 -0.0893 -0.4539
0.5600 -0.6375 -0.0697 0.4132 -0.0367 -0.4176
0.6000 -0.5094 -0.0122 0.4608 0.0134 -0.3822
0.6400 -0.3341 0.0621 0.5048 0.0610 -0.3477
0.6800 -0.1508 0.1401 0.5454 0.1063 -0.3141
0.7200 0.0012 0.2104 0.5828 0.1494 -0.2813
0.7600 0.0915 0.2649 0.6172 0.1905 -0.2493
0.8000 0.1053 0.3002 0.6487 0.2296 -0.2181
0.8400 0.0456 0.3176 0.6777 0.2667 -0.1877
0.8800 -0.0682 0.3216 0.7042 0.3021 -0.1580
0.9200 -0.2054 0.3187 0.7285 0.3358 -0.1291
0.9600 -0.3316 0.3155 0.7509 0.3679 -0.1009
1.0000 -0.4165 0.3174 0.7713 0.3984 -0.0734
1.0400 -0.4408 0.3273 0.7901 0.4274 -0.0466
1.0800 -0.3996 0.3461 0.8074 0.4551 -0.0205
1.1200 -0.3033 0.3723 0.8232 0.4814 0.0050
1.1600 -0.1739 0.4030 0.8377 0.5064 0.0299
1.2000 -0.0402 0.4347 0.8511 0.5302 0.0541
1.2400 0.0698 0.4642 0.8633 0.5529 0.0777
1.2800 0.1343 0.4893 0.8745 0.5745 0.1007
1.3200 0.1433 0.5090 0.8849 0.5950 0.1232
1.3600 0.0995 0.5235 0.8943 0.6146 0.1451
1.4000 0.0175 0.5339 0.9030 0.6332 0.1664
1.4400 -0.0804 0.5420 0.9110 0.6509 0.1872
1.4800 -0.1692 0.5496 0.9183 0.6677 0.2075
1.5200 -0.2273 0.5582 0.9250 0.6838 0.2273
1.5600 -0.2412 0.5686 0.9312 0.6990 0.2466
1.6000 -0.2078 0.5813 0.9368 0.7136 0.2654
1.6400 -0.1351 0.5957 0.9420 0.7274 0.2838
1.6800 -0.0394 0.6112 0.9468 0.7405 0.3016
1.7200 0.0585 0.6268 0.9512 0.7531 0.3191
1.7600 0.1382 0.6417 0.9552 0.7650 0.3361
1.8000 0.1847 0.6552 0.9589 0.7763 0.3527
1.8400 0.1908 0.6671 0.9622 0.7871 0.3688
1.8800 0.1591 0.6774 0.9653 0.7974 0.3846
1.9200 0.1003 0.6863 0.9682 0.8072 0.3999
1.9600 0.0308 0.6944 0.9708 0.8165 0.4149
2.0000 -0.0313 0.7021 0.9732 0.8253 0.4295
2.0400 -0.0706 0.7098 0.9754 0.8338 0.4438
2.0800 -0.0777 0.7179 0.9774 0.8418 0.4577
2.1200 -0.0506 0.7264 0.9793 0.8494 0.4712
2.1600 0.0044 0.7353 0.9810 0.8567 0.4844
2.2000 0.0754 0.7443 0.9826 0.8636 0.4973
2.2400 0.1473 0.7532 0.9840 0.8702 0.5098
2.2800 0.2055 0.7618 0.9853 0.8765 0.5221
2.3200 0.2392 0.7699 0.9865 0.8824 0.5340
2.3600 0.2436 0.7774 0.9876 0.8881 0.5456
2.4000 0.2209 0.7843 0.9886 0.8935 0.5570
2.4400 0.1791 0.7907 0.9896 0.8986 0.5681
2.4800 0.1301 0.7968 0.9904 0.9035 0.5788
2.5200 0.0870 0.8026 0.9912 0.9082 0.5894
2.5600 0.0608 0.8084 0.9919 0.9126 0.5996
2.6000 0.0582 0.8141 0.9926 0.9168 0.6096
2.6400 0.0800 0.8198 0.9932 0.9209 0.6194
2.6800 0.1219 0.8254 0.9938 0.9247 0.6289
2.7200 0.1748 0.8311 0.9943 0.9283 0.6381
2.7600 0.2278 0.8366 0.9947 0.9318 0.6472
2.8000 0.2705 0.8419 0.9952 0.9351 0.6560
2.8400 0.2951 0.8470 0.9956 0.9382 0.6646
2.8800 0.2986 0.8519 0.9959 0.9412 0.6729
2.9200 0.2826 0.8565 0.9963 0.9440 0.6811
2.9600 0.2531 0.8609 0.9966 0.9467 0.6891
