 t	 x	 y	
0.1000 2000.0000 583.4964
0.2000 2000.0000 145.8790
0.3000 2000.0000 64.8445
0.4000 2000.0000 36.4893
0.5000 16.5200 23.3725
0.6000 11.5200 16.2553
0.7000 8.4800 11.9723
0.8000 6.5200 9.2012
0.9000 5.2000 7.3104
1.0000 4.2800 5.9674
1.1000 3.6000 4.9836
1.2000 3.0800 4.2458
1.3000 2.7200 3.6825
1.4000 2.4000 3.2472
1.5000 2.2000 2.9086
1.6000 2.0000 2.6449
1.7000 1.8800 2.4408
1.8000 1.8000 2.2855
1.9000 1.7600 2.1709
2.0000 1.7200 2.0910
2.1000 1.7200 2.0411
2.2000 1.7600 2.0173
2.3000 1.7600 2.0167
2.4000 1.8400 2.0364
2.5000 1.8800 2.0740
2.6000 1.9600 2.1274
2.7000 2.0400 2.1949
2.8000 2.1600 2.2747
2.9000 2.2400 2.3657
3.0000 2.3600 2.4668
3.1000 2.4800 2.5770
3.2000 2.6000 2.6956
3.3000 2.7600 2.8221
3.4000 2.8800 2.9558
3.5000 3.0400 3.0965
3.6000 3.2000 3.2437
3.7000 3.3600 3.3973
3.8000 3.5200 3.5569
3.9000 3.6800 3.7225
4.0000 3.8400 3.8937
4.1000 4.0400 4.0706
4.2000 4.2000 4.2529
4.3000 4.4000 4.4407
4.4000 4.6000 4.6337
4.5000 4.8000 4.8319
4.6000 5.0000 5.0353
4.7000 5.2000 5.2439
4.8000 5.4400 5.4575
4.9000 5.6400 5.6761
5.0000 5.8800 5.8997
5.1000 6.1200 6.1282
