 t	 x	 y	 z
0.0000 0.0000 0.0000 1.0000
0.0100 0.0446 -0.0257 0.9594
0.0200 0.0861 -0.0495 0.9177
0.0300 0.1244 -0.0715 0.8752
0.0400 0.1597 -0.0916 0.8320
0.0500 0.1921 -0.1101 0.7885
0.0600 0.2215 -0.1268 0.7448
0.0700 0.2482 -0.1420 0.7012
0.0800 0.2721 -0.1556 0.6577
0.0900 0.2934 -0.1677 0.6145
0.1000 0.3121 -0.1784 0.5719
0.1100 0.3284 -0.1877 0.5298
0.1200 0.3424 -0.1958 0.4886
0.1300 0.3542 -0.2026 0.4482
0.1400 0.3638 -0.2083 0.4088
0.1500 0.3714 -0.2129 0.3704
0.1600 0.3771 -0.2164 0.3332
0.1700 0.3810 -0.2190 0.2972
0.1800 0.3832 -0.2207 0.2624
0.1900 0.3838 -0.2216 0.2290
0.2000 0.3829 -0.2217 0.1969
0.2100 0.3807 -0.2210 0.1662
0.2200 0.3772 -0.2197 0.1370
0.2300 0.3725 -0.2178 0.1091
0.2400 0.3668 -0.2153 0.0827
0.2500 0.3601 -0.2124 0.0578
0.2600 0.3525 -0.2089 0.0343
0.2700 0.3441 -0.2051 0.0122
0.2800 0.3350 -0.2009 -0.0084
0.2900 0.3252 -0.1964 -0.0277
0.3000 0.3150 -0.1916 -0.0456
0.3100 0.3043 -0.1865 -0.0621
0.3200 0.2932 -0.1813 -0.0773
0.3300 0.2817 -0.1759 -0.0911
0.3400 0.2700 -0.1704 -0.1038
0.3500 0.2582 -0.1647 -0.1152
0.3600 0.2462 -0.1590 -0.1254
0.3700 0.2341 -0.1532 -0.1345
0.3800 0.2220 -0.1475 -0.1425
0.3900 0.2099 -0.1417 -0.1495
0.4000 0.1979 -0.1359 -0.1554
0.4100 0.1860 -0.1302 -0.1604
0.4200 0.1743 -0.1245 -0.1645
0.4300 0.1628 -0.1189 -0.1677
0.4400 0.1514 -0.1134 -0.1701
0.4500 0.1403 -0.1081 -0.1718
0.4600 0.1295 -0.1028 -0.1727
0.4700 0.1190 -0.0976 -0.1729
0.4800 0.1088 -0.0926 -0.1726
0.4900 0.0989 -0.0878 -0.1716
0.5000 0.0894 -0.0830 -0.1701
0.5100 0.0803 -0.0785 -0.1681
0.5200 0.0715 -0.0741 -0.1657
0.5300 0.0631 -0.0698 -0.1628
0.5400 0.0550 -0.0658 -0.1596
0.5500 0.0474 -0.0619 -0.1560
0.5600 0.0402 -0.0581 -0.1522
0.5700 0.0333 -0.0546 -0.1481
0.5800 0.0269 -0.0512 -0.1437
0.5900 0.0208 -0.0480 -0.1392
0.6000 0.0151 -0.0449 -0.1345
0.6100 0.0098 -0.0420 -0.1297
0.6200 0.0049 -0.0393 -0.1247
0.6300 0.0003 -0.0368 -0.1197
0.6400 -0.0039 -0.0344 -0.1146
0.6500 -0.0077 -0.0321 -0.1095
0.6600 -0.0112 -0.0300 -0.1044
0.6700 -0.0144 -0.0281 -0.0993
0.6800 -0.0173 -0.0262 -0.0942
0.6900 -0.0199 -0.0246 -0.0892
0.7000 -0.0221 -0.0230 -0.0842
0.7100 -0.0241 -0.0216 -0.0793
0.7200 -0.0258 -0.0203 -0.0745
0.7300 -0.0273 -0.0191 -0.0698
0.7400 -0.0285 -0.0180 -0.0652
0.7500 -0.0295 -0.0170 -0.0608
0.7600 -0.0303 -0.0162 -0.0564
0.7700 -0.0309 -0.0154 -0.0522
0.7800 -0.0312 -0.0147 -0.0482
0.7900 -0.0314 -0.0141 -0.0443
0.8000 -0.0315 -0.0136 -0.0405
0.8100 -0.0313 -0.0131 -0.0369
0.8200 -0.0311 -0.0128 -0.0335
0.8300 -0.0307 -0.0124 -0.0302
0.8400 -0.0301 -0.0122 -0.0271
0.8500 -0.0295 -0.0120 -0.0241
0.8600 -0.0288 -0.0119 -0.0213
0.8700 -0.0280 -0.0118 -0.0187
0.8800 -0.0271 -0.0117 -0.0162
0.8900 -0.0261 -0.0117 -0.0139
0.9000 -0.0251 -0.0117 -0.0117
0.9100 -0.0240 -0.0118 -0.0097
0.9200 -0.0229 -0.0118 -0.0079
0.9300 -0.0218 -0.0119 -0.0061
0.9400 -0.0206 -0.0121 -0.0045
0.9500 -0.0194 -0.0122 -0.0031
0.9600 -0.0182 -0.0124 -0.0018
0.9700 -0.0170 -0.0125 -0.0006
0.9800 -0.0158 -0.0127 0.0005
0.9900 -0.0146 -0.0129 0.0015
1.0000 -0.0134 -0.0131 0.0023
1.0100 -0.0122 -0.0133 0.0030
1.0200 -0.0110 -0.0135 0.0037
1.0300 -0.0099 -0.0137 0.0042
1.0400 -0.0087 -0.0139 0.0047
1.0500 -0.0077 -0.0141 0.0050
1.0600 -0.0066 -0.0143 0.0053
1.0700 -0.0056 -0.0145 0.0055
1.0800 -0.0046 -0.0147 0.0057
1.0900 -0.0036 -0.0149 0.0057
1.1000 -0.0027 -0.0151 0.0058
1.1100 -0.0018 -0.0152 0.0057
1.1200 -0.0010 -0.0154 0.0056
1.1300 -0.0002 -0.0155 0.0055
1.1400 0.0006 -0.0156 0.0053
1.1500 0.0013 -0.0157 0.0051
1.1600 0.0020 -0.0158 0.0048
1.1700 0.0026 -0.0159 0.0046
1.1800 0.0032 -0.0160 0.0043
1.1900 0.0038 -0.0161 0.0039
1.2000 0.0043 -0.0161 0.0036
1.2100 0.0047 -0.0161 0.0032
1.2200 0.0052 -0.0162 0.0028
1.2300 0.0055 -0.0162 0.0024
1.2400 0.0059 -0.0162 0.0020
1.2500 0.0062 -0.0162 0.0016
1.2600 0.0065 -0.0161 0.0012
1.2700 0.0067 -0.0161 0.0008
1.2800 0.0070 -0.0160 0.0004
1.2900 0.0071 -0.0160 0.0000
1.3000 0.0073 -0.0159 -0.0004
1.3100 0.0074 -0.0158 -0.0008
1.3200 0.0075 -0.0157 -0.0012
1.3300 0.0076 -0.0156 -0.0015
1.3400 0.0076 -0.0155 -0.0019
1.3500 0.0076 -0.0153 -0.0023
1.3600 0.0077 -0.0152 -0.0026
1.3700 0.0076 -0.0150 -0.0029
1.3800 0.0076 -0.0149 -0.0032
1.3900 0.0075 -0.0147 -0.0035
1.4000 0.0075 -0.0146 -0.0038
1.4100 0.0074 -0.0144 -0.0041
1.4200 0.0073 -0.0142 -0.0043
1.4300 0.0072 -0.0140 -0.0046
1.4400 0.0071 -0.0138 -0.0048
1.4500 0.0069 -0.0136 -0.0050
1.4600 0.0068 -0.0134 -0.0052
1.4700 0.0066 -0.0132 -0.0054
1.4800 0.0065 -0.0130 -0.0055
1.4900 0.0063 -0.0128 -0.0057
1.5000 0.0062 -0.0126 -0.0058
1.5100 0.0060 -0.0124 -0.0059
1.5200 0.0058 -0.0122 -0.0060
1.5300 0.0057 -0.0119 -0.0061
1.5400 0.0055 -0.0117 -0.0061
1.5500 0.0053 -0.0115 -0.0062
1.5600 0.0051 -0.0113 -0.0062
1.5700 0.0050 -0.0111 -0.0063
1.5800 0.0048 -0.0109 -0.0063
1.5900 0.0046 -0.0106 -0.0063
1.6000 0.0045 -0.0104 -0.0063
1.6100 0.0043 -0.0102 -0.0063
1.6200 0.0041 -0.0100 -0.0063
1.6300 0.0040 -0.0098 -0.0062
1.6400 0.0038 -0.0096 -0.0062
1.6500 0.0037 -0.0094 -0.0062
1.6600 0.0035 -0.0092 -0.0061
1.6700 0.0034 -0.0090 -0.0060
1.6800 0.0032 -0.0088 -0.0060
1.6900 0.0031 -0.0086 -0.0059
1.7000 0.0030 -0.0084 -0.0058
1.7100 0.0029 -0.0082 -0.0057
1.7200 0.0027 -0.0080 -0.0057
1.7300 0.0026 -0.0079 -0.0056
1.7400 0.0025 -0.0077 -0.0055
1.7500 0.0024 -0.0075 -0.0054
1.7600 0.0023 -0.0073 -0.0053
1.7700 0.0022 -0.0072 -0.0052
1.7800 0.0021 -0.0070 -0.0051
1.7900 0.0021 -0.0069 -0.0050
1.8000 0.0020 -0.0067 -0.0049
1.8100 0.0019 -0.0066 -0.0047
1.8200 0.0018 -0.0064 -0.0046
1.8300 0.0018 -0.0063 -0.0045
1.8400 0.0017 -0.0061 -0.0044
1.8500 0.0016 -0.0060 -0.0043
1.8600 0.0016 -0.0059 -0.0042
1.8700 0.0015 -0.0057 -0.0041
1.8800 0.0015 -0.0056 -0.0040
1.8900 0.0014 -0.0055 -0.0039
1.9000 0.0014 -0.0054 -0.0038
1.9100 0.0014 -0.0053 -0.0037
1.9200 0.0013 -0.0052 -0.0036
1.9300 0.0013 -0.0051 -0.0035
1.9400 0.0013 -0.0050 -0.0034
1.9500 0.0013 -0.0049 -0.0033
1.9600 0.0012 -0.0048 -0.0032
1.9700 0.0012 -0.0047 -0.0031
1.9800 0.0012 -0.0046 -0.0031
1.9900 0.0012 -0.0045 -0.0030
2.0000 0.0012 -0.0044 -0.0029
