 x	 y	 z
0.0000 0.0000 1.0000
0.0414 -0.0262 0.9855
0.0821 -0.0515 0.9687
0.1219 -0.0759 0.9498
0.1608 -0.0993 0.9287
0.1986 -0.1217 0.9057
0.2353 -0.1430 0.8808
0.2709 -0.1634 0.8540
0.3051 -0.1826 0.8256
0.3379 -0.2008 0.7956
0.3694 -0.2179 0.7641
0.3993 -0.2339 0.7313
0.4276 -0.2488 0.6972
0.4544 -0.2627 0.6619
0.4794 -0.2754 0.6256
0.5028 -0.2870 0.5884
0.5244 -0.2975 0.5503
0.5442 -0.3070 0.5116
0.5622 -0.3154 0.4722
0.5783 -0.3227 0.4324
0.5926 -0.3289 0.3922
0.6050 -0.3341 0.3517
0.6155 -0.3383 0.3111
0.6241 -0.3415 0.2704
0.6308 -0.3438 0.2298
0.6357 -0.3450 0.1894
0.6386 -0.3453 0.1492
0.6397 -0.3448 0.1094
0.6389 -0.3433 0.0700
0.6364 -0.3409 0.0312
0.6320 -0.3377 -0.0070
0.6259 -0.3338 -0.0444
0.6181 -0.3290 -0.0810
0.6085 -0.3235 -0.1167
0.5974 -0.3172 -0.1514
0.5847 -0.3103 -0.1851
0.5705 -0.3027 -0.2176
0.5548 -0.2945 -0.2490
0.5376 -0.2857 -0.2790
0.5192 -0.2763 -0.3077
0.4995 -0.2665 -0.3351
0.4785 -0.2561 -0.3609
0.4564 -0.2452 -0.3853
0.4333 -0.2340 -0.4082
0.4092 -0.2224 -0.4295
0.3842 -0.2104 -0.4491
0.3584 -0.1981 -0.4672
0.3318 -0.1855 -0.4835
0.3046 -0.1726 -0.4981
0.2768 -0.1596 -0.5110
0.2485 -0.1464 -0.5222
0.2198 -0.1330 -0.5317
0.1908 -0.1195 -0.5393
0.1615 -0.1060 -0.5453
0.1322 -0.0924 -0.5495
0.1027 -0.0788 -0.5519
0.0733 -0.0653 -0.5526
0.0440 -0.0518 -0.5517
0.0150 -0.0384 -0.5490
-0.0138 -0.0252 -0.5447
-0.0423 -0.0121 -0.5387
-0.0703 0.0008 -0.5312
-0.0978 0.0134 -0.5221
-0.1247 0.0258 -0.5115
-0.1509 0.0380 -0.4994
-0.1764 0.0498 -0.4859
-0.2011 0.0612 -0.4710
-0.2249 0.0723 -0.4549
-0.2478 0.0830 -0.4374
-0.2697 0.0933 -0.4188
-0.2906 0.1031 -0.3991
-0.3103 0.1125 -0.3783
-0.3290 0.1214 -0.3566
-0.3464 0.1298 -0.3339
-0.3626 0.1376 -0.3104
-0.3776 0.1449 -0.2862
-0.3913 0.1516 -0.2613
-0.4036 0.1578 -0.2358
-0.4146 0.1634 -0.2097
-0.4242 0.1683 -0.1833
-0.4325 0.1727 -0.1565
-0.4394 0.1764 -0.1294
-0.4448 0.1795 -0.1022
-0.4489 0.1820 -0.0748
-0.4516 0.1838 -0.0475
-0.4529 0.1850 -0.0202
-0.4528 0.1856 0.0069
-0.4514 0.1855 0.0338
-0.4486 0.1848 0.0604
-0.4445 0.1834 0.0866
-0.4391 0.1814 0.1123
-0.4324 0.1788 0.1375
-0.4245 0.1756 0.1620
-0.4155 0.1718 0.1859
-0.4052 0.1674 0.2090
-0.3939 0.1625 0.2313
-0.3815 0.1569 0.2527
-0.3681 0.1509 0.2731
-0.3538 0.1443 0.2925
-0.3386 0.1372 0.3109
-0.3225 0.1297 0.3282
-0.3056 0.1217 0.3444
-0.2881 0.1133 0.3593
-0.2699 0.1045 0.3731
-0.2511 0.0953 0.3855
-0.2318 0.0857 0.3967
-0.2121 0.0759 0.4066
-0.1919 0.0657 0.4151
-0.1715 0.0553 0.4223
-0.1509 0.0447 0.4281
-0.1300 0.0339 0.4326
-0.1091 0.0230 0.4357
-0.0882 0.0119 0.4374
-0.0673 0.0007 0.4377
-0.0465 -0.0106 0.4367
-0.0259 -0.0218 0.4344
-0.0055 -0.0331 0.4307
0.0145 -0.0443 0.4258
0.0342 -0.0554 0.4195
0.0534 -0.0664 0.4120
0.0722 -0.0773 0.4034
0.0903 -0.0879 0.3935
0.1079 -0.0984 0.3826
0.1248 -0.1086 0.3705
0.1410 -0.1186 0.3574
0.1564 -0.1283 0.3434
0.1710 -0.1376 0.3284
0.1848 -0.1466 0.3126
0.1976 -0.1552 0.2959
0.2096 -0.1633 0.2785
0.2206 -0.1711 0.2604
0.2307 -0.1784 0.2418
0.2397 -0.1852 0.2225
0.2477 -0.1915 0.2028
0.2547 -0.1974 0.1827
0.2606 -0.2027 0.1622
0.2655 -0.2074 0.1415
0.2693 -0.2116 0.1205
0.2720 -0.2152 0.0995
0.2737 -0.2183 0.0784
0.2743 -0.2208 0.0573
0.2739 -0.2227 0.0363
0.2724 -0.2240 0.0155
0.2699 -0.2248 -0.0051
0.2664 -0.2249 -0.0255
0.2619 -0.2245 -0.0454
0.2565 -0.2235 -0.0649
0.2501 -0.2220 -0.0840
0.2429 -0.2198 -0.1025
0.2348 -0.2172 -0.1204
0.2259 -0.2139 -0.1376
0.2162 -0.2102 -0.1541
0.2057 -0.2060 -0.1699
0.1946 -0.2013 -0.1849
0.1828 -0.1961 -0.1990
0.1704 -0.1904 -0.2122
0.1575 -0.1844 -0.2245
0.1441 -0.1779 -0.2358
0.1302 -0.1710 -0.2462
0.1160 -0.1638 -0.2555
0.1014 -0.1563 -0.2638
0.0865 -0.1485 -0.2710
0.0714 -0.1404 -0.2772
0.0561 -0.1320 -0.2823
0.0408 -0.1235 -0.2863
0.0253 -0.1148 -0.2893
0.0099 -0.1059 -0.2911
-0.0055 -0.0969 -0.2918
-0.0208 -0.0878 -0.2915
-0.0359 -0.0787 -0.2902
-0.0509 -0.0695 -0.2877
-0.0655 -0.0603 -0.2843
-0.0799 -0.0512 -0.2799
-0.0939 -0.0422 -0.2744
-0.1074 -0.0332 -0.2681
-0.1206 -0.0244 -0.2608
-0.1332 -0.0158 -0.2526
-0.1454 -0.0073 -0.2436
-0.1569 0.0009 -0.2338
-0.1679 0.0089 -0.2233
-0.1782 0.0167 -0.2120
-0.1879 0.0241 -0.2001
-0.1968 0.0312 -0.1876
-0.2051 0.0380 -0.1745
-0.2126 0.0445 -0.1609
-0.2194 0.0505 -0.1468
-0.2254 0.0562 -0.1324
-0.2306 0.0614 -0.1176
-0.2350 0.0663 -0.1025
-0.2386 0.0707 -0.0872
-0.2415 0.0746 -0.0717
-0.2435 0.0781 -0.0561
-0.2447 0.0811 -0.0404
-0.2451 0.0836 -0.0248
-0.2447 0.0857 -0.0092
-0.2436 0.0873 0.0063
-0.2417 0.0884 0.0216
-0.2390 0.0890 0.0367
-0.2356 0.0891 0.0516
-0.2315 0.0888 0.0661
-0.2267 0.0880 0.0802
