T,M,a,b,c,d,e,f,g,h,i,j
0.0,0.1344166547072091,0.10750989532134136,0.1538357582605292,0.14225840982175186,0.14271598474603986,0.13126761214578853,0.15011944572592972,0.12346223251054189,0.12792205981020777,0.13515856591423137,0.12991658281572938
0.002,0.10727285747595286,0.08796868406772929,0.12375670885443091,0.11348089959252294,0.11613500309347358,0.10450639726900379,0.11996420892920723,0.09730176640030064,0.10144275542216508,0.10553100808439697,0.10264114304629801
0.004,0.06126565528321887,0.056644324152437364,0.07184905307081957,0.08116123367293149,0.06603284237188134,0.04513206915506085,0.05481008391729514,0.05746915230550231,0.05762800206409857,0.05698888947506142,0.06494090264710062
0.006,0.055418246688057705,0.0513393135525303,0.06486659852266574,0.07430932840627014,0.060648880895252444,0.04095437880904196,0.04921176624083623,0.05156127017890222,0.051488214138703636,0.051400665837720294,0.058402050298654085
0.008,0.050462623225229486,0.04679258013769494,0.05898337534659315,0.0684356056463068,0.055970394846689864,0.03748298936997985,0.04447934465040104,0.046593206176826274,0.04631520992274196,0.04667353589403744,0.052899990261023544
0.01,0.04618824851469609,0.0428417786258386,0.0539321520474173,0.06331089674052615,0.051848571389575104,0.034531417416861054,0.04041029931919671,0.042338588576005365,0.041880666444112924,0.04260380466298064,0.04818430992444711
0.012,0.04245341531113552,0.03937272679039394,0.04953489416212409,0.05878220990479521,0.04818081625107562,0.031976854662550624,0.03686755555238297,0.03864579325824369,0.03803032352707514,0.039054537253145116,0.04408844174956883
0.014,0.03915722095560059,0.036301254857501686,0.04566608844312803,0.05474118908009573,0.044892050804361205,0.029734546757713032,0.033753029265797485,0.03540728937002213,0.0346541101450929,0.035928075270825977,0.04049457556146774
0.016,0.036224791510417964,0.03356317310794443,0.042233430011884066,0.05110764135407131,0.041924968010704444,0.027743796899508344,0.03099364728219034,0.032543585369391614,0.03167028249462378,0.03315180226294723,0.03731558831091408
0.018000000000000002,0.03359878568531747,0.031108246814121165,0.03916676775209105,0.04782016602814554,0.03923445368945111,0.025959803667124803,0.02853327488183266,0.029994030816111183,0.029016241193664638,0.03067002262204699,0.03448484938858554
0.02,0.031234181462855948,0.028896350717418473,0.03641136702092074,0.0448304676276986,0.036784153672763775,0.024348651062742754,0.026327736470892815,0.027711183208948165,0.02664286373570013,0.028438983485879032,0.031950057625594996
0.022,0.02909490999014013,0.026894897221514835,0.03392359576451942,0.04209972340877044,0.03454423698361542,0.022884102938140582,0.024341583142590828,0.02565717552308311,0.024510828723433242,0.026423649977545316,0.029669306218188085
0.024,0.02715159096965991,0.025077051506613546,0.0316680489128105,0.03959616378813602,0.03248986919880814,0.021545479790004096,0.02254590688314062,0.023801275280869394,0.022588135326552017,0.02459552335787596,0.02760845565178882
0.026000000000000002,0.02537995647804353,0.0234204549219299,0.029615565877094352,0.037293402871706016,0.030600130262671388,0.020316210641781574,0.0209168123899236,0.022118187984511928,0.02084837382662752,0.0229311124178051,0.025739313586383927
0.028,0.02375972220804574,0.021906288853196343,0.027741823947015187,0.03516925129312032,0.02885722309293548,0.019182820181619653,0.019434318528696815,0.02058684421815371,0.01926948643034876,0.021410831726011548,0.024038333809359602
0.03,0.022273759301253915,0.02051857369429544,0.026026315201183925,0.033204849749721155,0.02724587978839632,0.018134204693336597,0.018081549831793997,0.01918951157703741,0.017832858476979352,0.02001818875645678,0.022485661243338173
0.032,0.020907473959612698,0.019243634387613007,0.024451586067264275,0.031384022130670264,0.025752906530913555,0.017161104462309562,0.01684412932463475,0.017911130964741062,0.016522638444058657,0.018739172326000753,0.021064414957921107
0.034,0.019648334273708722,0.018069686598272683,0.023002661241468436,0.02969278296702571,0.024366828557806253,0.01625571283235161,0.015709714499009042,0.016738811671169973,0.015325220163555642,0.01756178481502091,0.019760139391406972
0.036000000000000004,0.018485503633108757,0.016986511932215564,0.02166659987856767,0.02811895587600488,0.023077609051111225,0.015411382176236055,0.014667637211287388,0.01566144121010793,0.014228842423766985,0.01647567924470772,0.018560377327082156
0.038,0.014742257993958086,0.011862852689222936,0.02086673741637901,0.012068837897100337,0.018363672939372355,0.011618937706560195,0.015907666147604638,0.011177584599521784,0.019022838837256528,0.008014638896362225,0.018518812810200846
0.04,0.01407016018778139,0.0114007868049667,0.019927588340753033,0.01151954274996847,0.01757389110813501,0.011127135117207532,0.015136711204744802,0.010515953007800505,0.018059849212979096,0.007671113286701781,0.01776903104455696
0.042,0.013436628340128775,0.010959253297890825,0.01904366251217504,0.01100102469077402,0.016825904507448364,0.010659812010921255,0.014412218689638268,0.009902892851945233,0.017156560233512308,0.00734668520487558,0.017058269402106863
