T,M,a,b,c,d,e,f,g,h,i,j
0.0,0.11472233000796805,0.10848483199804149,0.12115576085593505,0.11070960987823075,0.10881476164190496,0.13092097212480458,0.13478287182381166,0.10515739078772368,0.12359642771336721,0.1119297023617305,0.09167097089413045
0.002,0.1127893024214063,0.10574500840402001,0.11931474080200877,0.1092691989249841,0.10722808341139589,0.12703336922411645,0.13356041063602764,0.10223633779912777,0.12289385834976019,0.10925513155862521,0.09135688510399709
0.004,0.11172470762509534,0.10515766490371425,0.11787834288541532,0.10739894780908232,0.10603202870010797,0.12673124350278808,0.13185608862637221,0.1023668370295937,0.12056635184636766,0.10934193285161276,0.08991763809589892
0.006,0.10935402017849483,0.10360077610688034,0.11456263023176783,0.10565823814238229,0.10278641196065919,0.12317292000699354,0.12854923237466376,0.10068091471252616,0.11726046056166917,0.10788090674112916,0.08938771094627684
0.008,0.10973454052759006,0.10289879472612196,0.1154622633379534,0.10616345200360533,0.10310337517153068,0.12375239593467813,0.13011218711478412,0.10021328313295019,0.11917527316524601,0.10756744517735684,0.08889693551167388
0.01,0.10935711874062033,0.10387107694576603,0.11529880519889557,0.10766497643507333,0.10070596436835655,0.12179431325500167,0.12776351481035686,0.09962452155817991,0.11966905716245368,0.10804084612790688,0.08913811154421258
0.012,0.10820950249154845,0.10256731818375053,0.11339490678473618,0.10613809971229426,0.09867216864546002,0.121295897543239,0.12703027848332926,0.0993934785795404,0.1179409038998459,0.10799885065195247,0.08766312243133667
0.014,0.10894121509320778,0.10219744300597089,0.11557788977833905,0.10511492241353582,0.10142167920761536,0.12361591456064891,0.12767047316160673,0.09954450871739084,0.12066252866751614,0.10799168243794177,0.08561510898151237
0.016,0.10677115046771699,0.09850349648291556,0.11218864362269243,0.10228697802343367,0.09926985448978709,0.1218404325904493,0.12858141973821413,0.09713643592966736,0.11853655484911474,0.10572630163532915,0.08364138731556658
0.018000000000000002,0.10645941607571521,0.0992328498889179,0.11147029297377342,0.10181034480047357,0.09882431948196169,0.12167243771974989,0.127230891297051,0.09796684181350812,0.11662708587696335,0.1060484915901595,0.08371060531459362
0.02,0.10565199293223762,0.09946117755585882,0.1104121075766974,0.10135080820595621,0.09713008084873165,0.12042309799031736,0.12469946851787017,0.09801058630471149,0.11549548003620158,0.10652595559461653,0.08301116669141506
0.022,0.10364022023031141,0.09976030017092119,0.10880702928268504,0.10052328256605148,0.0936278328106116,0.11641120524481197,0.11881495287967736,0.09739769203585724,0.11268699779590996,0.10637340459697142,0.08199950491961694
0.024,0.1024273409676582,0.09877207330740156,0.10675124015994353,0.09777434428156495,0.09309013351180118,0.11614707855489426,0.118275162391547,0.0972288755659112,0.11041470459310565,0.10598455602361279,0.07983524128679997
0.026000000000000002,0.10388076669526206,0.09835801314988224,0.10945461024287328,0.09908769911885451,0.095931024424871,0.11821606308919219,0.12128444386337645,0.09650963809900481,0.11409722067145989,0.10510275133647617,0.08076620295662984
0.028,0.10351086483180216,0.09695669887596525,0.10946837030350398,0.09782157636726563,0.09684326262430687,0.11834793257996723,0.12247095479813253,0.09543326212409897,0.11426844206329312,0.10369571829616375,0.07980243028532419
0.03,0.10162834827321006,0.09539650223501683,0.10590650683392555,0.09567687330812069,0.09404273676524455,0.11684029125766826,0.12077445731212977,0.0950168636312867,0.11138482648926107,0.10355542497850057,0.07768899992094669
0.032,0.10021978139360033,0.09359125071493812,0.10389936915778264,0.09450142539392026,0.09207043342512189,0.115133340952009,0.11957849692072553,0.09379008708281278,0.11036606437408658,0.10264559460688216,0.0766217513077242
0.034,0.09817498821883527,0.0913106927396865,0.10230760213482704,0.0925976978951426,0.08987502017634352,0.11292793186438843,0.11622696489219275,0.09189373530114531,0.1090523851880909,0.10159081149530869,0.07396704050122693
0.036000000000000004,0.09607894386762564,0.08771932349078337,0.09992514738526026,0.09002674840603353,0.08820983592522313,0.1112389102855581,0.11571558671748661,0.08923883096657537,0.1079833370548493,0.09917519188907842,0.07155652655540823
0.038,0.0941479639505867,0.08624170194920733,0.09592733969391154,0.08769288992856394,0.08550600949851239,0.10918539694225393,0.11517941550039912,0.08878908993661061,0.10433224345043324,0.09803520553789336,0.07059034706808143
0.04,0.09492099393840225,0.08618563529529855,0.09752858960608912,0.08893730157887947,0.08645298752064234,0.1095594001099387,0.11639556738414103,0.08819053415781619,0.10659024579662524,0.09758193728056996,0.07178774065402194
0.042,0.09408727179664779,0.08442923925599277,0.09733461580711678,0.0881163303271133,0.0860864810700146,0.1085561360227334,0.11602955521210945,0.08632550988132848,0.10705383357889442,0.09606269514745924,0.07087832166371544
0.044,0.09072645221265763,0.08028220631882343,0.0928414066842963,0.08399669979206292,0.08299984550508022,0.10558312442970941,0.11600013790973873,0.08294475416268421,0.10309019284271126,0.09185961478925841,0.06766653969221137
0.046,0.09027382561269379,0.08039431695116117,0.0914749648481672,0.0839911660958157,0.08152582413847431,0.1044907321914893,0.11419734744500465,0.08375937910377929,0.10216980802118614,0.09257149134216758,0.06816322598969249
0.048,0.08962246576382916,0.07957060365730961,0.09024213089715916,0.08502802952717092,0.07888721209769078,0.10146930550753597,0.11259556285643901,0.0834343397396573,0.10221232980560424,0.09243404093754248,0.07035110261218214
0.05,0.08991895681945968,0.0801473854903253,0.09087121403717735,0.08583704708282347,0.07895312964256707,0.10107372937319903,0.11202199989599182,0.0836199356762356,0.10268885204756883,0.09277858668461003,0.07119768826409822
0.052000000000000005,0.08883606161973226,0.07829539782593398,0.09071801391929268,0.08562695502629414,0.07796167848641622,0.09893506535884367,0.10947607591642594,0.08143696018641056,0.10321401373005012,0.09191100282153664,0.07078545292611871
0.054,0.08830971936478663,0.0780710430883923,0.09053321974330153,0.0845622157917395,0.07797399574269481,0.09941407237706323,0.10755923686254887,0.08161257383924314,0.10201997531782447,0.0921788445468984,0.06917201633816006
0.056,0.08638511482633814,0.07540901319522908,0.08864755968641369,0.0829588138598808,0.07600032851282779,0.09701650967329167,0.10522968505971597,0.07947761036372325,0.10076683186886592,0.09048485206508139,0.06785994397835182
0.058,0.08759349155158243,0.07706693465742831,0.09097593560331807,0.08466726383110124,0.07773962379320831,0.09768473867406902,0.10505371961822707,0.07968408549632322,0.10303156650495793,0.0909927404395714,0.0690383068976197
0.06,0.08758044981458021,0.0761207446609834,0.09176885074827146,0.08409573536230863,0.079120411920939,0.0976865209706943,0.10589824604017217,0.07795596547882044,0.1052432787115336,0.08953476602060928,0.0683799782314698
0.062,0.08877050236881387,0.07849276996605536,0.09328661713202768,0.08479980729593972,0.08034129363991382,0.09992404536785437,0.1063989551207094,0.08005328412513979,0.10485307080397044,0.09092257097200396,0.06863260926452408
0.064,0.08815372181369804,0.07759116343196093,0.09288497778800675,0.08412501456665422,0.08001306035489131,0.09917509343992947,0.10576831482773708,0.0790936122620648,0.10483731630675741,0.09001674602454912,0.06803191913442941
0.066,0.0882861210577569,0.0778545462044572,0.09343605427679613,0.08467720812492474,0.08037062463304445,0.0983780755698952,0.10542865376413513,0.0784358554267085,0.10600057227329773,0.0895189246025152,0.06876069570179477
0.068,0.0873723516850922,0.07699852322199097,0.09157054727219471,0.08451424146335207,0.07862538599003377,0.0961990260926433,0.1050241982935648,0.07782000717094417,0.10470472539956854,0.08899567918242823,0.06927118276420152
0.07,0.08451344665506676,0.07371555942759034,0.08801802844109008,0.0821854861255854,0.07498981605393484,0.09312174589790922,0.10119285583597915,0.07615784819984062,0.10113741409077692,0.0873131346864201,0.06730257779154092
0.07200000000000001,0.08487559051416514,0.07410452195183315,0.08835924417216146,0.08276488175014562,0.07559337480852191,0.09236807144725279,0.1024901110558396,0.07551213316821226,0.1025433457827587,0.08672726352869287,0.0682929574762331
0.074,0.08352141435888438,0.07240758070863773,0.08656267501595372,0.08185161947024722,0.0740080808575242,0.09002553599371532,0.1016025705921707,0.0739761052362955,0.10164844479810597,0.085225851803445,0.06790567911274847
0.076,0.08456743972055952,0.07435358163031958,0.0884442725063519,0.08267146449947704,0.07540516937575847,0.09169529962615242,0.10127185080376111,0.0751519762332109,0.10222366337827538,0.0862089163013382,0.06824820285095023
0.078,0.08589746963105553,0.0764692825902219,0.0900833314396452,0.0836051889731233,0.07705725210367431,0.09302397855423994,0.10305376273706901,0.07623747027654926,0.10320539018876618,0.08694748812521125,0.069291551322055
0.08,0.08381144543114981,0.07413107677544051,0.08700992242894223,0.08223802770035515,0.07397690139591928,0.09019110658926499,0.10096617287844145,0.07527381387355958,0.10034647268843311,0.08558318789571906,0.06839777208542275
0.082,0.08478508425029588,0.07642019898962438,0.08883803829351322,0.08327237536086862,0.07524100380111276,0.09100659857047999,0.10061651039620301,0.07611264551117236,0.10083812908167211,0.08620940878559946,0.06929593371271292
0.084,0.08420832277396609,0.07435312248145542,0.08810748566661741,0.08151365783964704,0.07514080756120989,0.09205106532792107,0.10128793603360375,0.07559151595511826,0.10092340661594945,0.08584239072542121,0.06727183953271731
