t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.0,0.0418121825837058,0.0670845645060047,0.062250815780864284,0.08962341772470338,0.04510359032903637,0.05709435375356701,0.06138965891693781,0.05367386236815356,0.07636118917357788,0.04756404634211125,0.06694721623932885,0.06305397988951526,0.06464453408277106,0.07309010526187795,0.058784086546635285,0.07152239650120963
0.002,0.05004050090306798,0.07123631546313518,0.06720337765372254,0.08758468433946684,0.049658455353336746,0.0574606731215009,0.06106464660754004,0.05073774760509932,0.07933133048775522,0.048381203449354024,0.06661198515992099,0.05935331892754962,0.06467636950297899,0.06838301887249347,0.055397550493776385,0.06287882205930183
0.004,0.14529967235271665,0.17268836544998978,0.0,0.0,0.12235417332786058,0.09663382160502514,0.0,0.0,0.133496329391779,0.11261864899657216,0.0,0.0,0.105221522808313,0.11168746606774366,0.0,0.0
0.006,0.15923360708627143,0.17383089568555757,3.4693231448262917e-06,3.6610867790079316e-06,0.12462223160101626,0.0938652585344633,3.834612015914741e-06,3.4107220738137858e-06,0.1362458919856692,0.10896306367861425,3.2540790305448813e-06,4.242239082439765e-06,0.10185440234213852,0.10135544891514864,4.31890241075068e-06,3.0092065836799402e-06
0.008,0.17334667598153175,0.17471504628019324,1.4344346171737661e-05,1.4788802732250446e-05,0.1266193832751947,0.09096063111714946,1.5632214627266025e-05,1.3219914602677042e-05,0.13867045446580564,0.10521759727555906,1.2783526315281463e-05,1.591803553624084e-05,0.09838657012877558,0.09196963425480915,1.630890515321689e-05,1.1011475842686756e-05
0.01,0.18760954075319403,0.17534325834563222,3.335437030607574e-05,3.359834667979432e-05,0.12834788561090804,0.08795662112650925,3.57931237224233e-05,2.8829813674919503e-05,0.14077566252630777,0.10141702278219633,2.82386314098165e-05,3.365187743209788e-05,0.09485385600375319,0.08344528843312615,3.468907199764953e-05,2.2709183150263444e-05
0.012,0.20199339112819414,0.17572007941383336,6.116346022946926e-05,6.019994467563264e-05,0.12981210758187145,0.08488518740991004,6.45947244123047e-05,4.963483999722762e-05,0.14256910393088199,0.09759138550571443,4.919710015736169e-05,5.624117184629939e-05,0.09128731780560688,0.07570505591058906,5.8319712973386474e-05,3.702035910695253e-05
0.014,0.21647012848581065,0.17585180724078725,9.836381399206033e-05,9.46140711328023e-05,0.13101817771219337,0.08177405726081947,0.00010220635888621941,7.503180080063149e-05,0.1440599574790029,0.093766510162923,7.518576711532004e-05,8.26375875194792e-05,0.08771374380437029,0.06867833929460954,8.618952757662881e-05,5.304963246035473e-05
0.016,0.23101251666506922,0.17574617463824557,0.00014547152131075256,0.00013678492796828466,0.13197367208351424,0.07864717268605836,0.00014870278608421718,0.00010442819206924412,0.14525868359523267,0.08996446011931163,0.00010569872911201403,0.00011193026091104011,0.08415610849440422,0.06230072890487197,0.00011740379881321036,7.006259702321535e-05
0.018000000000000002,0.24559430373535973,0.17541207141631668,0.0002029243158688923,0.0001865923636951171,0.13268733870926092,0.07552509526588565,0.00020407634008307062,0.00013724885096520184,0.14617675245691564,0.08620395282391533,0.00014021236618837532,0.00014333068833535955,0.08063398564398508,0.05651347822726908,0.0001511735558403786,8.746324011556671e-05
0.02,0.26019031817089455,0.17485929983890047,0.0002710809773307717,0.00024386239634995423,0.13316885478044402,0.07242537304494985,0.0002682479027954793,0.00017294118140436963,0.14682640592024085,0.08250073519500387,0.00017819766373158502,0.0001761591430182756,0.07716392221125197,0.05126302183958616,0.00018680562964928306,0.00010477410444856512
0.022,0.27477654254155637,0.1740983602924038,0.0003502220834738053,0.00030837648779943443,0.13342861357507566,0.06936287264530665,0.00034107679633206176,0.00021097915122776086,0.14722044982575624,0.07886792242928034,0.0002191302023666006,0.0002098324706793217,0.07375977646865457,0.04650053261083838,0.0002236935322944639,0.00012161888695445118
0.024,0.28933016753039004,0.1731402641466876,0.00044055185262250864,0.00037987970217279475,0.13347753809187132,0.06635007955891066,0.0004223696910726712,0.0002508662371525106,0.14737207356275017,0.07531630344144176,0.00026249813969333606,0.00024385313073281708,0.07043302342589042,0.04218151518590313,0.0002613090956931862,0.00013770720701503835
0.026000000000000002,0.3038296288100604,0.17199637104645674,0.0005422008519054924,0.0004580878677861104,0.13332691871909647,0.0633973693562456,0.0005118886170465077,0.0002921374735154635,0.14729469404849596,0.07185461589134573,0.00030780846982615185,0.0002777993625092746,0.06719303040425734,0.03826543296739221,0.00029919481104360063,0.0001528213030169629
0.028,0.3182546290555685,0.17067824811211316,0.0006552293781783063,0.0005426938498300447,0.13298827248195375,0.06051325233992383,0.0006093581585470412,0.0003343607425880316,0.14700182153423397,0.06848979352223931,0.0003545918125203728,0.00031131636712161437,0.06404730539303673,0.03471536599731758,0.00033695681449743994,0.00016680444033032689
0.03,0.33258614713696244,0.16919754875229148,0.0007796313461559638,0.0006333730301723167,0.1324732216275909,0.05770459397691127,0.0007144719049335094,0.0003771374277944597,0.14650694488603735,0.06522718831503879,0.0004024059530972983,0.00034410840582631654,0.061001720610530365,0.031497697321912814,0.00037425846891544763,0.0001795508358293131
0.032,0.34680643632228747,0.16756590899677581,0.0009153385427419435,0.0007297880807715074,0.13179338950646569,0.05497681326018623,0.0008268982242285194,0.0004201025363648684,0.14582343420647467,0.062070769759932753,0.0004508383270707271,0.00037593172503996787,0.0580607134981935,0.028581825593989828,0.0004108144953719347,0.0001909969241047158
0.034,0.36089901312621964,0.16579485944915626,0.0010622251280573273,0.000831593108312173,0.13096031189329385,0.052334060979708635,0.0009462854203505032,0.00046292438466431014,0.14496445886334666,0.0590233033569912,0.0004995076190261219,0.0004065882266429966,0.05522746719537844,0.025939901828548963,0.00044638561159416576,0.00020111380870884837
0.036000000000000004,0.37484863826239395,0.16389575113432833,0.0012201122825677654,0.0009384372396624714,0.1299853620609834,0.049779379723109335,0.0010722663295657942,0.0005053039275318055,0.14394291917582658,0.056086510281342566,0.0005480646236243538,0.00043591980990561984,0.0525040723739301,0.023546588379208012,0.0004807736377539977,0.0002099007582658437
0.038,0.5657899348885043,0.0,0.003669769500339742,0.0,0.16537135543381332,0.0,0.0019117423870092102,0.0,0.18615464265445866,0.0,0.001621051061692376,0.0,0.07472173489311736,0.0,0.0007597691810652265,0.0
0.04,0.5767440001765134,2.961377976072595e-07,0.003770258318756212,7.680708845247594e-06,0.1623454323065717,9.721347162338587e-08,0.0020107870151819776,2.2327160298181265e-06,0.18258506376877492,1.0219593656983783e-07,0.0015969228590775044,2.5093165340845452e-06,0.07017619619410419,4.1934211609129524e-08,0.000757384681959096,9.94456234554033e-07
0.042,0.5874434637317503,1.4190835519287325e-06,0.0038744663525722015,3.0303154511133927e-05,0.15927344979408287,4.475332954178309e-07,0.002118250436592198,8.478269636542954e-06,0.17897909453776994,4.671587242755369e-07,0.0015735389108653228,9.521540724454608e-06,0.06592629137620538,1.8484004554051185e-07,0.0007570106912212347,3.6125884513578715e-06
0.044,0.5978861122682312,3.823767288103794e-06,0.003982738582035619,6.721049318858101e-05,0.15616668864535665,1.1576164851327054e-06,0.0022336684353246538,1.8101583039015432e-05,0.17534769368237252,1.2024283110203856e-06,0.0015509570209094404,2.031517091325191e-05,0.06195420822637018,4.582505146825573e-07,0.0007582781539981981,7.385675661834683e-06
0.046,0.6080705158444379,7.935146637407672e-06,0.004095378472026698,0.000117714914331721,0.1530355056904786,2.310983856929091e-06,0.002356560373852699,3.0524169205142954e-05,0.17170090432291274,2.388540047589366e-06,0.0015292157358410448,3.423549845556723e-05,0.058243143498269236,8.771114637176073e-07,0.0007608529884955082,1.193670968751672e-05
0.048,0.6179959641903606,1.4146742654835941e-05,0.004212648127040428,0.00018110530612377009,0.1498893906029962,3.970614429409587e-06,0.002486434153593858,4.522213221367289e-05,0.1680479117052285,4.082318694270328e-06,0.0015083369520998327,5.069155187013166e-05,0.05477724955747886,1.4455494620751352e-06,0.0007644350018945683,1.696549385889281e-05
0.05,0.6276624065989876,2.281964621656138e-05,0.004334768812488864,0.0002566542621233543,0.14673701987003326,6.181419124189681e-06,0.0026227907251793817,6.17237537800482e-05,0.16439709795448845,6.3199784459432086e-06,0.0014883283546272218,6.915272413034608e-05,0.051541583628691275,2.1598911539844524e-06,0.0007687564666804577,2.2235913849023177e-05
0.052000000000000005,0.6370703952517804,3.4281948237015213e-05,0.004461921797744836,0.0003436244379595483,0.14358630807061062,8.972570430395293e-06,0.0027651281549176516,7.960678856464815e-05,0.16075609397515989,9.12001041667296e-06,0.0014691856717656418,8.91451984547183e-05,0.04852205952244389,3.0110618872728325e-06,0.0007735804545572255,2.7565085069397206e-05
0.054,0.6462210318478367,4.882854769191145e-05,0.00459424947758383,0.0004412742752586061,0.1404444565605948,1.235967298868649e-05,0.0029129452600441578,9.849556886486294e-05,0.15713182861209324,1.2485847307957082e-05,0.0014508947383472383,0.00011024826625058053,0.04570540172662549,3.98647165979432e-06,0.0007786990073958088,3.2814119456276225e-05
0.056,0.6551159174069416,6.67212928825948e-05,0.004731856730518819,0.000548863116283676,0.1373179996608353,1.6346766666297615e-05,0.003065744829921722,0.00011805800059411283,0.15353057518452898,1.6408301532972324e-05,0.001433433364786184,0.0001320906125034453,0.04307910175479056,5.0714794976902405e-06,0.000783931209665718,3.788028805032698e-05
0.058,0.663757105117569,8.818941334549728e-05,0.004874812474794,0.0006656557373913957,0.13421284844330492,2.0928158911328165e-05,0.0032230364536541185,0.0001380025166149916,0.14995799550187636,2.0867778171917714e-05,0.0014167730144849723,0.00015434662842126796,0.04063137664926835,6.250512920922839e-06,0.0007891212141590019,4.269038511169821e-05
