 t	 z0	 z1	 z2	 z3	 z4	 z5	 j0	 j1	 j2	 j3	 j4
0.0000 -0.0076 -0.0078 0.0072 -0.0268 0.0227 0.0169 -0.0379 -0.0622 0.0003 0.0172 -0.0011
0.0500 -0.0217 -0.0097 0.0122 -0.0236 0.0202 0.0264 -0.0376 -0.0527 -0.0161 0.0306 -0.0003
0.1000 -0.0339 -0.0108 0.0145 -0.0176 0.0168 0.0346 -0.0344 -0.0426 -0.0313 0.0408 0.0034
0.1500 -0.0444 -0.0114 0.0145 -0.0095 0.0130 0.0414 -0.0287 -0.0331 -0.0434 0.0468 0.0097
0.2000 -0.0530 -0.0118 0.0126 0.0001 0.0096 0.0467 -0.0210 -0.0250 -0.0514 0.0482 0.0181
0.2500 -0.0599 -0.0124 0.0095 0.0101 0.0072 0.0505 -0.0118 -0.0189 -0.0547 0.0449 0.0279
0.3000 -0.0651 -0.0133 0.0057 0.0197 0.0063 0.0530 -0.0019 -0.0146 -0.0532 0.0377 0.0382
0.3500 -0.0687 -0.0150 0.0019 0.0281 0.0074 0.0542 0.0083 -0.0120 -0.0476 0.0277 0.0483
0.4000 -0.0710 -0.0174 -0.0013 0.0347 0.0104 0.0544 0.0181 -0.0104 -0.0388 0.0164 0.0571
0.4500 -0.0721 -0.0206 -0.0037 0.0391 0.0154 0.0538 0.0269 -0.0090 -0.0279 0.0054 0.0641
0.5000 -0.0724 -0.0245 -0.0051 0.0414 0.0220 0.0528 0.0343 -0.0070 -0.0163 -0.0039 0.0685
0.5500 -0.0720 -0.0288 -0.0056 0.0417 0.0297 0.0516 0.0402 -0.0038 -0.0051 -0.0103 0.0701
0.6000 -0.0711 -0.0332 -0.0054 0.0405 0.0379 0.0505 0.0444 0.0010 0.0050 -0.0129 0.0690
0.6500 -0.0701 -0.0374 -0.0049 0.0383 0.0459 0.0497 0.0469 0.0076 0.0133 -0.0116 0.0652
0.7000 -0.0690 -0.0410 -0.0044 0.0357 0.0531 0.0495 0.0480 0.0158 0.0197 -0.0064 0.0594
0.7500 -0.0680 -0.0437 -0.0042 0.0332 0.0589 0.0500 0.0481 0.0253 0.0246 0.0020 0.0521
0.8000 -0.0671 -0.0455 -0.0046 0.0313 0.0630 0.0511 0.0475 0.0354 0.0285 0.0127 0.0441
0.8500 -0.0664 -0.0462 -0.0056 0.0301 0.0652 0.0529 0.0467 0.0454 0.0320 0.0245 0.0364
0.9000 -0.0658 -0.0458 -0.0072 0.0298 0.0654 0.0551 0.0460 0.0546 0.0359 0.0363 0.0295
0.9500 -0.0653 -0.0445 -0.0093 0.0301 0.0639 0.0577 0.0458 0.0626 0.0408 0.0472 0.0241
1.0000 -0.0649 -0.0425 -0.0115 0.0309 0.0609 0.0604 0.0462 0.0688 0.0472 0.0561 0.0208
1.0500 -0.0645 -0.0401 -0.0135 0.0318 0.0569 0.0630 0.0474 0.0732 0.0551 0.0628 0.0196
1.1000 -0.0640 -0.0374 -0.0150 0.0323 0.0524 0.0653 0.0493 0.0759 0.0643 0.0669 0.0207
1.1500 -0.0633 -0.0348 -0.0157 0.0322 0.0478 0.0671 0.0520 0.0770 0.0743 0.0688 0.0238
1.2000 -0.0624 -0.0325 -0.0155 0.0312 0.0436 0.0684 0.0551 0.0772 0.0844 0.0687 0.0287
1.2500 -0.0613 -0.0304 -0.0143 0.0291 0.0399 0.0690 0.0584 0.0769 0.0939 0.0675 0.0347
1.3000 -0.0600 -0.0288 -0.0122 0.0259 0.0371 0.0689 0.0618 0.0767 0.1018 0.0658 0.0415
1.3500 -0.0585 -0.0274 -0.0094 0.0219 0.0351 0.0681 0.0651 0.0769 0.1075 0.0643 0.0486
1.4000 -0.0569 -0.0264 -0.0062 0.0174 0.0339 0.0668 0.0680 0.0779 0.1105 0.0637 0.0553
1.4500 -0.0553 -0.0254 -0.0030 0.0127 0.0333 0.0651 0.0706 0.0799 0.1107 0.0644 0.0615
1.5000 -0.0536 -0.0245 -0.0001 0.0083 0.0332 0.0630 0.0728 0.0827 0.1082 0.0665 0.0668
1.5500 -0.0519 -0.0234 0.0020 0.0045 0.0333 0.0606 0.0746 0.0861 0.1034 0.0700 0.0711
1.6000 -0.0502 -0.0221 0.0033 0.0017 0.0333 0.0582 0.0762 0.0898 0.0971 0.0747 0.0744
1.6500 -0.0486 -0.0207 0.0035 0.0001 0.0332 0.0558 0.0776 0.0933 0.0899 0.0801 0.0768
1.7000 -0.0470 -0.0190 0.0027 -0.0003 0.0327 0.0535 0.0789 0.0961 0.0829 0.0856 0.0785
1.7500 -0.0455 -0.0173 0.0009 0.0006 0.0317 0.0513 0.0802 0.0978 0.0767 0.0908 0.0796
1.8000 -0.0441 -0.0155 -0.0015 0.0025 0.0304 0.0493 0.0815 0.0982 0.0720 0.0950 0.0803
1.8500 -0.0426 -0.0140 -0.0042 0.0051 0.0288 0.0474 0.0829 0.0972 0.0693 0.0980 0.0809
1.9000 -0.0413 -0.0127 -0.0069 0.0081 0.0271 0.0457 0.0842 0.0948 0.0687 0.0995 0.0814
1.9500 -0.0399 -0.0119 -0.0093 0.0111 0.0253 0.0442 0.0854 0.0914 0.0701 0.0994 0.0819
2.0000 -0.0386 -0.0116 -0.0111 0.0138 0.0236 0.0427 0.0864 0.0871 0.0732 0.0980 0.0824
2.0500 -0.0374 -0.0117 -0.0121 0.0160 0.0222 0.0414 0.0870 0.0827 0.0775 0.0954 0.0829
2.1000 -0.0362 -0.0124 -0.0121 0.0174 0.0211 0.0402 0.0871 0.0784 0.0824 0.0921 0.0832
2.1500 -0.0353 -0.0134 -0.0113 0.0179 0.0204 0.0391 0.0866 0.0748 0.0872 0.0885 0.0835
2.2000 -0.0345 -0.0147 -0.0097 0.0176 0.0201 0.0381 0.0856 0.0723 0.0914 0.0850 0.0834
2.2500 -0.0339 -0.0160 -0.0075 0.0167 0.0201 0.0373 0.0841 0.0711 0.0946 0.0821 0.0831
2.3000 -0.0335 -0.0172 -0.0051 0.0152 0.0203 0.0366 0.0821 0.0713 0.0963 0.0800 0.0825
2.3500 -0.0334 -0.0181 -0.0026 0.0135 0.0205 0.0360 0.0799 0.0727 0.0966 0.0787 0.0815
2.4000 -0.0335 -0.0186 -0.0004 0.0117 0.0208 0.0356 0.0776 0.0752 0.0954 0.0784 0.0804
2.4500 -0.0338 -0.0186 0.0014 0.0102 0.0209 0.0354 0.0755 0.0784 0.0931 0.0789 0.0791
2.5000 -0.0343 -0.0180 0.0025 0.0089 0.0208 0.0353 0.0737 0.0819 0.0900 0.0799 0.0778
2.5500 -0.0348 -0.0170 0.0030 0.0082 0.0204 0.0354 0.0724 0.0853 0.0866 0.0813 0.0766
2.6000 -0.0354 -0.0155 0.0028 0.0079 0.0199 0.0355 0.0718 0.0881 0.0832 0.0826 0.0756
2.6500 -0.0360 -0.0138 0.0020 0.0080 0.0191 0.0357 0.0718 0.0901 0.0804 0.0837 0.0749
2.7000 -0.0364 -0.0119 0.0009 0.0085 0.0181 0.0359 0.0726 0.0910 0.0783 0.0844 0.0745
2.7500 -0.0367 -0.0101 -0.0005 0.0092 0.0171 0.0362 0.0739 0.0908 0.0771 0.0844 0.0746
2.8000 -0.0368 -0.0086 -0.0018 0.0099 0.0162 0.0363 0.0757 0.0896 0.0769 0.0839 0.0749
2.8500 -0.0367 -0.0074 -0.0029 0.0105 0.0154 0.0365 0.0777 0.0876 0.0776 0.0828 0.0755
2.9000 -0.0365 -0.0066 -0.0037 0.0109 0.0147 0.0365 0.0799 0.0850 0.0790 0.0814 0.0763
2.9500 -0.0360 -0.0064 -0.0041 0.0110 0.0143 0.0364 0.0819 0.0822 0.0807 0.0798 0.0771
3.0000 -0.0355 -0.0065 -0.0041 0.0107 0.0142 0.0363 0.0836 0.0795 0.0824 0.0782 0.0779
3.0500 -0.0348 -0.0071 -0.0036 0.0102 0.0143 0.0361 0.0848 0.0773 0.0839 0.0768 0.0786
3.1000 -0.0342 -0.0080 -0.0028 0.0094 0.0145 0.0359 0.0855 0.0757 0.0849 0.0759 0.0790
3.1500 -0.0335 -0.0090 -0.0018 0.0084 0.0149 0.0357 0.0857 0.0750 0.0852 0.0754 0.0792
3.2000 -0.0330 -0.0101 -0.0008 0.0074 0.0153 0.0355 0.0853 0.0751 0.0849 0.0755 0.0792
3.2500 -0.0326 -0.0110 0.0001 0.0066 0.0156 0.0354 0.0845 0.0759 0.0839 0.0760 0.0790
3.3000 -0.0323 -0.0118 0.0008 0.0059 0.0158 0.0352 0.0833 0.0774 0.0824 0.0770 0.0786
3.3500 -0.0321 -0.0122 0.0011 0.0055 0.0159 0.0352 0.0820 0.0793 0.0807 0.0782 0.0782
3.4000 -0.0322 -0.0123 0.0010 0.0054 0.0158 0.0352 0.0807 0.0812 0.0789 0.0794 0.0777
3.4500 -0.0323 -0.0121 0.0006 0.0056 0.0156 0.0352 0.0795 0.0830 0.0774 0.0805 0.0773
3.5000 -0.0325 -0.0116 -0.0001 0.0060 0.0152 0.0352 0.0786 0.0845 0.0762 0.0814 0.0771
3.5500 -0.0327 -0.0110 -0.0010 0.0066 0.0148 0.0353 0.0780 0.0854 0.0757 0.0819 0.0770
3.6000 -0.0330 -0.0102 -0.0020 0.0072 0.0143 0.0354 0.0777 0.0858 0.0758 0.0820 0.0770
3.6500 -0.0333 -0.0094 -0.0029 0.0078 0.0138 0.0354 0.0778 0.0854 0.0765 0.0817 0.0772
3.7000 -0.0335 -0.0087 -0.0037 0.0082 0.0134 0.0354 0.0781 0.0846 0.0777 0.0810 0.0775
3.7500 -0.0336 -0.0081 -0.0043 0.0085 0.0131 0.0354 0.0787 0.0833 0.0792 0.0802 0.0779
3.8000 -0.0337 -0.0078 -0.0045 0.0084 0.0129 0.0354 0.0794 0.0818 0.0809 0.0792 0.0782
3.8500 -0.0337 -0.0076 -0.0045 0.0081 0.0129 0.0353 0.0801 0.0802 0.0826 0.0783 0.0786
3.9000 -0.0336 -0.0077 -0.0041 0.0076 0.0130 0.0352 0.0807 0.0789 0.0839 0.0777 0.0788
3.9500 -0.0335 -0.0080 -0.0035 0.0069 0.0131 0.0351 0.0812 0.0778 0.0849 0.0773 0.0790
4.0000 -0.0333 -0.0084 -0.0027 0.0061 0.0133 0.0350 0.0815 0.0772 0.0852 0.0772 0.0790
4.0500 -0.0332 -0.0088 -0.0019 0.0053 0.0134 0.0349 0.0816 0.0770 0.0851 0.0775 0.0788
4.1000 -0.0330 -0.0093 -0.0011 0.0046 0.0135 0.0348 0.0815 0.0773 0.0844 0.0782 0.0786
4.1500 -0.0330 -0.0097 -0.0005 0.0041 0.0135 0.0348 0.0812 0.0780 0.0832 0.0790 0.0784
4.2000 -0.0329 -0.0099 -0.0001 0.0038 0.0134 0.0348 0.0808 0.0789 0.0818 0.0800 0.0781
4.2500 -0.0329 -0.0100 0.0001 0.0037 0.0132 0.0348 0.0803 0.0800 0.0804 0.0809 0.0779
4.3000 -0.0329 -0.0100 -0.0000 0.0039 0.0128 0.0349 0.0799 0.0811 0.0790 0.0816 0.0778
4.3500 -0.0330 -0.0098 -0.0003 0.0042 0.0124 0.0349 0.0796 0.0820 0.0778 0.0822 0.0778
4.4000 -0.0331 -0.0095 -0.0008 0.0047 0.0120 0.0349 0.0793 0.0827 0.0771 0.0824 0.0779
4.4500 -0.0332 -0.0091 -0.0014 0.0053 0.0115 0.0349 0.0792 0.0830 0.0767 0.0823 0.0781
4.5000 -0.0333 -0.0088 -0.0021 0.0058 0.0111 0.0349 0.0793 0.0829 0.0769 0.0818 0.0784
4.5500 -0.0333 -0.0084 -0.0026 0.0062 0.0108 0.0349 0.0795 0.0825 0.0774 0.0811 0.0788
4.6000 -0.0334 -0.0082 -0.0031 0.0065 0.0107 0.0348 0.0797 0.0819 0.0782 0.0802 0.0792
4.6500 -0.0334 -0.0080 -0.0033 0.0066 0.0106 0.0347 0.0800 0.0811 0.0792 0.0792 0.0795
4.7000 -0.0334 -0.0080 -0.0034 0.0065 0.0107 0.0346 0.0803 0.0802 0.0802 0.0783 0.0798
4.7500 -0.0333 -0.0080 -0.0033 0.0063 0.0109 0.0344 0.0806 0.0793 0.0811 0.0776 0.0799
4.8000 -0.0333 -0.0082 -0.0031 0.0058 0.0112 0.0343 0.0807 0.0786 0.0818 0.0770 0.0799
4.8500 -0.0332 -0.0084 -0.0027 0.0053 0.0115 0.0342 0.0808 0.0782 0.0822 0.0768 0.0798
4.9000 -0.0331 -0.0087 -0.0023 0.0048 0.0118 0.0341 0.0808 0.0780 0.0822 0.0769 0.0796
4.9500 -0.0331 -0.0090 -0.0019 0.0043 0.0120 0.0341 0.0806 0.0780 0.0819 0.0772 0.0793
5.0000 -0.0331 -0.0092 -0.0015 0.0039 0.0122 0.0341 0.0804 0.0783 0.0813 0.0778 0.0789
5.0500 -0.0331 -0.0094 -0.0013 0.0036 0.0122 0.0341 0.0801 0.0787 0.0805 0.0784 0.0786
5.1000 -0.0331 -0.0095 -0.0012 0.0034 0.0122 0.0342 0.0798 0.0793 0.0796 0.0792 0.0782
5.1500 -0.0332 -0.0095 -0.0012 0.0035 0.0121 0.0343 0.0796 0.0798 0.0787 0.0798 0.0779
5.2000 -0.0332 -0.0094 -0.0014 0.0037 0.0118 0.0344 0.0793 0.0803 0.0780 0.0804 0.0778
5.2500 -0.0333 -0.0093 -0.0017 0.0039 0.0116 0.0345 0.0792 0.0806 0.0774 0.0807 0.0777
5.3000 -0.0334 -0.0092 -0.0020 0.0043 0.0112 0.0346 0.0791 0.0807 0.0772 0.0808 0.0778
5.3500 -0.0335 -0.0090 -0.0024 0.0047 0.0110 0.0346 0.0791 0.0807 0.0771 0.0807 0.0779
5.4000 -0.0335 -0.0089 -0.0027 0.0050 0.0107 0.0347 0.0792 0.0805 0.0774 0.0803 0.0782
5.4500 -0.0336 -0.0088 -0.0030 0.0052 0.0105 0.0347 0.0794 0.0801 0.0778 0.0798 0.0785
5.5000 -0.0336 -0.0087 -0.0032 0.0054 0.0105 0.0346 0.0796 0.0796 0.0784 0.0792 0.0788
5.5500 -0.0336 -0.0088 -0.0032 0.0054 0.0105 0.0346 0.0797 0.0791 0.0790 0.0786 0.0791
5.6000 -0.0336 -0.0089 -0.0032 0.0053 0.0106 0.0345 0.0799 0.0786 0.0796 0.0780 0.0793
5.6500 -0.0336 -0.0090 -0.0030 0.0051 0.0107 0.0344 0.0800 0.0783 0.0800 0.0776 0.0795
5.7000 -0.0335 -0.0092 -0.0028 0.0048 0.0109 0.0344 0.0800 0.0780 0.0803 0.0773 0.0795
5.7500 -0.0335 -0.0094 -0.0026 0.0045 0.0112 0.0343 0.0799 0.0779 0.0804 0.0773 0.0795
5.8000 -0.0335 -0.0096 -0.0023 0.0042 0.0114 0.0342 0.0798 0.0780 0.0803 0.0774 0.0793
5.8500 -0.0335 -0.0098 -0.0021 0.0039 0.0115 0.0342 0.0797 0.0783 0.0800 0.0777 0.0791
5.9000 -0.0335 -0.0099 -0.0020 0.0037 0.0116 0.0342 0.0795 0.0786 0.0795 0.0781 0.0789
5.9500 -0.0336 -0.0099 -0.0020 0.0037 0.0117 0.0342 0.0793 0.0790 0.0790 0.0786 0.0787
6.0000 -0.0336 -0.0100 -0.0020 0.0037 0.0117 0.0343 0.0792 0.0793 0.0785 0.0790 0.0784
6.0500 -0.0337 -0.0099 -0.0021 0.0037 0.0116 0.0343 0.0790 0.0796 0.0781 0.0794 0.0783
6.1000 -0.0337 -0.0098 -0.0023 0.0039 0.0114 0.0344 0.0790 0.0799 0.0778 0.0797 0.0782
6.1500 -0.0338 -0.0097 -0.0025 0.0041 0.0113 0.0344 0.0789 0.0800 0.0776 0.0798 0.0781
6.2000 -0.0338 -0.0096 -0.0028 0.0044 0.0111 0.0345 0.0790 0.0800 0.0776 0.0798 0.0782
6.2500 -0.0339 -0.0096 -0.0030 0.0046 0.0109 0.0345 0.0791 0.0798 0.0778 0.0797 0.0783
6.3000 -0.0339 -0.0095 -0.0032 0.0047 0.0108 0.0345 0.0792 0.0796 0.0781 0.0794 0.0784
6.3500 -0.0339 -0.0095 -0.0033 0.0048 0.0107 0.0345 0.0793 0.0793 0.0785 0.0791 0.0786
6.4000 -0.0339 -0.0095 -0.0033 0.0049 0.0107 0.0345 0.0794 0.0790 0.0789 0.0787 0.0788
6.4500 -0.0339 -0.0096 -0.0033 0.0048 0.0107 0.0345 0.0795 0.0787 0.0793 0.0784 0.0789
6.5000 -0.0339 -0.0097 -0.0032 0.0047 0.0108 0.0345 0.0796 0.0784 0.0796 0.0781 0.0790
6.5500 -0.0338 -0.0098 -0.0031 0.0045 0.0109 0.0344 0.0796 0.0783 0.0798 0.0779 0.0791
6.6000 -0.0338 -0.0099 -0.0029 0.0043 0.0110 0.0344 0.0796 0.0782 0.0799 0.0779 0.0791
6.6500 -0.0338 -0.0101 -0.0028 0.0041 0.0112 0.0344 0.0795 0.0783 0.0798 0.0779 0.0791
6.7000 -0.0338 -0.0102 -0.0026 0.0039 0.0113 0.0343 0.0794 0.0785 0.0797 0.0780 0.0790
6.7500 -0.0338 -0.0102 -0.0025 0.0038 0.0114 0.0343 0.0793 0.0787 0.0794 0.0783 0.0789
6.8000 -0.0338 -0.0103 -0.0025 0.0037 0.0114 0.0343 0.0792 0.0789 0.0790 0.0785 0.0787
6.8500 -0.0338 -0.0103 -0.0025 0.0037 0.0114 0.0343 0.0791 0.0792 0.0787 0.0788 0.0786
6.9000 -0.0339 -0.0103 -0.0026 0.0037 0.0114 0.0344 0.0790 0.0794 0.0784 0.0791 0.0785
6.9500 -0.0339 -0.0102 -0.0027 0.0038 0.0113 0.0344 0.0789 0.0796 0.0781 0.0793 0.0785
7.0000 -0.0340 -0.0101 -0.0029 0.0040 0.0112 0.0344 0.0789 0.0797 0.0780 0.0794 0.0784
7.0500 -0.0340 -0.0101 -0.0030 0.0041 0.0111 0.0344 0.0789 0.0797 0.0780 0.0794 0.0784
7.1000 -0.0340 -0.0100 -0.0032 0.0042 0.0110 0.0345 0.0790 0.0796 0.0781 0.0794 0.0785
7.1500 -0.0340 -0.0099 -0.0033 0.0044 0.0109 0.0345 0.0790 0.0794 0.0783 0.0792 0.0786
7.2000 -0.0340 -0.0099 -0.0034 0.0044 0.0109 0.0345 0.0791 0.0792 0.0785 0.0790 0.0787
7.2500 -0.0340 -0.0099 -0.0035 0.0045 0.0108 0.0345 0.0792 0.0790 0.0788 0.0788 0.0788
7.3000 -0.0340 -0.0100 -0.0035 0.0044 0.0109 0.0344 0.0793 0.0788 0.0791 0.0786 0.0788
7.3500 -0.0340 -0.0100 -0.0034 0.0044 0.0109 0.0344 0.0793 0.0786 0.0793 0.0784 0.0789
7.4000 -0.0340 -0.0101 -0.0033 0.0043 0.0109 0.0344 0.0794 0.0785 0.0794 0.0783 0.0789
7.4500 -0.0340 -0.0102 -0.0032 0.0042 0.0110 0.0344 0.0793 0.0784 0.0795 0.0782 0.0790
7.5000 -0.0340 -0.0103 -0.0031 0.0040 0.0111 0.0344 0.0793 0.0784 0.0795 0.0783 0.0789
7.5500 -0.0340 -0.0104 -0.0030 0.0039 0.0111 0.0344 0.0792 0.0785 0.0794 0.0783 0.0789
7.6000 -0.0340 -0.0104 -0.0029 0.0038 0.0112 0.0343 0.0792 0.0786 0.0793 0.0785 0.0788
7.6500 -0.0340 -0.0105 -0.0029 0.0038 0.0112 0.0343 0.0791 0.0788 0.0790 0.0786 0.0787
7.7000 -0.0340 -0.0105 -0.0029 0.0037 0.0112 0.0344 0.0790 0.0790 0.0788 0.0788 0.0787
7.7500 -0.0340 -0.0105 -0.0029 0.0037 0.0112 0.0344 0.0789 0.0792 0.0786 0.0790 0.0786
7.8000 -0.0340 -0.0104 -0.0030 0.0038 0.0111 0.0344 0.0789 0.0793 0.0784 0.0791 0.0786
7.8500 -0.0341 -0.0104 -0.0031 0.0039 0.0111 0.0344 0.0789 0.0794 0.0783 0.0792 0.0786
7.9000 -0.0341 -0.0103 -0.0032 0.0040 0.0110 0.0344 0.0789 0.0794 0.0783 0.0792 0.0786
7.9500 -0.0341 -0.0103 -0.0033 0.0041 0.0110 0.0344 0.0789 0.0793 0.0783 0.0792 0.0786
8.0000 -0.0341 -0.0103 -0.0034 0.0041 0.0109 0.0344 0.0789 0.0793 0.0784 0.0791 0.0787
8.0500 -0.0341 -0.0102 -0.0035 0.0042 0.0109 0.0344 0.0790 0.0791 0.0786 0.0790 0.0787
8.1000 -0.0341 -0.0102 -0.0035 0.0042 0.0109 0.0344 0.0791 0.0790 0.0787 0.0788 0.0788
8.1500 -0.0341 -0.0102 -0.0035 0.0042 0.0109 0.0344 0.0791 0.0789 0.0789 0.0787 0.0788
8.2000 -0.0341 -0.0103 -0.0035 0.0042 0.0109 0.0344 0.0792 0.0787 0.0791 0.0786 0.0789
8.2500 -0.0341 -0.0103 -0.0035 0.0041 0.0109 0.0344 0.0792 0.0786 0.0792 0.0785 0.0789
8.3000 -0.0341 -0.0104 -0.0034 0.0040 0.0110 0.0344 0.0792 0.0786 0.0793 0.0784 0.0789
8.3500 -0.0341 -0.0105 -0.0033 0.0039 0.0110 0.0343 0.0792 0.0786 0.0793 0.0784 0.0789
8.4000 -0.0341 -0.0105 -0.0033 0.0039 0.0111 0.0343 0.0791 0.0786 0.0792 0.0785 0.0789
8.4500 -0.0341 -0.0105 -0.0032 0.0038 0.0111 0.0343 0.0791 0.0787 0.0791 0.0786 0.0788
8.5000 -0.0341 -0.0106 -0.0032 0.0038 0.0111 0.0343 0.0790 0.0788 0.0790 0.0787 0.0788
8.5500 -0.0341 -0.0106 -0.0032 0.0037 0.0111 0.0343 0.0790 0.0789 0.0789 0.0788 0.0787
8.6000 -0.0341 -0.0106 -0.0032 0.0037 0.0111 0.0343 0.0789 0.0790 0.0788 0.0789 0.0787
8.6500 -0.0341 -0.0106 -0.0032 0.0038 0.0111 0.0344 0.0789 0.0791 0.0786 0.0790 0.0787
8.7000 -0.0341 -0.0105 -0.0033 0.0038 0.0110 0.0344 0.0789 0.0792 0.0786 0.0791 0.0786
8.7500 -0.0342 -0.0105 -0.0033 0.0039 0.0110 0.0344 0.0789 0.0792 0.0785 0.0791 0.0787
8.8000 -0.0342 -0.0105 -0.0034 0.0039 0.0109 0.0344 0.0789 0.0792 0.0786 0.0791 0.0787
