k,n,o,b,s
0.0,2.23606797749979,1.0,1.0,1.0
1.0,0.925890546670688,0.45346914489876244,9.478533655144057,0.4999999999999996
2.0,0.20125238916176286,0.10312519319676593,8.984260025169853,0.1249999999999998
3.0,0.029238894158870984,0.015687993046246868,5.677174067675854,0.020833333333333284
4.0,0.003196773274237687,0.0017963019519510945,2.690564273328833,0.0026041666666666587
5.0,0.0002807910392549867,0.0001651081546283686,1.0201041606430221,0.00026041666666666563
6.0,2.0655176748917183e-05,1.2684873661162859e-05,0.32230305394691205,2.1701388888888788e-05
7.0,1.3095395253262977e-06,8.373862958556275e-07,0.08728458125690045,1.5500992063491979e-06
8.0,7.306578214207078e-08,4.846272700226805e-08,0.020683246025467176,9.688120039682479e-08
9.0,3.644347113672759e-09,2.496925181291173e-09,0.004356596523333668,5.3822889109347066e-09
10.0,1.6446359285137084e-10,1.1594610238893549e-10,0.0008258829353660352,2.691144455467351e-10
11.0,6.779244058867347e-12,4.902110703143459e-12,0.00014233016723774774,1.223247479757886e-11
12.0,2.5720256082022914e-13,1.9034380928148767e-13,2.24846880050879e-05,5.096864498991188e-13
13.0,9.038787568167912e-15,6.838054844424736e-15,3.278798030486761e-06,1.9603324996119938e-14
14.0,2.9583500264156395e-16,2.2871641764772974e-16,4.439742497198401e-07,7.001187498614258e-16
15.0,9.06105269456532e-18,7.16040716861319e-18,5.6109664906491136e-08,2.3337291662047508e-17
16.0,2.608433108016308e-19,2.1075954461454895e-19,6.647966839937894e-09,7.292903644389841e-19
17.0,7.085580267308174e-21,5.854309557777013e-21,7.413291462427411e-10,2.1449716601146572e-20
18.0,1.8228401526769685e-22,1.5395579872196948e-22,7.807459180223369e-11,5.958254611429599e-22
19.0,4.455996672188414e-24,3.843805769323612e-24,7.789817326411642e-12,1.567961739849893e-23
20.0,1.0381636616465006e-25,9.133710155331812e-26,7.383604569581703e-13,3.91990434962473e-25
21.0,3.067586033206028e-20,3.067326233875826e-20,6.665308991338629e-14,9.333105594344588e-27
22.0,1.608104801098343e-20,1.6080843693387874e-20,5.743395963303406e-15,2.1211603623510413e-28
23.0,3.3608686247157406e-21,3.360844522357761e-21,4.733823646346942e-16,4.611218179023999e-30
24.0,4.627671420678269e-22,4.627648046071886e-22,3.7391422291180203e-17,9.606704539633324e-32
25.0,4.681720209686571e-23,4.6816993158941255e-23,2.8353268368052412e-18,1.9213409079266633e-33
26.0,3.742675756488525e-24,3.7426556375867e-24,2.0672877573839702e-19,3.6948863613974264e-35
27.0,2.6334587419257037e-25,2.6334464547006053e-25,1.4514708580171292e-20,6.842382150735969e-37
28.0,1.6217017431299364e-26,1.621696957553908e-26,9.827010983697267e-22,1.221853955488565e-38
29.0,7.048400845750424e-28,7.048131436724836e-28,6.423838230237575e-23,2.106644750842352e-40
30.0,3.221401979703661e-29,3.2212514736535977e-29,4.0592377907005245e-24,3.5110745847372504e-42
31.0,3.732943070306581e-30,3.7328417717788206e-30,2.4822981944120986e-25,5.663023523769755e-44
32.0,8.876269688727169e-32,8.865639420737655e-32,1.4705341861148996e-26,8.848474255890234e-46
33.0,3.110962703956028e-32,3.110952408623559e-32,8.447580469169665e-28,1.3406779175591255e-47
34.0,4.405680350485506e-33,4.405679178490109e-33,4.7100397518566044e-29,1.971585172881065e-49
35.0,1.7939563833850323e-34,1.7939155771362938e-34,2.551101160287953e-30,2.816550246972948e-51
36.0,8.616826257404911e-35,8.616825317579041e-35,1.3433721225259116e-31,3.91187534301798e-53
37.0,4.0732110395475415e-36,4.0731879574794634e-36,6.882809662023868e-33,5.2863180311053746e-55
38.0,1.0990678282658237e-36,1.0990675061659352e-36,3.4336285801812583e-34,6.955681619875487e-57
39.0,1.563942567532104e-37,1.5639422611341967e-37,1.6690135413596178e-35,8.9175405383019e-59
40.0,5.665436055871215e-39,5.6652585198049175e-39,7.909900511334152e-37,1.1146925672877368e-60
41.0,3.064002657130274e-39,3.0640023462024956e-39,3.6572808880742403e-38,1.35938117961919e-62
42.0,4.8327935032836355e-40,4.83278549314239e-40,1.650745713520325e-39,1.618310928118082e-64
43.0,3.0268812452961803e-40,3.026881195901847e-40,7.277511070552181e-41,1.8817568931605592e-66
44.0,6.502765955405813e-41,6.502765144092264e-41,3.1354606185414673e-42,2.13836010586427e-68
45.0,7.406393745754356e-42,7.406389917179481e-42,1.3208697332099597e-43,2.3759556731825206e-70
46.0,5.695483266577444e-43,5.695474774890458e-43,5.443438356648587e-45,2.5825605143288247e-72
47.0,4.684652238626213e-44,4.684651341317742e-44,2.1955665388593905e-46,2.7474048024774707e-74
48.0,3.5966632798980395e-45,3.5966593919234457e-45,8.6711463877862e-48,2.861880002580697e-76
49.0,1.0603660899883527e-46,1.0601659893860861e-46,3.3546837904209103e-49,2.920285716919076e-78
50.0,4.2076590391886453e-48,4.204757837341817e-48,1.2718993283948327e-50,2.920285716919074e-80
51.0,1.6594760360887264e-48,1.6594712958172423e-48,4.727741407900213e-52,2.8630252126657565e-82
52.0,2.299533901418577e-50,2.2920391480455036e-50,1.7235406172153963e-53,2.752908858332456e-84
53.0,1.7181752655597634e-50,1.7181736346744588e-50,6.164768960861845e-55,2.5970838286155223e-86
54.0,9.39619127596178e-52,9.396076547930434e-52,2.1641840767302383e-56,2.4047072487180742e-88
55.0,1.6225092568409455e-52,1.6225048553249609e-52,7.459378766259792e-58,2.1860974988346113e-90
56.0,1.4935176461304389e-53,1.4935072138494774e-53,2.525141881516442e-59,1.9518727668166156e-92
57.0,1.724904366817521e-54,1.7248981662370517e-54,8.39812010805873e-61,1.7121690936987843e-94
58.0,1.7926208043786196e-55,1.792607499581285e-55,2.74489186497161e-62,1.4760078393955026e-96
59.0,3.3833360210448763e-56,3.3833346225511175e-56,8.819508448089671e-64,1.2508541011826283e-98
