t,ex0,to0,cg0,ex1,to1,cg1,ex2,to2,cg2
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9997947147612164,0.999658262299081,0.9927024740088093,0.9997671223691937,0.9997494552373163,0.9912045235585392,0.9997163937220902,0.9997829893145813,0.9886515078167454
0.02,0.9991790108827028,0.9986336681963415,0.9851388386025475,0.9990687182796505,0.9989980999018623,0.9821680073241007,0.9988659711013763,0.9991321381799144,0.9771150434548208
0.03,0.9981533383337347,0.9969280204305817,0.9773157084409502,0.9979054617924801,0.997746754226987,0.9728981836798262,0.9974498911742636,0.998047981691866,0.9653999372165535
0.04,0.9967184433669475,0.9945442873923008,0.9692396929813982,0.9962784681111874,0.9959967741853107,0.9634027368816869,0.9954700659330012,0.99653140656428,0.9535153867820945
0.05,0.9948753685183367,0.9914866031236965,0.9609173964789188,0.9941892935816727,0.9937500514887249,0.9536893030584838,0.9929291603256813,0.9945836511289771,0.9414704572094185
0.06,0.9926254526072575,0.9877602673186652,0.9523554179861846,0.9916399356922312,0.9910090135883918,0.9437654702118472,0.9898305922562399,0.9922063053357552,0.9292740809343235
0.07,0.9899703307364253,0.983371745322802,0.9435603513535141,0.9886328330735534,0.9877766236747452,0.9336387782162372,0.986178532584456,0.9894013107523891,0.9169350577704315
0.08,0.986911934291915,0.9783229588401714,0.9345387852288716,0.9851707496958154,0.9840558610967173,0.9233167188189435,0.9819758504063466,0.9861709602662304,0.9044620387334887
0.09,0.9834481240702998,0.9726092938235467,0.925294971632268,0.9812476473050061,0.9798387254503834,0.9128034819743601,0.9772129102297296,0.9825097898036399,0.891859521340137
0.1,0.979576656404237,0.966245537970623,0.9158307494083022,0.9768636040077283,0.9751275821934868,0.9021019161576512,0.9718970805256003,0.9784148204589933,0.8791334777185525
0.11,0.9753021917849151,0.9592479228083178,0.9061535442362426,0.9720257666588168,0.9699310365298571,0.8912204488345781,0.9660400566371651,0.9738921239951517,0.8662931441735504
