t,n1,n2,n5,n10,n15,n20,f1,f2,f5,f10,f15,f20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,6.226679270260931e-06,8.209544525344664e-09,1.7554167342883506e-16,1.7554167342883506e-16,1.7554167342883506e-16,1.7554167342883506e-16,3.056039916049454e-05,9.04562686318526e-08,6.231111271582837e-16,1.7554167342883506e-16,1.7554167342883506e-16,1.7554167342883506e-16
0.04,2.4777607159000526e-05,6.520432544388118e-08,1.8354390915315477e-15,2.3551386880256624e-16,2.3551386880256624e-16,2.3551386880256624e-16,0.00012188276921226761,7.220525586434812e-07,3.3736910723807665e-14,2.3551386880256624e-16,2.3551386880256624e-16,2.3551386880256624e-16
0.06,5.546081535275877e-05,2.18483808121243e-07,2.01632556377274e-14,1.7772239894833365e-16,1.7772239894833365e-16,1.7772239894833365e-16,0.00027343242180171,2.431554520072086e-06,3.857086158840462e-13,1.7772239894833365e-16,1.7772239894833365e-16,1.7772239894833365e-16
0.08,9.80865788173145e-05,5.141694227710013e-07,1.1168515646367511e-13,2.435541875787129e-16,2.435541875787129e-16,2.435541875787129e-16,0.00048467937226627625,5.7509939556992145e-06,2.16508837308369e-12,2.435541875787129e-16,2.435541875787129e-16,2.435541875787129e-16
0.1,0.00015246739247400709,9.970312356897197e-07,4.202494471501859e-13,2.603703785810335e-16,2.603703785810335e-16,2.603703785810335e-16,0.0007550982982384316,1.1207710495066421e-05,8.249309222065278e-12,2.603703785810335e-16,2.603703785810335e-16,2.603703785810335e-16
0.12,0.0002184179481037741,1.7105141672316711e-06,1.2384947796818375e-12,2.8441001681421824e-16,2.8441001681421824e-16,2.8441001681421824e-16,0.0010841684986141714,1.932439290289889e-05,2.460163032929178e-11,2.8441001681421824e-16,2.8441001681421824e-16,2.8441001681421824e-16
0.14,0.00029575511147487016,2.6967637670195115e-06,3.081896389436079e-12,1.8619006149354548e-16,1.8619006149354548e-16,1.8619006149354548e-16,0.0014713738528817912,3.061912002487396e-05,6.195887150855909e-11,1.8619006149354548e-16,1.8619006149354548e-16,1.8619006149354548e-16
0.16,0.00038429789969529046,3.9966515512895196e-06,6.77740789226509e-12,2.435541875787129e-16,2.435541875787129e-16,2.435541875787129e-16,0.0019162027808102265,4.5605401373011516e-05,1.3788300920526882e-10,2.435541875787129e-16,2.435541875787129e-16,2.435541875787129e-16
0.18,0.0004838674587862567,5.649799911270841e-06,1.3559348265811337e-11,2.830524433501838e-16,2.830524433501838e-16,2.830524433501838e-16,0.002418148202491822,6.479221735416858e-05,2.791783411105682e-10,2.830524433501838e-16,2.830524433501838e-16,2.830524433501838e-16
0.2,0.0005942870414737245,7.694606597422926e-06,2.517765765090842e-11,2.3055512673781017e-16,2.3055512673781017e-16,2.3055512673781017e-16,0.002976707498737467,8.868405914510959e-05,5.246662617601024e-10,2.3055512673781017e-16,2.3055512673781017e-16,2.3055512673781017e-16
0.22,0.0007153819851982642,1.0168268788966321e-05,4.401276106803587e-11,3.2009291313835888e-16,3.2009291313835888e-16,3.2009291313835888e-16,0.0035913824718202605,0.0001177809682168253,9.283166707474174e-10,3.2009291313835888e-16,3.2009291313835888e-16,3.2009291313835888e-16
0.24,0.0008469796903386471,1.3106806751323384e-05,7.319574532853796e-11,4.08865160135725e-16,4.08865160135725e-16,4.08865160135725e-16,0.004261679306565305,0.00015257857551182993,1.5627337817263802e-09,4.08865160135725e-16,4.08865160135725e-16,4.08865160135725e-16
0.26,0.0009889095986497201,1.6545087093586037e-05,1.1673624398976388e-10,3.236828524569469e-16,3.236828524569469e-16,3.236828524569469e-16,0.0049871085317816565,0.00019356814027666303,2.5229902696784277e-09,3.236828524569469e-16,3.236828524569469e-16,3.236828524569469e-16
0.28,0.0011410031719093683,2.051684562540866e-05,1.7965208641312677e-10,3.925231146709438e-16,3.925231146709438e-16,3.925231146709438e-16,0.005767184982034669,0.0002412365885534349,3.930810157378517e-09,3.925231146709438e-16,3.925231146709438e-16,3.925231146709438e-16
0.3,0.001303093870776997,2.5054709827834716e-05,2.681013880005267e-10,3.152427400121712e-16,3.152427400121712e-16,3.152427400121712e-16,0.006601427759755413,0.0002960665513315353,5.939095817865038e-09,3.152427400121712e-16,3.152427400121712e-16,3.152427400121712e-16
0.32,0.0014750171338571412,3.0190220936603824e-05,3.8951877963905913e-10,2.7894008272968645e-16,2.830524433501838e-16,2.830524433501838e-16,0.007489360197682612,0.0003585364023663177,8.736793952405994e-09,2.830524433501838e-16,2.830524433501838e-16,2.830524433501838e-16
0.34,0.0016566103569680753,3.595385564926732e-05,5.527485752848758e-10,3.815760786470701e-16,3.764949453935611e-16,3.764949453935611e-16,0.008430509821636149,0.0004291202956634738,1.2554101855839726e-08,3.236828524569469e-16,3.236828524569469e-16,3.236828524569469e-16
0.36,0.00184771287261557,4.2375047460112304e-05,7.681794627187831e-10,5.117875266520903e-16,4.933939044724272e-16,4.933939044724272e-16,0.009424408313618604,0.0005082882026346896,1.7668007143188318e-08,4.933939044724272e-16,4.933939044724272e-16,4.933939044724272e-16
0.38,0.0020481659296651892,4.948220762883159e-05,1.0478766475592612e-09,7.776515945702112e-16,6.667118051786499e-16,6.667118051786499e-16,0.01047059147524204,0.000596505948925612,2.4408161188157726e-08,7.114312260401321e-16,6.667118051786499e-16,6.667118051786499e-16
0.4,0.002257812673216312,5.7302745789056773e-05,1.4057114169337517e-09,1.0677783136387644e-15,8.763908156876301e-16,8.763908156876301e-16,0.01156859919147601,0.0006942352509217383,3.316307941914035e-08,9.125634816017134e-16,8.763908156876301e-16,8.763908156876301e-16
0.42,0.002476498124672383,6.586309020395896e-05,1.8574861636678932e-09,1.1500994243130258e-15,7.731808680624463e-16,7.731808680624463e-16,0.01271797539471579,0.0008019337519316395,4.4386670156997973e-08,9.43689570931383e-16,7.731808680624463e-16,7.731808680624463e-16
0.44,0.0027040691620068415,7.518870767021529e-05,2.4210567104584896e-09,1.6126920961239077e-15,1.0179146870343963e-15,1.0179146870343963e-15,0.013918268029166118,0.0009200550580538638,5.860508476935993e-08,1.2291051413029514e-15,1.0179146870343963e-15,1.0179146870343963e-15
0.46,0.0029403745002232785,8.530412308287296e-05,3.1164461104792608e-09,2.0690473847604234e-15,8.459761032879693e-16,8.459761032879693e-16,0.015169029015540242,0.0010490487737261098,7.642389058048496e-08,1.2265954804071752e-15,8.219587729874549e-16,8.219587729874549e-16
0.48,0.003185264672007269,9.623293865894598e-05,3.965955181220738e-09,3.179679517821762e-15,1.0114613123884174e-15,1.0114613123884174e-15,0.016469814216068152,0.0011893605369644566,9.853555910363932e-08,1.7046533665503558e-15,1.012983452169639e-15,1.012983452169639e-15
0.5,0.0034385920085688564,0.00010799785283187682,4.994262628355084e-09,4.665001393311476e-15,7.488863730937846e-16,7.488863730937846e-16,0.0178201833998149,0.0013414320542900302,1.2572727182829812e-07,1.899584781946814e-15,7.468261590855957e-16,7.468261590855957e-16
0.52,0.003700210620672716,0.00012062067881727711,6.228520407568459e-09,6.684658270823939e-15,8.746309929968238e-16,8.746309929968238e-16,0.019219700208301896,0.0015057011353517265,1.5888903471059376e-07,2.559690151327964e-15,8.087309868639295e-16,8.087309868639295e-16
0.54,0.003969976379855444,0.00013412236285754414,7.698437656259696e-09,9.771578929877728e-15,7.173621687406365e-16,7.173621687406365e-16,0.02066793212143324,0.001682601727241892,1.990221056347453e-07,3.389477438228309e-15,7.711855592701269e-16,7.711855592701269e-16
0.56,0.004247746899826939,0.00014852300215098863,9.4363564520446e-09,1.4194148181496556e-14,8.1773032027145e-16,8.1773032027145e-16,0.022164450423721754,0.0018725639485110282,2.472477260626903e-07,4.7624071011497795e-15,8.1773032027145e-16,8.1773032027145e-16
0.58,0.004533381518056421,0.00016384186246853964,1.1477317128262837e-08,2.0563641252596377e-14,8.41868291085074e-16,8.41868291085074e-16,0.023708830170811372,0.0020760141228844888,3.0481615766483244e-07,6.68794194056938e-15,8.41868291085074e-16,8.41868291085074e-16
0.6,0.004826741277538513,0.0001800973954657213,1.385911274732453e-08,2.9167570987485327e-14,9.566618574882216e-16,9.566618574882216e-16,0.025300650156295883,0.0022933748126803895,3.731160203345395e-07,9.38171302068296e-15,8.829589126839103e-16,8.829589126839103e-16
0.62,0.005127688908738541,0.00019730725569013242,1.6622332131909107e-08,4.1210562326131035e-14,9.824846503263461e-16,9.824846503263461e-16,0.026939492878828162,0.0025250648519373736,4.5368392721846364e-07,1.3241707786869335e-14,9.824846503263461e-16,9.824846503263461e-16
0.64,0.005436088811718217,0.00021548831729675886,1.9810390780252167e-08,5.740205339778681e-14,1.1216137658185826e-15,1.1216137658185826e-15,0.02862494450952139,0.0027714993792462696,5.482144189636254e-07,1.841709502613362e-14,1.1216137658185826e-15,1.1216137658185826e-15
0.66,0.005751807038434588,0.00023465669046777966,2.3469549436589547e-08,7.934187018498512e-14,1.0870835358315423e-15,1.0870835358315423e-15,0.03035659485963503,0.0030330898702979853,6.585701872057637e-07,2.555238046668635e-14,1.1690337414023526e-15,1.1690337414023526e-15
0.68,0.006074711275216425,0.00025482773754849147,2.7648918821138116e-08,1.0834716638690591e-13,9.698578168158083e-16,9.698578168158083e-16,0.03213403734854747,0.003310244170140671,7.867925932689306e-07,3.497622140265004e-14,9.698578168158083e-16,9.698578168158083e-16
0.7000000000000001,0.006404670825410523,0.0002760160888968655,3.240045216954082e-08,1.4659747007803194e-13,8.331297329690976e-16,8.331297329690976e-16,0.03395686897200862,0.003603366525157719,9.351124703676798e-07,4.759255762043924e-14,8.331297329690976e-16,8.331297329690976e-16
0.72,0.00674155659220296,0.0002982356584601376,3.7778921897774385e-08,1.9669105132037738e-13,9.686656125337893e-16,9.686656125337893e-16,0.03582469027067424,0.0039128576147606136,1.1059612153714313e-06,6.468422456684666e-14,9.824846503263461e-16,9.824846503263461e-16
0.74,0.007085241061607094,0.000321499659073922,4.384188252241138e-08,2.61811741973253e-13,9.757969893912614e-16,9.757969893912614e-16,0.03773710529891621,0.004239114582805124,1.3019821627197075e-06,8.722491145432927e-14,9.757969893912614e-16,9.757969893912614e-16
0.76,0.0074355982856214925,0.00034582061749453255,5.064961868106148e-08,3.4560221857016034e-13,1.0076459034209143e-15,1.0076459034209143e-15,0.039693721593907494,0.0045825310687312775,1.526042237291057e-06,1.1660572192133123e-13,1.0076459034209143e-15,1.0076459034209143e-15
0.78,0.0077925038655530165,0.0003712103891666407,5.826507702778542e-08,4.52545314832731e-13,1.1025638216888958e-15,1.1025638216888958e-15,0.041694150144979965,0.004943497238428517,1.781243887774823e-06,1.5463247704637255e-13,1.0510534791819674e-15,1.0510534791819674e-15
0.8,0.008155834935506614,0.0003976801727282192,6.675378385462573e-08,5.883403389276462e-13,9.734256687793475e-16,9.734256687793475e-16,0.04373800536325085,0.005322399814831143,2.070937293651489e-06,2.0392013849179653e-13,9.734256687793475e-16,9.734256687793475e-16
0.8200000000000001,0.008525470146037023,0.00042524052426411705,7.618374378100348e-08,7.596025740168276e-13,9.666753379582448e-16,9.666753379582448e-16,0.04582490505151895,0.00571962210824197,2.398732847973374e-06,2.670782841585701e-13,9.746120502906707e-16,9.746120502906707e-16
0.84,0.008901289647962602,0.00045390137130208336,8.662532489525162e-08,9.742427177478849e-13,9.968850742707575e-16,9.968850742707575e-16,0.0479544703744232,0.006135544046392551,2.76851390840425e-06,3.476250755018003e-13,1.0087920413118926e-15,1.0087920413118926e-15
0.86,0.009283175076340437,0.00048367202656538193,9.815112453827775e-08,1.2417338458553982e-12,9.142502916948183e-16,9.057848289240456e-16,0.05012632582886641,0.006570542204236272,3.18444981852256e-06,4.498007390052935e-13,9.18873053048877e-16,9.18873053048877e-16
0.88,0.009671009534599644,0.0005145612014785929,1.1083581991891823e-07,1.573120745560619e-12,1.0609021912975298e-15,1.0641648402854206e-15,0.052340099214698135,0.0070249898334811,3.651009194855565e-06,5.787743343029242e-13,1.0641648402854206e-15,1.0641648402854206e-15
0.9,0.010064677578831048,0.0005465770194351136,1.2475599946314116e-07,1.9810490694790066e-12,8.54583310691029e-16,9.07059685049571e-16,0.05459542160565579,0.0074992568918622595,4.17297347759387e-06,7.401476094044755e-13,9.07059685049571e-16,9.07059685049571e-16
0.92,0.01046406520223477,0.0005797270288279298,1.399899781873247e-07,2.481388956923327e-12,1.1004656964352382e-15,1.130166686430641e-15,0.0568919273205622,0.007993710072157573,4.755450741634303e-06,9.420855751191208e-13,1.1362849267314967e-15,1.1362849267314967e-15
0.9400000000000001,0.010869059819720637,0.0006140182158485808,1.5661759283957462e-07,3.0911431301715448e-12,1.0072635676441374e-15,1.0163999321966297e-15,0.0592292538947773,0.008508712830945836,5.4038897707237354e-06,1.1921250034573674e-12,9.726339438262527e-16,9.726339438262527e-16
0.96,0.011279550252661264,0.0006494570170559774,1.747199821963253e-07,3.831363297156623e-12,1.1247003100708814e-15,1.0477500027681815e-15,0.06160704205189858,0.009044625417116849,6.124094381289186e-06,1.501744605743653e-12,1.055077015130091e-15,1.055077015130091e-15
0.98,0.011695426713798834,0.0006860493317243987,1.9437934474308385e-07,4.725103148332929e-12,1.0666955569158329e-15,1.0510534791819674e-15,0.06402493567571495,0.009601804900124489,6.922238009912524e-06,1.8825099031348277e-12,9.953383160477617e-16,9.953383160477617e-16
1.0,0.012116580792297894,0.0007238005339649066,2.1567868169846638e-07,5.799962355566276e-12,1.0867291483613812e-15,1.0695804724124398e-15,0.06648258178240336,0.010180605197997083,7.804878544922607e-06,2.349237114925652e-12,1.084955474666808e-15,1.084955474666808e-15
1.02,0.012542905438951538,0.0007627154846343709,2.3870151879619645e-07,7.0869261919468945e-12,1.159106867033638e-15,1.1039603565383328e-15,0.06897963049297354,0.010781377105097202,8.778973413542052e-06,2.9186806539361695e-12,1.1109166973105323e-15,1.1109166973105323e-15
1.04,0.012974294951530836,0.0008027985430271589,2.6353160984536884e-07,8.621474727817693e-12,1.279167729717802e-15,1.1667250253135476e-15,0.07151573500595337,0.011404468319640126,9.851894914433712e-06,3.6110341967555793e-12,1.1105699151271772e-15,1.1105699151271772e-15
1.06,0.01341064496028185,0.0008440535783575055,2.902526213723839e-07,1.044428579820365e-11,1.313926787210276e-15,1.1938124470981842e-15,0.07409055157031529,0.012050223470968837,1.1031445796719631e-05,4.449572404460625e-12,1.2434373966364663e-15,1.2434373966364663e-15
1.08,0.01385185241356747,0.0008864839810353724,3.1894779763905775e-07,1.26006190439678e-11,1.3827737518436079e-15,1.2406462878493124e-15,0.07670373945864227,0.012718984146588709,1.2325875082936357e-05,5.461241259524646e-12,1.2582187465962776e-15,1.2582187465962776e-15
