t,n1,n2,n3,n4,n10,n20,f1,f2,f3,f4,f10,f20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000000208,5.909954330991802195e-06,1.4401841582559801582e-09,2.0166619843582561825e-11,1.9722012251355221184e-14,2.2889511387483199888e-16,2.2889511387483199888e-16,5.5981348784138191326e-06,2.3666430075675041575e-09,1.8299791698599318359e-11,2.5690897104901200638e-14,3.1652839239130782476e-30,2.5271771562567010856e-55
0.020000000000000000416,2.3639269304268223585e-05,1.1525891477012784218e-08,3.2265619250775809755e-10,6.312545212890481008e-13,5.118214812801544859e-16,5.118214812801544859e-16,2.239253951365527653e-05,1.893314406054003326e-08,2.9279666717758909374e-10,8.2210870735683842042e-13,6.482501476173984251e-27,5.299874627598053195e-49
0.02999999999999999889,5.318630093763797046e-05,3.892472028328662182e-08,1.6333461350567860508e-09,4.7947493157519264325e-12,5.5577100489849890964e-16,5.5577100489849890964e-16,5.038321390572437304e-05,6.38993612043225924e-08,1.4822831275865446998e-09,6.2428879964909890982e-12,5.607205512694297119e-25,2.643516566099817795e-45
0.040000000000000000833,9.454830950573048286e-05,9.234834418449174128e-08,5.161738739404815192e-09,2.0211984438508221095e-11,2.2244020453146573788e-16,2.2244020453146573788e-16,8.957015805462110612e-05,1.5146515248432026608e-07,4.6847466748414255e-09,2.6307478635418829454e-11,1.3276163023204319746e-23,1.1114642675016512454e-42
0.050000000000000002776,0.00014772145991485444128,1.8057436259963177819e-07,1.2600517236911260384e-08,6.170936866735032181e-11,2.8321757213735222408e-16,2.8321757213735222408e-16,0.00013995337196034550627,2.958303759459380263e-07,1.1437369811624576472e-08,8.028405345281625773e-11,1.54554879097318311e-22,1.2050519734653009479e-40
0.05999999999999999778,0.00021270082221934647469,3.124679292552336551e-07,2.6124926486156849955e-08,1.5363566124628282482e-10,4.7452316874557240868e-16,4.7452316874557240868e-16,0.00020153285562289749216,5.111948896345807392e-07,2.3716530041384715197e-08,1.9977241588771165114e-10,1.1483556889997920499e-21,5.5438560536293650883e-39
0.07000000000000000666,0.00028948037229295216308,4.970030867984411961e-07,4.8391976931822364492e-08,3.3227915926222486305e-10,4.044286293433506631e-16,4.044286293433506631e-16,0.00027430860904227718578,8.1175855159565399883e-07,4.3937799868336982162e-08,4.3178690764207456869e-10,6.2588005519413116946e-21,1.4115443484329376878e-37
0.080000000000000001665,0.00037805299264285225215,7.432837405746145355e-07,8.2539472422384401225e-08,6.4830879748679610576e-10,4.9689940009799849703e-16,4.9689940009799849703e-16,0.00035828063221848442449,1.2117212198745621287e-06,7.4955946797462808e-08,8.418393163334025425e-10,2.718958187152244684e-20,2.3309095115196229127e-36
0.08999999999999999667,0.00047841047337540592633,1.0605642051072311112e-06,1.3218486170541601407e-07,1.1692444307143251281e-09,8.088543929658123725e-16,8.088543929658123725e-16,0.0004534489251515193167,1.7252827525167101404e-06,1.2006493333451012441e-07,1.5170217831473104252e-09,9.9329963495725657657e-20,2.7652116979385794418e-35
0.10000000000000000555,0.0005905435133078463291,1.4582692627038336275e-06,2.0142391672551797514e-07,1.981960570503136231e-09,8.1065621116648988736e-16,8.1065621116648988736e-16,0.00055981348784138202507,2.3666430075675042105e-06,1.8299791698599322355e-07,2.5690897104901202474e-09,3.1652839239130790093e-19,2.5271771562567028135e-34
0.110000000000000000555,0.00071444172123148291494,1.9460136775977992636e-06,2.9482923327564016206e-07,3.1952276476431573077e-09,1.1409179419037977468e-15,1.1409179419037982398e-15,0.0006773743202880721159,3.1500018430723475506e-06,2.679272502591926323e-07,4.1375446696414425196e-09,9.030924442897814395e-19,1.8701742609719139025e-33
