t,n2,n4,n10,n20,f2,f4,f10,f20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3.5166745488162055e-10,5.120125345955656e-15,1.1102230264346141e-16,1.1102230264346141e-16,2.5620372483189716e-08,3.1745286546271913e-13,5.7207488135812375e-28,2.7124907911176256e-51
0.02,5.626289095092444e-09,3.229690723274526e-13,4.44089210987436e-16,4.44089210987436e-16,2.0496297986551773e-07,1.0158491694807012e-11,1.1716093570214374e-24,5.688505487573911e-45
0.03,2.8479799641167757e-08,3.6821548204878505e-12,8.88178422698655e-16,8.88178422698655e-16,6.917500570461221e-07,7.714104630744073e-11,1.0134134900794748e-22,2.8373611734975223e-41
0.04,8.999567678203097e-08,2.0686066273753995e-11,6.661338456565036e-16,6.661338456565028e-16,1.6397038389241418e-06,3.250717342338244e-10,2.399455963179904e-21,1.1929660660276602e-38
0.05,2.1967032840925724e-07,7.888073424965229e-11,9.992007876019222e-16,9.99200787601817e-16,3.2025465603987147e-06,9.920402045709975e-10,2.7933343816314644e-20,1.293416400488676e-36
0.06,4.553926555915386e-07,2.354219907295927e-10,7.771563365691515e-16,7.771563365586123e-16,5.534000456368977e-06,2.4685134818381032e-09,2.0754708276827644e-19,5.950377659722676e-35
0.07,8.434177992619593e-07,5.933017376713917e-10,3.3306818333540467e-16,3.330684514545898e-16,8.787787761734073e-06,5.335430309831922e-09,1.1311789619079711e-18,1.5150505127427472e-33
0.08,1.4383350971591122e-06,1.3210984693976944e-09,7.771566267523755e-16,7.771570323352558e-16,1.3117630711393135e-05,1.040229549548238e-08,4.914085812592443e-18,2.5018311713020396e-32
0.09,2.3030302802590345e-06,2.676204532461491e-09,5.551120213004168e-16,5.551134075460067e-16,1.86772515402453e-05,1.8745274252708096e-08,1.795231595271087e-17,2.967980003926265e-31
0.1,3.50864192734475e-06,5.031461820211429e-09,9.992139352210134e-16,9.992026809254493e-16,2.5620372483189717e-05,3.174528654627192e-08,5.720748813581239e-17,2.7124907911176278e-30
0.11,5.1345122262437784e-06,8.905151671363382e-09,1.4434237577663981e-15,1.3322688648075785e-15,3.4100715775125506e-05,5.112610143563637e-08,1.6321964011487588e-16,2.0073109825768974e-29
0.12,7.268132071378741e-06,1.4994252345907734e-08,1.6663762287758129e-15,1.554313535277465e-15,4.4272003650951814e-05,7.89924314188193e-08,4.2505642550943015e-16,1.247884640984273e-28
0.13,1.0005080545664808e-05,2.421088556948764e-08,1.7831302169111996e-15,1.5543171200382305e-15,5.6287958345567805e-05,1.1786802677624936e-07,1.0252499447934451e-15,6.701602599235473e-28
0.14,1.3448958835885824e-05,3.772186120356062e-08,2.1434155820205197e-15,1.443298190575473e-15,7.030230209387259e-05,1.707337699146215e-07,2.316654513987525e-15,3.1772912128994777e-27
0.15,1.7711318632004035e-05,5.699121519730184e-08,3.229341642702736e-15,1.6653382638890875e-15,8.646875713076527e-05,2.4106576971075226e-07,4.948308057028686e-15,1.3529592387664425e-26
0.16,2.2911585071696296e-05,8.382563880343464e-08,5.0332965970648866e-15,1.6653461695135048e-15,0.00010494104569114508,3.328734558554362e-07,1.0064047744189323e-14,5.246720244558415e-26
0.17,2.917697428394119e-05,1.2042267761417833e-07,8.801844666129533e-15,1.4433061559301197e-15,0.00012587289000991108,4.5073767319730007e-07,1.9606091014107078e-14,1.8741123447954396e-25
0.18,3.6642405607835566e-05,1.6942158371732244e-07,1.619036514278547e-14,1.443316385314473e-15,0.0001494180123219624,5.998487760866591e-07,3.6766343071151864e-14,6.224305201193975e-25
0.19,4.5450408548129945e-05,2.3395668832191933e-07,3.009337085150784e-14,1.887397527422418e-15,0.00017573013486219826,7.860447227193733e-07,6.664115103857575e-14,1.937286679997038e-24
0.2,5.575102454857542e-05,3.177131612626141e-07,5.365380768812978e-14,1.3323226857307956e-15,0.00020496297986551774,1.0158491694807014e-06,1.1716093570214378e-13,5.688505487573915e-24
0.21,6.770170365098653e-05,4.249850076539799e-07,9.550265136652038e-14,1.5543472650686238e-15,0.00023727026956681989,1.2965095652891562e-06,2.0038495956511107e-13,1.5847963483675342e-23
0.22,8.146719613794871e-05,5.60735167821248e-07,1.6565215961386334e-13,1.9984270434970426e-15,0.00027280572620100405,1.6360352459403638e-06,3.342738229552658e-13,4.2096362417331055e-23
