 t  x  y  z  v  w  q
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0050 0.0688 0.0202 0.0237 0.0701 -0.0153 0.0237
0.0100 0.0921 0.0389 0.0316 0.0995 -0.0101 0.0316
0.0150 0.1081 0.0553 0.0385 0.1214 -0.0033 0.0385
0.0200 0.1202 0.0702 0.0452 0.1391 0.0040 0.0452
0.0250 0.1298 0.0838 0.0520 0.1541 0.0113 0.0520
0.0300 0.1377 0.0964 0.0590 0.1670 0.0185 0.0590
0.0350 0.1443 0.1079 0.0663 0.1784 0.0255 0.0663
0.0400 0.1500 0.1185 0.0738 0.1885 0.0320 0.0738
0.0450 0.1550 0.1282 0.0816 0.1975 0.0382 0.0816
0.0500 0.1595 0.1371 0.0895 0.2057 0.0438 0.0895
0.0550 0.1635 0.1452 0.0976 0.2131 0.0491 0.0976
0.0600 0.1672 0.1526 0.1058 0.2199 0.0538 0.1058
0.0650 0.1707 0.1594 0.1140 0.2262 0.0580 0.1140
0.0700 0.1740 0.1655 0.1224 0.2321 0.0618 0.1224
0.0750 0.1772 0.1710 0.1307 0.2375 0.0651 0.1307
0.0800 0.1804 0.1760 0.1390 0.2427 0.0679 0.1390
0.0850 0.1835 0.1804 0.1473 0.2475 0.0703 0.1473
0.0900 0.1866 0.1843 0.1556 0.2521 0.0722 0.1556
0.0950 0.1898 0.1877 0.1638 0.2566 0.0738 0.1638
0.1000 0.1930 0.1907 0.1718 0.2608 0.0749 0.1718
0.1050 0.1963 0.1934 0.1798 0.2650 0.0756 0.1798
0.1100 0.1996 0.1956 0.1876 0.2690 0.0759 0.1876
0.1150 0.2031 0.1975 0.1953 0.2729 0.0759 0.1953
0.1200 0.2066 0.1990 0.2029 0.2768 0.0756 0.2029
0.1250 0.2103 0.2003 0.2102 0.2806 0.0749 0.2102
0.1300 0.2141 0.2013 0.2174 0.2844 0.0740 0.2174
0.1350 0.2180 0.2020 0.2244 0.2881 0.0728 0.2244
0.1400 0.2220 0.2025 0.2312 0.2919 0.0713 0.2312
0.1450 0.2261 0.2028 0.2378 0.2956 0.0696 0.2378
0.1500 0.2303 0.2029 0.2442 0.2994 0.0677 0.2442
0.1550 0.2347 0.2029 0.2504 0.3032 0.0655 0.2504
0.1600 0.2391 0.2027 0.2564 0.3070 0.0632 0.2564
0.1650 0.2437 0.2023 0.2622 0.3109 0.0607 0.2622
0.1700 0.2484 0.2019 0.2677 0.3148 0.0581 0.2677
0.1750 0.2532 0.2014 0.2730 0.3187 0.0553 0.2730
0.1800 0.2581 0.2007 0.2781 0.3227 0.0524 0.2781
0.1850 0.2631 0.2001 0.2830 0.3268 0.0495 0.2830
0.1900 0.2681 0.1993 0.2876 0.3309 0.0464 0.2876
0.1950 0.2733 0.1986 0.2921 0.3350 0.0432 0.2921
0.2000 0.2785 0.1978 0.2963 0.3392 0.0400 0.2963
0.2050 0.2838 0.1969 0.3003 0.3435 0.0367 0.3003
0.2100 0.2892 0.1961 0.3041 0.3478 0.0335 0.3041
0.2150 0.2947 0.1953 0.3077 0.3522 0.0301 0.3077
0.2200 0.3002 0.1945 0.3110 0.3567 0.0268 0.3110
0.2250 0.3057 0.1938 0.3142 0.3612 0.0235 0.3142
0.2300 0.3113 0.1930 0.3172 0.3658 0.0202 0.3172
0.2350 0.3170 0.1924 0.3200 0.3704 0.0169 0.3200
0.2400 0.3226 0.1917 0.3226 0.3751 0.0136 0.3226
0.2450 0.3283 0.1912 0.3250 0.3798 0.0103 0.3250
0.2500 0.3340 0.1907 0.3272 0.3846 0.0072 0.3272
0.2550 0.3398 0.1902 0.3293 0.3894 0.0040 0.3293
0.2600 0.3455 0.1899 0.3312 0.3943 0.0010 0.3312
0.2650 0.3513 0.1896 0.3329 0.3992 -0.0020 0.3329
0.2700 0.3570 0.1894 0.3344 0.4041 -0.0050 0.3344
0.2750 0.3628 0.1893 0.3359 0.4091 -0.0078 0.3359
0.2800 0.3685 0.1893 0.3371 0.4142 -0.0105 0.3371
0.2850 0.3742 0.1894 0.3383 0.4192 -0.0132 0.3383
0.2900 0.3799 0.1896 0.3393 0.4243 -0.0158 0.3393
0.2950 0.3856 0.1899 0.3401 0.4294 -0.0182 0.3401
0.3000 0.3912 0.1903 0.3409 0.4346 -0.0206 0.3409
0.3050 0.3968 0.1908 0.3415 0.4398 -0.0228 0.3415
0.3100 0.4024 0.1915 0.3420 0.4449 -0.0249 0.3420
0.3150 0.4079 0.1922 0.3424 0.4501 -0.0269 0.3424
0.3200 0.4134 0.1930 0.3427 0.4554 -0.0288 0.3427
0.3250 0.4189 0.1940 0.3430 0.4606 -0.0306 0.3430
0.3300 0.4242 0.1951 0.3431 0.4658 -0.0322 0.3431
0.3350 0.4296 0.1963 0.3431 0.4711 -0.0337 0.3431
0.3400 0.4348 0.1976 0.3431 0.4763 -0.0351 0.3431
0.3450 0.4400 0.1990 0.3430 0.4815 -0.0363 0.3430
0.3500 0.4451 0.2005 0.3429 0.4868 -0.0375 0.3429
0.3550 0.4502 0.2021 0.3427 0.4920 -0.0384 0.3427
0.3600 0.4552 0.2039 0.3424 0.4972 -0.0393 0.3424
0.3650 0.4601 0.2057 0.3421 0.5024 -0.0400 0.3421
0.3700 0.4649 0.2077 0.3417 0.5076 -0.0406 0.3417
0.3750 0.4697 0.2098 0.3413 0.5128 -0.0411 0.3413
0.3800 0.4744 0.2119 0.3409 0.5179 -0.0414 0.3409
0.3850 0.4790 0.2142 0.3404 0.5230 -0.0416 0.3404
0.3900 0.4835 0.2166 0.3400 0.5281 -0.0417 0.3400
0.3950 0.4879 0.2191 0.3395 0.5332 -0.0417 0.3395
0.4000 0.4923 0.2216 0.3389 0.5383 -0.0415 0.3389
0.4050 0.4965 0.2243 0.3384 0.5433 -0.0412 0.3384
0.4100 0.5007 0.2271 0.3379 0.5482 -0.0408 0.3379
0.4150 0.5047 0.2299 0.3374 0.5532 -0.0402 0.3374
0.4200 0.5087 0.2328 0.3369 0.5581 -0.0396 0.3369
0.4250 0.5126 0.2358 0.3363 0.5629 -0.0388 0.3363
0.4300 0.5164 0.2389 0.3358 0.5677 -0.0379 0.3358
0.4350 0.5201 0.2421 0.3354 0.5725 -0.0369 0.3354
0.4400 0.5237 0.2454 0.3349 0.5772 -0.0358 0.3349
0.4450 0.5272 0.2487 0.3344 0.5819 -0.0345 0.3344
0.4500 0.5307 0.2521 0.3340 0.5865 -0.0332 0.3340
0.4550 0.5340 0.2555 0.3336 0.5911 -0.0318 0.3336
0.4600 0.5372 0.2590 0.3333 0.5956 -0.0302 0.3333
0.4650 0.5404 0.2626 0.3330 0.6001 -0.0286 0.3330
0.4700 0.5434 0.2662 0.3327 0.6045 -0.0269 0.3327
0.4750 0.5464 0.2699 0.3324 0.6089 -0.0251 0.3324
0.4800 0.5493 0.2736 0.3322 0.6132 -0.0232 0.3322
0.4850 0.5520 0.2774 0.3321 0.6175 -0.0212 0.3321
0.4900 0.5547 0.2812 0.3320 0.6216 -0.0192 0.3320
0.4950 0.5573 0.2851 0.3319 0.6258 -0.0170 0.3319
0.5000 0.5598 0.2890 0.3319 0.6298 -0.0148 0.3319
0.5050 0.5623 0.2929 0.3319 0.6338 -0.0125 0.3319
0.5100 0.5646 0.2969 0.3320 0.6378 -0.0102 0.3320
0.5150 0.5668 0.3008 0.3322 0.6417 -0.0077 0.3322
0.5200 0.5690 0.3049 0.3324 0.6455 -0.0053 0.3324
0.5250 0.5711 0.3089 0.3327 0.6493 -0.0027 0.3327
0.5300 0.5731 0.3129 0.3331 0.6530 -0.0001 0.3331
0.5350 0.5750 0.3170 0.3335 0.6566 0.0025 0.3335
0.5400 0.5769 0.3211 0.3339 0.6602 0.0052 0.3339
0.5450 0.5786 0.3251 0.3345 0.6637 0.0079 0.3345
0.5500 0.5803 0.3292 0.3351 0.6671 0.0107 0.3351
0.5550 0.5819 0.3333 0.3357 0.6705 0.0135 0.3357
0.5600 0.5835 0.3374 0.3365 0.6738 0.0164 0.3365
0.5650 0.5849 0.3415 0.3373 0.6770 0.0192 0.3373
0.5700 0.5863 0.3456 0.3382 0.6802 0.0222 0.3382
0.5750 0.5877 0.3496 0.3391 0.6833 0.0251 0.3391
0.5800 0.5889 0.3537 0.3401 0.6864 0.0280 0.3401
0.5850 0.5901 0.3577 0.3412 0.6894 0.0310 0.3412
0.5900 0.5913 0.3617 0.3424 0.6923 0.0340 0.3424
0.5950 0.5924 0.3657 0.3436 0.6952 0.0370 0.3436
0.6000 0.5934 0.3697 0.3449 0.6980 0.0400 0.3449
0.6050 0.5943 0.3737 0.3463 0.7007 0.0430 0.3463
0.6100 0.5953 0.3776 0.3477 0.7034 0.0460 0.3477
0.6150 0.5961 0.3815 0.3492 0.7060 0.0490 0.3492
0.6200 0.5969 0.3854 0.3508 0.7086 0.0520 0.3508
0.6250 0.5977 0.3892 0.3524 0.7111 0.0550 0.3524
0.6300 0.5984 0.3930 0.3541 0.7135 0.0580 0.3541
0.6350 0.5990 0.3968 0.3559 0.7159 0.0610 0.3559
0.6400 0.5997 0.4005 0.3578 0.7183 0.0640 0.3578
0.6450 0.6002 0.4042 0.3597 0.7205 0.0669 0.3597
0.6500 0.6008 0.4078 0.3617 0.7227 0.0699 0.3617
0.6550 0.6013 0.4114 0.3637 0.7249 0.0728 0.3637
0.6600 0.6017 0.4150 0.3658 0.7270 0.0757 0.3658
0.6650 0.6022 0.4184 0.3680 0.7291 0.0785 0.3680
0.6700 0.6026 0.4219 0.3703 0.7311 0.0814 0.3703
0.6750 0.6029 0.4253 0.3726 0.7330 0.0842 0.3726
0.6800 0.6033 0.4286 0.3749 0.7349 0.0869 0.3749
0.6850 0.6036 0.4319 0.3774 0.7368 0.0896 0.3774
0.6900 0.6039 0.4351 0.3798 0.7386 0.0923 0.3798
0.6950 0.6042 0.4383 0.3824 0.7403 0.0950 0.3824
0.7000 0.6044 0.4414 0.3850 0.7420 0.0976 0.3850
0.7050 0.6047 0.4445 0.3876 0.7437 0.1002 0.3876
0.7100 0.6049 0.4474 0.3903 0.7453 0.1027 0.3903
0.7150 0.6051 0.4504 0.3931 0.7469 0.1052 0.3931
0.7200 0.6053 0.4532 0.3959 0.7485 0.1076 0.3959
0.7250 0.6054 0.4560 0.3987 0.7500 0.1100 0.3987
0.7300 0.6056 0.4588 0.4016 0.7514 0.1123 0.4016
0.7350 0.6058 0.4614 0.4046 0.7528 0.1145 0.4046
