k,n,o,b,s
1.0,0.925890546670688,0.45346914489876244,1.895706731028811,0.4999999999999996
2.0,0.04070400206019946,0.04058003294044472,1.7968520050339702,0.1249999999999998
3.0,0.004741696115207484,0.004741355658157677,1.1354348135351706,0.020833333333333284
4.0,0.0002458694509894375,0.00024574005444884245,0.5381128546657665,0.0026041666666666587
5.0,9.6700073858024e-05,9.669938510190024e-05,0.2040208321286044,0.00026041666666666563
6.0,6.069917912747896e-06,6.06919640576386e-06,0.0644606107893824,2.1701388888888788e-05
7.0,1.3655346112632106e-06,1.3655135165555162e-06,0.01745691625138009,1.5500992063491979e-06
8.0,2.1187052084488594e-07,2.1186861827391578e-07,0.004136649205093434,9.688120039682479e-08
9.0,1.0628806543278007e-08,1.062367262417881e-08,0.0008713193046667335,5.3822889109347066e-09
10.0,4.439667427268583e-09,4.439643526378115e-09,0.000165176587073207,2.691144455467351e-10
11.0,2.879625222778496e-10,2.879327526860761e-10,2.8466033447549545e-05,1.223247479757886e-11
12.0,6.214840083530342e-11,6.214739473824393e-11,4.496937601017578e-06,5.096864498991188e-13
13.0,9.859196568328681e-12,9.85911094163295e-12,6.557596060973521e-07,1.9603324996119938e-14
14.0,4.762555856597457e-13,4.759971146903823e-13,8.8794849943968e-08,7.001187498614258e-16
15.0,2.0444798411563455e-13,2.0444687542534672e-13,1.1221932981298225e-08,2.3337291662047508e-17
16.0,1.3624046073109409e-14,1.362277272583254e-14,1.3295933679875786e-09,7.292903644389841e-19
17.0,2.8285804403460005e-15,2.828532102583865e-15,1.482658292485482e-10,2.1449716601146572e-20
18.0,4.585701176648106e-16,4.585662631002542e-16,1.561491836044673e-11,5.958254611429599e-22
19.0,2.1354668590230172e-17,2.1341679602192093e-17,1.5579634652823282e-12,1.567961739849893e-23
20.0,9.412372688774174e-18,9.412321223817808e-18,1.4767209139163402e-13,3.91990434962473e-25
