t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.0,0.06216480501601618,0.07081970156171744,0.0509739924221204,0.05342642956992053,0.09163171736708565,0.05641367429996375,0.09820372896097758,0.05243834898896854,0.04441701990547775,0.05853893821167994,0.06596665106465165,0.04953299082856805,0.07451704859572011,0.03695940060910977,0.06081781947816176,0.073177733119861
0.002,0.06469394361298574,0.06780112506646584,0.05685894239625873,0.05460747532920318,0.08406603377407855,0.04706406531373725,0.09647299421015824,0.046846638713174946,0.049445894504878685,0.05979618760805537,0.07789954967258157,0.05404884975126103,0.07291882442958314,0.033185165935681556,0.06350809089495461,0.07078621878694158
0.004,0.06433153333425462,0.07377701919275194,0.0566407389139406,0.05913892957838244,0.08432449461516449,0.05137445766028944,0.09645334093647744,0.05081251073604838,0.04562974428270924,0.060276649189697135,0.07137766536923361,0.05434056098065451,0.06740602706029938,0.03369905146668921,0.05841962575054851,0.07199765093285902
0.006,0.06620735026975615,0.08201144975534956,0.057719654689488586,0.0647075584640436,0.07418684790816416,0.04885354267775085,0.0834894088903739,0.04742107620771613,0.0491596379179189,0.06967617233744948,0.07550601587752716,0.06198665776215479,0.06184858971306078,0.033561861100341435,0.05267325352436908,0.07099092290453561
0.008,0.07021146783197936,0.07523323997100978,0.05730569269262914,0.05491371290390488,0.08485525368114098,0.04834476116716337,0.08919707018095416,0.04346973537881716,0.05312030516315582,0.06487579509984172,0.07575976866904532,0.053542725587933646,0.07156796735809834,0.03382865483704703,0.056855732363461385,0.06691811711381798
0.01,0.060357997187483185,0.07028676568933,0.0439869502442389,0.04570205772036849,0.08423012877913359,0.05161569430457992,0.07929633563897595,0.041578363969204224,0.05589493113951383,0.07327645978328587,0.071343764726031,0.05455132490927258,0.08529203978937903,0.043300703242961605,0.06116922903789899,0.07811725383834293
0.012,0.066452128049885,0.07552951427292232,0.04196198991377478,0.04214121265690279,0.0934315878223414,0.05562066194980928,0.07585418550024034,0.038401862718700615,0.05950914657947746,0.07571440551985908,0.06503088405803144,0.04834601942534965,0.09093616637119527,0.045050371703982794,0.055950491628552576,0.07006937182897519
0.014,0.0579661192844849,0.0613783890024031,0.04119901487577296,0.0384071210692316,0.10972184608641086,0.061192353503838046,0.09824646059131531,0.046568049104781364,0.04677056627433492,0.054906796770289326,0.05733461067846712,0.039661328752173666,0.09709981346152506,0.045124418071562804,0.06604988031098936,0.07837323216241954
0.016,0.07571510638606223,0.06594070806385113,0.04783951227847509,0.03592518825859074,0.1239216364715013,0.055711358417520104,0.09718821074908941,0.03640028011605267,0.05696308179617828,0.054282219957763354,0.06125008857386034,0.03403940083642014,0.101078797840114,0.03768161717818624,0.05975883207428009,0.05630396100205472
0.018000000000000002,0.07414005670223031,0.07438400198609388,0.048726386672032385,0.041773426868938215,0.11466665745774887,0.05941117626095318,0.09318299454075456,0.0399330624004289,0.05378574409895091,0.0589422748302379,0.059674569240118984,0.03815553077366131,0.08957547823808924,0.038747789398078415,0.05477037717520536,0.060130473356477636
0.02,0.06702087375441466,0.07537710988087797,0.041450800517104223,0.03969699960560335,0.11485371417200785,0.06610712658724252,0.08765300361878464,0.04168726174368994,0.05149356152420911,0.06277880520067956,0.05335169931790943,0.03821403981547071,0.09424297116643968,0.04533523133043162,0.05405959748903412,0.06667720427610063
0.022,0.049762639583170176,0.07554534672288758,0.031323538564398935,0.04009659088635369,0.10246035283570329,0.07739858030673369,0.07900208188062355,0.049063976487373914,0.04338209106256402,0.06984190367512493,0.04522770408130577,0.042893300281160465,0.0938415242683999,0.05862887827576319,0.054215626830678244,0.0873158642577586
0.024,0.052501239214414436,0.08182833667159653,0.03246229756184712,0.04230620195304039,0.11104628844890108,0.08573248362340526,0.08358133692012251,0.05291056405727565,0.03949511929976829,0.06498049904265278,0.039928882243006995,0.038915831700506,0.08736700457467951,0.05608939354680161,0.04906027284003166,0.08179424830194996
0.026000000000000002,0.054533361308189705,0.06866704877892335,0.0381094876903152,0.040311019827793254,0.11472936190583381,0.0711913342584509,0.09701065201868717,0.04985864046384276,0.04253838695580416,0.05638780645454329,0.048014168561905365,0.038369488983703154,0.09303344926426385,0.0483423925190481,0.05846209904799282,0.08044130196070311
0.028,0.057463746743462885,0.06467225372117937,0.04347555801862312,0.04095175550123872,0.11999520117308123,0.06626323996551324,0.1092199037836334,0.05000652329412302,0.04198928492179303,0.04923259172925287,0.05092163898714842,0.03633595828126333,0.09055083265553972,0.04184523034318675,0.061279803342663475,0.07579647753829746
