t,a,b,c,d
0.0,-0.043935108074054284,0.02939482447962275,-0.05449086793469604,-0.0454134526942854
0.002,-0.01002719790626097,0.05948543276794472,-0.02166426569275509,-0.01203156767580238
0.004,0.0739520654711844,0.1282060323821152,1.0,0.012743395761338538
0.006,0.10313273730264409,0.1565761703282984,0.9999415996577582,0.043942019863394716
0.008,0.13139944386440627,0.18401521742769045,0.9997719855580374,0.07416430568715042
0.01,0.15877776298125346,0.21054865526631625,0.999498271163254,0.103438040183198
0.012,0.18529271700624728,0.2362015233110654,0.9991272573732026,0.13179039088865388
0.014,0.21096877348884496,0.260998409216567,0.9986654428810331,0.1592479058978949
0.016,0.23582984700063994,0.28496344091432246,0.998119034373416,0.18583651534708118
0.018000000000000002,0.25989930199487044,0.3081202803331902,0.997493956557816,0.21158153424700396
0.02,0.2831999565861389,0.33049211861094063,0.9967958620025436,0.23650766651267716
0.022,0.30575408714635116,0.35210167266663195,0.996030140777744,0.26063901005101964
0.024,0.32758343362176023,0.3729711830129821,0.9952019298876902,0.28399906277996734
0.026000000000000002,0.3487092054842256,0.39312241269677173,0.994316122486701,0.3066107294634639
0.028,0.36915208823740536,0.41257664726361054,0.9933773768727736,0.32849632925707223
0.03,0.3889322504056246,0.43135469565116386,0.9923901252545507,0.34967760386844643
0.032,0.4080693509396439,0.4494768919221896,0.9913585822886118,0.37017572624566886
0.034,0.42658254697952536,0.46696309775550465,0.990286753385287,0.3900113097145333
0.036000000000000004,0.4444905019202857,0.48383270561930336,0.9891784427822446,0.4092044174932919
0.038,0.4734856044193329,0.5144707962099899,0.9840753357397871,1.0000000000000002
0.04,0.48976156918633507,0.5294136669644709,0.9837024598547631,0.999972090641878
0.042,0.505500556711985,0.5438245489409389,0.9832496361108513,0.9998911316621188
0.044,0.5207190027818978,0.5577201068264994,0.982722689769859,0.9997606900291969
0.046,0.5354328911896543,0.5711165769493813,0.9821271622762082,0.9995841538526289
0.048,0.5496577637388257,0.5840297737881448,0.9814683225626096,0.9993647405813858
0.05,0.5634087301758666,0.5964750966630166,0.9807511779742827,0.9991055048223532
0.052000000000000005,0.5767004780404904,0.6084675365830375,0.9799804848219326,0.9988093457979604
0.054,0.5895472824217273,0.6200216832247402,0.9791607585735972,0.9984790144610426
0.056,0.6019630156092883,0.6311517320199566,0.978296283695352,0.9981171202839778
0.058,0.6139611566311709,0.6418714913321092,0.9773911231507368,0.9977261377382217
0.06,0.6255548006696013,0.6521943897019633,0.9764491275686167,0.9973084124794543
0.062,0.6367566683484872,0.662133483145325,0.9754739440890224,0.9968661672527207
0.064,0.647579114886516,0.6717014624865795,0.9744690248963728,0.996401507531177
0.066,0.6580341391108989,0.6809106607132539,0.9734376354492712,0.9959164269012853
0.068,0.6681333923275602,0.6897730603380094,0.9723828624159228,0.9954128122066318
0.07,0.6778881870442761,0.6983003007555918,0.9713076213240127,0.9948924484618732
0.07200000000000001,0.6873095055439143,0.7065036855832993,0.9702146639337003,0.9943570235477002
0.074,0.6964080083055072,0.714394189974521,0.9691065853422033,0.9938081326971389
0.076,0.7051940422714071,0.7219824678957806,0.9679858308282412,0.9932472827829494
0.078,0.7136776489592651,0.7292788593585771,0.966854702444429,0.9926758964153907
0.08,0.7218685724179648,0.7362933975980777,0.9657153653655007,0.9920953158591056
0.082,0.7297762670270638,0.7430358161914606,0.9645698540000727,0.991506806777465
0.084,0.7374099051396069,0.7495155561093692,0.9634200778734455,0.9909115618122474
0.08600000000000001,0.7447783845685034,0.7557417726945704,0.96226782728877,0.9903107040061496
0.088,0.7518903359169222,0.7617233425625002,0.9611147787737018,0.9897052900752344
0.09,0.7587541297534194,0.7674688704189105,0.9599625003194963,0.9890963135380696
0.092,0.7653778836327197,0.7729866957903512,0.9588124564193002,0.988484707707967
0.094,0.7717694689632785,0.7782848996636774,0.9576660129122281,0.9878713485544266
0.096,0.7779365177229193,0.7833713110312245,0.9565244416396191,0.9872570574395704
0.098,0.7838864290240043,0.7882535133386839,0.9553889249197186,0.9866426037350956
0.1,0.7896263755297235,0.7929388508331089,0.9542605598468257,0.9860287073249796
0.10200000000000001,0.7951633097232086,0.7974344348088057,0.9531403624208052,0.9854160409989368
0.10400000000000001,0.8005039700312965,0.8017471497492287,0.9520292715126933,0.9848052327413904
0.106,0.8056548868048351,0.8058836593632579,0.950928152671943,0.9841968679204776
0.108,0.8106223881575331,0.8098504125145604,0.9498378017807304,0.9835914913814192
0.11,0.8154126056653906,0.8136536490429621,0.9487589485605551,0.9829896094483598
0.112,0.8200314799288426,0.8172994054770315,0.9476922599362414,0.9823916918386167
0.114,0.8244847659997595,0.8207935206372751,0.9466383432622759,0.9817981734930704
0.116,0.8287780386755214,0.8241416411295667,0.9455977494162944,0.9812094563262833
0.11800000000000001,0.8329166976623952,0.8273492267286237,0.9445709757643654,0.9806259108997528
0.12,0.8369059726104768,0.8304215556515144,0.9435584690025998,0.9800478780215596
0.122,0.8407509280224859,0.8333637297213584,0.9425606278794634,0.9794756702755254
0.124,0.8444564680387047,0.8361806794215116,0.9415778058030488,0.9789095734828562
0.126,0.8480273411003713,0.8388771688406963,0.9406103133374262,0.9783498480991113
0.128,0.8514681444938381,0.8414578005096375,0.939658420592073,0.9777967305492231
0.13,0.854783328777802,0.8439270201298992,0.9387223595082482,0.9772504345031603
0.132,0.8579772020959245,0.8462891211957262,0.9378023260460763,0.9767111520947336
0.134,0.8610539343771305,0.8485482495097764,0.9368984822759623,0.9761790550859092
0.136,0.8640175614258911,0.8507084075937464,0.936010958377878,0.9756542959789263
0.138,0.8668719889047548,0.852773458994948,0.9351398545519125,0.9751370090783832
0.14,0.8696209962114028,0.854747132489988,0.9342852428434061,0.9746273115053942
0.14200000000000002,0.872268240252467,0.8566330261867575,0.9334471688858548,0.9741253041658074
0.14400000000000002,0.874817259116338,0.858434611526009,0.9326256535646872,0.9736310726744093
0.146,0.8772714756471727,0.8601552371838423,0.9318206946049071,0.9731446882369441
0.148,0.8796342009222742,0.8617981328764776,0.9310322680855005,0.9726662084917127
0.15,0.8819086376350115,0.8633664130687323,0.9302603298834116,0.9721956783124365
0.152,0.8840978833854024,0.86486308058766,0.9295048170498007,0.9717331305740038
0.154,0.8862049338804674,0.8662910301428374,0.9287656491212075,0.9712785868826475
0.156,0.8882326860464316,0.8676530517548169,0.9280427293681519,0.970832058272042
0.158,0.8901839410548192,0.8689518340932907,0.92733594598363,0.9703935458667459
0.16,0.8920614072644631,0.8701899677265216,0.9266451732138699,0.969963041514355
0.162,0.8938677030814121,0.8713699482836251,0.9259702724336404,0.9695405283876845
0.164,0.8956053597386949,0.8724941795312913,0.9253110931683219,0.9691259815582296
0.166,0.8972768239978697,0.873564976366548,0.924667474064878,0.9687193685421193
0.168,0.8988844607742459,0.8745845677271769,0.9240392438137923,0.9683206498197225
0.17,0.9004305556876459,0.8755550994213915,0.9234262220239616,0.9679297793300128
0.17200000000000001,0.9019173175405357,0.8764786368783958,0.922828220052471,0.967546704940766
0.17400000000000002,0.9033468807253178,0.8773571678214328,0.9222450417911053,0.9671713688956117
0.176,0.9047213075625561,0.8781926048649378,0.9216764844113917,0.9668037082389209
0.178,0.9060425905718621,0.8789867880373993,0.9211223390699019,0.9664436552194778
0.18,0.9073126546771433,0.8797414872315275,0.9205823915754796,0.9660911376738397
0.182,0.9085333593478795,0.8804584045833207,0.9200564230200055,0.9657460793902524
0.184,0.9097065006780639,0.8811391767816074,0.9195442103742476,0.9654084004539616
0.186,0.910833813404409,0.8817853773096315,0.9190455270502939,0.9650780175747169
0.188,0.9119169728653914,0.8823985186202409,0.91856014343201,0.9647548443972421
0.19,0.9129575969026685,0.8829800542462095,0.9180878273749089,0.9644387917954078
0.192,0.9139572477063793,0.8835313808472247,0.9176283446767698,0.9641297681508159
0.194,0.9149174336057995,0.8840538401950448,0.917181459520302,0.9638276796164812
0.196,0.9158396108067999,0.8845487210983163,0.9167469348890845,0.9635324303662557
0.198,0.9167251850775153,0.885017261268522,0.9163245329579894,0.9632439228306322
0.2,0.9175755133836137,0.8854606491285142,0.9159140154592288,0.962962057919524
0.202,0.918391905474509,0.885880025565062,0.9155151440251392,0.9626867352325993
0.20400000000000001,0.9191756254218485,0.8862764856268238,0.915127680508768,0.9624178532577287
0.20600000000000002,0.9199278931115601,0.8866510801691408,0.914751387283286,0.9621553095580743
0.20800000000000002,0.9206498856907305,0.8870048174470123,0.914386027521214,0.9618990009483365
0.21,0.9213427389705399,0.8873386646576055,0.9140313654544107,0.9616488236606455
0.212,0.9220075487864692,0.8876535494336207,0.9136871666157308,0.9614046735005686
0.214,0.9226453723169511,0.8879503612888142,0.9133531980632372,0.9611664459936883
0.216,0.9232572293616178,0.888229953016958,0.9130292285877993,0.9609340365231827
0.218,0.9238441035802732,0.8884931420454931,0.9127150289048944,0.9607073404588231
0.22,0.9244069436936764,0.8887407117451013,0.912410371831381,0.9604862532777896
0.222,0.9249466646472212,0.8889734126964182,0.9121150324480017,0.96027067067769
0.224,0.9254641487385427,0.8891919639150555,0.9118287882483161,0.9600604886821422
0.226,0.9259602467100805,0.8893970540361097,0.9115514192747644,0.9598556037392796
0.228,0.9264357788075877,0.889589342459285,0.9112827082425122,0.9596559128135124
0.23,0.9268915358055567,0.8897694604557514,0.9110224406517139,0.9594613134708719
0.232,0.9273282800005094,0.8899380122378256,0.9107704048887963,0.9592717039582455
0.234,0.9277467461730713,0.8900955759925456,0.9105263923173496,0.9590869832768018
0.23600000000000002,0.9281476425197321,0.890242704880183,0.9102901973591752,0.9589070512498894
0.23800000000000002,0.9285316515551644,0.8903799279987127,0.9100616175660307,0.9587318085856849
0.24,0.92889943098596,0.8905077513152446,0.9098404536825795,0.95856115693485
0.242,0.9292516145566121,0.8906266585653878,0.9096265097010346,0.9583949989434492
0.244,0.9295888128685539,0.8907371121215043,0.9094195929079665,0.9582332383013686
0.246,0.9299116141730468,0.8908395538307826,0.9092195139237211,0.9580757797864659
0.248,0.9302205851386868,0.8909344058240448,0.9090260867348804,0.9579225293046726
0.25,0.9305162715942713,0.8910220712961668,0.9088391287201687,0.9577733939262567
0.252,0.9307991992477669,0.8911029352589868,0.9086584606702046,0.957628281918451
0.254,0.9310698743820789,0.8911773652675415,0.9084839068014683,0.9574871027746396
